"experiment","contrast","pathway","NES","padj","leadingEdge_symbols","leadingEdge_entrez","size"
"CRISPR","Het_vs_WT","HALLMARK_E2F_TARGETS",-1.22667582871556,0.29240208438393,"Cenpm;Xrcc6;Dscc1;Rpa1;Psmc3ip;Timeless;Tubg1;Cbx5;Atad2;Brca1;Spag5;Espl1;Rad50;Pold2;Mxd3;Kif18b;Top2a;Rfc3;Trp53;Jpt1;Ppm1d;Shmt1;Aurkb;Spc24;Rad51c;Tk1;Rad21;Rfc2;Cit;Cdkn2a;Hmmr;Dnmt1;Tcf19;Tbrg4;Mlh1;Rad1;Racgap1;Birc5;Phf5a;Rfc1;Srsf2;Nme1;Mcm3;Ncapd2;Melk","66570;14375;72107;68275;19183;21853;103733;12419;70472;12189;54141;105988;19360;18972;17121;70218;21973;69263;22059;15374;53892;20425;20877;67629;114714;21877;19357;19718;12704;12578;15366;13433;106795;21379;17350;19355;26934;11799;68479;19687;20382;18102;17215;68298;17279",199
"CRISPR","Het_vs_WT","HALLMARK_FATTY_ACID_METABOLISM",-1.2682539171926,0.29240208438393,"Eno3;Adh7;Acaa2;Mdh1;Acadvl;Ncaph2;Decr1;Adsl;Lgals1;Fasn;Aco2;Alad;Cpt1a;Reep6;Bphl;Etfdh;Glul;Acox1;Acot8;Car2;Hsd17b11;D2hgdh;Bckdhb;Suclg1;Acat2;Cpt2;Retsat;Nsdhl;Mcee;Cbr3;Blvra;Aldh3a2;Eci1;Slc22a5;Hibch","13808;11529;52538;17449;11370;52683;67460;11564;16852;14104;11429;17025;12894;70335;68021;66841;14645;11430;170789;12349;114664;98314;12040;56451;110460;12896;67442;18194;73724;109857;109778;11671;13177;20520;227095",119
"CRISPR","Het_vs_WT","HALLMARK_HEDGEHOG_SIGNALING",-1.3641222044293,0.29240208438393,"Unc5c;Nf1;Myh9;Cdk5r1;Gli1;Nrcam;Ophn1;Amot;Tle3;Scg2","22253;18015;17886;12569;14632;319504;94190;27494;21887;20254",24
"CRISPR","Het_vs_WT","HALLMARK_IL2_STAT5_SIGNALING",1.21947449132321,0.29240208438393,"Slc29a2;Bmp2;Sh3bgrl2;Odc1;Gsto1;Lrrc8c;Eomes;Twsg1;Prnp;Furin;Syt11;Map6;Uck2;Tnfrsf21;Anxa4;Swap70;Maff;Serpinb6a;Klf6;Ccne1;Fgl2;Nfil3;Hk2;Pim1;Mapkapk2;Rabgap1l;Lrig1;Nfkbiz;Snx9;Nt5e;Bcl2;Ccnd2;Cd44;Plpp1","13340;12156;212531;18263;14873;100604;13813;65960;19122;18550;229521;17760;80914;94185;11746;20947;17133;20719;23849;12447;14190;18030;15277;18712;17164;29809;16206;80859;66616;23959;12043;12444;12505;19012",154
"CRISPR","Het_vs_WT","HALLMARK_INFLAMMATORY_RESPONSE",1.23716369525125,0.29240208438393,"Pdpn;Sgms2;Fzd5;Adm;Il18rap;Pvr;Pde4b;Cd14;Dcbld2;Tpbg;Ptpre;Edn1;Inhba;C3ar1;Rela;Abi1;Nfkb1;Klf6;F3;Ereg;Nampt;Il6;Plaur;Pcdh7;Mmp14;Irak2;Ifnar1","14726;74442;14367;11535;16174;52118;18578;12475;73379;21983;19267;13614;16323;12267;19697;11308;18033;23849;14066;13874;59027;16193;18793;54216;17387;108960;15975",119
"CRISPR","Het_vs_WT","HALLMARK_MTORC1_SIGNALING",1.1950436715759,0.29240208438393,"Add3;Qdpr;Ero1a;M6pr;Mllt11;Got1;Ddx39a;Gsr;Ak4;Stc1;Serp1;Sdf2l1;Stip1;Pdk1;Lgmn;Egln3;Psat1;Fgl2;Nfil3;Hk2;Slc7a5;Glrx;Pgk1;Nampt;Cd9;Ufm1;Aldoa;Slc2a1;Plod2;Cyb5b;Cth;Sytl2;Gsk3b;Ube2d3;Hsp90b1;Fads1;Eif2s2;Calr;Tm7sf2;Tes;Mthfd2l;Ppp1r15a;Gtf2h1;Slc1a5;Gmps;Tpi1;Psmg1;Gbe1;Cacybp;Tcea1;Idh1;Psma3;Hspa5;P4ha1;Nupr1;Hprt1;Ldha;Actr3;Nufip1;Gpi1;Ldlr;Fads2;Rrm2;Cct6a;Hspe1;Psmc6;Eef1e1","27360;110391;50527;17113;56772;14718;68278;14782;11639;20855;28146;64136;20867;228026;19141;112407;107272;14190;18030;15277;20539;93692;18655;59027;12527;67890;11674;20525;26432;66427;107869;83671;56637;66105;22027;76267;67204;12317;73166;21753;665563;17872;14884;20514;229363;21991;56088;74185;12301;21399;15926;19167;14828;18451;56312;15452;16828;74117;27275;14751;16835;56473;20135;12466;15528;67089;66143",193
"CRISPR","Het_vs_WT","HALLMARK_SPERMATOGENESIS",1.30858168173434,0.29240208438393,"Strbp;Hspa4l;Ide;Mlf1;Zc2hc1c;Csnk2a2;Tle4;Scg5;Vdac3;Mllt10;Sirt1;Ezh2;Chfr","20744;18415;15925;17349;72350;13000;21888;20394;22335;17354;93759;14056;231600",65
"CRISPR","Het_vs_WT","HALLMARK_UV_RESPONSE_DN",-1.21761548945046,0.29240208438393,"Ptprm;Rbpms;Pdgfrb;Col1a2;Pmp22;Prkca;Efemp1;Plpp3;Dab2;Col1a1;Cdon;Amph;Id1;Adora2b;Fzd2;Sdc2;Adgrl2;Col3a1;Synj2;Zmiz1;Atxn1;Has2","19274;19663;18596;12843;18858;18750;216616;67916;13132;12842;57810;218038;15901;11541;57265;15529;99633;12825;20975;328365;20238;15117",136
"CRISPR","Het_vs_WT","HALLMARK_COAGULATION",1.24121692402398,0.305470737913486,"Plau;Pros1;Mmp10;Thbs1;Thbd;Furin;Arf4;Lgmn;Mmp3;Maff;Adam9;Fyn;F3;Cd9;Htra1","18792;19128;17384;21825;21824;18550;11843;19141;17392;17133;11502;14360;14066;12527;56213",75
"CRISPR","Het_vs_WT","HALLMARK_COMPLEMENT",1.19669647235503,0.305470737913486,"Cdh13;Phex;Pla2g4a;Anxa5;Rce1;Ppp2cb;Pik3ca;Pdp1;Dusp5;Lgmn;Maff;Adam9;Fyn;Dyrk2;Src;F3;Xpnpep1;Pim1;Il6;Jak2;Dock9;Plaur;Mmp13;Mmp14;Gpd2;Prdm4;Kif2a;Tnfaip3;Rnf4;Lamp2;Raf1;Serpine1;Ehd1;Lyn;Ppp4c;Psmb9;Pik3r5;Usp15;Usp16;Hspa5;Calm1","12554;18675;18783;11747;19671;19053;18706;381511;240672;19141;17133;11502;14360;69181;20779;14066;170750;18712;16193;16452;105445;18793;17386;17387;14571;72843;16563;21929;19822;16784;110157;18787;13660;17096;56420;16912;320207;14479;74112;14828;12313",122
"CRISPR","Het_vs_WT","HALLMARK_BILE_ACID_METABOLISM",-1.2516862991866,0.328366445916115,"Abca9;Abcd2;Rbp1;Abca8b;Abca6;Amacr;Pfkm;Cyp7b1;Atxn1;Abcd1;Pex13;Rxra;Fdxr;Slc29a1;Cat;Hsd17b11;Pex12;Abcd3","217262;26874;19659;27404;76184;17117;18642;13123;20238;11666;72129;20181;14149;63959;12359;114664;103737;19299",72
