"ensembl_gene_id","sample.shrubr5_3_2002","sample.shrubr5_2_2002","sample.shrubr5_1_2002","sample.jh_2_002_3","sample.jh_2_002_2","sample.jh_2_002_1"
"ENSG00000000003",768.137502842653,782.52408831015,739.4289470072,4.87934001386365,12.946092415521,5.31916122749266
"ENSG00000000419",680.701343064703,743.687707631054,672.208133642909,816.476228986518,768.997889481949,811.172087192631
"ENSG00000000457",257.250189098763,272.434312226497,332.054620233244,419.623241192274,397.445037156496,409.575414516935
"ENSG00000000460",513.777765306798,409.81076328539,385.50731519762,255.352127392198,203.25365092368,271.277222602126
"ENSG00000000938",0.722612890726861,0.579647472822334,0.809889317642059,120.357053675303,63.435852836053,63.8299347299119
"ENSG00000000971",1285.52833260309,1179.58260719345,835.805775806605,152.885987101061,178.65607533419,162.234417438526
"ENSG00000001036",1146.78665758353,1111.18420540041,918.414486206095,214.690960610001,204.548260165232,218.085610327199
"ENSG00000001084",721.167664945407,739.630175321298,738.619057689558,1249.1110435491,1191.04050222793,1228.7262435508
"ENSG00000001167",1480.63381309934,1343.62284200217,1445.65243199108,2150.16249944258,2329.00202555223,1929.52573527296
"ENSG00000001460",129.347707440108,144.911868205583,133.63173741094,40.6611667821971,19.4191386232815,11.9681127618585
"ENSG00000001461",774.641018859195,779.625850946039,873.870573735782,175.656240499092,200.664432440576,166.223788359146
"ENSG00000001497",2106.4165764688,1959.20845813949,1644.07531481338,1358.08297052538,1471.97070764474,1394.95003190995
"ENSG00000001561",96.1075144666725,96.8011279613297,128.772401505087,240.714107350607,227.85122651317,267.287851681506
"ENSG00000001617",98.99796602958,115.349847091644,104.475721975826,997.011809499473,1115.95316621791,1130.32176084219
"ENSG00000001626",5.05829023508803,7.53541714669034,8.09889317642059,463.537301317047,384.498944740975,484.043671701832
"ENSG00000001629",2248.04870305126,2164.40366351859,1995.56727867003,1606.92931123243,1631.20764435565,1668.88683512582
"ENSG00000001630",280.373801602022,277.651139481898,203.282218728157,536.727401525002,530.789789036362,515.958639066788
"ENSG00000001631",1234.22281736148,1236.96770700286,1166.24061740457,1221.4614501372,987.786851304254,1368.35422577249
"ENSG00000002016",366.364735598519,373.292972497583,311.807387292193,148.006647087197,167.004592160221,131.649240380443
"ENSG00000002079",226.177834797508,224.903219455065,259.164581645459,151.259540429773,139.817798087627,172.872739893512
"ENSG00000002330",213.893415655151,234.177579020223,281.031593221794,29.2760400831819,34.9544495219068,57.1809831955461
"ENSG00000002549",1083.91933609029,1201.6092111607,1053.66600225232,2464.06670700115,2700.55487787769,2430.85668096415
"ENSG00000002586",3463.48358525384,3804.8060116058,3765.98532703557,6.50578668515154,16.8299201401773,14.6276933756048
"ENSG00000002587",2.89045156290744,13.3318918749137,12.9582290822729,370.829841053638,313.295436455609,273.936803215872
"ENSG00000002745",4.33567734436117,5.79647472822334,1.61977863528412,19.5173600554546,16.8299201401773,15.957483682478
"ENSG00000002746",140.186900801011,110.712667309066,172.506424657759,133.368627045607,143.701625812283,101.064063322361
"ENSG00000002822",4004.72064040826,4197.22735070652,4020.29057277518,925.448155962806,912.699515294232,989.363988313635
"ENSG00000002834",19679.6394660553,19527.1640644388,18275.1524525931,10136.0156554661,10315.4464366872,9816.51204533771
"ENSG00000002919",478.369733661182,421.403712741837,401.705101550461,330.168674271441,402.623474122704,359.043382855755
"ENSG00000002933",0,0,0,668.46958189932,797.479292796095,719.416556018382
"ENSG00000003056",3129.63642973804,3168.9327339197,2606.22382417215,3100.00735547471,2731.62549967494,2667.55935558757
"ENSG00000003096",45.5246121157922,64.9205169561014,29.9659047527562,81.3223335643942,63.435852836053,82.4469990261363
"ENSG00000003137",255.804963317309,202.876615487817,209.761333269293,24.3967000693183,41.4274957296673,63.8299347299119
"ENSG00000003147",194.382867605526,245.190881003847,393.606208374041,468.416641330911,476.416200891174,530.586332442393
"ENSG00000003249",198.718544949887,254.465240569004,247.82613119847,55.2991868237881,75.087336010022,79.7874184123899
"ENSG00000003393",1370.07404081813,1350.57861167604,1249.6592171217,2589.30310069031,2652.65433594026,2557.1867601171
"ENSG00000003400",31.072354301255,41.734618043208,29.9659047527562,0,16.8299201401773,6.64895153436583
"ENSG00000003402",897.485210282761,877.586273853013,1009.12208978201,287.881060817956,288.697860866119,372.341285924486
"ENSG00000003436",705.270181349416,774.409023690638,890.878249406265,76.4429935505306,47.9005419374278,53.1916122749266
"ENSG00000003509",371.423025833607,339.093771601065,370.929307480063,702.624961996366,590.341814147759,625.001444230388
"ENSG00000003756",2909.23949806634,2906.932076204,2249.062635092,4253.15804541782,4017.17247653618,4099.74351608997
"ENSG00000003987",75.1517406355936,49.8496826627207,96.376828799405,21.1438067267425,6.47304620776051,17.2872739893511
"ENSG00000003989",1132.33439976899,1156.97635575338,1071.48356724044,187.041367198107,102.274130082616,131.649240380443
"ENSG00000004059",1310.0971708878,1358.11402882273,1276.38556460389,3836.78769756812,4062.4837999905,4131.65848345492
