"ensembl_gene_id","sample.shrubr5_3_2002","sample.shrubr5_2_2002","sample.shrubr5_1_2002","sample.jh_2_002_3","sample.jh_2_002_2","sample.jh_2_002_1"
"ENSG00000000003",763.81548824405,778.388428057199,734.394604179492,4.90007699961273,13.0312634932829,5.35967353364401
"ENSG00000000419",676.871298142893,739.75729866473,667.631458344993,819.946217935197,774.057051501006,817.350213880711
"ENSG00000000457",255.802741124066,270.994489768062,329.793852917406,421.406621966695,400.059789243786,412.694862090589
"ENSG00000000460",510.886935222502,407.644902693659,382.882619484598,256.437362979733,204.590836844542,273.343350215844
"ENSG00000000938",0.718547025629398,0.57658402078311,0.804375251018063,120.868565990447,63.8531911170863,64.3160824037281
"ENSG00000000971",1278.2951585947,1173.34848229363,830.115259050641,153.535745987866,179.831436207304,163.470042776142
"ENSG00000001036",1140.33412967385,1105.31156784122,912.161534654484,215.60338798296,205.89396319387,219.746614879404
"ENSG00000001084",717.109931578139,735.721210519249,733.590228928474,1254.41971190086,1198.87624138203,1238.08458627177
"ENSG00000001167",1472.30285551464,1336.52176017525,1435.80982306724,2159.30059782934,2344.3243024416,1944.22157432936
"ENSG00000001460",128.619917587662,144.146005195778,132.72191641798,40.8339749967727,19.5468952399244,12.059265450699
"ENSG00000001461",770.282411474715,775.505507953283,867.92089584849,176.402771986058,201.984584145885,167.489797926375
"ENSG00000001497",2094.5645797097,1948.85399024691,1632.88175956667,1363.85476489221,1481.65465918627,1405.57438419814
"ENSG00000001561",95.56675440871,96.2895314707794,127.895664911872,241.737131980895,229.35023748178,269.323595065611
"ENSG00000001617",98.4409425112275,114.740220135839,103.76440738133,1001.24906692087,1123.29491312099,1138.93062589935
"ENSG00000001626",5.02982917940579,7.49559227018043,8.04375251018063,465.507314963209,387.028525750503,487.730291561605
"ENSG00000001629",2235.39979673306,2152.96473360413,1981.98061850851,1613.75869187246,1641.93920015365,1681.59757118081
"ENSG00000001630",278.796245944206,276.18374595511,201.898188005534,539.0084699574,534.2818032246,519.888332763469
"ENSG00000001631",1227.27831977501,1230.43030035116,1158.30036146601,1226.65260890305,994.285404537487,1378.77601652992
"ENSG00000002016",364.303341994105,371.320109384323,309.684471641954,148.635668988253,168.10329906335,132.651919957689
"ENSG00000002079",224.905219022002,223.714600063847,257.40008032578,151.902386987995,140.737645727456,174.18938984343
