"ensembl_gene_id","baseMean","log2FoldChange","lfcSE","pvalue","padj","entrezgene_id","external_gene_name","gene_biotype","external_gene_source","transcript_count","description"
"ENSG00000213131",746.200214558576,-4.1784750793296,0.149601704435315,2.03475974334939e-172,8.07888085924638e-171,"NA","YWHAZP4","processed_pseudogene","HGNC Symbol",1,"tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein zeta pseudogene 4 [Source:HGNC Symbol;Acc:HGNC:30851]"
"ENSG00000171490",1753.67156587565,7.89100699504177,0.281554462973313,7.31669220510627e-172,2.90000144171139e-170,"26156","RSL1D1","protein_coding","HGNC Symbol",12,"ribosomal L1 domain containing 1 [Source:HGNC Symbol;Acc:HGNC:24534]"
"ENSG00000168077",4299.86085748975,3.79221732861991,0.136137467978996,9.49353169104649e-172,3.75627952351111e-170,"51435","SCARA3","protein_coding","HGNC Symbol",2,"scavenger receptor class A member 3 [Source:HGNC Symbol;Acc:HGNC:19000]"
"ENSG00000239622",5305.20926136569,-11.8845869893886,0.422874750886593,1.47308324460807e-171,5.81842395750904e-170,"NA","AC005165.2","processed_pseudogene","Clone-based (Ensembl) gene",1,"ubiquitin A-52 residue ribosomal protein fusion product 1 (UBA52) pseudogeneA"
"ENSG00000147684",3120.28851723798,-2.33496946922215,0.0838137305589331,1.57032827881607e-171,6.19181253978771e-170,"4715","NDUFB9","protein_coding","HGNC Symbol",8,"NADH:ubiquinone oxidoreductase subunit B9 [Source:HGNC Symbol;Acc:HGNC:7704]"
"ENSG00000013573",1151.20972370599,4.58411737197368,0.164566805436783,1.64652450255517e-171,6.48106110229907e-170,"1663","DDX11","protein_coding","HGNC Symbol",30,"DEAD/H-box helicase 11 [Source:HGNC Symbol;Acc:HGNC:2736]"
"ENSG00000277998",854.902635042857,-5.35326806452976,0.192069145357362,2.56634434643604e-171,1.00842756332418e-169,"NA","AC107075.1","unprocessed_pseudogene","Clone-based (Ensembl) gene",1,"eukaryotic translation initiation factor 3, subunit E (EIF3E) pseudogene"
"ENSG00000002586",1834.54191737572,8.10104466045048,0.289501153919101,3.05527394653391e-171,1.19848632644964e-169,"4267","CD99","protein_coding","HGNC Symbol",15,"CD99 molecule (Xg blood group) [Source:HGNC Symbol;Acc:HGNC:7082]"
"ENSG00000102119",855.290691073687,3.66201734246094,0.131773532994892,9.25267318412541e-171,3.62330238067896e-169,"2010","EMD","protein_coding","HGNC Symbol",9,"emerin [Source:HGNC Symbol;Acc:HGNC:3331]"
"ENSG00000139626",1250.19300544986,-8.79617996842935,0.316032244257463,1.29468152756697e-170,5.06122932780031e-169,"3695","ITGB7","protein_coding","HGNC Symbol",14,"integrin subunit beta 7 [Source:HGNC Symbol;Acc:HGNC:6162]"
