"ensembl_gene_id","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","entrezgene_id","external_gene_name","gene_biotype","external_gene_source","transcript_count","description"
"ENSG00000233429",88.9622048984149,5.34611456724674,0.578920242340526,9.2346305695459,2.5917883187448e-20,8.08009385729126e-20,"NA","HOTAIRM1","lncRNA","HGNC Symbol",6,"HOXA transcript antisense RNA, myeloid-specific 1 [Source:HGNC Symbol;Acc:HGNC:37117]"
"ENSG00000106460",3147.33754267558,-1.22513930098257,0.132683865696474,-9.23352130684207,2.61878006635643e-20,8.16312792393738e-20,"54664","TMEM106B","protein_coding","HGNC Symbol",8,"transmembrane protein 106B [Source:HGNC Symbol;Acc:HGNC:22407]"
"ENSG00000188693",46.7343061607368,-5.14132214342435,0.556913978352603,-9.23180660437507,2.66105179656007e-20,8.29376280074625e-20,"NA","CYP51A1-AS1","lncRNA","HGNC Symbol",2,"CYP51A1 antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:50694]"
"ENSG00000125741",1018.84871264221,1.14459314255869,0.123999502184247,9.23062691701753,2.69052505625319e-20,8.3844781646547e-20,"80207","OPA3","protein_coding","HGNC Symbol",3,"outer mitochondrial membrane lipid metabolism regulator OPA3 [Source:HGNC Symbol;Acc:HGNC:8142]"
"ENSG00000188290",109.321354492663,6.53018975945607,0.70765086905975,9.22798239212605,2.75777352559092e-20,8.59287151484111e-20,"57801","HES4","protein_coding","HGNC Symbol",4,"hes family bHLH transcription factor 4 [Source:HGNC Symbol;Acc:HGNC:24149]"
"ENSG00000198010",56.1574356467786,-6.58721137455479,0.713915898278177,-9.22687306788072,2.78647517545068e-20,8.68111739295019e-20,"9228","DLGAP2","protein_coding","HGNC Symbol",15,"DLG associated protein 2 [Source:HGNC Symbol;Acc:HGNC:2906]"
"ENSG00000170542",710.600866621869,-4.64539413571257,0.503477116251752,-9.22662418164353,2.79295508315072e-20,8.70011796265941e-20,"5272","SERPINB9","protein_coding","HGNC Symbol",1,"serpin family B member 9 [Source:HGNC Symbol;Acc:HGNC:8955]"
"ENSG00000233691",64.252110879956,-7.12367753958512,0.77212840690565,-9.22602701295977,2.80856355899999e-20,8.7475451639795e-20,"NA","AL354714.4","processed_pseudogene","Clone-based (Ensembl) gene",1,"pseudogene similar to part of DEAD (Asp-Glu-Ala-Asp) box polypeptide 56 (DDX56)"
"ENSG00000167985",66.359240134872,4.37785144401731,0.474517935819384,9.2258924553774,2.81209244066708e-20,8.75734148416716e-20,"54949","SDHAF2","protein_coding","HGNC Symbol",8,"succinate dehydrogenase complex assembly factor 2 [Source:HGNC Symbol;Acc:HGNC:26034]"
"ENSG00000235795",83.4044628123341,-7.50774419397541,0.813878961978126,-9.22464462741228,2.84502726358627e-20,8.85869782155954e-20,"NA","AC093157.2","lncRNA","Clone-based (Ensembl) gene",1,"novel transcript"
"ENSG00000240445",202.968183356001,-2.1391726442017,0.231903220275707,-9.2244197456959,2.85100315294892e-20,8.87609463818682e-20,"2310","FOXO3B","protein_coding","HGNC Symbol",4,"forkhead box O3B [Source:HGNC Symbol;Acc:HGNC:3822]"
"ENSG00000164086",1679.33782996155,0.804668090173485,0.0872561150913932,9.2219105713183,2.91852819725029e-20,9.08508300289394e-20,"1849","DUSP7","protein_coding","HGNC Symbol",2,"dual specificity phosphatase 7 [Source:HGNC Symbol;Acc:HGNC:3073]"
"ENSG00000176884",105.587193143422,-3.08253682869931,0.334266603387259,-9.22179122132666,2.92177915155006e-20,9.09396292159343e-20,"2902","GRIN1","protein_coding","HGNC Symbol",13,"glutamate ionotropic receptor NMDA type subunit 1 [Source:HGNC Symbol;Acc:HGNC:4584]"
"ENSG00000102878",198.860703479646,2.195824994324,0.238136741921383,9.22085763249804,2.94733285618922e-20,9.17224769721917e-20,"3299","HSF4","protein_coding","HGNC Symbol",25,"heat shock transcription factor 4 [Source:HGNC Symbol;Acc:HGNC:5227]"
"ENSG00000232228",96.0826362867683,6.07622319293383,0.658968639050535,9.22080783948787,2.94870195357535e-20,9.17525768026785e-20,"NA","AC092431.2","processed_pseudogene","Clone-based (Ensembl) gene",1,"ribosomal protein L36a (RPL36A) pseudogene"
"ENSG00000236459",172.316824880367,-9.55839541357644,1.03668306809522,-9.2201712439838,2.96626114261192e-20,9.22863748784821e-20,"NA","HNRNPA1P22","processed_pseudogene","HGNC Symbol",1,"heterogeneous nuclear ribonucleoprotein A1 pseudogene 22 [Source:HGNC Symbol;Acc:HGNC:39540]"
"ENSG00000228595",134.93903539161,-11.045449275748,1.19810279786658,-9.21911650270433,2.99558183024595e-20,9.31859016003748e-20,"NA","PAICSP2","processed_pseudogene","HGNC Symbol",1,"phosphoribosylaminoimidazole carboxylase, phosphoribosylaminoimidazole succinocarboxamide synthetase pseudogene 2 [Source:HGNC Symbol;Acc:HGNC:8589]"
"ENSG00000184985",253.736631646418,1.83589970422155,0.199152117533097,9.21857988236777,3.01060909307949e-20,9.36406070776632e-20,"57537","SORCS2","protein_coding","HGNC Symbol",4,"sortilin related VPS10 domain containing receptor 2 [Source:HGNC Symbol;Acc:HGNC:16698]"
"ENSG00000011243",1738.3346317945,0.79498819886133,0.0862409345032596,9.21822338127937,3.02063355845894e-20,9.39396051486413e-20,"26993","AKAP8L","protein_coding","HGNC Symbol",20,"A-kinase anchoring protein 8 like [Source:HGNC Symbol;Acc:HGNC:29857]"
"ENSG00000106692",487.522459759932,1.2466347032333,0.135242677470331,9.21776118715767,3.03367914759506e-20,9.43324638240195e-20,"2218","FKTN","protein_coding","HGNC Symbol",15,"fukutin [Source:HGNC Symbol;Acc:HGNC:3622]"
"ENSG00000177084",3360.09886532502,1.11029124381686,0.120457645843602,9.21727496865103,3.04746295355671e-20,9.47481672745467e-20,"5426","POLE","protein_coding","HGNC Symbol",23,"DNA polymerase epsilon, catalytic subunit [Source:HGNC Symbol;Acc:HGNC:9177]"
