"ensembl_gene_id","sample.shrubr5_3_jw","sample.shrubr5_2_jw","sample.shrubr5_1_jw","sample.jw23.3_3","sample.jw23.3_2","sample.jw23.3_1"
"ENSMUSG00000000001",13542.0051700682,14449.291231398,14456.6122779946,15854.2971290201,15018.9622718978,14657.4908365377
"ENSMUSG00000000028",2044.59898025988,1875.704142399,1857.48775145889,2098.43112805771,2120.67407291369,2267.97924065238
"ENSMUSG00000000031",179.156369544001,228.776111616233,103.030223931951,14.8561495791697,10.624619603776,25.3122683108525
"ENSMUSG00000000037",33.2455118741444,28.5970139520292,15.6998436467735,27.8552804609431,38.2486305735936,21.9372992027388
"ENSMUSG00000000056",1850.66682766071,1754.81676523815,1812.35070097442,1595.17906106334,1499.13382609279,1586.23548081342
"ENSMUSG00000000058",1083.24959523254,1215.37309296124,1190.24439647102,1970.29683793738,1672.31512563434,1533.07971736063
"ENSMUSG00000000078",15618.9261757613,16675.9587268446,16649.6841874033,26953.6978833573,27482.7035290874,28749.6743474663
"ENSMUSG00000000085",3088.13865853164,3360.14913936343,3137.02500867093,2986.0860654131,2904.77099967236,3031.5660013631
"ENSMUSG00000000088",8298.44915836283,7803.08521609232,7727.26679489634,8782.76992933536,8435.94796539815,7229.18382957948
"ENSMUSG00000000093",54.485700015959,70.1926706095261,52.0057320799373,133.705346212527,154.056984254752,118.967661061007
"ENSMUSG00000000126",84.960752567258,81.8914490444471,81.4429389176377,296.194482234695,247.553636767981,199.966919655735
"ENSMUSG00000000127",2010.42998194479,2000.49111237149,2006.63626610324,1039.00196119318,1196.33216738518,1139.89581626539
"ENSMUSG00000000131",10633.9463675215,9908.8653343781,10249.0541806593,9877.48245145043,10173.0732706155,9392.53902788034
"ENSMUSG00000000134",6273.24339336287,6106.76234302877,6202.41948070347,5458.70646099615,5412.1812261635,5251.45193222487
"ENSMUSG00000000142",60.9501051025982,50.6947065513244,54.9494527637073,116.063668587263,112.620967800026,133.31127977049
