"ensembl_gene_id","sample.shrubr5_3_jw","sample.shrubr5_2_jw","sample.shrubr5_1_jw","sample.jw23.3_3","sample.jw23.3_2","sample.jw23.3_1"
"ENSMUSG00000000001",13520.3571131745,14459.5755735368,14438.1654421744,15845.7277894479,15023.5543169953,14630.9433835293
"ENSMUSG00000000028",2041.33051340483,1877.03918249493,1855.11757157647,2097.29691385958,2121.32246864195,2263.87150673076
"ENSMUSG00000000031",178.869972719303,228.938943949485,102.898755951152,14.8481197441386,10.6278680793685,25.2664230661915
"ENSMUSG00000000037",33.1923660716232,28.6173679936857,15.6798104306517,27.8402245202599,38.2603250857266,21.897566657366
"ENSMUSG00000000056",1847.70837798702,1756.06576324889,1810.03811658835,1594.31685752688,1499.5921859989,1583.362512148
"ENSMUSG00000000058",1081.51792783372,1216.23813973164,1188.72562827378,1969.23188106638,1672.8264356926,1530.303023709
"ENSMUSG00000000078",15593.9579824823,16687.8279086815,16628.4389617061,26939.1292532875,27491.1063609025,28697.6033185803
"ENSMUSG00000000085",3083.20200398633,3362.54073925807,3133.02212167458,2984.47206857186,2905.65913289935,3026.07526922754
"ENSMUSG00000000088",8285.18337554461,7808.63909391341,7717.40669633636,8778.02279123794,8438.5272550186,7216.0904277043
"ENSMUSG00000000093",54.3985999507158,70.2426305299557,51.9393720515336,133.633077697247,154.104087150843,118.7521884111
"ENSMUSG00000000126",84.8249355163704,81.9497356182817,81.3390166090055,296.034387398763,247.629326249286,199.604742222913
"ENSMUSG00000000127",2007.21613716455,2001.91497010374,2004.07577066767,1038.44037460569,1196.69794573689,1137.83125208082
"ENSMUSG00000000131",10616.9470920761,9915.91800981208,10235.9762467598,9872.14361488416,10176.1836859953,9375.52738576146
"ENSMUSG00000000134",6263.21507568157,6111.10885610615,6194.50510825932,5455.75599848693,5413.83599963032,5241.94057213253
"ENSMUSG00000000142",60.8526711313092,50.7307887160791,54.8793365072808,116.000935501083,112.655401641306,133.069828148609
"ENSMUSG00000000148",1326.77263269627,1281.27761244456,1497.42189612723,1483.88396692985,1338.0485911925,1230.47480332353
"ENSMUSG00000000149",14254.2772074249,14108.362420887,14065.7699444465,9591.88535471354,8897.65115604732,7969.0298350768
"ENSMUSG00000000159",8.2980915179058,13.0078945425844,14.6998222787359,5.56804490405198,6.3767208476211,10.948783328683
"ENSMUSG00000000167",29.5043253969984,41.62526253627,32.339609013219,23.2001871002166,29.7580306222318,32.0041358838426
"ENSMUSG00000000168",5220.4215749314,5289.00992101481,5408.55461042291,4057.24872008587,3941.87627063778,3592.88536001243
"ENSMUSG00000000171",7504.24076269281,7384.58173182516,7560.60859202985,10980.1845507905,10001.8866494937,8479.41158101387
"ENSMUSG00000000184",21789.866315852,21773.914674832,23204.1594610606,17055.8495485952,17349.9946395691,16365.9044340745
"ENSMUSG00000000194",3507.32668156818,4114.39704381944,4025.79132806981,2503.76419185537,2817.44782784059,2733.82697576192
"ENSMUSG00000000223",36.880406746248,18.2110523596181,35.2795734689662,55.6804490405198,107.341467601622,74.9570550963682
"ENSMUSG00000000253",220.360430308832,262.759469760205,202.857547446556,200.449616545871,153.041300342907,149.07189609053
"ENSMUSG00000000266",988.394900799446,1065.34656303766,1021.14765429619,1183.20954211105,1013.89861477176,1132.77796746759
"ENSMUSG00000000275",10634.4652852806,10601.4340522063,11352.1827517918,7865.79143445743,7930.51516082478,7816.58908257745
"ENSMUSG00000000276",797.538795887613,816.8957772743,818.290106849634,1393.86724098101,1382.68563712584,1197.62845333748
"ENSMUSG00000000278",32658.5221839713,31296.994269458,32693.3847360606,35654.0475356128,34436.4181507698,34225.896685463
"ENSMUSG00000000282",8457.59927708332,7835.95567245284,8055.50260874729,8407.74780511849,9605.46717013326,10273.3276187135
"ENSMUSG00000000290",45.1784982641538,46.8284203533038,54.8793365072808,9.28007484008663,28.695243814295,31.1619217816362
"ENSMUSG00000000295",403.840453871416,398.041573003082,337.115924259011,359.138896311353,285.889651335013,301.512648589885
"ENSMUSG00000000296",92.20101686562,93.6568407066076,99.9587914954043,104.864845692979,103.090320369875,95.1701935493214
"ENSMUSG00000000301",196.388165923771,243.247627946328,162.678033218011,76.0966136887104,97.7763863301903,75.7992691985745
"ENSMUSG00000000317",1217.05342262618,1389.24313714801,1326.9039576939,845.414817931892,889.552558243144,810.209966322541
"ENSMUSG00000000325",323.625569198326,335.603679198677,298.896386334297,502.052048848687,528.205043544615,458.164471600273
