"ensembl_gene_id","baseMean","log2FoldChange","lfcSE","pvalue","padj","entrezgene_id","external_gene_name","gene_biotype","external_gene_source","transcript_count","description"
"ENSMUSG00000029722",1869.8485373176,-1.61241849233505,0.0759991485934049,5.51395789683475e-101,1.47970998702915e-98,"231801","Agfg2","protein_coding","MGI Symbol",6,"ArfGAP with FG repeats 2 [Source:MGI Symbol;Acc:MGI:2443267]"
"ENSMUSG00000030256",1406.585080981,-1.8500233194689,0.0881709474992613,9.78186473139989e-99,2.57898005585048e-96,"79362","Bhlhe41","protein_coding","MGI Symbol",3,"basic helix-loop-helix family, member e41 [Source:MGI Symbol;Acc:MGI:1930704]"
"ENSMUSG00000000753",29822.5036084848,1.30588367847975,0.0622761509862601,2.28146136431904e-98,5.91134506603216e-96,"20317","Serpinf1","protein_coding","MGI Symbol",8,"serine (or cysteine) peptidase inhibitor, clade F, member 1 [Source:MGI Symbol;Acc:MGI:108080]"
"ENSMUSG00000031700",13589.7693787564,1.26274914578951,0.0603966453950346,6.90087857731203e-98,1.75773564847195e-95,"108682","Gpt2","protein_coding","MGI Symbol",5,"glutamic pyruvate transaminase (alanine aminotransferase) 2 [Source:MGI Symbol;Acc:MGI:1915391]"
"ENSMUSG00000030921",1145.07115998491,2.43287234474893,0.116624736120565,7.29819201543608e-98,1.82795382679956e-95,"20128","Trim30a","protein_coding","MGI Symbol",3,"tripartite motif-containing 30A [Source:MGI Symbol;Acc:MGI:98178]"
"ENSMUSG00000021094",1399.64688184871,1.60489597022683,0.0769287320124458,1.14712828426176e-97,2.82607276325996e-95,"66375","Dhrs7","protein_coding","MGI Symbol",4,"dehydrogenase/reductase (SDR family) member 7 [Source:MGI Symbol;Acc:MGI:1913625]"
"ENSMUSG00000045868",346.398785614255,3.27779298067077,0.157332061809206,2.22014191257819e-97,5.38133752616532e-95,"74558","Gvin1","protein_coding","MGI Symbol",2,"GTPase, very large interferon inducible 1 [Source:MGI Symbol;Acc:MGI:1921808]"
"ENSMUSG00000029298",938.828038628962,2.00062870121297,0.0962273204825208,5.02985193975212e-97,1.19981928493008e-94,"236573","Gbp9","protein_coding","MGI Symbol",4,"guanylate-binding protein 9 [Source:MGI Symbol;Acc:MGI:3605620]"
"ENSMUSG00000027939",977.513718165332,-2.09255424711851,0.100898304884949,1.37816575543214e-96,3.23610546447408e-94,"77595","Nup210l","protein_coding","MGI Symbol",2,"nucleoporin 210-like [Source:MGI Symbol;Acc:MGI:1924845]"
"ENSMUSG00000022951",1833.44942501918,-1.52002945637057,0.0736389509458271,1.13475985188432e-95,2.62356477755655e-93,"54720","Rcan1","protein_coding","MGI Symbol",7,"regulator of calcineurin 1 [Source:MGI Symbol;Acc:MGI:1890564]"
"ENSMUSG00000006717",3168.96849274423,-1.33575845439769,0.0647880227787751,2.41462827946697e-95,5.49803542179236e-93,"66834","Acot13","protein_coding","MGI Symbol",2,"acyl-CoA thioesterase 13 [Source:MGI Symbol;Acc:MGI:1914084]"
"ENSMUSG00000024048",41469.0773460815,-1.08769628993171,0.0529365216387658,1.01646880739302e-94,2.2799243638063e-92,"67268","Myl12a","protein_coding","MGI Symbol",10,"myosin, light chain 12A, regulatory, non-sarcomeric [Source:MGI Symbol;Acc:MGI:1914518]"
"ENSMUSG00000020642",417.199146377214,3.38536843882512,0.165523053339944,4.10165213556233e-94,9.06465121959275e-92,"108089","Rnf144a","protein_coding","MGI Symbol",7,"ring finger protein 144A [Source:MGI Symbol;Acc:MGI:1344401]"
"ENSMUSG00000029661",103014.638064436,1.32114104588911,0.0643118664348432,5.95686026114168e-94,1.29738689861503e-91,"12843","Col1a2","protein_coding","MGI Symbol",8,"collagen, type I, alpha 2 [Source:MGI Symbol;Acc:MGI:88468]"
"ENSMUSG00000025007",17012.8682207242,1.2938200874636,0.0633464535335382,1.32057174954262e-93,2.83507889316093e-91,"56454","Aldh18a1","protein_coding","MGI Symbol",8,"aldehyde dehydrogenase 18 family, member A1 [Source:MGI Symbol;Acc:MGI:1888908]"
