"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment","log2err"
"R-MMU-211945","Phase I - Functionalization of compounds",38,-0.562414375989602,-1.79362641324904,0.00188779403577107,0.101731123038774,0.101731123038774,927,"tags=29%, list=7%, signal=27%","13121/19223/11864/11669/11622/13123/68021/56448/109754/11529/13110",0.45505986738723
"R-MMU-9730414","MITF-M-regulated melanocyte development",40,-0.553339396292579,-1.78379725435266,0.00173291652375952,0.101731123038774,0.101731123038774,3329,"tags=50%, list=27%, signal=37%","231872/56637/20466/216443/83671/104458/13722/105148/21415/17342/328572/15254/26417/171531/12387/17311/12977/21386/16842/21414",0.45505986738723
"R-MMU-1630316","Glycosaminoglycan metabolism",92,-0.448439432334182,-1.68326338400817,0.00229940469422861,0.117390660705356,0.117390660705356,2680,"tags=43%, list=22%, signal=34%","13039/20969/53374/110006/14735/50917/121021/20443/14733/56386/20442/268512/15442/212898/15531/235534/15586/269941/338362/60322/20441/73836/11881/15476/217119/27029/15366/233781/53418/23908/15529/77590/14042/50786/80982/12111/58250/83398/15117/54371",0.431707695803346
"R-MMU-2129379","Molecules associated with elastic fibres",23,-0.641345281808947,-1.85439326729328,0.00266185595451899,0.129100013794171,0.129100013794171,1626,"tags=48%, list=13%, signal=42%","14119/23876/21808/16998/16419/100952/16997/246707/320910/17150/241226",0.431707695803346
"R-MMU-112315","Transmission across Chemical Synapses",99,-0.413569280067051,-1.56113014407589,0.00327278415275699,0.151171458484489,0.151171458484489,1863,"tags=30%, list=15%, signal=26%","16518/11515/71770/67760/11514/12325/207565/14802/14811/65106/14645/20512/12361/12295/19088/18749/19084/108058/14708/18195/104111/12287/13385/104110/11669/14706/236915/14658/18750/14799",0.431707695803346
"R-MMU-422475","Axon guidance",206,-0.364795657693795,-1.51314370617608,0.00343986696491693,0.151666861634974,0.151666861634974,2251,"tags=30%, list=18%, signal=25%","58234/26396/18643/14733/13866/18645/58194/53857/223435/18186/13639/22187/13638/11853/71770/16402/67300/14182/14784/110351/12569/20416/20563/11465/14083/26417/235611/13448/22142/53972/12831/20418/18749/83433/13845/18708/18846/18844/218397/13641/20564/15529/17395/67784/14432/12825/330662/623279/22151/11733/20315/13429/12833/73710/20351/18750/13841/12834/14586/11876/19876/17967",0.431707695803346
"R-MMU-186797","Signaling by PDGF",43,-0.524631796438146,-1.74166962912973,0.00364516824706107,0.153731008680402,0.153731008680402,1668,"tags=35%, list=13%, signal=30%","21826/14784/21827/20851/20848/12831/20850/18708/218397/54635/12825/20750/12833/12834/18596",0.431707695803346
"R-MMU-399719","Trafficking of AMPA receptors",20,-0.635125635814191,-1.73675390887217,0.00514575837984867,0.172116745808731,0.172116745808731,1780,"tags=40%, list=14%, signal=34%","71770/12325/14802/108058/18195/13385/18750/14799",0.407017918923954
"R-MMU-399721","Glutamate binding, activation of AMPA receptors and synaptic plasticity",20,-0.635125635814191,-1.73675390887217,0.00514575837984867,0.172116745808731,0.172116745808731,1780,"tags=40%, list=14%, signal=34%","71770/12325/14802/108058/18195/13385/18750/14799",0.407017918923954
"R-MMU-5694530","Cargo concentration in the ER",25,-0.596143308335815,-1.7302592937226,0.00494597499231186,0.172116745808731,0.172116745808731,2655,"tags=40%, list=21%, signal=32%","66890/50907/14069/56494/69608/66397/214895/77371/13032/14799",0.407017918923954
