"database","pathway_key","pathway_id_mouse_KD","pathway_id_mouse_KO","pathway_id_mouse_het","pathway_name_mouse_KD","pathway_name_mouse_KO","pathway_name_mouse_het","NES_mouse_KD","NES_mouse_KO","NES_mouse_het","padj_mouse_KD","padj_mouse_KO","padj_mouse_het","signed_log10padj_mouse_KD","signed_log10padj_mouse_KO","signed_log10padj_mouse_het","significant_mouse_KD","significant_mouse_KO","significant_mouse_het","leading_edge_mouse_KD","leading_edge_mouse_KO","leading_edge_mouse_het","pathway_name","delta_NES_KO_minus_het","delta_NES_KD_minus_het","delta_NES_KO_minus_KD","abs_delta_NES_KO_minus_het","abs_delta_NES_KD_minus_het","abs_delta_NES_KO_minus_KD","direction_pattern"
"Reactome","R-MMU-2142753","R-MMU-2142753","R-MMU-2142753","R-MMU-2142753","Arachidonate metabolism","Arachidonate metabolism","Arachidonate metabolism",1.47768703623234,1.25871542199945,-1.12671645704687,0.256948197124299,0.868138424821002,0.805960454836859,0.590154425193112,0.0614110209723318,-0.0936862667153387,FALSE,FALSE,FALSE,"17250/330260/19224/19225/269823/11690/625249/18783/13078/19223/14775/13479","105349/19225/19224/64292/18783/13479","330260/105387/13110/19223/269823","Arachidonate metabolism",2.38543187904632,2.60440349327921,-0.21897161423289,2.38543187904632,2.60440349327921,0.21897161423289,"het opposite"
"Reactome","R-MMU-975576","R-MMU-975576","R-MMU-975576","R-MMU-975576","N-glycan antennae elongation in the medial/trans-Golgi","N-glycan antennae elongation in the medial/trans-Golgi","N-glycan antennae elongation in the medial/trans-Golgi",1.32867676105653,-1.4286571687671,0.938646753598813,0.435019986350785,0.649866007008864,0.91042855269198,0.361490789568438,-0.187176179380944,0.0407541304721579,FALSE,FALSE,FALSE,"53618/53418/17158/20443/217664","20443/103534/56386/140481/53418/20440/98388","269181/14595","N-glycan antennae elongation in the medial/trans-Golgi",-2.36730392236591,0.390030007457717,-2.75733392982363,2.36730392236591,0.390030007457717,2.75733392982363,"KO opposite"
"Reactome","R-MMU-975577","R-MMU-975577","R-MMU-975577","R-MMU-975577","N-Glycan antennae elongation","N-Glycan antennae elongation","N-Glycan antennae elongation",0.81554191582205,-1.1675956737422,1.18452024826025,0.970603199728645,0.936978031192353,0.789182504556105,0.0129582813061201,-0.0282705916562822,0.102822551218837,FALSE,FALSE,FALSE,"53418/20443","20443/103534/56386/53418/20440","269181/14595","N-Glycan antennae elongation",-2.35211592200245,-0.3689783324382,-1.98313758956425,2.35211592200245,0.3689783324382,1.98313758956425,"KO opposite"
"Reactome","R-MMU-9909649","R-MMU-9909649","R-MMU-9909649","R-MMU-9909649","Regulation of PD-L1(CD274) transcription","Regulation of PD-L1(CD274) transcription","Regulation of PD-L1(CD274) transcription",0.766493592270859,0.685785680396844,-1.66454549030518,1,1,0.129813793602864,0,0,-0.886679158326612,FALSE,FALSE,FALSE,"15270/68024/232440/665433/245688/319171/319166/319187/52615/69386/319159/319169/319151","232440/320332/19646/319190/15078","319178/319150/319158/68024/319157/319179/260423/97122/319181/319151/100041230/319155/319184/319148/319161/319156/319182/360198/319168/319152/319153/319160/326619/52615/319180/319166/319169/319187/319177/319173/319172/319185/319159/319176/97908/77605/15081","Regulation of PD-L1(CD274) transcription",2.35033117070202,2.43103908257604,-0.080707911874015,2.35033117070202,2.43103908257604,0.080707911874015,"het opposite"
"Reactome","R-MMU-110330","R-MMU-110330","R-MMU-110330","R-MMU-110330","Recognition and association of DNA glycosylase with site containing an affected purine","Recognition and association of DNA glycosylase with site containing an affected purine","Recognition and association of DNA glycosylase with site containing an affected purine",-0.86799655752,0.991283530551545,-1.33532595364279,0.948188534374294,1,0.559800995024876,-0.023105300533706,0,-0.251966333927325,FALSE,FALSE,FALSE,"21749/57321","497652/232440/320332/319190/234258","319178/319158/68024/319157/319179/97122/319181/100041230/319155/319184/319161/319156/319182/319168/319160/326619/319180/319166/319169/319187/319177/319173/319172/319185/319159/319176/77605","Recognition and association of DNA glycosylase with site containing an affected purine",2.32660948419433,0.46732939612279,1.85928008807154,2.32660948419433,0.46732939612279,1.85928008807154,"mixed or incomplete"
"Reactome","R-MMU-9769740","R-MMU-9769740","R-MMU-9769740","R-MMU-9769740","Coagulation pathway","Coagulation pathway","Coagulation pathway",0.99374191613994,-0.852980446561004,1.46536701667182,0.848096548560945,1,0.447117600701827,0.0715547042050218,0,0.349578233873348,FALSE,FALSE,FALSE,"20720/11603/15529/21824/14733/11820/19128/23888/21788/16416","20969/16416/16399/385643/14069/14735/14733/11820/15529/105722/20720","19128/20970/21824/15160/14062/23888/14066","Coagulation pathway",-2.31834746323282,-0.47162510053188,-1.84672236270094,2.31834746323282,0.47162510053188,1.84672236270094,"KO opposite"
"Reactome","R-MMU-111885","R-MMU-111885","R-MMU-111885","R-MMU-111885","Opioid Signalling","Opioid Signalling","Opioid Signalling",1.28483074670886,-1.13658753838899,1.17778914709225,0.416235287707062,0.936978031192353,0.675299359509886,0.380661103829309,-0.0282705916562822,0.170503662187791,FALSE,FALSE,FALSE,"18573/12568/18798/207565/238871/18578/14682/14701/18795/19088/19084/14693/14708/104111/18783/14672/14688/14696/14706","14709/238871/11515/19052/11514/18577/207565/19088/18749/19084/14708/104111/18574/104110/14706/18750","18578/18783/19053/19045/18573/110355/18798/14682/26413/19085/18797/18795/11513/14701/14688/14696/14675/51792/12313","Opioid Signalling",-2.31437668548124,0.10704159961661,-2.42141828509785,2.31437668548124,0.10704159961661,2.42141828509785,"KO opposite"
"Reactome","R-MMU-76002","R-MMU-76002","R-MMU-76002","R-MMU-76002","Platelet activation, signaling and aggregation","Platelet activation, signaling and aggregation","Platelet activation, signaling and aggregation",1.34781372010615,-1.25729176465064,1.04226567808637,0.162252990427051,0.630806391675957,0.828784941848602,0.789807290126986,-0.200103914811215,0.0815581482014833,FALSE,FALSE,FALSE,"19039/20692/12843/239273/21859/21857/67988/15234/72017/14673/11651/192176/19241/21346/11674/14268/22388/14682/80884/13601/14701/22631/14693/14708/11820/20416/20909/18754/268936/14726/109905/26417/19128/22339/68117/18706/20779/223601/18783/380921/68038/21767/14672/227333/227612/12540/18709/16818/14688/22325/14083/14696/11465/14360/14706/26968","18591/16416/16399/14672/385643/14069/12759/14268/60595/109711/56212/66082/14709/19156/11820/54216/231871/14673/14784/240334/80884/20416/11465/14083/26417/21808/15234/14708/68038/12988/18708/20692/71946/22631/14706/26968/21857/18750/235505/218454/12843/21859/13601","14726/19128/16439/19241/22340/18783/11747/54216/18706/227333/20779/27999/14062/67072/18590/12527/14360/14682/20655/26413/109905/239273/215449/11551/66866/11674/16784/14701/14205/223601/17096/14688/14696/12540/14675/110157/20416/320207/67059/57257/20662/12313/192176/68117/26416/104009/72017/18754/19156/14678/110524/227612/21346/14707","Platelet activation, signaling and aggregation",-2.29955744273701,0.30554804201978,-2.60510548475679,2.29955744273701,0.30554804201978,2.60510548475679,"KO opposite"
"Reactome","R-MMU-8936459","R-MMU-8936459","R-MMU-8936459","R-MMU-8936459","RUNX1 regulates genes involved in megakaryocyte differentiation and platelet function","RUNX1 regulates genes involved in megakaryocyte differentiation and platelet function","RUNX1 regulates genes involved in megakaryocyte differentiation and platelet function",0.592188171288574,0.899397077141349,-1.39974993228858,1,1,0.47456651557666,0,0,-0.323702907950337,FALSE,FALSE,FALSE,"23808/15270/68024","22761/232440/320332/20467/140858/319190/15078","319178/319150/319158/68024/319157/319179/260423/97122/319181/319151/100041230/319155/319184/319148/319161/319156/319182/360198/319168/208043/319152/319153/319160/326619/319180/319166/319169/319187/319177/319173/319172/319185/319159/319176/97908/328572/77605/15081","RUNX1 regulates genes involved in megakaryocyte differentiation and platelet function",2.29914700942993,1.99193810357715,0.307208905852775,2.29914700942993,1.99193810357715,0.307208905852775,"het opposite"
"Reactome","R-MMU-212300","R-MMU-212300","R-MMU-212300","R-MMU-212300","PRC2 methylates histones and DNA","PRC2 methylates histones and DNA","PRC2 methylates histones and DNA",0.487223257827059,0.58694302660082,-1.7052757294074,1,1,0.0947560884634252,0,0,-1.0233928752795,FALSE,FALSE,FALSE,"15270/68024/14055/232440/665433/245688/319171/319166/74016/319187/52615/69386/21652/319159/319169","232440/320332/19646/21652/319190/15078","319178/319150/319158/68024/319157/319179/260423/13436/97122/319181/319151/100041230/319155/319184/319148/319161/319156/319182/360198/319168/319152/319153/319160/326619/52615/319180/319166/319169/319187/74016/319177/319173/319172/319185/319159/319176/97908/13435/14055/13433/77605/15081","PRC2 methylates histones and DNA",2.29221875600822,2.19249898723446,0.099719768773761,2.29221875600822,2.19249898723446,0.099719768773761,"het opposite"
