"database","pathway_key","pathway_id_mouse_KD","pathway_id_mouse_KO","pathway_id_mouse_het","pathway_name_mouse_KD","pathway_name_mouse_KO","pathway_name_mouse_het","NES_mouse_KD","NES_mouse_KO","NES_mouse_het","padj_mouse_KD","padj_mouse_KO","padj_mouse_het","signed_log10padj_mouse_KD","signed_log10padj_mouse_KO","signed_log10padj_mouse_het","significant_mouse_KD","significant_mouse_KO","significant_mouse_het","pathway_name","delta_NES_KO_minus_het","delta_NES_KD_minus_het","delta_NES_KO_minus_KD","abs_delta_NES_KO_minus_het","abs_delta_NES_KD_minus_het","abs_delta_NES_KO_minus_KD","direction_pattern"
"GO_BP","GO:0071322","GO:0071322","GO:0071322","GO:0071322","cellular response to carbohydrate stimulus","cellular response to carbohydrate stimulus","cellular response to carbohydrate stimulus",1.52415973103848,-1.38380747470425,-1.09628149002341,0.061791075579251,0.240141457469492,0.673872717727352,1.2090742450821,-0.619532857868857,-0.171422126029708,FALSE,FALSE,FALSE,"cellular response to carbohydrate stimulus",-0.28752598468084,2.62044122106189,-2.90796720574273,0.28752598468084,2.62044122106189,2.90796720574273,"mixed or incomplete"
"GO_BP","GO:0046148","GO:0046148","GO:0046148","GO:0046148","pigment biosynthetic process","pigment biosynthetic process","pigment biosynthetic process",0.939995848341683,-1.07406210595688,-0.786571930212089,0.785229433838128,0.675008938148016,0.921767270439121,0.105003429507721,-0.170690476409477,-0.035378716606419,FALSE,FALSE,FALSE,"pigment biosynthetic process",-0.287490175744791,1.72656777855377,-2.01405795429856,0.287490175744791,1.72656777855377,2.01405795429856,"mixed or incomplete"
"GO_BP","GO:0048143","GO:0048143","GO:0048143","GO:0048143","astrocyte activation","astrocyte activation","astrocyte activation",0.912716985868152,-1.0246329948932,-1.31189607431139,0.810639666836796,0.721198002436706,0.580896399706099,0.0911721488464308,-0.141945484850242,-0.235901315196382,FALSE,FALSE,FALSE,"astrocyte activation",0.28726307941819,2.22461306017954,-1.93734998076135,0.28726307941819,2.22461306017954,1.93734998076135,"mixed or incomplete"
"GO_BP","GO:0001738","GO:0001738","GO:0001738","GO:0001738","morphogenesis of a polarized epithelium","morphogenesis of a polarized epithelium","morphogenesis of a polarized epithelium",0.886316627206849,-1.10699905412929,-1.39362776428543,0.826141593979122,0.632085779591737,0.49023680930619,0.0829455117428626,-0.199223980142589,-0.309594082968905,FALSE,FALSE,FALSE,"morphogenesis of a polarized epithelium",0.28662871015614,2.27994439149228,-1.99331568133614,0.28662871015614,2.27994439149228,1.99331568133614,"mixed or incomplete"
"GO_BP","GO:0071825","GO:0071825","GO:0071825","GO:0071825","protein-lipid complex organization","protein-lipid complex organization","protein-lipid complex organization",-1.36452474534391,-1.13411264953393,-1.4205039980656,0.373817158562921,0.611210721724169,0.494664634146341,-0.427340767970115,-0.21380903606718,-0.305689138239273,FALSE,FALSE,FALSE,"protein-lipid complex organization",0.28639134853167,0.05597925272169,0.23041209580998,0.28639134853167,0.05597925272169,0.23041209580998,"all negative"
"GO_BP","GO:0170039","GO:0170039","GO:0170039","GO:0170039","proteinogenic amino acid metabolic process","proteinogenic amino acid metabolic process","proteinogenic amino acid metabolic process",1.84766297487511,-1.43116297445809,-1.14488739774149,0.006630064403503,0.23566670307594,0.624576815868073,2.17848225289988,-0.627701773826531,-0.204414140706902,TRUE,FALSE,FALSE,"proteinogenic amino acid metabolic process",-0.2862755767166,2.9925503726166,-3.2788259493332,0.2862755767166,2.9925503726166,3.2788259493332,"mixed or incomplete"
"GO_BP","GO:0070979","GO:0070979","GO:0070979","GO:0070979","protein K11-linked ubiquitination","protein K11-linked ubiquitination","protein K11-linked ubiquitination",0.765567402268529,0.670085194944539,0.956285940730787,0.924497626004704,0.991383054154844,0.79236784997748,0.0340941997177675,0.00375850882197183,0.101073154108545,FALSE,FALSE,FALSE,"protein K11-linked ubiquitination",-0.286200745786248,-0.190718538462258,-0.09548220732399,0.286200745786248,0.190718538462258,0.09548220732399,"all positive"
"GO_BP","GO:0045980","GO:0045980","GO:0045980","GO:0045980","negative regulation of nucleotide metabolic process","negative regulation of nucleotide metabolic process","negative regulation of nucleotide metabolic process",0.801922666723285,-0.99373308378928,-1.27991642633733,0.893282161473377,0.741298502052618,0.591142694836852,0.0490113386307308,-0.130006877459453,-0.228307672925789,FALSE,FALSE,FALSE,"negative regulation of nucleotide metabolic process",0.28618334254805,2.08183909306061,-1.79565575051256,0.28618334254805,2.08183909306061,1.79565575051256,"mixed or incomplete"
"GO_BP","GO:1900543","GO:1900543","GO:1900543","GO:1900543","negative regulation of purine nucleotide metabolic process","negative regulation of purine nucleotide metabolic process","negative regulation of purine nucleotide metabolic process",0.801922666723285,-0.99373308378928,-1.27991642633733,0.893282161473377,0.741298502052618,0.591142694836852,0.0490113386307308,-0.130006877459453,-0.228307672925789,FALSE,FALSE,FALSE,"negative regulation of purine nucleotide metabolic process",0.28618334254805,2.08183909306061,-1.79565575051256,0.28618334254805,2.08183909306061,1.79565575051256,"mixed or incomplete"
"GO_BP","GO:0006275","GO:0006275","GO:0006275","GO:0006275","regulation of DNA replication","regulation of DNA replication","regulation of DNA replication",-1.2832826734249,-0.772130104964843,-1.05818646766212,0.373667337030076,0.977496181014774,0.700704625525628,-0.427514862994801,-0.00988493067629001,-0.154465015610998,FALSE,FALSE,FALSE,"regulation of DNA replication",0.286056362697277,-0.22509620576278,0.511152568460057,0.286056362697277,0.22509620576278,0.511152568460057,"all negative"
