"class","external_gene_name","ensembl_gene_id","entrezgene_id","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Cell cycle","Cdk1","ENSMUSG00000019942","12534",6605.13430557335,-0.495542624545385,0.0569969367290024,-8.69419749523544,3.49289674952958e-18,3.3500156508411e-17
"Cell cycle","Ccnb1","ENSMUSG00000041431","268697",5241.4585296674,-0.560858549207069,0.0705356524960167,-7.95141930867857,1.84386703972292e-15,1.42402249434716e-14
"Cell cycle","Mki67","ENSMUSG00000031004","17345",17350.3521300565,-0.577476605806805,0.0737850758502409,-7.82646895937181,5.01763123353145e-15,3.72898981284363e-14
"Cell cycle","Pcna","ENSMUSG00000027342","18538",14330.7874385588,-0.161179051400337,0.0561819960885873,-2.8688737072672,0.00411936244614534,0.00822395034579148
"Cell cycle","Top2a","ENSMUSG00000020914","21973",20491.1602916808,-0.153123404825517,0.0569629013542642,-2.68812509870609,0.00718544716172713,0.0137619581233079
"Chromatin/PRC2","Ezh2","ENSMUSG00000029687","14056",3488.50446663919,-0.408977591072321,0.0651819779952554,-6.2743967527664,3.50992448169203e-10,1.71323985174893e-09
"Chromatin/PRC2","Eed","ENSMUSG00000030619","13626",2490.12013526782,-0.119925589886873,0.0721897587609962,-1.66125489190121,0.0966622653208231,0.14316913230577
"Chromatin/PRC2","Suz12","ENSMUSG00000017548","52615",6584.16343258587,0.0652978305974359,0.055318850151493,1.18039023621451,0.237845043461827,0.31265399791724
"Interferon/viral mimicry","Irf7","ENSMUSG00000025498","54123",1117.20642349579,2.87278778637876,0.0967579914726626,29.690444609843,1.02012438374036e-193,1.27762078026949e-190
"Interferon/viral mimicry","Ifit3","ENSMUSG00000074896","15959",1150.51299410401,2.52296608293775,0.105701014838669,23.8688917678657,6.44696605122222e-126,3.12553073496189e-123
"Interferon/viral mimicry","Oas1a","ENSMUSG00000052776","246730",508.975058610772,3.30180954304944,0.143720151894521,22.9738801380665,8.50655068610143e-117,3.55124861837273e-114
"Interferon/viral mimicry","Isg15","ENSMUSG00000035692","100038882",2279.28883212589,2.31935507675526,0.105478982270431,21.9887889210839,3.68696683471502e-107,1.13084539916188e-104
"Interferon/viral mimicry","Ifit1","ENSMUSG00000034459","15957",2052.58671175183,1.44574007752484,0.0757320912938585,19.0901908665776,3.04654294048469e-81,4.92327890887574e-79
"Interferon/viral mimicry","Ddx58","ENSMUSG00000040296","230073",4580.23618574454,1.13117885467873,0.0592772953124892,19.0828351515627,3.50708685389975e-81,5.60723492843185e-79
"Interferon/viral mimicry","Oas2","ENSMUSG00000032690","246728",166.102732422444,4.52642501276518,0.275986588753928,16.400887569218,1.88464327002603e-60,1.49864040768366e-58
"Interferon/viral mimicry","Ifih1","ENSMUSG00000026896","71586",1790.751411668,1.24619637286654,0.0764332516657963,16.3043746760313,9.18743651253635e-60,6.97363552257115e-58
"Interferon/viral mimicry","Stat1","ENSMUSG00000026104","20846",631.674683262369,1.31716296119937,0.105946970077248,12.4322853238653,1.74571204074869e-35,4.64359402839151e-34
"Interferon/viral mimicry","Stat2","ENSMUSG00000040033","20847",4421.06932869136,0.804092659312056,0.0725107206190833,11.089293451325,1.41400157333134e-28,2.63007792643524e-27
"Interferon/viral mimicry","Mx1","ENSMUSG00000000386","NA",30.7982290517777,3.46606091296022,0.525691667347464,6.59333432171234,4.30056634029334e-11,2.2758173073334e-10
"Interferon/viral mimicry","Tbk1","ENSMUSG00000020115","56480",3619.42131178749,-0.408799810615242,0.0703099821504135,-5.8142499558697,6.09063497519566e-09,2.63337609442508e-08
"Interferon/viral mimicry","Cxcl10","ENSMUSG00000034855","15945",1093.18923601928,-0.262013480941403,0.108643563594681,-2.41167973759496,0.0158792229378041,0.028413958987053
"Interferon/viral mimicry","Ifit2","ENSMUSG00000045932","15958",2627.54351473313,0.0737564097722411,0.0711829877555758,1.03615220571384,0.300131140037809,0.380615214212154
"MAPK/MPNST","Erbb2","ENSMUSG00000062312","13866",2587.27185794427,0.550381096927109,0.0671747959620023,8.19326786252444,2.54227527277183e-16,2.11093121958496e-15
"MAPK/MPNST","Pdgfra","ENSMUSG00000029231","18595",5755.22195124401,1.31862043302857,0.200768472469045,6.56786604396702,5.10414251811086e-11,2.68592989862353e-10
"MAPK/MPNST","Nf1","ENSMUSG00000020716","18015",9730.46422327487,-0.29843001332899,0.0618238542395691,-4.82710139960808,1.38534594729069e-06,4.60423800128965e-06
"NF-kB/inflammation","Nfkbia","ENSMUSG00000021025","18035",3013.58129707445,-0.861441260273178,0.0928506008850935,-9.27771335954247,1.73154608452109e-20,1.97896624367053e-19
"NF-kB/inflammation","Il6","ENSMUSG00000025746","16193",37.806853471761,1.3219798585779,0.385864655133316,3.42601956668241,0.000612496257440047,0.00140989527539692
"NF-kB/inflammation","Nfkb1","ENSMUSG00000028163","18033",14618.5333280642,0.0952796991992165,0.0527229425844772,1.80717718944748,0.070734656345041,0.108532021460911
"UBR5","Ubr5","ENSMUSG00000037487","70790",53685.9164739343,-0.770497064814519,0.058482107280034,-13.174919657479,1.22357623957889e-39,4.03270335627876e-38
