"script","status","started","finished","message"
"01_import_deseq2.R","success",2026-07-08 15:11:35.344264,2026-07-08 15:13:03.110427,""
"02_cell_state_qc.R","success",2026-07-08 15:13:03.117092,2026-07-08 15:13:33.637258,""
