"class","external_gene_name","ensembl_gene_id","entrezgene_id","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Cell cycle","MKI67","ENSG00000148773","4288",9362.04724350383,5.4908137659456,0.108983862551897,50.3818972586966,0,0
"Cell cycle","TOP2A","ENSG00000131747","7153",10355.0588107558,0.48950302080499,0.0689277614848679,7.10168167745377,1.2324785186513e-12,2.73898772866371e-12
"Cell cycle","PCNA","ENSG00000132646","5111",4377.09097760506,0.424422564731468,0.0658396497707768,6.44630653730861,1.14608747031466e-10,2.27198088139194e-10
"Cell cycle","CCNB1","ENSG00000134057","891",1604.66513275036,0.520818082580023,0.105855016043906,4.92010772889593,8.6496590747692e-07,1.34195750022861e-06
"Cell cycle","CDK1","ENSG00000170312","983",1592.15876751712,0.228990168569314,0.111363218213172,2.05624596921202,0.03975881337874,0.0457088260725381
"Chromatin/PRC2","SUZ12","ENSG00000178691","23512",1078.08665428306,-2.82939624212402,0.118641110125448,-23.8483628409436,1.0530324057904e-125,2.3718152974208e-124
"Chromatin/PRC2","EED","ENSG00000074266","8726",783.064215306816,-0.864419663303169,0.134391729241482,-6.43208974378129,1.25861387203845e-10,2.48792472074487e-10
"Chromatin/PRC2","EZH2","ENSG00000106462","2146",1786.59068784533,-0.23733236206046,0.105658651896166,-2.24621796512882,0.0246900500716308,0.0288305155471126
"Interferon/viral mimicry","STAT2","ENSG00000170581","6773",1523.38496865481,2.40925400452387,0.143979551818587,16.7333067376089,7.49586193056286e-63,6.42876419947897e-62
"Interferon/viral mimicry","ISG15","ENSG00000187608","9636",118.939579581131,4.67922446602388,0.386428976920735,12.1088860967683,9.47724274347065e-34,4.47212287227533e-33
"Interferon/viral mimicry","STAT1","ENSG00000115415","6772",1779.07847074821,0.958708327192241,0.0995106007095361,9.63423314055393,5.7318366084847e-22,1.90524547083659e-21
"Interferon/viral mimicry","TBK1","ENSG00000183735","29110",827.803209016377,-1.09646622390896,0.117357065862112,-9.34299282155917,9.36488069734146e-21,2.96979325529827e-20
"Interferon/viral mimicry","DDX58","ENSG00000107201","23586",423.672242856454,-1.43012173669322,0.19504291166155,-7.33234406987758,2.26161544332344e-13,5.21800536519488e-13
"Interferon/viral mimicry","CXCL10","ENSG00000169245","3627",30.5489918197467,-7.03155543909832,1.0959335091715,-6.41604201372946,1.39862863059418e-10,2.75705845797863e-10
"Interferon/viral mimicry","IFIT3","ENSG00000119917","3437",182.404809081431,1.54537822646646,0.249919471891932,6.18350468960136,6.26938703740532e-10,1.18896064558084e-09
"Interferon/viral mimicry","IFIT2","ENSG00000119922","3433",159.733587630676,-0.931573234679636,0.180106862003631,-5.17233615819066,2.31185187287094e-07,3.71023715301099e-07
"Interferon/viral mimicry","IRF7","ENSG00000185507","3665",153.68252021574,1.0317450858136,0.226167375647317,4.56186522419791,5.0701189781479e-06,7.5270701600312e-06
"Interferon/viral mimicry","MX1","ENSG00000157601","4599",79.9618969770083,0.922720872415869,0.395538479600892,2.33282201354194,0.0196574888007444,0.0231183000370855
"Interferon/viral mimicry","IFIH1","ENSG00000115267","64135",151.453373223437,-0.303355943824099,0.304227892381642,-0.997133896728807,0.318699521710467,0.33965368065074
"Interferon/viral mimicry","IFIT1","ENSG00000185745","3434",54.5029927272549,-0.291535453652905,0.394668024333524,-0.738685263761159,0.460098136066376,0.481739390712876
"Interferon/viral mimicry","OAS2","ENSG00000111335","4939",17.6340867131288,0.0451333830076523,0.537475446321931,0.0839729206543489,0.933077961893783,0.938874243179669
"MAPK/MPNST","PDGFRA","ENSG00000134853","5156",4179.69013498868,-2.91445465086675,0.0900298619244464,-32.3720884223124,6.78339060123936e-230,4.51678886127422e-228
"MAPK/MPNST","NF1","ENSG00000196712","4763",2148.32671388559,-2.15917501204869,0.100288910854373,-21.5295489167689,8.2331007270787e-103,1.34311276789822e-101
"MAPK/MPNST","SOX10","ENSG00000100146","6663",57.3010491073206,-5.95852968877313,0.59312911916415,-10.0459233854005,9.57467016595584e-24,3.37984377001956e-23
"MAPK/MPNST","ERBB2","ENSG00000141736","2064",2700.41816907198,-0.0944422762972308,0.0821352239006049,-1.14983890969262,0.250210226093724,0.269541594913191
"NF-kB/inflammation","NFKB1","ENSG00000109320","4790",2381.07054356,-2.09140254870732,0.11882929816837,-17.6000580744321,2.46071784665592e-69,2.39967271134819e-68
"NF-kB/inflammation","NFKBIA","ENSG00000100906","4792",1817.93959839737,-2.03933398882544,0.235013680675814,-8.67751180680656,4.04521234369971e-18,1.15298396003691e-17
"NF-kB/inflammation","IL6","ENSG00000136244","3569",24.4004871302774,5.08296490277109,0.940839275878128,5.402585790253,6.56870235001422e-08,1.09274231897425e-07
"UBR5","UBR5","ENSG00000104517","51366",13454.6136972239,-3.72628420497695,0.175843037191842,-21.1909681752803,1.15693823707529e-99,1.81603521625859e-98
