"ensembl_gene_id","entrezgene_id","external_gene_name","gene_biotype","baseMean","dispersion_gene_estimate","dispersion_fit","dispersion_final","description"
"ENSMUSG00000044499","319415","Hs3st5","protein_coding",23.1912991919652,1e-08,0.143045361607044,0.115107642906709,"heparan sulfate (glucosamine) 3-O-sulfotransferase 5 [Source:MGI Symbol;Acc:MGI:2441996]"
"ENSMUSG00000044501","224598","Zfp758","protein_coding",214.422602321836,0.0249259427741658,0.0176809386114958,0.0193467073034886,"zinc finger protein 758 [Source:MGI Symbol;Acc:MGI:2385044]"
"ENSMUSG00000044502","69556","Bod1","protein_coding",3653.42757799586,0.00372066110716937,0.00336984897707935,0.00351667428828042,"biorientation of chromosomes in cell division 1 [Source:MGI Symbol;Acc:MGI:1916806]"
"ENSMUSG00000044528","229801","Tram1l1","protein_coding",426.203250574934,0.021624137275603,0.0101263657175998,0.0129111447317229,"translocation associated membrane protein 1-like 1 [Source:MGI Symbol;Acc:MGI:2443503]"
"ENSMUSG00000044533","16898","Rps2","protein_coding",151904.171114662,0.00216361535733414,0.00249901043691894,0.00240004649890749,"ribosomal protein S2 [Source:MGI Symbol;Acc:MGI:105110]"
"ENSMUSG00000044548","59036","Dact1","protein_coding",973.799902293397,0.00138601273225959,0.00582520904272964,0.00465153920315336,"dishevelled-binding antagonist of beta-catenin 1 [Source:MGI Symbol;Acc:MGI:1891740]"
"ENSMUSG00000044551","268759","9930012K11Rik","protein_coding",154.836992080636,0.032743097915596,0.0235316283203216,0.0256579829293224,"RIKEN cDNA 9930012K11 gene [Source:MGI Symbol;Acc:MGI:2145726]"
"ENSMUSG00000044562","69903","Rasip1","protein_coding",138.733678113508,0.00325075690443609,0.0259754504710968,0.0212167452048007,"Ras interacting protein 1 [Source:MGI Symbol;Acc:MGI:1917153]"
"ENSMUSG00000044566","71213","Cage1","protein_coding",48.0064121103239,0.0958822846513057,0.0703841072517964,0.0760789264821409,"cancer antigen 1 [Source:MGI Symbol;Acc:MGI:1918463]"
"ENSMUSG00000044573","11431","Acp1","protein_coding",4260.78568965821,0.00471250609189544,0.00324265527563934,0.00366793098338261,"acid phosphatase 1, soluble [Source:MGI Symbol;Acc:MGI:87881]"
"ENSMUSG00000044576","242915","Garem2","protein_coding",700.845624198476,0.00146958591364302,0.00712900243493699,0.00564801892963817,"GRB2 associated regulator of MAPK1 subtype 2 [Source:MGI Symbol;Acc:MGI:2685290]"
"ENSMUSG00000044595","213236","Dnd1","protein_coding",504.503752678952,0.0138939807906792,0.00893924645739379,0.00994050511558086,"DND microRNA-mediated repression inhibitor 1 [Source:MGI Symbol;Acc:MGI:2447763]"
"ENSMUSG00000044600","66818","Smim7","protein_coding",3539.59665765089,0.00798425424565398,0.00339854468419444,0.00468769685998922,"small integral membrane protein 7 [Source:MGI Symbol;Acc:MGI:1914068]"
"ENSMUSG00000044609","NA","Gm9294","processed_pseudogene",815.117764342596,0.00802479982630712,0.00647691084395546,0.0069784976538325,"predicted pseudogene 9294 [Source:MGI Symbol;Acc:MGI:3648888]"
"ENSMUSG00000044617","320080","Zbtb39","protein_coding",1971.40454184543,0.000773742914529399,0.00413116793900182,0.00311961775580217,"zinc finger and BTB domain containing 39 [Source:MGI Symbol;Acc:MGI:2443316]"
"ENSMUSG00000044627","72931","Swi5","protein_coding",9182.76609176597,0.00768844772594759,0.00283255729511028,0.0041876912019007,"SWI5 recombination repair homolog (yeast) [Source:MGI Symbol;Acc:MGI:1920181]"
"ENSMUSG00000044629","380686","Cnrip1","protein_coding",187.979803703556,0.0122351409942179,0.0198195733955623,0.0180510350631646,"cannabinoid receptor interacting protein 1 [Source:MGI Symbol;Acc:MGI:1917505]"
"ENSMUSG00000044636","207785","Csrnp2","protein_coding",737.128701011987,0.00423480968375213,0.00690004782957767,0.00620100309186168,"cysteine-serine-rich nuclear protein 2 [Source:MGI Symbol;Acc:MGI:2386852]"
"ENSMUSG00000044641","58220","Pard6b","protein_coding",362.27151263165,0.0129844283074585,0.0114761878082857,0.0118598047270217,"par-6 family cell polarity regulator beta [Source:MGI Symbol;Acc:MGI:2135605]"
"ENSMUSG00000044645","NA","Gm7334","processed_pseudogene",223.736696532754,0.00441660984849458,0.0170480259186222,0.0139847338106362,"predicted gene 7334 [Source:MGI Symbol;Acc:MGI:3647393]"
"ENSMUSG00000044674","14362","Fzd1","protein_coding",3078.79782089666,0.00402318404993096,0.00353638853279778,0.00376130231711795,"frizzled class receptor 1 [Source:MGI Symbol;Acc:MGI:1196625]"
"ENSMUSG00000044700","230917","Tmem201","protein_coding",2580.08091920224,0.0010206750864783,0.00374105681865591,0.00290921521574286,"transmembrane protein 201 [Source:MGI Symbol;Acc:MGI:1196277]"
"ENSMUSG00000044702","233826","Palb2","protein_coding",357.833832159459,0.00452971772089388,0.0115877845224089,0.00974952811493254,"partner and localizer of BRCA2 [Source:MGI Symbol;Acc:MGI:3040695]"
"ENSMUSG00000044709","69731","Gemin7","protein_coding",1379.0779578081,0.00605230472294742,0.00484141201092738,0.00525765637048615,"gem nuclear organelle associated protein 7 [Source:MGI Symbol;Acc:MGI:1916981]"
"ENSMUSG00000044712","625098","Slc38a6","protein_coding",159.128913345507,0.00600717213066287,0.0229637714479974,0.0188643087099241,"solute carrier family 38, member 6 [Source:MGI Symbol;Acc:MGI:3648156]"
"ENSMUSG00000044715","66787","Gskip","protein_coding",864.824298482469,0.00385449229073166,0.00624704406833619,0.00561949906514539,"GSK3B interacting protein [Source:MGI Symbol;Acc:MGI:1914037]"
"ENSMUSG00000044730","194268","9930104L06Rik","protein_coding",1744.75173909998,0.00131316882660181,0.00434598197954997,0.00348385400172144,"RIKEN cDNA 9930104L06 gene [Source:MGI Symbol;Acc:MGI:3041172]"
"ENSMUSG00000044749","76184","Abca6","protein_coding",17.714413531823,1e-08,0.186505667589906,0.138181316560405,"ATP-binding cassette, sub-family A (ABC1), member 6 [Source:MGI Symbol;Acc:MGI:1923434]"
"ENSMUSG00000044751","NA","Gm12231","processed_pseudogene",687.018301542692,0.0030818063953585,0.00722262022552429,0.0061278213513616,"predicted gene 12231 [Source:MGI Symbol;Acc:MGI:3651344]"
"ENSMUSG00000044757","NA","Gm6430","processed_pseudogene",295.360893950301,0.0207532043403149,0.013514725896146,0.0151269553086827,"predicted gene 6430 [Source:MGI Symbol;Acc:MGI:3648857]"
"ENSMUSG00000044763","52575","Trmt10c","protein_coding",2592.72177663599,0.0012282903212672,0.00373489656984165,0.00296527748514675,"tRNA methyltransferase 10C [Source:MGI Symbol;Acc:MGI:1196261]"
"ENSMUSG00000044768","52392","D1Ertd622e","protein_coding",2007.87279894577,0.00277706152369892,0.00410113388054469,0.00376186786862208,"DNA segment, Chr 1, ERATO Doi 622, expressed [Source:MGI Symbol;Acc:MGI:1277184]"
"ENSMUSG00000044770","268297","Scml4","protein_coding",61.1389117648064,0.243328663614103,0.0557979326592292,0.0672641854234789,"Scm polycomb group protein like 4 [Source:MGI Symbol;Acc:MGI:2446140]"
"ENSMUSG00000044783","212427","Hjurp","protein_coding",16017.9132715333,0.0018929103219238,0.0026810688968324,0.00243642969986543,"Holliday junction recognition protein [Source:MGI Symbol;Acc:MGI:2685821]"
"ENSMUSG00000044786","22695","Zfp36","protein_coding",2022.32664344684,0.000259079688328463,0.00408952990403024,0.00295228813620923,"zinc finger protein 36 [Source:MGI Symbol;Acc:MGI:99180]"
"ENSMUSG00000044791","235626","Setd2","protein_coding",11663.865019054,0.0018644305305151,0.002757041284838,0.00248229679648076,"SET domain containing 2 [Source:MGI Symbol;Acc:MGI:1918177]"
"ENSMUSG00000044792","69046","Isca1","protein_coding",2588.8409540632,0.00730663564142619,0.00373678140539362,0.00497516591902807,"iron-sulfur cluster assembly 1 [Source:MGI Symbol;Acc:MGI:1916296]"
"ENSMUSG00000044795","327951","Cyb5d1","protein_coding",563.26091147672,0.00967753563108893,0.0082651877308516,0.00877817554964338,"cytochrome b5 domain containing 1 [Source:MGI Symbol;Acc:MGI:2685586]"
"ENSMUSG00000044807","30944","Zfp354c","protein_coding",569.198622073823,0.00290911297019903,0.00820481281540497,0.00686733725513899,"zinc finger protein 354C [Source:MGI Symbol;Acc:MGI:1353621]"
"ENSMUSG00000044813","230126","Shb","protein_coding",2966.73979191323,0.00268425867482942,0.00357638239214913,0.00337796809358487,"src homology 2 domain-containing transforming protein B [Source:MGI Symbol;Acc:MGI:98294]"
"ENSMUSG00000044824","258837","Olfr545","protein_coding",8.58558292863255,0.152792876067879,0.382178055462305,0.365978108973905,"olfactory receptor 545 [Source:MGI Symbol;Acc:MGI:3030379]"
"ENSMUSG00000044847","72290","Lsm11","protein_coding",816.055030470393,0.00313095073731781,0.00647231744591593,0.00553634922899029,"U7 snRNP-specific Sm-like protein LSM11 [Source:MGI Symbol;Acc:MGI:1919540]"
"ENSMUSG00000044854","73363","1700056E22Rik","protein_coding",20.4072709860611,0.0602892156360031,0.162222092929695,0.137147406862818,"RIKEN cDNA 1700056E22 gene [Source:MGI Symbol;Acc:MGI:1920613]"
"ENSMUSG00000044857","224640","Lemd2","protein_coding",4089.54868469075,0.00298223815794604,0.00327469166128156,0.00323401761194266,"LEM domain containing 2 [Source:MGI Symbol;Acc:MGI:2385045]"
"ENSMUSG00000044860","382097","Gm1123","protein_coding",76.8835860393422,0.0155079796793838,0.044878670141514,0.0400513914849279,"predicted gene 1123 [Source:MGI Symbol;Acc:MGI:2685969]"
"ENSMUSG00000044864","99696","Ankrd50","protein_coding",8647.36395210293,0.000392273833799486,0.00285453760471554,0.00201768291423074,"ankyrin repeat domain 50 [Source:MGI Symbol;Acc:MGI:2139777]"
"ENSMUSG00000044876","72667","Zfp444","protein_coding",1255.39585565854,0.00722313549723478,0.00507430065550204,0.00567914645964973,"zinc finger protein 444 [Source:MGI Symbol;Acc:MGI:1923365]"
"ENSMUSG00000044881","68185","Coa4","protein_coding",140.487381593751,0.0167835545794342,0.0256821262621792,0.0235510469468909,"cytochrome c oxidase assembly factor 4 [Source:MGI Symbol;Acc:MGI:1915435]"
"ENSMUSG00000044894","22272","Uqcrq","protein_coding",15085.832518621,0.00922781453466833,0.00269364335507981,0.00500864758329803,"ubiquinol-cytochrome c reductase, complex III subunit VII [Source:MGI Symbol;Acc:MGI:107807]"
"ENSMUSG00000044906","269033","4930503L19Rik","protein_coding",1915.07223316426,0.00100805248173301,0.00417980951089364,0.00322301655165303,"RIKEN cDNA 4930503L19 gene [Source:MGI Symbol;Acc:MGI:1922045]"
