"sample","sample.shrubr5_3_jw","sample.shrubr5_2_jw","sample.shrubr5_1_jw","sample.jw23.3_3","sample.jw23.3_2","sample.jw23.3_1"
"sample.shrubr5_3_jw",0,18.9098384274028,16.750363940612,55.272129483575,58.1455240360312,58.9439995820109
"sample.shrubr5_2_jw",18.9098384274028,0,19.8421966486024,59.5373615176527,63.1629496963393,63.9429252138791
"sample.shrubr5_1_jw",16.750363940612,19.8421966486024,0,55.7876803877043,58.1327780804366,59.5232357411822
"sample.jw23.3_3",55.272129483575,59.5373615176527,55.7876803877043,0,19.4311966865644,22.26789524785
"sample.jw23.3_2",58.1455240360312,63.1629496963393,58.1327780804366,19.4311966865644,0,18.5742833255724
"sample.jw23.3_1",58.9439995820109,63.9429252138791,59.5232357411822,22.26789524785,18.5742833255724,0
