"comparison","database","pathway_key","pathway_name","filter_mode_used","fdr_cutoff_used","direction_class","delta_NES","abs_delta_NES","NES_x","NES_y","padj_x","padj_y","leading_edge_x","leading_edge_y","pathway_id_mouse_KD","pathway_id_mouse_KO","pathway_id_mouse_het","pathway_name_mouse_KD","pathway_name_mouse_KO","pathway_name_mouse_het","NES_mouse_KO","padj_mouse_KO","signed_log10padj_mouse_KD","signed_log10padj_mouse_KO","signed_log10padj_mouse_het","significant_mouse_KD","significant_mouse_KO","significant_mouse_het","leading_edge_mouse_KO","delta_NES_KO_minus_het","delta_NES_KD_minus_het","delta_NES_KO_minus_KD","abs_delta_NES_KO_minus_het","abs_delta_NES_KD_minus_het","abs_delta_NES_KO_minus_KD","direction_pattern"
"mouse KD vs control vs mouse het vs WT","GO_BP","GO:0006760","folic acid-containing compound metabolic process","either",0.05,"opposite direction",3.44493254360877,3.44493254360877,-1.5814075332835,1.86352501032527,0.448414315506866,0.0381664965085761,"100039707/108037/107885/216188/270685/52466/22171/20425/107747/14528/192166","270685/17768/192166/108037/107747/216188/108147/108156/22171/20425/14287","GO:0006760","GO:0006760","GO:0006760","folic acid-containing compound metabolic process","folic acid-containing compound metabolic process","folic acid-containing compound metabolic process",-1.46403188803371,0.298478379923934,1.41831770425907,-0.525087121217312,-0.348320531120784,TRUE,FALSE,FALSE,"107885/108037/108156/22171/100039707/210009/20425/216188/14528/270685/107747/192166",0.11737564524979,3.44493254360877,-3.32755689835898,0.11737564524979,3.44493254360877,3.32755689835898,"mixed or incomplete"
"mouse KD vs control vs mouse het vs WT","GO_BP","GO:0070670","response to interleukin-4","either",0.05,"opposite direction",3.38389064998758,3.38389064998758,-1.40737906298683,1.97651158700075,0.496113300518054,0.0189345590243146,"22433/74637/14462/17025/20850/14104/20851/21414/16842","547253/12567/18030/16453/23918/22143/20852/14104/27367/50868/16898/17025/16451/11837","GO:0070670","GO:0070670","GO:0070670","response to interleukin-4","response to interleukin-4","response to interleukin-4",-1.47945075361361,0.291730860554563,1.72274480491004,-0.535017626895959,-0.304419129617379,TRUE,FALSE,FALSE,"17216/16189/12567/50868/22143/17025/74637/16190/22433/14462/20851/20850/14104/16842/21414",-0.07207169062678,3.38389064998758,-3.45596234061436,0.07207169062678,3.38389064998758,3.45596234061436,"mixed or incomplete"
"mouse KD vs control vs mouse het vs WT","GO_BP","GO:0071229","cellular response to acid chemical","either",0.05,"opposite direction",3.37817276905809,3.37817276905809,-1.70059729110023,1.67757547795786,0.114967221761907,0.0401899998031937,"12703/14814/12877/268706/18764/22433/14629/12608/56438/75747/13435/14811/20469/21417/15499/13433/11898/12825/18810/94216/67579/328572/74370/12833/16598/12842/107581/13649/12843/108100/14799","20539/12842/12843/12826/12833/232087/14799/107581/107045/18764/12832/12048/12825/76630/230784/11898/17392/56876/68441/74370/15499/18595/14629/16598/18024/22339/18706/14630/12608/56717/71785/66508/14360/224023/22433/94216/75747/12703","GO:0071229","GO:0071229","GO:0071229","cellular response to acid chemical","cellular response to acid chemical","cellular response to acid chemical",-1.67912118454928,0.0438540826861125,1.39588199593466,-1.3579899688769,-0.939425963446927,TRUE,TRUE,FALSE,"14814/66096/18764/12832/13433/11977/83409/13435/94216/328572/14811/18810/22433/75747/56438/15499/74370/21417/54635/12825/12842/12833/107581/108100/12843/11898/14799",0.0214761065509501,3.37817276905809,-3.35669666250714,0.0214761065509501,3.37817276905809,3.35669666250714,"mixed or incomplete"
"mouse KD vs control vs mouse het vs WT","GO_BP","GO:0016188","synaptic vesicle maturation","either",0.05,"opposite direction",-3.35386406332405,3.35386406332405,1.4225337250457,-1.93133033827835,0.480765873925798,0.0247314613141203,"70546/12725/11964/70495/233489/108664/66144/11966/66290","11984/11973/11966/11964/66335/73834/11972/70495","GO:0016188","GO:0016188","GO:0016188","synaptic vesicle maturation","synaptic vesicle maturation","synaptic vesicle maturation",1.52865022818813,0.277579960217624,-1.60675022161247,0.556611890814653,0.318066367319193,TRUE,FALSE,FALSE,"70546/12725/66144/70495/11966/20910/11972/108664/11973/19339/66290",0.10611650314243,-3.35386406332405,3.45998056646648,0.10611650314243,3.35386406332405,3.45998056646648,"KD opposite"
"mouse KD vs control vs mouse het vs WT","GO_BP","GO:0006730","one-carbon metabolic process","either",0.05,"opposite direction",3.33374386439099,3.33374386439099,-1.45604610464858,1.87769775974241,0.49023680930619,0.044588786461861,"100039707/108037/107885/216188/270685/22171/108645/20425/107747/192166","270685/94280/17768/192166/232087/108037/107747/216188/229709/269378/108156/22171/20425/14287","GO:0006730","GO:0006730","GO:0006730","one-carbon metabolic process","one-carbon metabolic process","one-carbon metabolic process",-1.31327845024182,0.421515661441266,1.35077434734291,-0.375186284500305,-0.309594082968905,TRUE,FALSE,FALSE,"108645/229709/107885/108037/108156/22171/100039707/20425/216188/270685/107747/192166",0.14276765440676,3.33374386439099,-3.19097620998423,0.14276765440676,3.33374386439099,3.19097620998423,"mixed or incomplete"
"mouse KD vs control vs mouse het vs WT","GO_BP","GO:0043200","response to amino acid","either",0.05,"opposite direction",3.30923793712665,3.30923793712665,-1.64709900890269,1.66213892822396,0.121891613514597,0.038136374751926,"20512/12608/22142/56438/75747/13435/14811/21417/17025/15499/13433/11898/217124/12825/94216/67579/328572/74370/12833/12842/110213/107581/13649/15165/12843/18104/108100/20296/14799","20539/12842/20512/12843/12826/12833/232087/14799/22142/107581/107045/12832/12048/12825/76630/230784/14870/11898/17392/56876/68441/74370/66586/15499/16819/17025/18595/28185/14629/17874/28253","GO:0043200","GO:0043200","GO:0043200","response to amino acid","response to amino acid","response to amino acid",-1.71191886919516,0.0275669974710311,1.41866059341021,-1.55961053359584,-0.914026174034015,TRUE,TRUE,FALSE,"94216/328572/14811/22433/75747/56438/20512/22142/15499/18104/217124/74370/21417/54635/12825/110213/15165/12842/12833/107581/108100/12843/11898/20296/14799",-0.0648198602924699,3.30923793712665,-3.37405779741912,0.0648198602924699,3.30923793712665,3.37405779741912,"mixed or incomplete"
"mouse KD vs control vs mouse het vs WT","GO_BP","GO:0043648","dicarboxylic acid metabolic process","either",0.05,"opposite direction",3.29705767961005,3.29705767961005,-1.18378207883357,2.11327560077648,0.601353085320682,0.000322912843491872,"56451/216188/270685/98314/170789/14629/14645/104112/20425/18293/11898/107747/17449/12833/239017/11484","74551/26570/270685/108682/56454/20917/12833/11566/14194/107747/216188/108147/14661/76238/11898/104112/15926/257633/17436/16922/239017/269951/14629/52633/108156","GO:0043648","GO:0043648","GO:0043648","dicarboxylic acid metabolic process","dicarboxylic acid metabolic process","dicarboxylic acid metabolic process",-1.56725321317796,0.121268818793368,3.49091468106918,-0.916250852610748,-0.220870456483421,TRUE,FALSE,FALSE,"13382/20917/56451/269951/71832/14629/18293/78920/26570/108156/214579/98314/17448/17449/66945/100039707/210009/20425/216188/257633/74551/14645/270685/11484/107747/11565/104112/12833/239017/11898",-0.38347113434439,3.29705767961005,-3.68052881395444,0.38347113434439,3.29705767961005,3.68052881395444,"mixed or incomplete"
"mouse KD vs control vs mouse het vs WT","GO_BP","GO:0071353","cellular response to interleukin-4","either",0.05,"opposite direction",3.29350668343961,3.29350668343961,-1.31432284208845,1.97918384135116,0.554967666078777,0.011800762110898,"22433/74637/14462/17025/20850/14104/21414/16842","547253/12567/18030/16453/23918/22143/20852/14104/27367/50868/16898/17025/16451/11837","GO:0071353","GO:0071353","GO:0071353","cellular response to interleukin-4","cellular response to interleukin-4","cellular response to interleukin-4",-1.44962495128358,0.310055080935252,1.92808994439983,-0.508561147387301,-0.2557323193145,TRUE,FALSE,FALSE,"17216/16189/12567/50868/22143/17025/74637/16190/22433/14462/20850/14104/16842/21414",-0.13530210919513,3.29350668343961,-3.42880879263474,0.13530210919513,3.29350668343961,3.42880879263474,"mixed or incomplete"
"mouse KD vs control vs mouse het vs WT","GO_BP","GO:0042558","pteridine-containing compound metabolic process","either",0.05,"opposite direction",3.28774277579423,3.28774277579423,-1.22310249653502,2.06464027925921,0.601353085320682,0.00460853812244319,"100039707/108037/107885/216188/270685/52466/22171/20425/107747/14528/192166","270685/17768/192166/108037/107747/216188/17250/108147/72562/20751/108156/19286/22171/20425/14287","GO:0042558","GO:0042558","GO:0042558","pteridine-containing compound metabolic process","pteridine-containing compound metabolic process","pteridine-containing compound metabolic process",-1.38938203118204,0.350630354130565,2.33643681561723,-0.455150489666127,-0.220870456483421,TRUE,FALSE,FALSE,"107885/20751/108037/108156/22171/100039707/210009/20425/216188/14528/72562/270685/107747/192166",-0.16627953464702,3.28774277579423,-3.45402231044125,0.16627953464702,3.28774277579423,3.45402231044125,"mixed or incomplete"
"mouse KD vs control vs mouse het vs WT","GO_BP","GO:0009262","deoxyribonucleotide metabolic process","either",0.05,"opposite direction",3.27164878727109,3.27164878727109,-1.43198516127854,1.83966362599255,0.469224307199647,0.038939590225408,"382985/18102/99586/21915/22436/22171/14544/21877/20425/103850/18103/56248/50773/14923","22436/22169/20135/320685/14923/50773/66588/382985/27369/232449/381101/22271/76952/22171/20425/56045","GO:0009262","GO:0009262","GO:0009262","deoxyribonucleotide metabolic process","deoxyribonucleotide metabolic process","deoxyribonucleotide metabolic process",-1.21015564998548,0.517878709454796,1.40960862302093,-0.285771942923717,-0.328619498241837,TRUE,FALSE,FALSE,"18103/76654/22171/18102/27369/382985/20425/21915/22436/50773/99586/103850/14923/21877/14544",0.22182951129306,3.27164878727109,-3.04981927597803,0.22182951129306,3.27164878727109,3.04981927597803,"mixed or incomplete"
