"comparison","database","pathway_key","pathway_name","filter_mode_used","fdr_cutoff_used","direction_class","delta_NES","abs_delta_NES","NES_x","NES_y","padj_x","padj_y","leading_edge_x","leading_edge_y","pathway_id_mouse_KD","pathway_id_mouse_KO","pathway_id_mouse_het","pathway_name_mouse_KD","pathway_name_mouse_KO","pathway_name_mouse_het","NES_mouse_KO","padj_mouse_KO","signed_log10padj_mouse_KD","signed_log10padj_mouse_KO","signed_log10padj_mouse_het","significant_mouse_KD","significant_mouse_KO","significant_mouse_het","leading_edge_mouse_KO","delta_NES_KO_minus_het","delta_NES_KD_minus_het","delta_NES_KO_minus_KD","abs_delta_NES_KO_minus_het","abs_delta_NES_KD_minus_het","abs_delta_NES_KO_minus_KD","direction_pattern"
"mouse KD vs control vs mouse het vs WT","KEGG","mmu04621","NOD-like receptor signaling pathway","either",0.05,"opposite direction",2.46080653378324,2.46080653378324,-0.799137692445955,1.66166884133729,0.96926906909358,0.0119522952545945,"22031/228607/67526/18036/107607/22033/11796/22334/59079/22030/16438/24014/216877/19200/266632/12364/22368/16476/18753/12370/20304/69538/54721/19094/56486/22627/18035/106025/192656/22333/66513/56551/26420/72512/69146/239319/18439/56532/29857/20296","55932/54123/15944/246730/15951/54396/229900/246728/69146/14469/16391/23960/246727/20846/22335/12048/24105/20847/12364/12363/18798/23961/266632/22166/18795/14468/215999/17874/14082/16451/26420/22333/21898/26417/74006/107607/216877/26419","mmu04621","mmu04621","mmu04621","NOD-like receptor signaling pathway","NOD-like receptor signaling pathway","NOD-like receptor signaling pathway",1.22233701468734,0.378915262190592,1.92254868712696,0.421457901582582,-0.0135556460642124,TRUE,FALSE,FALSE,"17948/17952/16439/14825/93739/71914/67443/320795/15951/12043/66734/246728/19697/12675/268749/23961/16150/67526/22034/58800/59027/26419/22166/21353/22335/12363/22051/246727",2.0214747071333,2.46080653378324,-0.43933182664995,2.0214747071333,2.46080653378324,0.43933182664995,"het opposite"
"mouse KD vs control vs mouse het vs WT","KEGG","mmu05166","Human T-cell leukemia virus 1 infection","either",0.05,"opposite direction",2.43378068079485,2.43378068079485,-0.955818567270602,1.47796211352425,0.821015348288076,0.0286054988014453,"19698/16476/21812/26396/17127/17120/26406/21423/245000/19428/100683/19058/26398/18708/217232/52717/21803/12330/242705/11911/104110/18035/21809/14281/56310/12578/104111/18018/66156/22333/12257/26427/22059/11920/26420/20850/13653/382056/105988/14534/20851/328572/70549/53859","15040/26396/16177/18186/11739/22059/12567/12915/20525/16453/22335/19056/12048/21423/12257/73181/11651/12442/14283/21937/59008/11740/52206/19057/12443/110196/69957/100683/12444/15039/26395/15461/26398/19645/26406/19384/16451/26420/18176/22333/14534/104111/13555/217232/26417/14972/81601/12028/245000/18706/11911/26419/50883/21813/15015/18709/16818/14281","mmu05166","mmu05166","mmu05166","Human T-cell leukemia virus 1 infection","Human T-cell leukemia virus 1 infection","Human T-cell leukemia virus 1 infection",-1.20598369744301,0.387387387387387,1.54355047492762,-0.411854523207071,-0.085648723983467,TRUE,FALSE,FALSE,"11513/21937/12567/69010/14972/107995/245000/22059/19056/73181/12237/26398/11920/12649/19057/12028/26406/11911/26396/19698/21423/52717/18186/14281/11515/26420/17869/19058/12443/11514/13653/17703/105988/12578/328572/16177/17120/22333/217232/12330/26417/21808/14534/20851/19055/66156/11512/18749/20850/12257/53859/18708/104111/21809/110196/70549/104110/26427",-0.250165130172408,2.43378068079485,-2.68394581096726,0.250165130172408,2.43378068079485,2.68394581096726,"mixed or incomplete"
"mouse KD vs control vs mouse het vs WT","KEGG","mmu04217","Necroptosis","either",0.05,"opposite direction",2.35160671647498,2.35160671647498,-0.786892995312549,1.56471372116243,0.968824595208651,0.0286054988014453,"22033/11796/319168/22334/12028/22030/12323/12370/54721/319166/319169/319173/319172/319176/14645/106025/232889/268373/22333/15979/20848/26420/20850/20851/77605/208092/56532/18412","58203/16391/11739/20846/16453/22335/14319/24105/20847/142980/15270/12333/14661/19106/21937/11740/20852/208092/74568/268373/66700/14082/16451/26420/22333/21898/108058/74006/12028/71609/26419/18783","mmu04217","mmu04217","mmu04217","Necroptosis","Necroptosis","Necroptosis",-0.764325242890981,0.962445847904379,1.54355047492762,-0.0166236967471699,-0.0137548444440579,TRUE,FALSE,FALSE,"26420/14102/12325/22333/106025/11796/14645/20851/20848/15980/108058/20850/15979/18412/208092/56532",0.0225677524215679,2.35160671647498,-2.32903896405341,0.0225677524215679,2.35160671647498,2.32903896405341,"mixed or incomplete"
"mouse KD vs control vs mouse het vs WT","KEGG","mmu00970","Aminoacyl-tRNA biosynthesis","either",0.05,"opposite direction",2.2985526583534,2.2985526583534,-0.454965116111365,1.84358754224204,1,0.0139056001491639,"211006/224805/104458/353172/22375/107508/70223/27267/15115/109093/71984/230577/107271/69955/102436/70791/384281/226539/110960","381314/353172/22375/107045/23874/110960/22321/70223/68915/226414/107508/15115/27267/20226/105148/216443/104458/107271/85305/109093/97541/71941/71984/102436/244141/70560","mmu00970","mmu00970","mmu00970","Aminoacyl-tRNA biosynthesis","Aminoacyl-tRNA biosynthesis","Aminoacyl-tRNA biosynthesis",-0.913156285173276,0.771566758598313,1.85681026276202,-0.112626491329221,0,TRUE,FALSE,FALSE,"107508/70223/230577/381314/384281/20226/353172/69955/214580/211006/23874/216443/70791/70560/107271/104458/15115/226539/109093/22375/105148/71984/71807/110960",-0.458191169061911,2.2985526583534,-2.75674382741532,0.458191169061911,2.2985526583534,2.75674382741532,"mixed or incomplete"
"mouse KD vs control vs mouse het vs WT","KEGG","mmu04966","Collecting duct acid secretion","either",0.05,"shared negative",-1.45885324413031,1.45885324413031,-0.63534760504252,-2.09420084917283,0.976438146954013,0.00419620992955412,"12349/66335/11975","21871/11975/11974/66144/11984/11973/11966/11964/66335/73834/11972","mmu04966","mmu04966","mmu04966","Collecting duct acid secretion","Collecting duct acid secretion","Collecting duct acid secretion",1.19522478640029,0.478758368837492,-2.37714279288879,0.319883621361334,-0.0103552621429998,TRUE,FALSE,FALSE,"66144/11966/27060/11972/11974/11973/66290",1.83057239144281,-1.45885324413031,3.28942563557312,1.83057239144281,1.45885324413031,3.28942563557312,"mixed or incomplete"
"mouse KD vs control vs mouse het vs WT","KEGG","mmu00030","Pentose phosphate pathway","either",0.05,"shared positive",1.42209913968698,1.42209913968698,0.559031859345798,1.98113099903278,0.998117115420825,0.00678367516444221,"21881/19139/11674/110639/66171/353204/14751","18641/66171/14381/110208/14751/19895/11674/100198/72157/232449/21351/66646","mmu00030","mmu00030","mmu00030","Pentose phosphate pathway","Pentose phosphate pathway","Pentose phosphate pathway",-0.509466258829777,0.996482824301515,2.16853495639814,-0.00153018253836568,0.000818497192710525,TRUE,FALSE,FALSE,"74637/14381/21351/100198/18642",-1.06849811817558,1.42209913968698,-2.49059725786256,1.06849811817558,1.42209913968698,2.49059725786256,"KO opposite"
"mouse KD vs control vs mouse het vs WT","KEGG","mmu04142","Lysosome biogenesis","either",0.05,"shared negative",-1.40082501553736,1.40082501553736,-0.722512835811102,-2.12333785134846,0.998117115420825,3.62178931515828e-08,"211978/17828/66096/320528/104082/71732/56717/71665/18174/17939/50917/71718/15586/268706/71720/231855/97998/71279/27419/67605/67774/74347/11778/83429/26373/22320/71923/11771/68526/17342/94245/114128/11782/260302/13032/353047/63959/68279/72392/66335/71240/71770/14387/27029/74370/21425/11975/11764/106039/215335/67300","15586/13032/94178/11974/114128/71240/15212/68724/240283/228545/56325/108664/103199/77573/19063/66144/252972/18010/110173/69091/271564/192654/17939/53599/13340/12492/27426/26889/19156/20597/11765/74105/18145/432486/215335/58911/11984/64138/11973/19141/19349/54170/12752/12514/64933/100561/114143/14628/13030/18711/74325/217265/211978/12757/71732/16784/20661/83429/67474/14420/67300/14466/56433/67166/11966/21425/65114/16783/11605/15211/11964/66335/56692/13033/73834/16004/11972/104082/66848/52187","mmu04142","mmu04142","mmu04142","Lysosome biogenesis","Lysosome biogenesis","Lysosome biogenesis",1.06764317895284,0.535567474454841,-7.44107681683959,0.271185805994808,-0.000818497192710525,TRUE,FALSE,FALSE,"14667/20661/66439/66144/108012/13340/65114/252903/11886/271564/18010/16783/17113/18145/17159/11966/16004/108011/11765/27060/11777/80743/73689/11972/12752/30930/103199/211329/11974/11593/269338/19141/114143/252972/76303/108664/11766/75425/11973/74385/170743/16889/192654/12751/67727/75612",1.79015601476394,-1.40082501553736,3.1909810303013,1.79015601476394,1.40082501553736,3.1909810303013,"mixed or incomplete"
"mouse KD vs control vs mouse het vs WT","KEGG","mmu01230","Biosynthesis of amino acids","either",0.05,"shared positive",1.19385354432069,1.19385354432069,0.930745415049975,2.12459895937066,0.828655462184874,0.000190912469124801,"18563/21881/18648/14718/18655/14719/107272/19139/107869/11674/56454/18746/21991/110639","107869/18641/108682/56454/100678/232087/108037/19895/12035/11898/236539/27053/107272/11674/15926/15929/269951/14433/13808/21351/66646/109652/20425/21991","mmu01230","mmu01230","mmu01230","Biosynthesis of amino acids","Biosynthesis of amino acids","Biosynthesis of amino acids",-0.9662313574626,0.719392408833403,3.71916570547094,-0.143034149251951,0.081626002591244,TRUE,FALSE,FALSE,"20425/12411/21351/12035/107869/14645/18642/66194/11429/13808/11898",-1.89697677251258,1.19385354432069,-3.09083031683326,1.89697677251258,1.19385354432069,3.09083031683326,"KO opposite"
"mouse KD vs control vs mouse het vs WT","KEGG","mmu05168","Herpes simplex virus 1 infection","either",0.05,"shared positive",1.10796339386587,1.10796339386587,0.711674341476239,1.81963773534211,0.998117115420825,0.001091192195909,"18706/19294/19045/12675/19046/224045/20779/53319/19697/16193/18033/13163/12043/16452/15975/12010/12317/23797/12015/24088/13063/54131/12122/23961/68652/17874/14964/14082/16179/18707/16150/217715/58235/15980/16391/106759/19744/20383/69550/67996/11652/71586/11651/54123/26409/14998/20384/11797/19247/246727/19106/18710/14991/225027/13665/21354/14827/12018/15161/20815/15976","54123/15040/246730/12266/230073/69550/246728/71586/20684/16391/67996/23960/246727/22059/224045/20846/13685/12048/20847/142980/11651/19106/78781/24088/21937/20383/23961/266632/21354/15039/12702/16179/17874/108067/14082/16451/19294/14972/22084/12028/71609/18706/20779/15015/20382/15976/18709/110809/56717/225027/15975/230979/16416/213233/14964/12370/20304/16452/54721","mmu05168","mmu05168","mmu05168","Herpes simplex virus 1 infection","Herpes simplex virus 1 infection","Herpes simplex virus 1 infection",1.0814723645513,0.535567474454841,2.96209874870462,0.271185805994808,0.000818497192710525,TRUE,FALSE,FALSE,"18707/19294/71586/20779/12043/13163/19106/12367/246728/19045/19697/53319/12675/23961/16150/14991/20684/24088/22034/19046/18986/71609/78781/15042",0.369798023075061,1.10796339386587,-0.73816537079081,0.369798023075061,1.10796339386587,0.73816537079081,"all positive"
"mouse KD vs control vs mouse het vs WT","KEGG","mmu05164","Influenza A","either",0.05,"shared positive",1.08994933802001,1.08994933802001,0.794868804911136,1.88481814293115,0.974449502926693,0.00168038965154973,"18706/12675/12571/16646/21898/53319/26395/19697/16193/53869/26413/18033/81489/16452/15975/12914/23797/13063/54131/12122/110157/23961/17874/66679/14082/18707/16150/15980/16391/170743/106759","54123/246730/230073/246728/71586/26396/16391/23960/246727/11739/12567/20846/20847/142980/11651/19106/17858/21937/11740/19326/217069/23961/266632/110196/26395/12702/58185/11461/17874/14082/16451/22333/21898/26417/54196/12028/66679/71609/18706","mmu05164","mmu05164","mmu05164","Influenza A","Influenza A","Influenza A",0.851466617689315,0.933665158371041,2.77459000166909,0.0298088474794535,0.0112406615935777,TRUE,FALSE,FALSE,"12571/18707/71586/19106/12367/81489/246728/15945/19697/53319/12675/23961/16150/71609/246727/17858/77125/16646/58185/170743/26395",0.056597812778179,1.08994933802001,-1.03335152524184,0.056597812778179,1.08994933802001,1.03335152524184,"all positive"
"mouse KD vs control vs mouse het vs WT","KEGG","mmu01200","Carbon metabolism","either",0.05,"shared positive",1.05928016180725,1.05928016180725,0.847396349665175,1.90667651147242,0.920130417930185,0.00085057387983955,"18563/21881/18648/14718/15112/18655/225913/14719/107272/15275/15277/19139/18597/11674/18746/21991/110639/93747/68133/66171/17850/104174/15926","18641/108682/100678/20917/66171/14381/14194/110208/108037/14751/11409/19895/14661/236539/107272/66904/11674/225913/15926/100198/11532/93747/17436/235339/239017/15929/72141/110446/269951/18597/14433/17850/13808/110821/21351/107029/66646/20425/67680/21991","mmu01200","mmu01200","mmu01200","Carbon metabolism","Carbon metabolism","Carbon metabolism",-0.662161642399548,0.996482824301515,3.07028795810886,-0.00153018253836568,0.0361506120313894,TRUE,FALSE,FALSE,"66052/73724/328099/72141/236539/20916/227095/15929/13382/18641/20917/56451/269951/71832/110821/18293/56012/11532/11430/78920/108037/17448/17449/66945/14381/20425/66904/21351/100198/18642/110460/11429/239017/13808",-1.50955799206472,1.05928016180725,-2.56883815387197,1.50955799206472,1.05928016180725,2.56883815387197,"KO opposite"
"mouse KD vs control vs mouse het vs WT","KEGG","mmu03010","Ribosome","either",0.05,"shared positive",1.01641144182945,1.01641144182945,1.02569898876286,2.04211043059231,0.712086869432291,1.34637213036005e-06,"57808/14109/20042/66419/94066/20088/67427/76808/57294/18120/22121/114641/67248/20085/20103/20091/20115/100503670/270106/75617/22186/19951/68028/66475/16898/27050/20102/66481/94063/269261/629595/20090/353242/94067/20005/19981/19989/16785/66480/54127/19934/108168114/267019/66489/19933/110954/670832/19982/108169197/19988/67115/66292/67891/27393/619547/18100/671641/66230/225215/100043813/78523/57312","27397/27207/27050/27370/14694/20091/68028/19946/26961/20085/67427/20103/68537/54217/67707/66047/27367/19934/16898/67945/68836/66407/268449/319195/76808/19896/27398/270106/27176/94067/56040/619547/67115/269261/64659/16785/20102/67281/19981/67891/11837/68436/100043813/121022/65111/56282/20090/19944/68052/66489/20116/19982/20104/67097/100502825/107732/94062/66242/67212/118451/22121/19943/19951/67270/353242/69163/20084/100503670/75617/67025/66480/66230/19935/66448/27395/19942/664969/50529/18100/66258/56284/19988/20115/114641/76846/94066/54127/102632403/20005/57294/78294/110954/19989/107734/64660/94064/68611/67941/67248","mmu03010","mmu03010","mmu03010","Ribosome","Ribosome","Ribosome",-0.597107495914107,1,5.87083488675008,0,0.14746702235501,TRUE,FALSE,FALSE,"27397/619883/216767/65019/60441/19921/68463/66242/67671/19946/66163/67036/94064/24030/50529/64660/66258/26961/64656/68537/56282/67212/121022/107732",-1.62280648467697,1.01641144182945,-2.63921792650642,1.62280648467697,1.01641144182945,2.63921792650642,"KO opposite"
"mouse KD vs control vs mouse het vs WT","KEGG","mmu05160","Hepatitis C","either",0.05,"shared positive",0.907011771958723,0.907011771958723,0.909747991816297,1.81675976377502,0.857202534289494,0.00236061538976145,"19053/18706/12675/18176/12571/26395/19697/64945/26413/18033/20663/13555/12633/15975/56637/52432/22629/12566/23797/12015/16653/112419/13063/54131/12122/110157/23961/20662/51792/14082/18707/16150/16835/15461/16391/109880/106759/15957","54123/246730/230073/15957/246728/26396/16391/23960/246727/22059/12567/20846/20847/142980/11651/19106/22628/17858/21937/23961/11836/12443/26395/12702/58185/15461/22631/19192/16341/19645/14082/16451/18176/13555/26417/12028/71609/18706","mmu05160","mmu05160","mmu05160","Hepatitis C","Hepatitis C","Hepatitis C",0.949694684421383,0.76124648547329,2.62697476586952,0.118474699407449,0.0669165536517724,TRUE,FALSE,FALSE,"12571/18707/19053/19106/12367/246728/15945/19697/12675/23961/16150/22034/13555/71609/15957/12575/109880/246727/17858/58185/26395/16653/20662/20663/12122/246730/16391",0.0399466926050861,0.907011771958723,-0.867065079353637,0.0399466926050861,0.907011771958723,0.867065079353637,"all positive"
"mouse KD vs control vs mouse het vs WT","KEGG","mmu05171","Coronavirus disease","either",0.05,"shared positive",0.82620926055004,0.82620926055004,1.36462912546906,2.1908383860191,0.384105493033712,3.42e-08,"83996/57808/14109/20042/18706/12675/21898/20088/67427/76808/57294/12267/22121/19697/16193/17174/26413/114641/18033/17392/26419/67248/20085/20103/20091/20115/100503670/270106/75617/22186/15975/19951/68028/66475/16898/27050/20102/66481/269261/629595/20090/20005/19981/19989/16785/66480/54127/24088/19934/108168114/54131/267019/66489/19933/15200/23961/68652/110954/670832/17874/19982/26416/108169197/19988/67115/67891/16179/619547/18707/16150/671641/225215/100043813","246730/100038882/12266/230073/50908/246728/71586/16391/23960/246727/18186/20846/50909/27207/20847/142980/27050/27370/20091/19106/68028/17858/24088/21937/19946/26961/20085/67427/20103/17392/23961/54217/266632/27367/19934/16898/67945/12268/268449/319195/76808/19896/270106/27176/16179/17874/11421/56040/619547/67115/16451/269261/26420/16785/21898/20102/67281/19981/67891/26417/11837/68436/100043813/20090/19944/18706/68052/26419/66489/20116/15976/19982/20104/18709/67097/100502825/14281/15975/22121/19943/19951/317677/20084/100503670/18803/54721/75617/67025/16193/16151/66480/72512/19942/13649/26414/664969/17174/20848/19988/20115/114641/56417/76846/667277/54127/102632403","mmu05171","mmu05171","mmu05171","Coronavirus disease","Coronavirus disease","Coronavirus disease",1.03041698188207,0.59581881533101,7.46597389394386,0.224885786341839,0.415549482011674,TRUE,FALSE,FALSE,"83996/18707/269261/71586/270106/66489/14109/19106/246728/15945/19697/12675/12267/23961/17392/16150/24088/66481/22034/234779/26419/20088/19951/76808/246727/100503670/17858/170743/108168279/20044/16898/66480/102640707/246730/20005/16391/22186/20042/67427/20084/18803/108169197/27176/21898/114641/17874/50909/67097/319195/230073/19989/56417/100038882/54217/67025/20847/243302/57808/100040416/56480/20104/665562/75617/267019/69379/26416/54127/12263/17174/108169072/100039532/67248/20115/19988/108168114/629595/18710/26413",-0.33421214358699,0.82620926055004,-1.16042140413703,0.33421214358699,0.82620926055004,1.16042140413703,"all positive"
"mouse KD vs control vs mouse het vs WT","KEGG","mmu04710","Circadian rhythm","either",0.05,"shared negative",-0.78460595647015,0.78460595647015,-1.33672749169147,-2.12133344816162,0.541958372753075,0.00085057387983955,"18626/225998/13170/19079/11865/27373/103583/18627/104318/20893/21402/108099/56438/217166/19082/105787/18628","56438/12912/12952/108079/12953/18628/20893/19079/12753/18627/353187/217166/18626/13170/79362","mmu04710","mmu04710","mmu04710","Circadian rhythm","Circadian rhythm","Circadian rhythm",-1.25234109218126,0.413923750887994,-3.07028795810886,-0.383079653126524,-0.266034069878427,TRUE,FALSE,FALSE,"103583/104318/18628/19082/20893/56438/27373/105787/217166/11865/225998",0.0843863995102099,-0.78460595647015,0.86899235598036,0.0843863995102099,0.78460595647015,0.86899235598036,"all negative"
"mouse KD vs control vs mouse het vs WT","KEGG","mmu05162","Measles","either",0.05,"shared positive",0.782538396404958,0.782538396404958,0.944151692111202,1.72669008851616,0.828655462184874,0.00678367516444221,"18706/12675/12571/21898/13000/19697/12447/16193/18033/26419/12043/17698/68098/15975/56637/12444/12566/21929/23797/12015/24088/13063/54131/12122/23961/68652/17874/14082/16179/56382/18707/16150/16391/170743/17858/12995/12448/11652/71586/12567/11651/54123/26409","54123/246730/230073/246728/71586/16391/23960/246727/22059/12567/20846/16453/12048/208650/20847/14694/11651/19106/17858/24088/23961/266632/12443/12444/17698/16179/17874/14082/16451/26420/21898/12028/71609/18706/26419/15976/18709/14281","mmu05162","mmu05162","mmu05162","Measles","Measles","Measles",1.28933861013985,0.271146362626372,2.16853495639814,0.566796217162108,0.081626002591244,TRUE,FALSE,FALSE,"12571/18707/71586/12043/13000/19106/12367/246728/19697/12675/23961/16150/24088/22034/26419/71609/246727/17858/170743/12447/21929/12122/246730/16391/12448/12995/12576/21898/54123/170770/17874/17221/230073/56417",0.345186918028648,0.782538396404958,-0.43735147837631,0.345186918028648,0.782538396404958,0.43735147837631,"all positive"
"mouse KD vs control vs mouse het vs WT","KEGG","mmu04620","Toll-like receptor signaling pathway","either",0.05,"shared positive",0.766953000025041,0.766953000025041,0.885686573266089,1.65263957329113,0.866142408269089,0.0477486401156393,"12475/18706/12675/21898/26395/19697/16193/26413/18033/26419/26400/15975/23797/24088/54131/68652/17874/26416/14082/16179/18707/16150/16391/170743/106759","54123/20750/26396/16391/20846/20847/142980/11651/24088/13038/266632/26395/26398/117149/16179/17874/14082/16451/26420/21898/26417/18706/26419/15976/18709/14281/26400/15975/12370/20304/54721/16193/16151/26414/26399","mmu04620","mmu04620","mmu04620","Toll-like receptor signaling pathway","Toll-like receptor signaling pathway","Toll-like receptor signaling pathway",-0.750502269483078,0.95073046667061,1.32103899263906,-0.0219425886661176,0.0624106968500735,TRUE,FALSE,FALSE,"26398/266632/26396/26399/16179/14281/26420/26417/19094/18708/53791/66513/20750/29857",-1.63618884274917,0.766953000025041,-2.40314184277421,1.63618884274917,0.766953000025041,2.40314184277421,"KO opposite"
"mouse KD vs control vs mouse het vs WT","KEGG","mmu04140","Autophagy - animal","either",0.05,"shared negative",-0.759735315755297,0.759735315755297,-0.852793436505343,-1.61252875226064,0.920130417930185,0.00966359642696714,"16438/71732/226421/56717/29869/225326/26396/18753/97998/72145/67605/75669/22320/74498/18708/56486/73683/78294/56418/237782/353047/75909/66840/22187/19052/67790/13144/170749/19324/22084/26420/56208/17966/105787/74302/68118/74370/72508/18412","56480/77573/108079/64930/93739/53331/100502698/76559/22190/18607/22034/56790/71648/19324/78610/237782/19349/54170/56418/13030/17966/57436/71732/74769/67443/16784/384783/67474/68118/100504663/18710/170749/67526/16367/13666/56486/16783/13033/17532/52187","mmu04140","mmu04140","mmu04140","Autophagy - animal","Autophagy - animal","Autophagy - animal",0.848918982673981,0.937898089171975,-2.01486121543662,0.0278443489500942,-0.0361506120313894,TRUE,FALSE,FALSE,"18707/93739/67443/19053/19211/16783/17274/12043/78610/66734/66922/52639/80743/67526/22034/52440/26419/329015/269338/73205/21353/384783/78943/64930/26395/228361/67727/16653/245860/228545/57436/22186/235040/16367",1.70171241917932,-0.759735315755297,2.46144773493462,1.70171241917932,0.759735315755297,2.46144773493462,"mixed or incomplete"
"mouse KD vs control vs mouse het vs WT","KEGG","mmu05219","Bladder cancer","either",0.05,"shared positive",0.7093726444943,0.7093726444943,1.01478920887452,1.72416185336882,0.72192513368984,0.033636535603738,"83996/21825/18176/73086/20779/26395/26413/13555/17246/16653/56289/110157/15200","26396/22059/12567/11836/13866/12443/26395/15461/19645/18176/13555/26417/22339/20779","mmu05219","mmu05219","mmu05219","Bladder cancer","Bladder cancer","Bladder cancer",0.992267523364863,0.658779402415766,1.47318874074745,0.181259988064847,0.141507838041493,TRUE,FALSE,FALSE,"83996/20779/13555/12575/109880/21825/26395/56289/16653/73086",-0.0225216855096571,0.7093726444943,-0.731894330003957,0.0225216855096571,0.7093726444943,0.731894330003957,"all positive"
"mouse KD vs control vs mouse het vs WT","KEGG","mmu04110","Cell cycle","either",0.05,"shared negative",-0.706247912372852,0.706247912372852,-0.773403907599818,-1.47965181997267,0.974449502926693,0.033636535603738,"217232/67177/52717/21803/242705/17215/22627/23882/21809/21402/71175/66671/67052/56438/19357/12578/19052/66156/268930/105837/22059/11920/105988/20877/23834/22631/328572","66591/56438/77011/56452/12914/71988/107995/12237/218914/23834/242705/22629/12566/105988/12235/268697/22642/12545/12534/21770/22390/100710/22627/26932/67849/12428/21808/229776/17217/12236/12581/17215/17873/23882","mmu04110","mmu04110","mmu04110","Cell cycle","Cell cycle","Cell cycle",-0.740636415627854,0.993210220086011,-1.47318874074745,-0.00295882022488071,-0.0112406615935777,TRUE,FALSE,FALSE,"26932/18817/21803/24061/56637/17216/17873/12544/56371/22627/22628/21402/12567/69010/107995/245000/22059/12237/11920/12649/17215/100710/22137/71175/52717/55948/66671/17220/19052/17869/12443/27401/105988/12578/328572/17120/23882/217232/23834/56438/21808/105837/66156/19357/21809/22631",0.032767491971964,-0.706247912372852,0.739015404344816,0.032767491971964,0.706247912372852,0.739015404344816,"all negative"
"mouse KD vs control vs mouse het vs WT","KEGG","mmu05323","Rheumatoid arthritis","either",0.05,"shared negative",-0.653430915829323,0.653430915829323,-0.971919997890877,-1.6253509137202,0.76998734848794,0.0465041676056482,"20315/66335/11975/11600/14254/20296","11984/11973/114143/21808/16476/11966/11964/66335/73834/14254/11972","mmu05323","mmu05323","mmu05323","Rheumatoid arthritis","Rheumatoid arthritis","Rheumatoid arthritis",1.16270304386597,0.504548807474797,-1.33250812480831,0.297096815964809,-0.113516410576888,TRUE,FALSE,FALSE,"83996/16156/14825/21934/66144/16168/11966/17392/27060/24088/11972/11974/114143/108664/11973",2.13462304175685,-0.653430915829323,2.78805395758617,2.13462304175685,0.653430915829323,2.78805395758617,"mixed or incomplete"
"mouse KD vs control vs mouse het vs WT","KEGG","mmu04721","Synaptic vesicle cycle","either",0.05,"shared negative",-0.65063126028862,0.65063126028862,-1.07526202234675,-1.72589328263537,0.712086869432291,0.0251450833460895,"20614/66335/71770/18195/12287/11975/67300/13429","11984/11973/114143/74325/12757/20907/67300/11966/20908/11964/66335/73834/11972","mmu04721","mmu04721","mmu04721","Synaptic vesicle cycle","Synaptic vesicle cycle","Synaptic vesicle cycle",1.21850374174144,0.398122885517844,-1.59954692052479,0.399982856908633,-0.14746702235501,TRUE,FALSE,FALSE,"20908/14411/15567/66144/11966/20910/27060/11972/208898/11974/114143/214084/108664/11973",2.29376576408819,-0.65063126028862,2.94439702437681,2.29376576408819,0.65063126028862,2.94439702437681,"mixed or incomplete"
"mouse KD vs control vs mouse het vs WT","KEGG","mmu04270","Vascular smooth muscle contraction","either",0.05,"shared positive",0.45761262780932,0.45761262780932,1.16949438747171,1.62710701528103,0.598958101429271,0.0437913771020535,"11535/16439/234889/18783/66350/13614/19045/19046/17904/18798/26395/14682/26413/18797","11475/98932/213498/26396/11535/56089/14673/18798/11836/107589/14682/66350/18795/12288/26395/54598/223780/11550/109624/16801/104111/18754/26417","mmu04270","mmu04270","mmu04270","Vascular smooth muscle contraction","Vascular smooth muscle contraction","Vascular smooth muscle contraction",-1.02789495598086,0.634508348794063,1.35861139738794,-0.197562659130604,0.222603556499655,TRUE,FALSE,FALSE,"69632/19878/109624/213498/107589/11513/16801/66350/18751/77579/56089/14672/54409/26396/11836/11515/11514/14673/26417/17886/11541/12315/18160/11512/11548/18749/104111/104110/19222/18750/13617",-2.19738934345257,0.45761262780932,-2.65500197126189,2.19738934345257,0.45761262780932,2.65500197126189,"KO opposite"
"mouse KD vs control vs mouse het vs WT","KEGG","mmu04010","MAPK signaling pathway","either",0.05,"shared negative",-0.430170500087829,0.430170500087829,-0.958477839098371,-1.3886483391862,0.799189388356669,0.0465041676056482,"109689/26396/102626/12928/26406/18591/22341/19058/19094/26398/14673/21803/11911/53608/71751/13866/26399/12291/23882/21809/14281/232889/14183/17260/17311/14784/12295/18018/13637/15507/66513/17347/22059/216869/23939/26420/216965/26404/11876/14182/12287/11600/18015/239556/13649/18750/19099/18596/53859/29857/14254/15511","17165/22030/58231/15507/72349/232889/13836/338372/319520/14184/12367/20807/18479/14013/13637/26403/13712/269881/12928/13198/26940/22034/14171/14102/26412/18018/18049/381921/18590/76089/18752/15370/17347/193740/21808/330177/12929/30957/12295/13636/16476/63953/56692/13638/70686/14254/17532/18218/19099/26401/15511/17873/23882","mmu04010","mmu04010","mmu04010","MAPK signaling pathway","MAPK signaling pathway","MAPK signaling pathway",-1.06215731177637,0.584615384615385,-1.33250812480831,-0.233129760026045,-0.0973502913095251,TRUE,FALSE,FALSE,"266632/26406/11911/14013/26396/26399/19698/13866/11836/269881/19060/16179/14173/13639/14281/13638/26420/18015/17869/19058/17295/14102/216965/14673/14182/14784/16177/23882/16180/26417/21808/12295/15234/19055/26408/19094/18749/17532/26404/53859/12293/218397/54635/17311/21809/66513/12287/17260/12977/11600/18750/239556/29857/11876/14254/18596",-0.103679472677999,-0.430170500087829,0.32649102740983,0.103679472677999,0.430170500087829,0.32649102740983,"all negative"
