"comparison","database","pathway_key","pathway_name","filter_mode_used","fdr_cutoff_used","direction_class","delta_NES","abs_delta_NES","NES_x","NES_y","padj_x","padj_y","leading_edge_x","leading_edge_y","pathway_id_mouse_KD","pathway_id_mouse_KO","pathway_id_mouse_het","pathway_name_mouse_KD","pathway_name_mouse_KO","pathway_name_mouse_het","NES_mouse_KO","padj_mouse_KO","signed_log10padj_mouse_KD","signed_log10padj_mouse_KO","signed_log10padj_mouse_het","significant_mouse_KD","significant_mouse_KO","significant_mouse_het","leading_edge_mouse_KO","delta_NES_KO_minus_het","delta_NES_KD_minus_het","delta_NES_KO_minus_KD","abs_delta_NES_KO_minus_het","abs_delta_NES_KD_minus_het","abs_delta_NES_KO_minus_KD","direction_pattern"
"mouse KD vs control vs mouse het vs WT","KEGG","mmu03250","Viral life cycle - HIV-1","either",0.05,"opposite direction",3.1184438689363,3.1184438689363,-1.41152828240362,1.70691558653268,0.449197860962567,0.0339804976805963,"432508/56045/64144/57314/103573/218442/12455/270058/27632/19428/17755/235180/268373/93736/80287/14534/12121/15239/328572/208092/20922/17754","20587/69550/209387/26943/27632/22088/80287/319236/17858/23988/64144/57314/235180/208092/268373/16543/19384/14534/17755/432508/56045","mmu03250","mmu03250","mmu03250","Viral life cycle - HIV-1","Viral life cycle - HIV-1","Viral life cycle - HIV-1",-0.963276103498734,0.696930280957336,1.46877026471494,-0.156810665388299,-0.347562320474617,TRUE,FALSE,FALSE,"15239/12455/17755/268373/27632/17754/20587/12121/93736/328572/192657/14534/80287/20922/235180/208092",0.448252178904886,3.1184438689363,-2.67019169003141,0.448252178904886,3.1184438689363,2.67019169003141,"mixed or incomplete"
"mouse KD vs control vs mouse het vs WT","KEGG","mmu00260","Glycine, serine and threonine metabolism","either",0.05,"opposite direction",3.03170942875744,3.03170942875744,-1.19672246877965,1.83498695997779,0.616014409693794,0.0251450833460895,"14431/56012/108037/71776/237940/26912/11655/27364/12411/20425/110695/192166","107869/100678/192166/26912/110695/108037/76238/236539/107272/14431","mmu00260","mmu00260","mmu00260","Glycine, serine and threonine metabolism","Glycine, serine and threonine metabolism","Glycine, serine and threonine metabolism",-1.23317861790195,0.452980132450331,1.59954692052479,-0.343920845573053,-0.210409128781506,TRUE,FALSE,FALSE,"236539/71776/110695/13382/56012/11656/108037/26912/11655/27364/20425/12411/14431/107869/192166",-0.0364561491222999,3.03170942875744,-3.06816557787974,0.0364561491222999,3.03170942875744,3.06816557787974,"mixed or incomplete"
"mouse KD vs control vs mouse het vs WT","KEGG","mmu00983","Drug metabolism - other enzymes","either",0.05,"opposite direction",3.02907363333991,3.02907363333991,-1.17069899718954,1.85837463615037,0.616014409693794,0.0131418270040687,"56615/382985/18102/99586/211666/14860/22436/21877/14863/68312/18103/394432/234564/14862","22436/20135/14873/56520/23918/15452/211666/14870/66588/382985/68312/22271/110006/14869/80914/68556/394435/14863","mmu00983","mmu00983","mmu00983","Drug metabolism - other enzymes","Drug metabolism - other enzymes","Drug metabolism - other enzymes",-1.33911509101565,0.330621625565446,1.88134425405867,-0.480668743152414,-0.210409128781506,TRUE,FALSE,FALSE,"22247/12623/18103/76654/110006/18102/14860/382985/56615/14866/211666/22436/14865/99586/14863/68312/21877/234564/394432/14862",-0.16841609382611,3.02907363333991,-3.19748972716602,0.16841609382611,3.02907363333991,3.19748972716602,"mixed or incomplete"
"mouse KD vs control vs mouse het vs WT","KEGG","mmu00240","Pyrimidine metabolism","either",0.05,"opposite direction",2.99823088010894,2.99823088010894,-1.21664206838907,1.78158881171987,0.598958101429271,0.0207487466842848,"18605/382985/18102/99586/21915/22171/21877/103850/18103/209558/76025/50773/68106","22169/20135/56520/320685/12499/55936/50773/69719/66588/382985/68106/22271/76952/22171/76025/80914/68556/23959","mmu00240","mmu00240","mmu00240","Pyrimidine metabolism","Pyrimidine metabolism","Pyrimidine metabolism",-1.28255796644622,0.398122885517844,1.68300813145975,-0.399982856908633,-0.222603556499655,TRUE,FALSE,FALSE,"18103/76654/22171/18102/382985/55936/21915/50773/99586/103850/68106/21877/209558/76025/18605",-0.0659158980571501,2.99823088010894,-3.06414677816609,0.0659158980571501,2.99823088010894,3.06414677816609,"mixed or incomplete"
"mouse KD vs control vs mouse het vs WT","KEGG","mmu00620","Pyruvate metabolism","either",0.05,"opposite direction",2.97321791628441,2.97321791628441,-1.18992560553643,1.78329231074798,0.616014409693794,0.0250463154255252,"107476/17449/110695/11669/11529","74551/110695/11529/14194/76238/16828/107476/11532/17436/235339/110446/18597/107029/109801","mmu00620","mmu00620","mmu00620","Pyruvate metabolism","Pyruvate metabolism","Pyruvate metabolism",-0.95749884075396,0.710823529411765,1.60125615435,-0.148238204777031,-0.210409128781506,TRUE,FALSE,FALSE,"74551/107476/110460/11669/11529",0.23242676478247,2.97321791628441,-2.74079115150194,0.23242676478247,2.97321791628441,2.74079115150194,"mixed or incomplete"
"mouse KD vs control vs mouse het vs WT","KEGG","mmu00230","Purine metabolism","either",0.05,"opposite direction",2.89631859934801,2.89631859934801,-1.28796105509192,1.60835754425609,0.541958372753075,0.0286054988014453,"18102/104110/242202/66358/23984/18574/22436/12496/14544/104111/18160/54611/103850/18103/18576/237823/11564/209558/667034/56248/76025/50773/14923/224794/66355","22436/18573/20135/11566/56520/18576/23918/15452/229949/108147/12499/14923/11639/238871/18578/50773/72157/382985/27369/23984/53893/104111/76952/66566/76025/14450/23959/67054/109674/218461/11717/12497/103850/231327/230103/237823/11534/54369/75686/11821/23972/23917/11486/66355/23971/74167/105446","mmu00230","mmu00230","mmu00230","Purine metabolism","Purine metabolism","Purine metabolism",-1.63646591632378,0.0552566469523073,1.54355047492762,-1.25761547219352,-0.266034069878427,TRUE,FALSE,FALSE,"18102/229589/12496/74167/27369/382985/238871/11515/11514/18577/224794/22436/50773/18160/11512/667034/103850/237823/11565/11564/18576/104111/18574/14923/66355/14544/229949/104110/209558/76025/11636/54611/18605",-0.34850486123186,2.89631859934801,-3.24482346057987,0.34850486123186,2.89631859934801,3.24482346057987,"mixed or incomplete"
"mouse KD vs control vs mouse het vs WT","KEGG","mmu04518","Integrin signaling","either",0.05,"opposite direction",2.83226515198081,2.83226515198081,-1.31758764252361,1.5146775094572,0.476190476190476,0.0477486401156393,"18591/22341/14118/11465/18708/21803/192897/16399/16421/13866/12387/20750/21827/16775/109700/12841/94216/12835/12833/14268/12834/12842/320910/13649/241226/70549/18596/12843/14254","12842/16775/12843/12266/20750/12826/14118/12833/12835/12834/21923/15234/241226/12827/16419/11651/192176/21827/16403/14268/13866/12443/12444/21826/57342/319480/18595/11461/16773/114249/22339/226519/18706/20779/12540/18709/56717/71785/14083/109700/11465/70549/16416/18596/94216","mmu04518","mmu04518","mmu04518","Integrin signaling","Integrin signaling","Integrin signaling",-1.68045037631349,0.0399239440062275,1.32103899263906,-1.39876656218593,-0.32221929473392,TRUE,TRUE,FALSE,"18591/16416/16399/170736/14268/60595/109711/13866/16398/114249/17295/16402/12443/21826/192897/218952/94216/319480/11465/14083/21827/15234/12266/18708/16775/12387/54635/16419/109700/12835/70549/20750/12842/12833/12834/14254/12843/18596/320910/241226",-0.36286273378988,2.83226515198081,-3.19512788577069,0.36286273378988,2.83226515198081,3.19512788577069,"mixed or incomplete"
"mouse KD vs control vs mouse het vs WT","KEGG","mmu04926","Relaxin signaling pathway","either",0.05,"opposite direction",2.7040854318506,2.7040854318506,-1.13129274264511,1.57279268920549,0.616586538461539,0.0286054988014453,"12827/16476/21812/109689/26396/22341/19094/26398/18708/21803/11911/104110/18035/14706/14700/14281/104111/14784/26427/216869/26420/20418/271849/12825/94216/12842/17395/13649/18750/12843/29857/14681","11475/12842/12843/12826/26396/12915/12825/12827/18798/11651/14701/18795/26395/15461/26398/14693/14708/26420/20416/18176/17386/104111/216148/26417/22339/18706/20779/11911/26419/21813/18709/14281/14688/26400/14696/14706/94216/17395/21803/13618/14702/18797/13649/26414","mmu04926","mmu04926","mmu04926","Relaxin signaling pathway","Relaxin signaling pathway","Relaxin signaling pathway",-1.40200089003118,0.243505784278008,1.54355047492762,-0.613490718021485,-0.210005961178907,TRUE,FALSE,FALSE,"14281/11515/26420/11514/94216/14784/20416/26417/19094/11512/20418/18749/271849/14708/18708/104111/17395/14681/12825/104110/14706/12842/26427/18750/29857/12843",-0.27070814738607,2.7040854318506,-2.97479357923667,0.27070814738607,2.7040854318506,2.97479357923667,"mixed or incomplete"
"mouse KD vs control vs mouse het vs WT","KEGG","mmu04960","Aldosterone-regulated sodium reabsorption","either",0.05,"opposite direction",-2.6234248467757,2.6234248467757,0.833121326378761,-1.79030352039694,0.873251231527094,0.0342158095989112,"11931/18706/16337/26413/11933/16653/11928/65962/18707","18607/83814/18752/74769/18710/11931/16367","mmu04960","mmu04960","mmu04960","Aldosterone-regulated sodium reabsorption","Aldosterone-regulated sodium reabsorption","Aldosterone-regulated sodium reabsorption",-0.996173390334345,0.672536829301257,-1.46577317946776,-0.172283927943622,0.0588607932138838,TRUE,FALSE,FALSE,"26417/18708/18750/20393",-1.82929471671311,-2.6234248467757,0.794130130062595,1.82929471671311,2.6234248467757,0.794130130062595,"mixed or incomplete"
"mouse KD vs control vs mouse het vs WT","KEGG","mmu04151","PI3K-Akt signaling pathway","either",0.05,"opposite direction",2.54273591076072,2.54273591076072,-1.02878211070528,1.51395380005544,0.712086869432291,0.0121206510758779,"192897/22627/16399/14706/16421/14700/13866/14183/17311/14784/20750/19052/21827/13637/78134/16775/109700/12841/20181/26427/22059/22084/20393/105787/18414/75705/94216/12835/11876/22631/14182/74370/12833/14268/12189/12834/12842/68401/11600/320910/72508/13649/18750/241226/18596/12843/14254","74551/12842/16775/78134/12843/20750/18414/14178/12826/12833/12835/26396/12834/68401/13874/74747/21923/15234/22059/12567/12915/14936/16453/13685/241226/12048/12827/16419/56636/14600/11651/22628/21827/24088/16403/75778/14268/12977/13866/74370/235542/12443/12444/14701/21826/26987/26395/15461/319480/22631/18595/14693/14708/16451/18176/11876/16773/21898/13639/26417/13640/22084/22339/56716/226519/18706/11911/11600/15976/20104/18709/14688/16188/17210/56717/71785/15975/67168/54401/14083/14696/225849/109700/14706/11839/16416/16189/18596/94216/14173","mmu04151","mmu04151","mmu04151","PI3K-Akt signaling pathway","PI3K-Akt signaling pathway","PI3K-Akt signaling pathway",-1.41231056696901,0.0893803332524336,1.91647405087381,-1.04875803041606,-0.14746702235501,TRUE,FALSE,FALSE,"13638/19052/17869/17295/16402/12443/14936/14745/21826/192897/94216/14182/16194/16190/14784/319480/14083/74551/26417/21827/15234/105787/14708/74370/18708/75705/16775/54635/16419/17311/109700/12835/12977/18414/22631/14706/74747/11600/20750/12842/72508/26427/12833/68401/18750/12834/78134/11876/20393/14254/12843/18596/320910/241226",-0.38352845626373,2.54273591076072,-2.92626436702445,0.38352845626373,2.54273591076072,2.92626436702445,"mixed or incomplete"
