"comparison","database","pathway_key","pathway_name","filter_mode_used","fdr_cutoff_used","direction_class","delta_NES","abs_delta_NES","NES_x","NES_y","padj_x","padj_y","leading_edge_x","leading_edge_y","pathway_id_mouse_KD","pathway_id_mouse_KO","pathway_id_mouse_het","pathway_name_mouse_KD","pathway_name_mouse_KO","pathway_name_mouse_het","NES_mouse_het","padj_mouse_het","signed_log10padj_mouse_KD","signed_log10padj_mouse_KO","signed_log10padj_mouse_het","significant_mouse_KD","significant_mouse_KO","significant_mouse_het","leading_edge_mouse_het","delta_NES_KO_minus_het","delta_NES_KD_minus_het","delta_NES_KO_minus_KD","abs_delta_NES_KO_minus_het","abs_delta_NES_KD_minus_het","abs_delta_NES_KO_minus_KD","direction_pattern"
"mouse KO vs WT vs mouse KD vs control","Reactome","R-MMU-917977","Transferrin endocytosis and recycling","either",0.05,"opposite direction",3.21971654116564,3.21971654116564,-2.06916644858182,1.15055009258382,0.00353840220398715,0.936978031192353,"21871/11975/94178/11974/68428/108664/66144/11984/11973/114143/11966/11964/66335/73834/11972","66144/11966/27060/11972/11974/114143/108664/11973","R-MMU-917977","R-MMU-917977","R-MMU-917977","Transferrin endocytosis and recycling","Transferrin endocytosis and recycling","Transferrin endocytosis and recycling",-0.853422060867858,0.967682949411155,-2.45119280312659,0.0282705916562822,-0.0142669111581368,TRUE,FALSE,FALSE,"66335/11975/68428",2.00397215345168,-1.21574438771396,3.21971654116564,2.00397215345168,1.21574438771396,3.21971654116564,"mixed or incomplete"
"mouse KO vs WT vs mouse KD vs control","Reactome","R-MMU-9639288","Amino acids regulate mTORC1","either",0.05,"opposite direction",3.21226077175623,3.21226077175623,-1.90523437119928,1.30702640055695,0.00798655001263218,0.649866007008864,"56032/11984/11973/80909/54170/114143/329679/11966/11964/66335/56692/73834/11972/52187","66144/101148/11966/27060/11972/11974/114143/108664/11973/140742/66290/268933/54170/268706/68441/11964/56032/329679/11984/230784","R-MMU-9639288","R-MMU-9639288","R-MMU-9639288","Amino acids regulate mTORC1","Amino acids regulate mTORC1","Amino acids regulate mTORC1",0.721457853664692,0.998359939772835,-2.09764078439639,0.187176179380944,0.000712853828169644,TRUE,FALSE,FALSE,"11964/101148/329679/108664/66144/11966/66290/98402/68441/11974/56692/140742/11973/114143/19744/54170/11972",0.585568546892258,-2.62669222486397,3.21226077175623,0.585568546892258,2.62669222486397,3.21226077175623,"KD opposite"
"mouse KO vs WT vs mouse KD vs control","Reactome","R-MMU-9711097","Cellular response to starvation","either",0.05,"opposite direction",3.21226077175623,3.21226077175623,-1.90523437119928,1.30702640055695,0.00798655001263218,0.649866007008864,"56032/11984/11973/80909/54170/114143/329679/11966/11964/66335/56692/73834/11972/52187","66144/101148/11966/27060/11972/11974/114143/108664/11973/140742/66290/268933/54170/268706/68441/11964/56032/329679/11984/230784","R-MMU-9711097","R-MMU-9711097","R-MMU-9711097","Cellular response to starvation","Cellular response to starvation","Cellular response to starvation",0.721457853664692,0.998359939772835,-2.09764078439639,0.187176179380944,0.000712853828169644,TRUE,FALSE,FALSE,"11964/101148/329679/108664/66144/11966/66290/98402/68441/11974/56692/140742/11973/114143/19744/54170/11972",0.585568546892258,-2.62669222486397,3.21226077175623,0.585568546892258,2.62669222486397,3.21226077175623,"KD opposite"
"mouse KO vs WT vs mouse KD vs control","Reactome","R-MMU-15869","Metabolism of nucleotides","either",0.05,"opposite direction",-3.17286660977892,3.17286660977892,1.86286026157614,-1.31000634820278,0.00353840220398715,0.613461434953442,"22436/20135/11566/56520/320685/14782/23918/15452/229949/108147/12499/14923/11639/55936/50773/22166/69719/66588/382985/27369/50493/53893/381101/22271/76952/22171/14450/80914/68556/23959/67054/109674/11717/12497/75894/103850/231327/93692/237823/11534/51797/54369/75686/11821/56749/23917/11486/66355/74167/21877/105446/110074","76654/22171/18102/67725/12496/74167/27369/17766/382985/55936/21915/22436/50773/93692/667034/99586/103850/237823/11565/11564/14923/66355/21877/14544/229949/11636","R-MMU-15869","R-MMU-15869","R-MMU-15869","Metabolism of nucleotides","Metabolism of nucleotides","Metabolism of nucleotides",-1.02265834061596,0.886384404508072,2.45119280312659,-0.212212733855234,-0.0523778937434328,TRUE,FALSE,FALSE,"74167/67725/17766/382985/18102/66358/99586/21915/22436/12496/22171/14544/21877/103850/18103/237823/11564/667034/50773/14923/66355",-0.28734800758682,2.8855186021921,-3.17286660977892,0.28734800758682,2.8855186021921,3.17286660977892,"mixed or incomplete"
"mouse KO vs WT vs mouse KD vs control","Reactome","R-MMU-425407","SLC-mediated transmembrane transport","either",0.05,"opposite direction",-3.15046722494015,3.15046722494015,1.72612957885795,-1.4243376460822,0.00658275982132337,0.297927627247405,"26570/12870/20539/14664/20512/11815/13358/109552/11739/20525/94249/331004/67863/56636/242126/19729/17254/24060/63959/11987/11740/71279/56327/67760/26569/20516/338365/106947/239606/72621/108052/107566/53881/28253","63959/72621/229782/55963/268512/109552/67760/30791/13358/73836/20512/338365/27376/20527/110895/20536/20535/19729/331004/67547/242126/72472/53881/108052/67863/69354/103098/13723/100434/170441","R-MMU-425407","R-MMU-425407","R-MMU-425407","SLC-mediated transmembrane transport","SLC-mediated transmembrane transport","SLC-mediated transmembrane transport",-1.15767401912478,0.734725703146756,2.18159199029404,-0.525889222180161,-0.133874766825629,TRUE,FALSE,FALSE,"107723/20536/215113/20520/108652/18174/14664/77031/24059/338365/71279/83429/57138/55963/20512/13521/63959/27376/67760/268512/20535/67863/110895/331004/100434/20527/108052/215335/69354/170441/13723",-0.26666362695742,2.88380359798273,-3.15046722494015,0.26666362695742,2.88380359798273,3.15046722494015,"mixed or incomplete"
"mouse KO vs WT vs mouse KD vs control","Reactome","R-MMU-499943","Interconversion of nucleotide di- and triphosphates","either",0.05,"opposite direction",-3.14880962232242,3.14880962232242,1.85687536681425,-1.29193425550817,0.0258301124952132,0.770242437777612,"20135/56520/320685/14782/229949/14923/11639/55936/22166/66588/382985/50493","18103/22171/18102/67725/382985/55936/21915/93692/14923/229949/11636","R-MMU-499943","R-MMU-499943","R-MMU-499943","Interconversion of nucleotide di- and triphosphates","Interconversion of nucleotide di- and triphosphates","Interconversion of nucleotide di- and triphosphates",-0.786446906474126,0.984455536513687,1.5878737023848,-0.11337255688324,-0.00680389423670546,TRUE,FALSE,FALSE,"55936/67725/382985/18102/21915/22171/18103/14923",-0.505487349034044,2.64332227328838,-3.14880962232242,0.505487349034044,2.64332227328838,3.14880962232242,"mixed or incomplete"
"mouse KO vs WT vs mouse KD vs control","Reactome","R-MMU-190840","Microtubule-dependent trafficking of connexons from Golgi to the plasma membrane","either",0.05,"opposite direction",-3.14040744681573,3.14040744681573,1.98607271075239,-1.15433473606334,0.00363018354294996,0.936978031192353,"14609/22142/67951/22143/227613/22146/22152","53857/22142/22151/73710","R-MMU-190840","R-MMU-190840","R-MMU-190840","Microtubule-dependent trafficking of connexons from Golgi to the plasma membrane","Microtubule-dependent trafficking of connexons from Golgi to the plasma membrane","Microtubule-dependent trafficking of connexons from Golgi to the plasma membrane",-0.923834942765474,0.913961126366231,2.44007141637568,-0.0282705916562822,-0.0390722757800279,TRUE,FALSE,FALSE,"22142/22151/73710",-0.230499793297866,2.90990765351786,-3.14040744681573,0.230499793297866,2.90990765351786,3.14040744681573,"mixed or incomplete"
"mouse KO vs WT vs mouse KD vs control","Reactome","R-MMU-190872","Transport of connexons to the plasma membrane","either",0.05,"opposite direction",-3.14040744681573,3.14040744681573,1.98607271075239,-1.15433473606334,0.00363018354294996,0.936978031192353,"14609/22142/67951/22143/227613/22146/22152","53857/22142/22151/73710","R-MMU-190872","R-MMU-190872","R-MMU-190872","Transport of connexons to the plasma membrane","Transport of connexons to the plasma membrane","Transport of connexons to the plasma membrane",-0.923834942765474,0.913961126366231,2.44007141637568,-0.0282705916562822,-0.0390722757800279,TRUE,FALSE,FALSE,"22142/22151/73710",-0.230499793297866,2.90990765351786,-3.14040744681573,0.230499793297866,2.90990765351786,3.14040744681573,"mixed or incomplete"
"mouse KO vs WT vs mouse KD vs control","Reactome","R-MMU-71387","Metabolism of carbohydrates and carbohydrate derivatives","either",0.05,"opposite direction",-3.07574950295708,3.07574950295708,1.52811306230731,-1.54763644064977,0.0177876920002175,0.092597455118376,"74551/18641/12111/66171/14635/68401/11603/14381/110208/53418/54371/20525/14936/14751/234356/83398/102093/19895/52120/20443/15529/11674/80982/72787/225913/195646/20444/77590/14043/27029/14733/72141/72157/13039/20442/215015/27419/76898/232449/73744/17160/50917/14433/13808/15442/110006/21351/110379/15931/56043/18295/72136/66646/16548/117592/66679/21991/100910/11881/23888/15476/73836/319901/74185/68631/14345/14042/67980/233781/70484/14387/71805/12091/50786/54563/59031/110094/67883","110006/74637/14735/73744/231042/50917/110173/121021/20443/14733/14381/56386/67880/20442/268512/15442/212898/15531/21351/14936/235534/15586/103468/269941/18141/338362/16548/60322/20441/73836/11881/15476/74551/14635/217119/72787/56043/27029/15366/233781/18642/53418/23908/67980/170762/14387/15529/445007/77559/77590/14042/50786/26877/223921/80982/68401/12111/13808/58250/83398/15117/54371","R-MMU-71387","R-MMU-71387","R-MMU-71387","Metabolism of carbohydrates and carbohydrate derivatives","Metabolism of carbohydrates and carbohydrate derivatives","Metabolism of carbohydrates and carbohydrate derivatives",-1.12906413049909,0.71711706043351,1.74988039911089,-1.03340094899014,-0.144409945377243,TRUE,FALSE,FALSE,"212898/100910/56012/338362/74551/14430/59031/72787/108652/18141/20442/80982/21351/50917/14733/56043/15586/227699/74241/27419/53418/16548/74637/15442/19069/15531/15366/216558/13521/233781/14042/268512/15117/77590/77559/83398/15529/12111/14635/170762/50935/18642/14387/217119/27029/445007/58250/68401/223921/67980/13808/26877/54371/50786",-0.41857231015068,2.6571771928064,-3.07574950295708,0.41857231015068,2.6571771928064,3.07574950295708,"mixed or incomplete"
"mouse KO vs WT vs mouse KD vs control","Reactome","R-MMU-9675108","Nervous system development","either",0.05,"opposite direction",-3.0245613377068,3.0245613377068,1.47522262800795,-1.54933870969885,0.0389753152414979,0.092597455118376,"20563/20564/14432/213498/12826/12833/26396/18846/12834/11853/22142/20346/18186/20361/22240/11867/67951/11733/22359/12832/12568/12825/22143/12827/68089/58194/13848/67771/227613/15529/13429/19165/218397/18643/110596/13866/22323/59287/14026/22146/20315/22152/17698/14733/26395/15461/215798/11461/14585/20416/11876/13639/13846/227377/26417/19164/13640/330662/14586/18706/20779/235611/11350/74117/53867/12540/18709","58234/26396/18643/14733/13866/18645/58194/53857/223435/18186/13639/22187/13638/11853/71770/16402/67300/14182/14784/110351/12569/20416/20563/11465/14083/26417/235611/13448/22142/53972/12831/20418/18749/83433/13845/18708/18846/18844/218397/13641/20564/15529/17395/67784/14432/12825/330662/623279/22151/11733/20315/13429/12833/73710/20351/18750/13841/12834/14586/11876/19876/17967/215798","R-MMU-9675108","R-MMU-9675108","R-MMU-9675108","Nervous system development","Nervous system development","Nervous system development",-1.3916797617543,0.194973221809798,1.40921036344921,-1.03340094899014,-0.710025031810951,TRUE,FALSE,FALSE,"18643/20563/14733/66713/13643/26396/13448/227377/20739/216963/26394/11465/18708/53867/11771/16399/13866/78294/22142/235611/14784/22187/13637/13841/13838/12841/12569/330662/18844/20315/22151/223435/23939/15529/11733/20418/623279/73710/71770/20346/20564/12825/12831/18846/11876/20351/14182/12833/13845/17967/20742/14432/67784/19876/12834/17395/13649/110351/67300/18750/215798/107448/13429/14586",-0.15765894794455,2.86690238976225,-3.0245613377068,0.15765894794455,2.86690238976225,3.0245613377068,"mixed or incomplete"
"mouse KO vs WT vs mouse KD vs control","Reactome","R-MMU-5173105","O-linked glycosylation","either",0.05,"opposite direction",-3.00988462885367,3.00988462885367,1.63404855340338,-1.37583607545029,0.0389753152414979,0.502851218247797,"269959/243853/207596/218476/68273/381694/216725/24060/20443/97440/74653/217734/97884/20444/21826/239337/100689/20442/73068/14426/231050/23794/216395","20443/56386/108153/20442/75847/210004/21826/171212/218476/20441/207596/66548/216395/224697/20440/269959/98388/271786/229595/239337/216725","R-MMU-5173105","R-MMU-5173105","R-MMU-5173105","O-linked glycosylation","O-linked glycosylation","O-linked glycosylation",-1.15826367572305,0.71711706043351,1.40921036344921,-0.298560493377639,-0.144409945377243,TRUE,FALSE,FALSE,"210004/207596/98388/66548/20446/100689/78754/171212/229595/271786/224697/218476/239337/230145/216725",-0.21757239972724,2.79231222912643,-3.00988462885367,0.21757239972724,2.79231222912643,3.00988462885367,"mixed or incomplete"
"mouse KO vs WT vs mouse KD vs control","Reactome","R-MMU-422475","Axon guidance","either",0.05,"opposite direction",-2.98472976224169,2.98472976224169,1.47158605606561,-1.51314370617608,0.0417302074146141,0.151666861634974,"20563/20564/14432/213498/12826/12833/26396/18846/12834/11853/22142/20346/18186/20361/22240/11867/67951/11733/22359/12832/12568/12825/22143/12827/68089/58194/13848/67771/227613/15529/13429/19165/218397/18643/110596/13866/22323/59287/14026/22146/20315/22152/17698/14733/26395/15461/11461/14585/20416/11876/13639/13846/227377/26417/19164/13640/330662/14586/18706/20779/235611/11350/74117/53867/12540/18709","58234/26396/18643/14733/13866/18645/58194/53857/223435/18186/13639/22187/13638/11853/71770/16402/67300/14182/14784/110351/12569/20416/20563/11465/14083/26417/235611/13448/22142/53972/12831/20418/18749/83433/13845/18708/18846/18844/218397/13641/20564/15529/17395/67784/14432/12825/330662/623279/22151/11733/20315/13429/12833/73710/20351/18750/13841/12834/14586/11876/19876/17967","R-MMU-422475","R-MMU-422475","R-MMU-422475","Axon guidance","Axon guidance","Axon guidance",-1.38474370639167,0.297921559942384,1.37954945667821,-0.81910929977504,-0.525898066690307,TRUE,FALSE,FALSE,"18643/20563/14733/66713/13643/26396/13448/227377/20739/216963/26394/11465/18708/53867/11771/16399/13866/78294/22142/235611/14784/22187/13637/13841/13838/12841/12569/330662/18844/20315/22151/223435/23939/15529/11733/20418/623279/73710/71770/20346/20564/12825/12831/18846/11876/20351/14182/12833/13845/17967/20742/14432/67784/19876/12834/17395/13649/110351/67300/18750/107448/13429/14586",-0.12839999978441,2.85632976245728,-2.98472976224169,0.12839999978441,2.85632976245728,2.98472976224169,"mixed or incomplete"
"mouse KO vs WT vs mouse KD vs control","Reactome","R-MMU-191273","Cholesterol biosynthesis","either",0.05,"opposite direction",-2.9689195598728,2.9689195598728,0.991738613867884,-1.97718094600492,0.82300197181091,0.0170324194965145,"20787/18194/110196/17855/14137/74411/68865/74754/14593/13595/98386","74754/13360/13595/235293/15490/15357/192156/20787/16987/13121/110460/17855/14137/68603/110196/20788/208715/18194/20775","R-MMU-191273","R-MMU-191273","R-MMU-191273","Cholesterol biosynthesis","Cholesterol biosynthesis","Cholesterol biosynthesis",-1.22664479969546,0.71711706043351,0.0845991242706321,-1.76872365507033,-0.144409945377243,FALSE,TRUE,FALSE,"16987/13595/13121/192156/208715/13360/17855/18194/110460/14137/20775/20787/20788",-0.75053614630946,2.21838341356334,-2.9689195598728,0.75053614630946,2.21838341356334,2.9689195598728,"mixed or incomplete"
"mouse KO vs WT vs mouse KD vs control","Reactome","R-MMU-74752","Signaling by Insulin receptor","either",0.05,"opposite direction",2.95312170423288,2.95312170423288,-1.87691243437132,1.07620926986156,0.00545034000170317,0.943121050072922,"18607/14171/11984/19246/11973/114143/14388/74769/384783/16367/11966/11964/66335/13033/73834/11972","66144/14183/16337/11966/27060/14165/11972/11974/114143/384783/108664/11973/20662/66290/16367/67112","R-MMU-74752","R-MMU-74752","R-MMU-74752","Signaling by Insulin receptor","Signaling by Insulin receptor","Signaling by Insulin receptor",0.816549153667516,0.985501041464915,-2.26357640483203,0.0254325617644978,0.00634291242743327,TRUE,FALSE,FALSE,"14165/18706/11964/16337/384783/26413/108664/66144/11966",0.259660116194044,-2.69346158803884,2.95312170423288,0.259660116194044,2.69346158803884,2.95312170423288,"KD opposite"
"mouse KO vs WT vs mouse KD vs control","Reactome","R-MMU-8978868","Fatty acid metabolism","either",0.05,"opposite direction",-2.94806425650698,2.94806425650698,1.72165378064758,-1.2264104758594,0.00501523604919284,0.645575114540632,"56348/106529/74114/76267/11409/17250/330260/19224/19225/67460/66904/75778/104112/231086/14104/107476/257633/56473/171210/93747/11370/16922/56360/23986/26897/68041/433256/234309/66775/26378/52538/17117/17850/269823/110821/11690/625249/11666/20524/70316/26922/18783/15107/93732/13078/19223/50790/223722/111175/329910/57279/14775/13479/12896","57279/20181/23986/12896/264895/12894/66904/74522/11666/11690/330260/257633/15107/16993/67460/107476/223722/19223/17117/170439/269823/26922/14104/52538/11370/104112/216739/105387/68041/20524/13110","R-MMU-8978868","R-MMU-8978868","R-MMU-8978868","Fatty acid metabolism","Fatty acid metabolism","Fatty acid metabolism",-1.37626087332941,0.434899569583931,2.29970862147719,-0.190053219032555,-0.361611022151671,TRUE,FALSE,FALSE,"329910/71985/23986/96979/110959/72482/66904/20280/74522/15488/97212/20520/100705/73724/80911/74205/11671/264895/13177/223722/12896/170789/16993/11430/108099/57279/68041/11666/104112/11690/26922/20181/107476/67460/14104/12894/17117/216739/11370/330260/52538/20524/105387/13110/19223/269823",0.14985039747001,3.09791465397699,-2.94806425650698,0.14985039747001,3.09791465397699,2.94806425650698,"mixed or incomplete"
"mouse KO vs WT vs mouse KD vs control","Reactome","R-MMU-9837999","Mitochondrial protein degradation","either",0.05,"opposite direction",-2.89642341987031,2.89642341987031,1.83831562165218,-1.05810779821813,0.00623976343435865,0.957855194348325,"56454/228026/20917/381314/14194/108037/51798/14661/66885/66904/11740/74142/13171/53895/171210/64704/110446/26897/269951/234847/11820/18597/107029/15510/68646/56282/15107/381760/66865/118451","13382/20917/269951/18293/17705/108037/14151/17448/66948/11655/66904/11820/71679/15107/67041/56282/22272/69029/11429/51798/11669","R-MMU-9837999","R-MMU-9837999","R-MMU-9837999","Mitochondrial protein degradation","Mitochondrial protein degradation","Mitochondrial protein degradation",-0.915227213626207,0.942141106580983,2.20483187523748,-0.0187001412856127,-0.025884047079633,TRUE,FALSE,FALSE,"14151/18293/56282/69029/11429/71679/22272/11669",-0.142880584591923,2.75354283527839,-2.89642341987031,0.142880584591923,2.75354283527839,2.89642341987031,"mixed or incomplete"
"mouse KO vs WT vs mouse KD vs control","Reactome","R-MMU-77289","Mitochondrial Fatty Acid Beta-Oxidation","either",0.05,"opposite direction",-2.89010089984538,2.89010089984538,1.78897766175698,-1.1011232380884,0.035581101042316,0.94766484042757,"11409/67460/66904/75778/231086/171210/93747/11370/56360/26897/52538/17850/110821/70316/26922/15107/223722/329910","264895/66904/15107/67460/223722/26922/52538/11370","R-MMU-77289","R-MMU-77289","R-MMU-77289","Mitochondrial Fatty Acid Beta-Oxidation","Mitochondrial Fatty Acid Beta-Oxidation","Mitochondrial Fatty Acid Beta-Oxidation",-1.30936086177456,0.575149900066622,1.44878061698274,-0.023345231954644,-0.240218951332113,TRUE,FALSE,FALSE,"329910/71985/72482/66904/97212/73724/264895/13177/223722/26922/67460/11370/52538",0.20823762368616,3.09833852353154,-2.89010089984538,0.20823762368616,3.09833852353154,2.89010089984538,"mixed or incomplete"
"mouse KO vs WT vs mouse KD vs control","Reactome","R-MMU-2024096","HS-GAG degradation","either",0.05,"opposite direction",-2.85488537490108,2.85488537490108,1.83977573331426,-1.01510964158682,0.0330584230156803,1,"11603/52120/15529/27029/14733/13039/27419/15442/15931/23888","20971/27419/13039/20969/14735/14733/15442/27029/15529","R-MMU-2024096","R-MMU-2024096","R-MMU-2024096","HS-GAG degradation","HS-GAG degradation","HS-GAG degradation",-0.87374006614308,0.943532119478987,1.48071786739866,0,-0.0252433111057764,TRUE,FALSE,FALSE,"14733/27419/15442/15529/27029",-0.14136957544374,2.71351579945734,-2.85488537490108,0.14136957544374,2.71351579945734,2.85488537490108,"mixed or incomplete"
"mouse KO vs WT vs mouse KD vs control","Reactome","R-MMU-447115","Interleukin-12 family signaling","either",0.05,"opposite direction",-2.84889988695885,2.84889988695885,0.916953137719472,-1.93194674923938,0.899352061149903,0.0413573406583092,"12931/16452/54721/20848/18453","16161/12330/16195/20848/18453/12931","R-MMU-447115","R-MMU-447115","R-MMU-447115","Interleukin-12 family signaling","Interleukin-12 family signaling","Interleukin-12 family signaling",-1.58703492403553,0.292920504494945,0.0460702656817271,-1.38344739483078,-0.533250226552181,FALSE,TRUE,FALSE,"54721/12330/16161/20848/18453/12931",-0.34491182520385,2.503988061755,-2.84889988695885,0.34491182520385,2.503988061755,2.84889988695885,"mixed or incomplete"
"mouse KO vs WT vs mouse KD vs control","Reactome","R-MMU-71291","Metabolism of amino acids and derivatives","either",0.05,"opposite direction",-2.83204692598301,2.83204692598301,1.62226986422942,-1.20977706175359,0.0160976196444126,0.674489352455454,"107869/20539/108682/56454/100678/12041/192166/26943/66811/110695/18263/26444/14874/14661/76238/12035/17254/11898/66885/236539/27053/107272/14431/228608/59029/13171/20810/93747/78038","78920/69077/19173/72947/68346/12036/18247/66997/66948/50880/78038/67824/59010/14874/12389/66902/210009/27364/20425/12411/22117/242669/12035/26446/19175/14431/19184/107869/15473/12041/14645/22123/18242/27376/246221/18104/66514/66194/11484/235386/56551/54375/100434/19125/11898/192166","R-MMU-71291","R-MMU-71291","R-MMU-71291","Metabolism of amino acids and derivatives","Metabolism of amino acids and derivatives","Metabolism of amino acids and derivatives",-1.1365777972168,0.71711706043351,1.79323833836101,-0.171024901746474,-0.144409945377243,TRUE,FALSE,FALSE,"209692/54375/66902/14645/27364/12411/72947/15473/66997/22123/27376/20425/235386/18293/56551/26446/228608/11898/19184/246221/22117/66194/100434/19175/110695/11484/18104/19125/192166",-0.0731992645367898,2.75884766144622,-2.83204692598301,0.0731992645367898,2.75884766144622,2.83204692598301,"mixed or incomplete"
"mouse KO vs WT vs mouse KD vs control","Reactome","R-MMU-211935","Fatty acids","either",0.05,"opposite direction",-2.78413640217919,2.78413640217919,1.18335536788994,-1.60078103428925,0.654733424470267,0.012379438725724,"11529","56448/11529/13110","R-MMU-211935","R-MMU-211935","R-MMU-211935","Fatty acids","Fatty acids","Fatty acids",-1.63145642104506,0.0274608683252631,0.183935487560568,-1.90729904544892,-1.56128573429125,FALSE,TRUE,TRUE,"13110/56448/11529",0.03067538675581,2.814811788935,-2.78413640217919,0.03067538675581,2.814811788935,2.78413640217919,"mixed or incomplete"
"mouse KO vs WT vs mouse KD vs control","Reactome","R-MMU-196854","Metabolism of vitamins and cofactors","either",0.05,"opposite direction",-2.77269026452033,2.77269026452033,1.69028538324702,-1.08240488127331,0.0138657046302696,0.936978031192353,"270685/192185/17768/11603/14873/77697/226518/108037/71883/20525/52710/107747/216188/17250/20509/67914/11651/66904/15529/246703/67096/15926/14104/107476/71743/78038/16971/18113/14733/72621/69568/69225/109754/108156/230027/66812/17850/69372/110821/19286/105663/239393/68646/20425/14287/73132/319945/23888","110821/107885/268566/26363/108037/217707/67096/68591/71883/108156/20969/67283/56738/71743/77697/14735/12850/73132/17252/14733/78038/50500/72621/210009/20425/216188/66904/27973/216134/230027/14528/246703/69906/239393/11761/109672/270685/20527/107476/107747/52710/14104/15529/74080/68087/105387/12494/19659/18605/109754","R-MMU-196854","R-MMU-196854","R-MMU-196854","Metabolism of vitamins and cofactors","Metabolism of vitamins and cofactors","Metabolism of vitamins and cofactors",-1.07604643801909,0.820663298996302,1.85805805545777,-0.0282705916562822,-0.0858349882896661,TRUE,FALSE,FALSE,"12850/66904/320415/68591/18113/16971/108037/230125/103711/52710/11428/107885/14733/100705/27973/18605/216188/67861/71743/270685/69906/217707/52466/56738/11761/20425/107476/26363/67283/15529/74080/14104/107747/20527/12494/14528/109672/105387/216134/109754/19659/68087",-0.00635844325422008,2.76633182126611,-2.77269026452033,0.00635844325422008,2.76633182126611,2.77269026452033,"mixed or incomplete"
"mouse KO vs WT vs mouse KD vs control","Reactome","R-MMU-72766","Translation","either",0.05,"opposite direction",-2.76067862901965,2.76067862901965,1.91565806715594,-0.845020561863712,2.06415807312743e-06,1,"13627/27397/74776/224045/13685/27207/27979/26444/27050/27370/13629/54709/20091/13681/69089/66855/67768/68028/18458/26961/20085/67427/20103/68537/59029/67707/235606/66047/27367/55949/19934/16898/67895/73830/68836/66407/69956/268449/75452/67840/76808/27398/16341/270106/216080/108067/56040/14852/67115/269261/67160/64659/16785/208643/20813/20102/67281/19181/67871/77987/19981/67891/11837/67673/100043813/121022/65111/56282/55944/20090/19944/70316/68052/20116/66085/211253/19982/20104/19167/67097/100502825/107732/94062/66242/67212/71745/66661/118451/239555/19173/22121/67089/66656/19943/67270/353242/69163/67674/20084/100503670/98221/75617/67025/17463/66480/66230/75705/19935/66448/56550/66105/27395/19942/53356/50529/18100/66258/22384/56284/22123/19988/20115/76846/94066/54127/20005/26441/57294/19170/70247/78294/67204/213753","17705/66407/19941/69077/24067/17711/65111/19173/66047/67707/19943/218506/66997/73830/320806/209354/235606/66656/13681/27397/108067/53356/22187/216767/65019/60441/19921/68463/66242/67671/66163/67036/26446/19175/94064/24030/50529/75452/217337/19184/239555/64660/56438/22123/66258/26961/64656/16341/74776/68572/68537/56282/68135/67212/121022/55944/75705/223691/107732","R-MMU-72766","R-MMU-72766","R-MMU-72766","Translation","Translation","Translation",-0.890725331063278,0.974358175716188,5.68525704752046,0,-0.0112813663835205,TRUE,FALSE,FALSE,"67840/69077/17705/57837/69089/13667/27398/19173/66407/68836/235606/239555/99045/66845/13681/67036/78294/211253/66258/102060/24030/56438/66163/64656/17711/22187/79044/65019/66997/24067/55944/68463/22123/50529/217337/68537/56282/19941/26446/19942/19921/67671/223691/216767/107732/19184/75705/16341/67212/68135/26961/94064/60441/68572/75452/19175/64660",0.045704769199566,2.80638339821922,-2.76067862901965,0.045704769199566,2.80638339821922,2.76067862901965,"mixed or incomplete"
"mouse KO vs WT vs mouse KD vs control","Reactome","R-MMU-913531","Interferon Signaling","either",0.05,"opposite direction",-2.74270948198527,2.74270948198527,1.75552651498341,-0.987182967001859,0.00363018354294996,1,"99899/24110/100038882/230073/14469/16391/74153/22142/22059/67951/17999/22143/18148/13681/19106/227613/13690/230861/14272/217069/22146/22152/56791/26987/12702/72775/231655/14088/67030/208643/108058/26417/100040608","230861/56469/22143/14229/22059/69928/72775/12323/26399/13681/53857/22187/19052/12325/56208/26417/71885/22142/192170/21357/67030/20848/17999/15980/108058/20892/15979/12702/22151/73710","R-MMU-913531","R-MMU-913531","R-MMU-913531","Interferon Signaling","Interferon Signaling","Interferon Signaling",-0.867538337782798,0.967682949411155,2.44007141637568,0,-0.0142669111581368,TRUE,FALSE,FALSE,"16211/12323/14229/12702/67030/12703/18753/69928/54721/56469/60534/217069/20698/13681/78294/26399/22142/21357/104806/22187/19052/15979/20892/20848/22059/22151/192170/56208/73710/71885",-0.119644629219061,2.62306485276621,-2.74270948198527,0.119644629219061,2.62306485276621,2.74270948198527,"mixed or incomplete"
