"comparison","database","pathway_key","pathway_name","filter_mode_used","fdr_cutoff_used","direction_class","delta_NES","abs_delta_NES","NES_x","NES_y","padj_x","padj_y","leading_edge_x","leading_edge_y","pathway_id_mouse_KD","pathway_id_mouse_KO","pathway_id_mouse_het","pathway_name_mouse_KD","pathway_name_mouse_KO","pathway_name_mouse_het","NES_mouse_het","padj_mouse_het","signed_log10padj_mouse_KD","signed_log10padj_mouse_KO","signed_log10padj_mouse_het","significant_mouse_KD","significant_mouse_KO","significant_mouse_het","leading_edge_mouse_het","delta_NES_KO_minus_het","delta_NES_KD_minus_het","delta_NES_KO_minus_KD","abs_delta_NES_KO_minus_het","abs_delta_NES_KD_minus_het","abs_delta_NES_KO_minus_KD","direction_pattern"
"mouse KO vs WT vs mouse KD vs control","Reactome","R-MMU-3000178","ECM proteoglycans","either",0.05,"opposite direction",-3.56367053000639,3.56367053000639,1.88427372020344,-1.67939680980295,0.024198253453371,0.297927627247405,"12111/12833/12834/11603/21923/241226/12832/12825/16419/14268","12841/16416/16399/12832/14268/16398/11820/12831/16419/12825/12833/12834/12111/241226","R-MMU-3000178","R-MMU-3000178","R-MMU-3000178","ECM proteoglycans","ECM proteoglycans","ECM proteoglycans",-1.68147184960827,0.174966728697905,1.616215978769,-0.525889222180161,-0.757044527980367,TRUE,FALSE,FALSE,"16398/53867/16399/12841/12111/12825/12831/12833/14268/12834/241226",0.00207503980531998,3.56574556981171,-3.56367053000639,0.00207503980531998,3.56574556981171,3.56367053000639,"mixed or incomplete"
"mouse KO vs WT vs mouse KD vs control","Reactome","R-MMU-211859","Biological oxidations","either",0.05,"opposite direction",-3.42688946610236,3.42688946610236,1.68630143188797,-1.74058803421439,0.0188996970627219,0.0503674171102055,"232087/14873/11529/11864/69065/14874/19224/211666/14870/67768/228608/11532/18113/68312/75475/269378/22021/14629/109754/68021/14854/13123/109652/110198/14630/18105/13078/19223/14863/13479/22017/68044/67674/67883/22235/14865/22022/56448/13885/238505/110175","74134/211666/14865/13121/71670/19223/110175/22021/14863/11864/68312/11669/75475/394432/14862/11622/13123/68021/56448/109754/11529/13110","R-MMU-211859","R-MMU-211859","R-MMU-211859","Biological oxidations","Biological oxidations","Biological oxidations",-1.92016852289219,0.00744027035541931,1.72354515694012,-1.29785031961174,-2.12841128330714,TRUE,FALSE,TRUE,"14629/110198/74134/211666/71670/68021/216558/14149/14854/22021/108645/20181/14863/68312/228608/75475/207182/110175/394432/11864/11622/13110/11669/56448/109754/11529/14862/13123/19223",0.1795804886778,3.60646995478016,-3.42688946610236,0.1795804886778,3.60646995478016,3.42688946610236,"mixed or incomplete"
"mouse KO vs WT vs mouse KD vs control","Reactome","R-MMU-3000171","Non-integrin membrane-ECM interactions","either",0.05,"opposite direction",-3.37840726405226,3.37840726405226,1.72095654146035,-1.65745072259191,0.0431886103455045,0.21135673059398,"11475/16775/12826/11603/12832/12825/12827/16419/13528/15529/16403/14268/18214/11461/24052/53867/12814/11465/16416/94216/14173/12831/21803/20392","20969/16416/12832/14268/14173/16398/192897/94216/12305/12814/11465/12831/16775/15529/16419/12825/18214/20649/18750/16651","R-MMU-3000171","R-MMU-3000171","R-MMU-3000171","Non-integrin membrane-ECM interactions","Non-integrin membrane-ECM interactions","Non-integrin membrane-ECM interactions",-1.67078455396509,0.13921524293494,1.36463076976562,-0.674983917632535,-0.856313210414354,TRUE,FALSE,FALSE,"11465/21803/53867/192897/24051/16775/18214/15529/12825/12831/94216/12814/14268/20649/12305/16651/18750",0.0133338313731801,3.39174109542544,-3.37840726405226,0.0133338313731801,3.39174109542544,3.37840726405226,"mixed or incomplete"
"mouse KO vs WT vs mouse KD vs control","Reactome","R-MMU-156590","Glutathione conjugation","either",0.05,"opposite direction",-3.34342597497871,3.34342597497871,1.88440994222982,-1.45901603274889,0.0231770015780794,0.532505988820868,"14873/69065/14874/211666/14870/68312/75475/14629/14854/14630/14863/68044/14865/13885/110175","14629/58810/14854/207182/14874/56615/14866/211666/14865/110175/14863/68312/75475/14862","R-MMU-156590","R-MMU-156590","R-MMU-156590","Glutathione conjugation","Glutathione conjugation","Glutathione conjugation",-1.52187968792392,0.334299897342615,1.63494274966336,-0.273675503575177,-0.475863756771304,TRUE,FALSE,FALSE,"13885/56615/14629/211666/14854/14863/68312/75475/207182/110175/14862",0.0628636551750301,3.40628963015374,-3.34342597497871,0.0628636551750301,3.40628963015374,3.34342597497871,"mixed or incomplete"
"mouse KO vs WT vs mouse KD vs control","Reactome","R-MMU-381426","Regulation of Insulin-like Growth Factor (IGF) transport and uptake by Insulin-like Growth Factor Binding Proteins (IGFBPs)","either",0.05,"opposite direction",-3.33369137812408,3.33369137812408,1.97263048669993,-1.36106089142415,0.000620527189247212,0.514760511273179,"29817/12870/74761/12266/20750/16010/71898/14118/56453/19672/66940/14314/21923/21857/16009/20856/223672/208659/22393/268977/15529/382014/14268/18491/12977/20254","105348/11820/208659/75761/74761/77583/83453/16012/12266/18619/13602/15529/16009/12977/16852/76453/18453/20750/21857/14314/16010/80752","R-MMU-381426","R-MMU-381426","R-MMU-381426","Regulation of Insulin-like Growth Factor (IGF) transport and uptake by Insulin-like Growth Factor Binding Proteins (IGFBPs)","Regulation of Insulin-like Growth Factor (IGF) transport and uptake by Insulin-like Growth Factor Binding Proteins (IGFBPs)","Regulation of Insulin-like Growth Factor (IGF) transport and uptake by Insulin-like Growth Factor Binding Proteins (IGFBPs)",-1.07717225773086,0.823628017047758,3.20723918454183,-0.288394776441196,-0.0842688885689565,TRUE,FALSE,FALSE,"21857/18453/15529/13602/208659/75761/105348/16852/76453/14268/16012/16010/80752/16009",-0.28388863369329,3.04980274443079,-3.33369137812408,0.28388863369329,3.04980274443079,3.33369137812408,"mixed or incomplete"
"mouse KO vs WT vs mouse KD vs control","Reactome","R-MMU-156580","Phase II - Conjugation of compounds","either",0.05,"opposite direction",-3.29092254064991,3.29092254064991,1.88549634183508,-1.40542619881483,0.00658275982132337,0.564222646462236,"232087/14873/69065/14874/211666/14870/67768/18113/68312/75475/269378/22021/14629/14854/14630/14863/22017/68044/67674/67883/22235/14865/22022/13885/238505/110175","14874/210009/56615/14866/211666/14865/110175/22021/14863/68312/75475/394432/14862","R-MMU-156580","R-MMU-156580","R-MMU-156580","Phase II - Conjugation of compounds","Phase II - Conjugation of compounds","Phase II - Conjugation of compounds",-1.32068184700278,0.561900033101622,2.18159199029404,-0.248549486354704,-0.250340942320741,TRUE,FALSE,FALSE,"14629/211666/216558/14854/22021/108645/14863/68312/75475/207182/110175/394432/14862",-0.0847443518120501,3.20617818883786,-3.29092254064991,0.0847443518120501,3.20617818883786,3.29092254064991,"mixed or incomplete"
"mouse KO vs WT vs mouse KD vs control","Reactome","R-MMU-8957275","Post-translational protein phosphorylation","either",0.05,"opposite direction",-3.28244691446039,3.28244691446039,1.97988389541629,-1.3025630190441,0.000523746783169583,0.582,"29817/12870/74761/12266/20750/16010/71898/14118/56453/19672/66940/14314/21923/21857/16009/20856/223672/208659/22393/268977/15529/382014/14268/12977/20254/80752/83453/12268","105348/11820/208659/75761/74761/77583/83453/12266/18619/13602/15529/16009/12977/16852/76453/18453/20750/21857/14314/16010/80752","R-MMU-8957275","R-MMU-8957275","R-MMU-8957275","Post-translational protein phosphorylation","Post-translational protein phosphorylation","Post-translational protein phosphorylation",-1.02590060949466,0.872127872127872,3.28087863143565,-0.235077015350112,-0.059419833773749,TRUE,FALSE,FALSE,"21857/18453/15529/13602/208659/75761/105348/16852/76453/14268/16010/80752/16009",-0.27666240954944,3.00578450491095,-3.28244691446039,0.27666240954944,3.00578450491095,3.28244691446039,"mixed or incomplete"
"mouse KO vs WT vs mouse KD vs control","Reactome","R-MMU-8948216","Collagen chain trimerization","either",0.05,"opposite direction",-3.27965674246481,3.27965674246481,1.19868271722678,-2.08097402523803,0.629621552010635,0.00571033907505963,"12833/12834/107581/12832/12825/12816/12837","12816/213945/12814/12831/77018/12825/12822/12833/12834/107581/237759","R-MMU-8948216","R-MMU-8948216","R-MMU-8948216","Collagen chain trimerization","Collagen chain trimerization","Collagen chain trimerization",-1.82789948772713,0.0974304341139589,0.200920414449666,-2.24333810295289,-1.01130536239038,FALSE,TRUE,FALSE,"12816/77018/53867/12841/12822/12825/12831/237759/12814/12833/213945/12834/107581",-0.2530745375109,3.02658220495391,-3.27965674246481,0.2530745375109,3.02658220495391,3.27965674246481,"mixed or incomplete"
"mouse KO vs WT vs mouse KD vs control","Reactome","R-MMU-190861","Gap junction assembly","either",0.05,"opposite direction",-3.27365153559973,3.27365153559973,1.87574388491157,-1.39790765068816,0.0223778755942561,0.63846903949293,"14609/22142/67951/22143/227613/22146/22152","22143/14621/53857/14615/22142/22151/73710/14620","R-MMU-190861","R-MMU-190861","R-MMU-190861","Gap junction assembly","Gap junction assembly","Gap junction assembly",-1.15000501299365,0.816922364302458,1.65018114486236,-0.194860157607116,-0.0878192144065265,TRUE,FALSE,FALSE,"22142/22151/73710/14620",-0.24790263769451,3.02574889790522,-3.27365153559973,0.24790263769451,3.02574889790522,3.27365153559973,"mixed or incomplete"
"mouse KO vs WT vs mouse KD vs control","Reactome","R-MMU-70263","Gluconeogenesis","either",0.05,"opposite direction",-3.26104162899249,3.26104162899249,1.79756550572888,-1.46347612326361,0.0429840204022832,0.564222646462236,"74551/68401/14751/11674/14433/13808/21991","74551/68401/13808","R-MMU-70263","R-MMU-70263","R-MMU-70263","Gluconeogenesis","Gluconeogenesis","Gluconeogenesis",-0.828413271846346,0.967682949411155,1.36669296630227,-0.248549486354704,-0.0142669111581368,TRUE,FALSE,FALSE,"68401/13808",-0.635062851417264,2.62597877757523,-3.26104162899249,0.635062851417264,2.62597877757523,3.26104162899249,"mixed or incomplete"
