"comparison","database","pathway_key","pathway_name","filter_mode_used","fdr_cutoff_used","direction_class","delta_NES","abs_delta_NES","NES_x","NES_y","padj_x","padj_y","leading_edge_x","leading_edge_y","pathway_id_mouse_KD","pathway_id_mouse_KO","pathway_id_mouse_het","pathway_name_mouse_KD","pathway_name_mouse_KO","pathway_name_mouse_het","NES_mouse_KD","padj_mouse_KD","signed_log10padj_mouse_KD","signed_log10padj_mouse_KO","signed_log10padj_mouse_het","significant_mouse_KD","significant_mouse_KO","significant_mouse_het","leading_edge_mouse_KD","delta_NES_KO_minus_het","delta_NES_KD_minus_het","delta_NES_KO_minus_KD","abs_delta_NES_KO_minus_het","abs_delta_NES_KD_minus_het","abs_delta_NES_KO_minus_KD","direction_pattern"
"mouse KO vs WT vs mouse het vs WT","GO_BP","GO:2000833","positive regulation of steroid hormone secretion","either",0.05,"shared negative",-0.51621905088582,0.51621905088582,-1.21519135718168,-1.7314104080675,0.644888833685256,0.0495696314160349,"56745/20750/13132","13132/20750/56745","GO:2000833","GO:2000833","GO:2000833","positive regulation of steroid hormone secretion","positive regulation of steroid hormone secretion","positive regulation of steroid hormone secretion",1.46167622160302,0.337917703349282,0.471189055145781,-1.30478431035806,-0.190515142850006,FALSE,TRUE,FALSE,"20750/56745/12394",-0.51621905088582,2.6768675787847,-3.19308662967052,0.51621905088582,2.6768675787847,3.19308662967052,"mixed or incomplete"
"mouse KO vs WT vs mouse het vs WT","GO_BP","GO:1904062","regulation of monoatomic cation transmembrane transport","either",0.05,"shared negative",-0.50922821416123,0.50922821416123,-1.05378217101724,-1.56301038517847,0.704251034791364,0.0380556251871657,"19058/23967/20648/105722/21803/19736/11840/22627/70207/14467/52892/66894/14811/74777/100503659/12295/76854/545622/71111/381812/22333/238161/68312/13617/20614/94045/68073/17846/18439/17395/11622/110213/15165/20312/14168/217154/109676","20530/19056/116873/76854/16416/14814/18764/16534/19057/12028/66894/11977/52892/14381/12389/238871/100503659/16518/18301/66109/11735/109552/19058/11840/381812/70357/14811/23955/22333/53416/17846/74777/238161/21838/21808/12295/23967/19055/20266/12315/17999/108058/94045/20648/12293/68073/78688/17395/22228/105722/71111/68312/110213/18439/217154/14467/15165/80982/11622/14168/20312/13617/109676","GO:1904062","GO:1904062","GO:1904062","regulation of monoatomic cation transmembrane transport","regulation of monoatomic cation transmembrane transport","regulation of monoatomic cation transmembrane transport",0.942988243074136,0.809879561713303,0.091579560840306,-1.41958113896747,-0.152272506211058,FALSE,TRUE,FALSE,"26903/11603/14873/14381/21838/109552/18764/17999/19056/14467/18438/20312/11651/100503659/192176/68073/68020/80982/19165/238871/18578/108737/19057/56632/74777/12288/16819/68312/18301/65973/234847/14693/109676/16518/22333/12283/18754/108058/11735/12028/101118/78688/228071/432442",-0.50922821416123,1.99677041409138,-2.50599862825261,0.50922821416123,1.99677041409138,2.50599862825261,"mixed or incomplete"
"mouse KO vs WT vs mouse het vs WT","GO_BP","GO:0071674","mononuclear cell migration","either",0.05,"shared negative",-0.5067090004403,0.5067090004403,-1.43138664531093,-1.93809564575123,0.323643738869324,0.000467893163618693,"20304/12928/23790/18605/18591/15235/20737/319177/105722/21803/13609/20868/12261/16421/118453/70208/14462/230979/216892/17470/100952/102103/14042/380916/68279/18133/17965/22418/19271/18453/20315/83964/18810/11876/445007/20306/17395/18003/56532/13601/27226/109934/20312/19261/13123/14254/20296","216892/171486/12261/20563/18810/53416/14083/14462/239393/26417/68279/193385/16952/83433/17470/12520/17395/18787/105722/445007/18003/14042/12977/100952/22418/20315/18453/18133/17965/13123/27226/18605/13609/109934/11876/14254/20296/19261/20312/20306/56532/13601","GO:0071674","GO:0071674","GO:0071674","mononuclear cell migration","mononuclear cell migration","mononuclear cell migration",1.11730772608105,0.574641234551508,0.240603213541325,-3.32985330023284,-0.489932790317007,FALSE,TRUE,FALSE,"16859/20563/27226/16423/11815/17387/23892/18438/17250/20312/11651/12977/20085/16952/68585/108737/20315/13601/18003/18795/17698/11820/14082/11876/18081/20306/26417/13123/239393/100952/11350/12540/68667/71785/14345/54324/14083/14042/22121/230979/53416/16416/16189/19252/76088/13609/14462",-0.5067090004403,2.54869437139198,-3.05540337183228,0.5067090004403,2.54869437139198,3.05540337183228,"mixed or incomplete"
"mouse KO vs WT vs mouse het vs WT","GO_BP","GO:0045778","positive regulation of ossification","either",0.05,"shared negative",-0.50120890274301,0.50120890274301,-1.2914711908641,-1.79268009360711,0.539987046815833,0.0299411028636601,"57259/17127/22337/23967/105722/110789/71175/17260/22410/102657/18133/22418/20181/231633/14119/18439/20666/80752","20181/71175/110789/67972/57259/14119/22410/23967/106522/14758/102657/105722/231633/17260/18439/12167/22418/18133/80752/20666","GO:0045778","GO:0045778","GO:0045778","positive regulation of ossification","positive regulation of ossification","positive regulation of ossification",1.08689917281235,0.644639384284355,0.190683164764016,-1.52373220670571,-0.267616657887917,FALSE,TRUE,FALSE,"14119/100038882/22337/12167/19242/20516/20182/80752",-0.50120890274301,2.37837036367645,-2.87957926641946,0.50120890274301,2.37837036367645,2.87957926641946,"mixed or incomplete"
"mouse KO vs WT vs mouse het vs WT","GO_BP","GO:0071559","response to transforming growth factor beta","either",0.05,"shared negative",-0.49728418455092,0.49728418455092,-1.12929052303729,-1.62657470758821,0.607571236323211,0.00739102678573169,"12399/21803/20289/12193/65112/21809/14281/20678/64339/17260/12192/100952/216805/74777/20190/56320/50724/21417/235505/18133/54611/13433/22418/20848/66513/170749/114716/66214/21804/328365/216869/14119/18214/23939/20481/217351/69710/75788/16969/12825/17130/328572/58250/16948/12842/13132/320910/70673/27528/20666/241226/12843/170441/20682/20296","17129/14119/218952/170749/69710/114715/21807/328572/75788/22433/14083/20190/74777/12399/21808/68939/16998/216190/55994/20848/20289/17986/20682/16392/18619/16948/246154/21417/12192/65112/18787/16419/17130/66214/21809/12825/18214/64339/66513/17260/100952/12167/13132/20678/21804/22418/18133/12842/54611/56320/235505/27528/58250/70673/20666/12843/20296/170441/320910/241226","GO:0071559","GO:0071559","GO:0071559","response to transforming growth factor beta","response to transforming growth factor beta","response to transforming growth factor beta",0.961274906819254,0.793154216982879,0.100642362401113,-2.13129522379718,-0.216402794720048,FALSE,TRUE,FALSE,"11475/16859/14119/12842/12843/14118/21804/50527/53618/22793/241226/12825/434215/12827/12167/16419/21814/268977/16998/23988/108155/20340/16948/56213/12394/75788",-0.49728418455092,2.09056542985654,-2.58784961440746,0.49728418455092,2.09056542985654,2.58784961440746,"mixed or incomplete"
"mouse KO vs WT vs mouse het vs WT","GO_BP","GO:0090279","regulation of calcium ion import","either",0.05,"shared negative",-0.49645724519779,0.49645724519779,-1.36094380849218,-1.85740105368997,0.513020252372263,0.0473027030260895,"22368/16392/18764/18591/19058/12387/15205/246788/11421/20315/94045/18596/20296","19056/18591/18764/16534/19057/15205/12389/19058/12361/19055/94045/16392/12387/18787/20315/11421/20296/18596","GO:0090279","GO:0090279","GO:0090279","regulation of calcium ion import","regulation of calcium ion import","regulation of calcium ion import",1.2243550749393,0.510992030633854,0.291585873013488,-1.32511404159255,-0.289865490015068,FALSE,TRUE,FALSE,"12361/26903/18764/19056/20855/19057/20315",-0.49645724519779,2.58529888343148,-3.08175612862927,0.49645724519779,2.58529888343148,3.08175612862927,"mixed or incomplete"
"mouse KO vs WT vs mouse het vs WT","GO_BP","GO:0043270","positive regulation of monoatomic ion transport","either",0.05,"shared negative",-0.49117804011946,0.49117804011946,-1.30763964054442,-1.79881768066388,0.489190392983177,0.00514396788166717,"12028/16511/16438/234779/20266/22393/22368/80982/16392/20304/333433/18591/19058/105722/11840/14467/246788/75909/76854/71111/381812/238161/12257/13617/20614/20315/216869/94045/20393/68073/18439/11838/246198/15165/18596/20312/14168/217154/20296/109676","11977/14381/12389/67972/16518/18301/11735/109552/246198/19058/11840/381812/75909/53416/238161/21838/12361/19055/20266/83433/94045/12257/16392/12293/68073/18787/105722/71111/18439/20315/217154/14467/15165/80982/11838/14168/20393/20296/18596/20312/13617/109676","GO:0043270","GO:0043270","GO:0043270","positive regulation of monoatomic ion transport","positive regulation of monoatomic ion transport","positive regulation of monoatomic ion transport",0.977357873638217,0.775437867906039,0.110452994377212,-2.28870175175924,-0.310522080489723,FALSE,TRUE,FALSE,"12361/14873/14381/21838/109552/16453/19056/14467/18438/12257/22393/20312/11651/192176/68073/68020/80982/20855/107589/19057/75909/20315/12288/16819/229709/18301/65973",-0.49117804011946,2.28499751418264,-2.7761755543021,0.49117804011946,2.28499751418264,2.7761755543021,"mixed or incomplete"
"mouse KO vs WT vs mouse het vs WT","GO_BP","GO:0061035","regulation of cartilage development","either",0.05,"shared negative",-0.49032757287492,0.49032757287492,-1.38779228770025,-1.87811986057517,0.498400438266165,0.0149325573359564,"21812/76566/17127/69890/21803/20289/19092/12387/20678/14633/22418/18984/83925/14534/22402/19411/19401/94352/12006/239337/210719/20682/216616","94352/21808/14534/16998/106522/83925/20289/20682/19092/76566/12387/19411/12167/20678/18984/22418/210719/12006/22402/239337","GO:0061035","GO:0061035","GO:0061035","regulation of cartilage development","regulation of cartilage development","regulation of cartilage development",-0.91676389151882,0.81069474387656,-0.0911426427133342,-1.82586580903415,-0.302421584453836,FALSE,TRUE,FALSE,"69890/19227/67216/12168/73121/210719/69605/20682/12006/58994/17125/14634/14219/18984/17132/216795/17242/21808/12159/16007",-0.49032757287492,0.47102839618143,-0.96135596905635,0.49032757287492,0.47102839618143,0.96135596905635,"all negative"
"mouse KO vs WT vs mouse het vs WT","GO_BP","GO:0032964","collagen biosynthetic process","either",0.05,"shared negative",-0.48866157122956,0.48866157122956,-1.63647168944306,-2.12513326067262,0.29904365459523,0.00071607964973577,"16398/170829/18591/30951/21803/20289/21809/66180/14633/67557/100952/26427/66214/216869/18214/114886/12831/52377/328572/223701/11541/14268/12842/18596/210719/18128/20296","30951/16398/67557/11479/16194/328572/11541/12406/12831/20289/66180/18787/66214/114886/223701/21809/18214/100952/18128/14789/12842/26427/210719/52377/20296/18596","GO:0032964","GO:0032964","GO:0032964","collagen biosynthetic process","collagen biosynthetic process","collagen biosynthetic process",1.08675616610903,0.646905486586135,0.189159165471077,-3.14503866831107,-0.524265408445033,FALSE,TRUE,FALSE,"12842/74155/14789/268977/52377/18822/22352/14268/18214/27279/54683/66180/26432/109905/66214/100952/14633/11541/18596/12406/12831/16193/21803",-0.48866157122956,2.72322785555209,-3.21188942678165,0.48866157122956,2.72322785555209,3.21188942678165,"mixed or incomplete"
"mouse KO vs WT vs mouse het vs WT","GO_BP","GO:0180064","protein O-linked glycosylation via xylose","either",0.05,"shared negative",-0.48252591547755,0.48252591547755,-1.36684202654398,-1.84936794202153,0.513560010597898,0.0261646494004755,"212898/100910/338362/59031/93840/74241/93683/330671/12387/15531/233781/14042/83398/217119/58250/11600/50786","54616/212898/15531/93683/235534/269941/338362/60322/73836/15476/217119/233781/330671/23908/12387/14042/50786/11600/58250/83398","GO:0180064","GO:0180064","GO:0180064","protein O-linked glycosylation via xylose","protein O-linked glycosylation via xylose","protein O-linked glycosylation via xylose",1.39840641521463,0.297286466681933,0.526824860654246,-1.58228508031889,-0.289408800852006,FALSE,TRUE,FALSE,"234356/83398/54616/224143/195646/14043/76898/72136/117592/100910/11600/15476/73836/14042/233781/70484/50786/59031/22235/14425/15531/212898",-0.48252591547755,2.76524844175861,-3.24777435723616,0.48252591547755,2.76524844175861,3.24777435723616,"mixed or incomplete"
"mouse KO vs WT vs mouse het vs WT","GO_BP","GO:0071560","cellular response to transforming growth factor beta stimulus","either",0.05,"shared negative",-0.48058373041907,0.48058373041907,-1.13082577812057,-1.61140950853964,0.595322171759247,0.0105079230397061,"20289/12193/65112/21809/14281/20678/17260/12192/100952/216805/74777/20190/56320/50724/21417/235505/18133/54611/13433/22418/20848/66513/170749/114716/66214/21804/328365/216869/14119/18214/23939/20481/217351/69710/75788/16969/12825/17130/328572/58250/16948/12842/13132/320910/70673/27528/20666/241226/12843/170441/20682/20296","17129/14119/218952/170749/69710/114715/21807/328572/75788/22433/14083/20190/74777/21808/68939/16998/216190/55994/20848/20289/17986/20682/16392/18619/16948/246154/21417/12192/65112/18787/16419/17130/66214/21809/12825/18214/66513/17260/100952/12167/13132/20678/21804/22418/18133/12842/54611/56320/235505/27528/58250/70673/20666/12843/20296/170441/320910/241226","GO:0071560","GO:0071560","GO:0071560","cellular response to transforming growth factor beta stimulus","cellular response to transforming growth factor beta stimulus","cellular response to transforming growth factor beta stimulus",0.986736369198213,0.753878817573085,0.122698459288058,-1.97848311665808,-0.225247942589547,FALSE,TRUE,FALSE,"11475/16859/14119/12842/12843/14118/21804/50527/53618/22793/241226/12825/434215/12827/12167/16419/21814/268977/16998/23988/108155/20340/16948/56213/12394/75788/18214/74777/16971",-0.48058373041907,2.11756214731878,-2.59814587773785,0.48058373041907,2.11756214731878,2.59814587773785,"mixed or incomplete"
"mouse KO vs WT vs mouse het vs WT","GO_BP","GO:0050900","leukocyte migration","either",0.05,"shared negative",-0.47715244625466,0.47715244625466,-1.146794452659,-1.62394689891366,0.599083963593589,0.00834476334948204,"20304/12928/16398/23790/18605/217835/18591/15235/22341/16149/20737/319177/105722/21803/13609/20868/16399/12261/16421/17101/118453/70208/171095/14462/230979/268373/216892/17470/100952/20750/68992/102103/14042/380916/24067/68279/18133/109700/17965/22418/19271/13617/18453/20315/83964/18810/20851/11876/445007/227541/20306/17395/18003/56532/21930/20307/18750/13601/27226/109934/20312/54371/19261/13123/14254/20296","171095/216892/16177/171486/12261/20563/18810/53416/14083/14462/21838/239393/26417/68279/21808/21930/193385/20851/16952/13731/83433/17470/12266/12520/17395/18787/105722/445007/109700/18003/14042/12977/100952/22418/20315/18453/18133/17965/20750/18750/13123/27226/18605/13609/109934/11876/14254/20307/20296/19261/20312/13617/20306/56532/13601/54371","GO:0050900","GO:0050900","GO:0050900","leukocyte migration","leukocyte migration","leukocyte migration",1.2842706203954,0.292415644617531,0.533999395772631,-2.07858597503883,-0.22251230554071,FALSE,TRUE,FALSE,"16859/20563/12266/13731/20750/27226/16423/26903/11815/16177/21838/17387/54371/12490/23892/18438/17250/14158/12333/20312/171095/11651/20443/24088/16403/22388/12977/20085/238871/16952/19242/20254/68585/18578/266632/108737/20315/13601/18003/18795/17698/268373/19035/215999/117149/17874/11820/14082/11876/18081/20306/26417/74006/13123/22339/239393/100952/11350/68992/12540/68667/71785/14345/54324/14083/14042/109700/22121/230979/53416/16416/16189/13479/19252/76088/13609/14462",-0.47715244625466,2.4310650730544,-2.90821751930906,0.47715244625466,2.4310650730544,2.90821751930906,"mixed or incomplete"
"mouse KO vs WT vs mouse het vs WT","GO_BP","GO:0062009","secondary palate development","either",0.05,"shared negative",-0.47544900578445,0.47544900578445,-1.49638607653595,-1.9718350823204,0.46355009380433,0.0168512836584885,"110796/21809/22418/57265/14362/320910/20666/16842","21808/57265/21809/22418/14362/16842/20666/320910","GO:0062009","GO:0062009","GO:0062009","secondary palate development","secondary palate development","secondary palate development",-1.02927098322908,0.705937166794759,-0.151233952388273,-1.77336701084224,-0.333903326703416,FALSE,TRUE,FALSE,"16450/21808/20666/12815",-0.47544900578445,0.46711509330687,-0.94256409909132,0.47544900578445,0.46711509330687,0.94256409909132,"all negative"
"mouse KO vs WT vs mouse het vs WT","GO_BP","GO:0030166","proteoglycan biosynthetic process","either",0.05,"shared negative",-0.46718642417441,0.46718642417441,-1.56582084758579,-2.0330072717602,0.320201589515243,0.00465814721106952,"212898/100910/338362/59031/93840/74241/93683/330671/98388/12387/15531/230815/233781/14042/83398/76025/217119/58250/170441/50786","54616/212898/15531/93683/235534/269941/338362/60322/73836/15476/217119/233781/330671/23908/12387/14042/50786/12167/76025/98388/58250/83398/170441","GO:0030166","GO:0030166","GO:0030166","proteoglycan biosynthetic process","proteoglycan biosynthetic process","proteoglycan biosynthetic process",1.28896610173736,0.419331395348837,0.377442620743761,-2.33178679060921,-0.494576516526696,FALSE,TRUE,FALSE,"234356/12167/83398/54616/195646/14043/215015/76898/72136/117592/76025/100910/15476/73836/14042/233781/70484/14241/50786/59031/22235/14425/15531/212898",-0.46718642417441,2.85478694932315,-3.32197337349756,0.46718642417441,2.85478694932315,3.32197337349756,"mixed or incomplete"
"mouse KO vs WT vs mouse het vs WT","GO_BP","GO:0072132","mesenchyme morphogenesis","either",0.05,"shared negative",-0.46517403046016,0.46517403046016,-1.62343190445247,-2.08860593491263,0.275770436593381,0.00153050571203849,"21812/16392/17300/17127/23967/12387/233651/22418/21386/14182/15227/20613/19876/67888/268902/16842/18128/20682","17300/17869/14182/233651/21808/22160/23967/20682/16392/15227/12387/18128/20613/22418/21386/67888/268902/16842/19876","GO:0072132","GO:0072132","GO:0072132","mesenchyme morphogenesis","mesenchyme morphogenesis","mesenchyme morphogenesis",1.19450901717726,0.533072920887563,0.273213378266261,-2.81516504522237,-0.559452293318029,FALSE,TRUE,FALSE,"11475/19664/24075",-0.46517403046016,2.81794092162973,-3.28311495208989,0.46517403046016,2.81794092162973,3.28311495208989,"mixed or incomplete"
"mouse KO vs WT vs mouse het vs WT","GO_BP","GO:0071375","cellular response to peptide hormone stimulus","either",0.05,"shared negative",-0.46512911224476,0.46512911224476,-1.00966747274304,-1.4747965849878,0.746354444335028,0.0467270209146097,"12988/22318/17913/12702/23921/68328/16476/12703/192157/12877/18753/231070/12928/54721/18605/228775/108083/14118/22433/64898/18708/11655/21803/68303/93686/17118/14629/14245/12387/14281/12349/17755/24051/52892/56438/75747/12192/11421/14784/83431/76854/13924/15499/233016/19062/20848/67389/19271/13617/13631/19084/18984/66335/18214/22084/11898/20850/20393/20660/105787/18576/98496/16600/20787/216233/20851/23834/12833/16598/20913/209039/72508/16362/18750/26365/20296/14799","14784/16362/14245/20416/20787/22433/14083/74551/13924/108083/23834/26417/75747/56438/16600/20913/20851/19055/233016/15499/216190/20848/11512/231070/105787/93686/19084/20850/68303/12988/67389/18708/12192/12387/18576/22228/237542/12702/17118/18214/209039/18984/72508/12833/18750/20660/11421/98496/18605/20393/26365/11898/20296/13617/14799","GO:0071375","GO:0071375","GO:0071375","cellular response to peptide hormone stimulus","cellular response to peptide hormone stimulus","cellular response to peptide hormone stimulus",0.942669096425978,0.809637634363305,0.091709312736935,-1.33043190657655,-0.127054876734367,FALSE,TRUE,FALSE,"74551/74155/14118/12833/14799/16600/18576/16453/13685/20787/14158/13631/14600/11651/14870/11898/22628/20383/68303/107508/20852/108155/74142/79221/216233/26569/20430/67389/18214/29815/15499/18795/50721/228869/229709/26395/12702/15461/19084/14629/11421/19645/16451/93686/20416/210973/16598/18024/17755/26417/22084/66515/230514/17975/18706/15925/20779/20913/17913/227743/75717/231672/50915/18709/14281/11609/20588/56717/67856/16599/14083/14360/98496",-0.46512911224476,1.95233656916902,-2.41746568141378,0.46512911224476,1.95233656916902,2.41746568141378,"mixed or incomplete"
"mouse KO vs WT vs mouse het vs WT","GO_BP","GO:0071675","regulation of mononuclear cell migration","either",0.05,"shared negative",-0.46242924253376,0.46242924253376,-1.33051138021342,-1.79294062274718,0.49023680930619,0.0125126088180968,"20304/12928/15235/20737/105722/21803/20868/12261/118453/70208/230979/216892/17470/100952/102103/380916/18133/17965/22418/19271/18453/20315/83964/20306/18003/56532/13601/27226/109934/20312/20296","216892/171486/12261/20563/53416/14083/26417/193385/83433/17470/12520/18787/105722/18003/12977/100952/22418/20315/18453/18133/17965/27226/109934/20296/20312/20306/56532/13601","GO:0071675","GO:0071675","GO:0071675","regulation of mononuclear cell migration","regulation of mononuclear cell migration","regulation of mononuclear cell migration",1.15050241127828,0.536821469314519,0.270170123579798,-1.90265213257808,-0.309594082968905,FALSE,TRUE,FALSE,"16859/20563/27226/16423/11815/17387/23892/18438/20312/11651/12977/68585/108737/20315/13601/18003/18795/17698/11820/14082/18081/20306/26417/100952/11350/71785/14083/230979/53416/16416/16189/19252/76088",-0.46242924253376,2.4810137914917,-2.94344303402546,0.46242924253376,2.4810137914917,2.94344303402546,"mixed or incomplete"
"mouse KO vs WT vs mouse het vs WT","GO_BP","GO:0034767","positive regulation of monoatomic ion transmembrane transport","either",0.05,"shared negative",-0.45966058567128,0.45966058567128,-1.26455870397289,-1.72421928964417,0.52356968428397,0.0204379984885295,"75909/76854/71111/381812/238161/13617/20614/94045/68073/18439/11838/15165/20312/14168/217154/109676","19056/116873/76854/16534/19057/12028/11977/14381/12389/16518/18301/11735/109552/19058/11840/381812/75909/53416/238161/21838/19055/20266/94045/12293/68073/105722/71111/18439/217154/14467/15165/80982/11838/14168/20312/13617/109676","GO:0034767","GO:0034767","GO:0034767","positive regulation of monoatomic ion transmembrane transport","positive regulation of monoatomic ion transmembrane transport","positive regulation of monoatomic ion transmembrane transport",-1.28251932496812,0.330376187943385,-0.480991262251972,-1.68956163730194,-0.281025507899255,FALSE,TRUE,FALSE,"19091/245537/12389/22063/16573/76055/13614/20866/14062/11596/18607/16511/83814/105722/11977/69847/26941/11931/77574/12724/12159/217154/215748/20617/234779",-0.45966058567128,-0.0179606209952299,-0.44169996467605,0.45966058567128,0.0179606209952299,0.44169996467605,"all negative"
"mouse KO vs WT vs mouse het vs WT","GO_BP","GO:0048265","response to pain","either",0.05,"shared negative",-0.45939550713446,0.45939550713446,-1.35872372892557,-1.81811923606003,0.52356968428397,0.0489151181667381,"106068/12257/12287/12833/14528/14799","14528/106068/12257/12287/12833/14799","GO:0048265","GO:0048265","GO:0048265","response to pain","response to pain","response to pain",1.6337360219063,0.155798077121671,0.807437906744334,-1.31055689298983,-0.281025507899255,FALSE,TRUE,FALSE,"12833/14799/228139/12286/18438/12257/11651/12394",-0.45939550713446,2.99245975083187,-3.45185525796633,0.45939550713446,2.99245975083187,3.45185525796633,"mixed or incomplete"
"mouse KO vs WT vs mouse het vs WT","GO_BP","GO:0003203","endocardial cushion morphogenesis","either",0.05,"shared negative",-0.45557440313121,0.45557440313121,-1.47415807734254,-1.92973248047375,0.46355009380433,0.0187265598679408,"233651/21386/20613/19876/67888/268902/18128/20682","233651/21808/22160/20682/16392/18128/20613/21386/67888/268902/19876","GO:0003203","GO:0003203","GO:0003203","endocardial cushion morphogenesis","endocardial cushion morphogenesis","endocardial cushion morphogenesis",0.458152385232128,0.999201502383615,0.000346921635098655,-1.72754199665526,-0.333903326703416,FALSE,TRUE,FALSE,"19664/23794/21813/22160/12156/67888",-0.45557440313121,1.93231046257467,-2.38788486570588,0.45557440313121,1.93231046257467,2.38788486570588,"mixed or incomplete"
"mouse KO vs WT vs mouse het vs WT","GO_BP","GO:0050919","negative chemotaxis","either",0.05,"shared negative",-0.44914308572863,0.44914308572863,-1.32725949434085,-1.77640258006948,0.530946162801674,0.0445389818547093,"13841/22418/20346/20564/237847/18846/20351/19876/268902/22253","20356/71436/18846/20564/237847/20358/22418/20351/13841/268902/19876/22253","GO:0050919","GO:0050919","GO:0050919","negative chemotaxis","negative chemotaxis","negative chemotaxis",1.59619822185142,0.186103498450888,0.730245462744381,-1.35125971500597,-0.274949513539104,FALSE,TRUE,FALSE,"20563/20564/18846/399558/20356/20346/20361",-0.44914308572863,2.92345771619227,-3.3726008019209,0.44914308572863,2.92345771619227,3.3726008019209,"mixed or incomplete"
"mouse KO vs WT vs mouse het vs WT","GO_BP","GO:0015012","heparan sulfate proteoglycan biosynthetic process","either",0.05,"shared negative",-0.44798440652851,0.44798440652851,-1.42068103723867,-1.86866544376718,0.506264931012627,0.0273305846790913,"93840/93683/12387/15531/233781/14042/83398/217119/50786","93840/54616/212898/15531/93683/235534/15476/217119/233781/23908/12387/14042/50786/83398","GO:0015012","GO:0015012","GO:0015012","heparan sulfate proteoglycan biosynthetic process","heparan sulfate proteoglycan biosynthetic process","heparan sulfate proteoglycan biosynthetic process",1.21018062677935,0.535224385161421,0.271464108058263,-1.56335107741137,-0.295622155163407,FALSE,TRUE,FALSE,"83398/54616/195646/14043/117592/15476/14042/233781/70484/50786/22235/15531/212898",-0.44798440652851,2.63086166401802,-3.07884607054653,0.44798440652851,2.63086166401802,3.07884607054653,"mixed or incomplete"
"mouse KO vs WT vs mouse het vs WT","GO_BP","GO:0002691","regulation of cellular extravasation","either",0.05,"shared negative",-0.44254662007848,0.44254662007848,-1.39035121559512,-1.8328978356736,0.506264931012627,0.0247366778397616,"20315/83964/56532/109934/54371/20296","20443/83964/70208/11501/16177/171486/21838/193385/20315/109934/20296/56532/54371","GO:0002691","GO:0002691","GO:0002691","regulation of cellular extravasation","regulation of cellular extravasation","regulation of cellular extravasation",1.1746451051109,0.574542019779327,0.24067820319685,-1.606658626968,-0.295622155163407,FALSE,TRUE,FALSE,"16423/16177/21838/54371/12333/20443/20315/18795/14082",-0.44254662007848,2.56499632070602,-3.0075429407845,0.44254662007848,2.56499632070602,3.0075429407845,"mixed or incomplete"
"mouse KO vs WT vs mouse het vs WT","GO_BP","GO:0046847","filopodium assembly","either",0.05,"shared negative",-0.44206855991378,0.44206855991378,-1.32310482409104,-1.76517338400482,0.513020252372263,0.0286625961030075,"18708/76441/192897/21809/18483/56320/20401/69710/217124/18195/14432/224014/22379/108100/17909","192897/69710/20401/14163/214459/193385/216363/217124/18708/18195/14432/21809/18483/56320/22379/108100/224014/17909","GO:0046847","GO:0046847","GO:0046847","filopodium assembly","filopodium assembly","filopodium assembly",0.923359043945983,0.806857892939183,0.0932029482356694,-1.54268447611073,-0.289865490015068,FALSE,TRUE,FALSE,"14432/11603/18186/22240/16403/14739/22323",-0.44206855991378,2.24646386803702,-2.6885324279508,0.44206855991378,2.24646386803702,2.6885324279508,"mixed or incomplete"
"mouse KO vs WT vs mouse het vs WT","GO_BP","GO:0048814","regulation of dendrite morphogenesis","either",0.05,"shared negative",-0.44169312075936,0.44169312075936,-1.43635247660128,-1.87804559736064,0.406239643256026,0.00560168752949799,"12704/56320/18472/224617/13838/329152/22418/70237/13631/15529/20393/239217/19876/13385/13169/15901/108100","29819/76108/73181/12323/66713/54633/98733/18472/13631/74498/17295/68151/213084/70237/12361/19055/17999/239217/329152/15529/17118/13169/15901/13385/22418/665113/56320/108100/20393/19876","GO:0048814","GO:0048814","GO:0048814","regulation of dendrite morphogenesis","regulation of dendrite morphogenesis","regulation of dendrite morphogenesis",0.987078618211618,0.75117230454218,0.124260432731078,-2.25168112043205,-0.391217697850836,FALSE,TRUE,FALSE,"12361/15901/217692/13169/17999/13631/73181/15529/98733/56876/76454/18472/72162/74006/66515/245886/29819/70237/74117/231672/54633/64009/67414/76108",-0.44169312075936,2.4234310948129,-2.86512421557226,0.44169312075936,2.4234310948129,2.86512421557226,"mixed or incomplete"
