"comparison","database","pathway_key","pathway_name","filter_mode_used","fdr_cutoff_used","direction_class","delta_NES","abs_delta_NES","NES_x","NES_y","padj_x","padj_y","leading_edge_x","leading_edge_y","pathway_id_mouse_KD","pathway_id_mouse_KO","pathway_id_mouse_het","pathway_name_mouse_KD","pathway_name_mouse_KO","pathway_name_mouse_het","NES_mouse_KD","padj_mouse_KD","signed_log10padj_mouse_KD","signed_log10padj_mouse_KO","signed_log10padj_mouse_het","significant_mouse_KD","significant_mouse_KO","significant_mouse_het","leading_edge_mouse_KD","delta_NES_KO_minus_het","delta_NES_KD_minus_het","delta_NES_KO_minus_KD","abs_delta_NES_KO_minus_het","abs_delta_NES_KD_minus_het","abs_delta_NES_KO_minus_KD","direction_pattern"
"mouse KO vs WT vs mouse het vs WT","KEGG","mmu04713","Circadian entrainment","either",0.05,"shared negative",-0.61713867308421,0.61713867308421,-1.26131518059907,-1.87845385368328,0.587334053720284,0.0171079925229066,"104110/19092/14706/14700/12291/14281/104111/14811/14802/20190/18628/239556/18750/14681/14799","14281/11515/11514/12325/14802/14811/18628/20190/26417/12315/11512/18749/108058/14708/19092/104111/14681/104110/14706/18750/239556/14799","mmu04713","mmu04713","mmu04713","Circadian entrainment","Circadian entrainment","Circadian entrainment",0.76779010052406,0.928739495798319,0.0321060851480571,-1.76680094822474,-0.231114817965054,FALSE,TRUE,FALSE,"19092/14799/18798/14682/14701/18795/12288/14693/14708/104111/108058/26417/14281/14688/14696/14802/14706",-0.61713867308421,2.02910528112313,-2.64624395420734,0.61713867308421,2.02910528112313,2.64624395420734,"mixed or incomplete"
"mouse KO vs WT vs mouse het vs WT","KEGG","mmu04916","Melanogenesis","either",0.05,"shared negative",-0.61498346220576,0.61498346220576,-1.28046072590351,-1.89544418810927,0.541958372753075,0.0105991596758353,"104110/17342/12387/17311/22410/104111/22422/22418/26427/57265/14362/328572/21415/21414/18750/16842/13543/14681","11515/21415/14369/11514/13543/17342/12325/328572/22410/26417/12315/11512/18749/108058/12387/104111/17311/14681/57265/104110/22418/26427/18750/14362/16842/21414","mmu04916","mmu04916","mmu04916","Melanogenesis","Melanogenesis","Melanogenesis",0.74322507182899,0.959389198557309,0.0180051754191778,-1.97472856517054,-0.266034069878427,FALSE,TRUE,FALSE,"14362/26396/18798/14682/18795/26395/15461/14368/18176/104111/108058/26417",-0.61498346220576,2.0236857977325,-2.63866925993826,0.61498346220576,2.0236857977325,2.63866925993826,"mixed or incomplete"
"mouse KO vs WT vs mouse het vs WT","KEGG","mmu04550","Signaling pathways regulating pluripotency of stem cells","either",0.05,"shared negative",-0.6065498381148,0.6065498381148,-1.13172385146733,-1.73827368958213,0.616586538461539,0.0239151970003305,"12387/14183/22658/22410/14784/22422/22418/20848/21386/57265/14362/16600/15904/14182/13984/21414/15901/12006/23805/15903/13543/29857","21423/20674/14173/13984/14369/17869/13543/17129/22658/11479/14182/14784/23805/22410/26417/16195/16600/55994/19094/20848/16392/18708/12387/57265/15901/12167/22418/21386/16878/29857/12006/14362/21414/15904/15903","mmu04550","mmu04550","mmu04550","Signaling pathways regulating pluripotency of stem cells","Signaling pathways regulating pluripotency of stem cells","Signaling pathways regulating pluripotency of stem cells",0.912071378625377,0.768987341772152,0.114080809020092,-1.62132603729655,-0.210005961178907,FALSE,TRUE,FALSE,"14362/26396/15901/15903/16600/16453/12167/21423/11651/75590/15902/26395/15461/16451/14368/18176/26417/16878/69587/18706",-0.6065498381148,2.04379523009271,-2.65034506820751,0.6065498381148,2.04379523009271,2.65034506820751,"mixed or incomplete"
"mouse KO vs WT vs mouse het vs WT","KEGG","mmu05412","Arrhythmogenic right ventricular cardiomyopathy","either",0.05,"shared negative",-0.52195114140556,0.52195114140556,-1.33592116409341,-1.85787230549897,0.532358490566038,0.0243107687969857,"11465/20648/192897/16399/16421/12387/24051/12295/109700/21415/20649/16651/21414/320910/16480/241226/16842","16398/16905/21415/16402/192897/319480/11465/12295/20648/12293/12387/16419/109700/20649/16480/16651/16842/21414/320910/241226","mmu05412","mmu05412","mmu05412","Arrhythmogenic right ventricular cardiomyopathy","Arrhythmogenic right ventricular cardiomyopathy","Arrhythmogenic right ventricular cardiomyopathy",-0.957616035914691,0.66023166023166,-0.180303653689098,-1.61420130693169,-0.273795814994729,FALSE,TRUE,FALSE,"67451/12295/21415/110891/213119/16399",-0.52195114140556,0.378305128178719,-0.900256269584279,0.52195114140556,0.378305128178719,0.900256269584279,"all negative"
"mouse KO vs WT vs mouse het vs WT","KEGG","mmu04518","Integrin signaling","either",0.05,"shared negative",-0.36286273378988,0.36286273378988,-1.31758764252361,-1.68045037631349,0.476190476190476,0.0399239440062275,"18591/22341/14118/11465/18708/21803/192897/16399/16421/13866/12387/20750/21827/16775/109700/12841/94216/12835/12833/14268/12834/12842/320910/13649/241226/70549/18596/12843/14254","18591/16416/16399/170736/14268/60595/109711/13866/16398/114249/17295/16402/12443/21826/192897/218952/94216/319480/11465/14083/21827/15234/12266/18708/16775/12387/54635/16419/109700/12835/70549/20750/12842/12833/12834/14254/12843/18596/320910/241226","mmu04518","mmu04518","mmu04518","Integrin signaling","Integrin signaling","Integrin signaling",1.5146775094572,0.0477486401156393,1.32103899263906,-1.39876656218593,-0.32221929473392,TRUE,TRUE,FALSE,"12842/16775/12843/12266/20750/12826/14118/12833/12835/12834/21923/15234/241226/12827/16419/11651/192176/21827/16403/14268/13866/12443/12444/21826/57342/319480/18595/11461/16773/114249/22339/226519/18706/20779/12540/18709/56717/71785/14083/109700/11465/70549/16416/18596/94216",-0.36286273378988,2.83226515198081,-3.19512788577069,0.36286273378988,2.83226515198081,3.19512788577069,"mixed or incomplete"
"mouse KO vs WT vs mouse het vs WT","KEGG","mmu04974","Protein digestion and absorption","either",0.05,"shared negative",-0.22663414096313,0.22663414096313,-1.98126749916708,-2.20790164013021,0.0123357977916289,5.83488381775484e-05,"67760/12841/16529/12822/17380/12825/12831/94216/237759/12835/12814/12833/213945/12834/12842/107581/215335/12843","67760/94216/12816/213945/12814/12831/77018/16529/12825/12835/72472/12822/12842/12833/12834/107581/17380/12843/237759","mmu04974","mmu04974","mmu04974","Protein digestion and absorption","Protein digestion and absorption","Protein digestion and absorption",1.63451318214576,0.0635242463138027,1.19706047895289,-4.23396778705825,-1.90883275818899,FALSE,TRUE,TRUE,"12842/12843/12826/12833/12835/12834/20514/107581/12832/12825/12827/17254/12816/67760/12837",-0.22663414096313,3.61578068131284,-3.84241482227597,0.22663414096313,3.61578068131284,3.84241482227597,"mixed or incomplete"
"mouse KO vs WT vs mouse het vs WT","KEGG","mmu05225","Hepatocellular carcinoma","either",0.05,"shared negative",-0.21572110356161,0.21572110356161,-1.40181079782511,-1.61753190138672,0.384105493033712,0.0399239440062275,"11465/18708/21803/242705/23882/12387/21809/211666/14860/22410/12578/14784/22422/83796/22418/14863/68312/22059/77044/83797/57265/57376/20418/14362/271849/21415/21414/72508/13649/12006/18750/23805/16842/14862/13543/18104","20587/83796/21415/14369/17869/17295/12443/13543/56615/14866/66993/83797/77044/14784/12578/23805/23882/20416/11465/211666/22410/26417/21808/15234/18104/14865/20418/57376/271849/18708/12387/57265/21809/14863/68312/22418/72508/14862/18750/12006/14362/16842/21414","mmu05225","mmu05225","mmu05225","Hepatocellular carcinoma","Hepatocellular carcinoma","Hepatocellular carcinoma",1.17744931669585,0.340172004983322,0.468301430234135,-1.39876656218593,-0.415549482011674,FALSE,TRUE,FALSE,"20587/14362/26396/14873/72057/66923/15234/22059/12567/12048/211666/11651/14870/11836/12443/50868/232223/68094/26395/68312/50493/15461/11461/19645/20416/14368/18176/216148/13555/18024/14869/26417/18104/12028/18706/20586/21813/18709/20588/56717/93687/12005/14863",-0.21572110356161,2.57926011452096,-2.79498121808257,0.21572110356161,2.57926011452096,2.79498121808257,"mixed or incomplete"
"mouse KO vs WT vs mouse het vs WT","KEGG","mmu04714","Thermogenesis","either",0.05,"shared negative",-0.0922907364672401,0.0922907364672401,-1.5091012793407,-1.60139201580794,0.137528475899741,0.0239151970003305,"72900/277250/67680/19017/64930/66108/104130/68375/26408/78070/17719/66414/68094/17993/216036/19079/76947/18749/11512/68202/12861/75406/20586/66945/73694/17720/17709/56717/66043/228033/69875/68342/68197/17705/74205/66272/67605/12896/19094/11465/17708/104110/70383/19092/69802/108099/57279/66594/104111/14784/18160/17711/83796/67892/26427/12864/83797/66379/22084/19082/57376/105787/12894/52469/11951/71679/67942/66152/22272/14182/74370/216739/66445/208501/67130/72508/70673/66218/29857","75597/19079/19017/66043/68202/70383/66945/67605/68197/20586/75406/67273/57279/12896/68342/20587/12894/83796/11515/78070/66272/11514/66993/66594/83797/14182/12864/71679/14784/11465/19082/26408/19094/18160/11512/105787/18749/57376/22272/19092/74370/208501/11951/66445/104111/66379/66218/52469/67130/104110/67942/216739/72508/26427/29857/70673","mmu04714","mmu04714","mmu04714","Thermogenesis","Thermogenesis","Thermogenesis",0.896123656210842,0.849543446244477,0.0708144061042301,-1.62132603729655,-0.861607369864831,FALSE,TRUE,FALSE,"20587/19092/20112/56636/67942/26408/11951/52469/74370/67273/66218/12862/50721/68094/433256/15461/11461/18176/104111/78070/22273/225887/72900/22084/70673/56716/67680/67130/20586/66416/70316/75406/66445/20104/50790/20588/56717/11465/57279/110651/231430/68349/67126/12896/83797",-0.0922907364672401,2.40522493555154,-2.49751567201878,0.0922907364672401,2.40522493555154,2.49751567201878,"mixed or incomplete"
"mouse KO vs WT vs mouse het vs WT","KEGG","mmu04820","Cytoskeleton in muscle cells","either",0.05,"shared negative",-0.0568405787099702,0.0568405787099702,-1.74925143768359,-1.80609201639356,0.0123357977916289,0.00583538077140338,"11465/20648/53867/76441/22003/192897/16399/56376/16421/15530/24051/212073/21827/71409/13003/70435/109700/12841/22004/77579/18073/14119/15529/12111/17886/12825/18810/12831/94216/12835/12814/12833/14268/20742/20649/16651/12834/12842/320910/13808/16480/22379/241226/70549/12843/30794/109676/13008","11735/16402/21826/192897/14119/94216/319480/212073/12814/18810/11465/17886/21827/118449/12831/22003/20648/70435/56376/15529/16419/109700/12825/12835/13003/70549/20649/12842/12833/12834/16480/12111/16651/22379/13808/30794/12843/320910/13008/241226/109676","mmu04820","mmu04820","mmu04820","Cytoskeleton in muscle cells","Cytoskeleton in muscle cells","Cytoskeleton in muscle cells",1.55989090870718,0.0251450833460895,1.59954692052479,-2.23393080002582,-1.90883275818899,TRUE,TRUE,TRUE,"14119/12842/12843/98932/12111/12826/14118/12833/12835/12834/11603/22793/13003/213019/241226/12832/12825/12827/16419/14201/21827/22004/15529/16403/22352/14268/70435/223697/21826/319480/11461/109676/18073/13808/13726/24052/16773/54132/14115",-0.0568405787099702,3.30914234639077,-3.36598292510074,0.0568405787099702,3.30914234639077,3.36598292510074,"mixed or incomplete"
