"ensembl_gene_id","baseMean","log2FoldChange","lfcSE","pvalue","padj","entrezgene_id","external_gene_name","gene_biotype","description"
"ENSMUSG00000081087",625.003008435938,-0.0594613338305102,0.101051894270915,0.545983218243957,0.626141303852608,"NA","Rps15a-ps7","processed_pseudogene","ribosomal protein S15A, pseudogene 7 [Source:MGI Symbol;Acc:MGI:3650538]"
"ENSMUSG00000025489",33.9911150897216,-0.142857436503783,0.331174195973392,0.546126037961305,0.626257303870017,"73835","Ifitm5","protein_coding","interferon induced transmembrane protein 5 [Source:MGI Symbol;Acc:MGI:1934923]"
"ENSMUSG00000031907",97.0343697095569,-0.118845479931172,0.225682604877784,0.546294660202657,0.626402872372452,"22751","Zfp90","protein_coding","zinc finger protein 90 [Source:MGI Symbol;Acc:MGI:104786]"
"ENSMUSG00000001507",10666.2699704893,0.0321703362725298,0.053765576045792,0.546455878339436,0.626539929475388,"16400","Itga3","protein_coding","integrin alpha 3 [Source:MGI Symbol;Acc:MGI:96602]"
"ENSMUSG00000100629",49.0314194879873,0.135030128681667,0.277355172048723,0.546600188396686,0.626657581159035,"NA","Gm28192","antisense","predicted gene 28192 [Source:MGI Symbol;Acc:MGI:5578898]"
"ENSMUSG00000059498",23.1085721282204,-0.142727788710264,0.333766411830952,0.546762917091606,0.626762788605538,"14131","Fcgr3","protein_coding","Fc receptor, IgG, low affinity III [Source:MGI Symbol;Acc:MGI:95500]"
"ENSMUSG00000082418",56.2341677444543,0.131964513352286,0.264154535256973,0.546775362393187,0.626762788605538,"NA","Gm13126","processed_pseudogene","predicted gene 13126 [Source:MGI Symbol;Acc:MGI:3651475]"
"ENSMUSG00000083626",48.6476084966426,0.134334282131388,0.273898265221451,0.546842008665688,0.626791377992421,"NA","Gm4459","processed_pseudogene","predicted gene 4459 [Source:MGI Symbol;Acc:MGI:3782643]"
"ENSMUSG00000032551",399.059896607383,-0.0716289337555817,0.123749582187548,0.547059289704465,0.626992607715123,"66202","1110059G10Rik","protein_coding","RIKEN cDNA 1110059G10 gene [Source:MGI Symbol;Acc:MGI:1913452]"
"ENSMUSG00000083364",255.0926672305,0.085676777211623,0.149969717299062,0.547139062193182,0.627036218217274,"NA","Llph-ps2","processed_pseudogene","LLP homolog, pseudogene 2 [Source:MGI Symbol;Acc:MGI:3642864]"
"ENSMUSG00000037339",1917.97383740124,-0.0425720441308712,0.0717100609211238,0.547478193400107,0.627349618477231,"74504","Fam53a","protein_coding","family with sequence similarity 53, member A [Source:MGI Symbol;Acc:MGI:1919225]"
"ENSMUSG00000045948",1456.55172518975,0.053243581146202,0.0900113930866718,0.547496014102559,0.627349618477231,"24030","Mrps12","protein_coding","mitochondrial ribosomal protein S12 [Source:MGI Symbol;Acc:MGI:1346333]"
"ENSMUSG00000081750",16.1397977796929,-0.137987600092254,0.384812340975011,0.547741215775609,0.627570678775657,"NA","Gm4995","processed_pseudogene","predicted pseudogene 4995 [Source:MGI Symbol;Acc:MGI:3643395]"
"ENSMUSG00000089648",89.6942604089047,-0.119152462561118,0.228322907272164,0.547772450873582,0.627570678775657,"NA","Gm15790","processed_pseudogene","predicted pseudogene 15790 [Source:MGI Symbol;Acc:MGI:3783232]"
"ENSMUSG00000083878",273.993507566389,0.0812015669612208,0.141459419623116,0.547918946704716,0.627690666211234,"NA","Gm12034","processed_pseudogene","predicted gene 12034 [Source:MGI Symbol;Acc:MGI:3651409]"
"ENSMUSG00000082305",13.299203152981,-0.138975912128769,0.381466634897662,0.548226529680863,0.627995161171775,"NA","Gm2420","transcribed_unprocessed_pseudogene","predicted gene 2420 [Source:MGI Symbol;Acc:MGI:3780587]"
"ENSMUSG00000078784",2054.54035843159,-0.0476817937660472,0.0807825468868321,0.54873878989162,0.628534050246259,"69126","1810022K09Rik","protein_coding","RIKEN cDNA 1810022K09 gene [Source:MGI Symbol;Acc:MGI:1916376]"
"ENSMUSG00000062169",3791.60778680345,-0.0369637542575034,0.0623129497643492,0.548934227177128,0.628709990873728,"98417","Cnih4","protein_coding","cornichon family AMPA receptor auxiliary protein 4 [Source:MGI Symbol;Acc:MGI:1925828]"
