"ensembl_gene_id","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","entrezgene_id","external_gene_name","gene_biotype","description"
"ENSMUSG00000028037",3097.3936944808,3.17860006910031,0.0725034460562314,43.8406757471236,0,0,"99899","Ifi44","protein_coding","interferon-induced protein 44 [Source:MGI Symbol;Acc:MGI:2443016]"
"ENSMUSG00000033880",3718.53341852319,3.0353847879921,0.0730796978780961,41.5352673331437,0,0,"19039","Lgals3bp","protein_coding","lectin, galactoside-binding, soluble, 3 binding protein [Source:MGI Symbol;Acc:MGI:99554]"
"ENSMUSG00000035783",2897.15228327536,3.7735910816934,0.0967418119408715,39.0068265829032,0,0,"11475","Acta2","protein_coding","actin, alpha 2, smooth muscle, aorta [Source:MGI Symbol;Acc:MGI:87909]"
"ENSMUSG00000029561",3485.5947443886,2.6593516711042,0.0696362002983624,38.18921279033,4.25301589253062e-319,1.59796439375074e-315,"23962","Oasl2","protein_coding","2'-5' oligoadenylate synthetase-like 2 [Source:MGI Symbol;Acc:MGI:1344390]"
"ENSMUSG00000018593",66132.994453486,1.84131555370121,0.0521356545667269,35.3177795311761,3.1329558495612e-273,9.41703869261106e-270,"20692","Sparc","protein_coding","secreted acidic cysteine rich glycoprotein [Source:MGI Symbol;Acc:MGI:98373]"
"ENSMUSG00000022389",5330.74200785226,-2.04890521130597,0.0622581153785309,-32.9098495649695,1.58896571496923e-237,3.98009428837876e-234,"21685","Tef","protein_coding","thyrotroph embryonic factor [Source:MGI Symbol;Acc:MGI:98663]"
"ENSMUSG00000021453",2110.46527457525,-3.04364122668903,0.0970766218585331,-31.352978383657,8.86080832979104e-216,1.90241554840614e-212,"23882","Gadd45g","protein_coding","growth arrest and DNA-damage-inducible 45 gamma [Source:MGI Symbol;Acc:MGI:1346325]"
"ENSMUSG00000040618",4315.61124536122,2.39332567440081,0.076876675020089,31.132013367844,8.8856667443774e-213,1.6692835687656e-209,"74551","Pck2","protein_coding","phosphoenolpyruvate carboxykinase 2 (mitochondrial) [Source:MGI Symbol;Acc:MGI:1860456]"
"ENSMUSG00000028268",1341.11371654773,2.83984594522255,0.0926386442431578,30.6550896596514,2.26056947888399e-206,3.77489985534972e-203,"55932","Gbp3","protein_coding","guanylate binding protein 3 [Source:MGI Symbol;Acc:MGI:1926263]"
"ENSMUSG00000036256",1066.13924965804,3.26863417491427,0.10706862963983,30.5284020717335,1.09436414838456e-204,1.64471987860715e-201,"29817","Igfbp7","protein_coding","insulin-like growth factor binding protein 7 [Source:MGI Symbol;Acc:MGI:1352480]"
"ENSMUSG00000028179",8826.93583735816,1.68882913211301,0.0562717611413051,30.0120184238086,6.83958496690698e-198,9.34473840614954e-195,"107869","Cth","protein_coding","cystathionase (cystathionine gamma-lyase) [Source:MGI Symbol;Acc:MGI:1339968]"
"ENSMUSG00000025498",1117.20642349579,2.87278778637876,0.0967579914726626,29.690444609843,1.02012438374036e-193,1.27762078026949e-190,"54123","Irf7","protein_coding","interferon regulatory factor 7 [Source:MGI Symbol;Acc:MGI:1859212]"
"ENSMUSG00000070327",33936.2504206497,1.69849337968033,0.061088835718025,27.8036626450088,3.91724666149297e-170,4.52863846735214e-167,"672511","Rnf213","protein_coding","ring finger protein 213 [Source:MGI Symbol;Acc:MGI:1289196]"
"ENSMUSG00000001123",925.843829783382,3.004344328732,0.109809847025344,27.3595165653822,8.32097742379434e-165,8.93256926444323e-162,"16859","Lgals9","protein_coding","lectin, galactose binding, soluble 9 [Source:MGI Symbol;Acc:MGI:109496]"
"ENSMUSG00000027737",4128.16804616206,1.88682648121787,0.0699280797475558,26.9823865896135,2.37899311534877e-160,2.23461797066105e-157,"26570","Slc7a11","protein_coding","solute carrier family 7 (cationic amino acid transporter, y+ system), member 11 [Source:MGI Symbol;Acc:MGI:1347355]"
"ENSMUSG00000030107",1504.13497516757,2.64000501369318,0.097838980738649,26.9831614532581,2.32970285206867e-160,2.23461797066105e-157,"24110","Usp18","protein_coding","ubiquitin specific peptidase 18 [Source:MGI Symbol;Acc:MGI:1344364]"
"ENSMUSG00000025492",27354.2933216428,1.75310154809924,0.0661529461732093,26.5007327641775,9.50566822746705e-155,8.40356987003542e-152,"66141","Ifitm3","protein_coding","interferon induced transmembrane protein 3 [Source:MGI Symbol;Acc:MGI:1913391]"
"ENSMUSG00000003617",1283.18164379532,3.11127245133938,0.11883119779872,26.1822863774322,4.22898132922979e-151,3.5309644664997e-148,"12870","Cp","protein_coding","ceruloplasmin [Source:MGI Symbol;Acc:MGI:88476]"
"ENSMUSG00000087141",3334.04622220076,-2.27305277613573,0.0886971314746963,-25.6271283901012,7.60665848363826e-145,6.01686686055786e-142,"433022","Plcxd2","protein_coding","phosphatidylinositol-specific phospholipase C, X domain containing 2 [Source:MGI Symbol;Acc:MGI:3647874]"
"ENSMUSG00000031007",12901.272558711,-1.34500896353565,0.0528591782108524,-25.4451357183511,7.99125563949104e-143,6.00502905029554e-140,"70495","Atp6ap2","protein_coding","ATPase, H+ transporting, lysosomal accessory protein 2 [Source:MGI Symbol;Acc:MGI:1917745]"
"ENSMUSG00000031673",4399.82759025376,2.03840267328625,0.0801698116181363,25.4260629050189,1.29905722574767e-142,9.29691954560083e-140,"12552","Cdh11","protein_coding","cadherin 11 [Source:MGI Symbol;Acc:MGI:99217]"
"ENSMUSG00000024598",12038.6375463037,1.46838090686122,0.0581875327316531,25.2353182533627,1.64159655770844e-140,1.12143430299092e-137,"14119","Fbn2","protein_coding","fibrillin 2 [Source:MGI Symbol;Acc:MGI:95490]"
"ENSMUSG00000015312",6213.77642912195,-2.06703205616454,0.0831586764504201,-24.856480939748,2.20059633967912e-136,1.43794619082772e-133,"17873","Gadd45b","protein_coding","growth arrest and DNA-damage-inducible 45 beta [Source:MGI Symbol;Acc:MGI:107776]"
"ENSMUSG00000024521",4326.49583476419,-1.73452175670799,0.0700397760713319,-24.7648101407616,2.1473572654954e-135,1.3446930142971e-132,"58801","Pmaip1","protein_coding","phorbol-12-myristate-13-acetate-induced protein 1 [Source:MGI Symbol;Acc:MGI:1930146]"
"ENSMUSG00000020277",3607.94054875754,1.90626723869911,0.0774727002291728,24.6056640992267,1.09861636676756e-133,6.60444215045984e-131,"18641","Pfkl","protein_coding","phosphofructokinase, liver, B-type [Source:MGI Symbol;Acc:MGI:97547]"
"ENSMUSG00000028278",1324.06788722077,-2.06898823710353,0.0841440216612838,-24.588654027402,1.67052886323775e-133,9.65629934061544e-131,"52187","Rragd","protein_coding","Ras-related GTP binding D [Source:MGI Symbol;Acc:MGI:1098604]"
"ENSMUSG00000046879",2620.74391059942,1.82690274918379,0.0743644583172173,24.566880342095,2.85528547629855e-133,1.58933649715892e-130,"15944","Irgm1","protein_coding","immunity-related GTPase family M member 1 [Source:MGI Symbol;Acc:MGI:107567]"
"ENSMUSG00000029070",5960.85138354674,1.7536255126198,0.0715478330086493,24.5098340351944,1.16035560639384e-132,6.22820871731893e-130,"74761","Mxra8","protein_coding","matrix-remodelling associated 8 [Source:MGI Symbol;Acc:MGI:1922011]"
"ENSMUSG00000040675",3517.49262070831,1.56180486182609,0.0637861623335885,24.4850106149697,2.13367593320412e-132,1.10575915862499e-129,"270685","Mthfd1l","protein_coding","methylenetetrahydrofolate dehydrogenase (NADP+ dependent) 1-like [Source:MGI Symbol;Acc:MGI:1924836]"
"ENSMUSG00000067212",1630.76677597335,2.29021546234251,0.0945094774338291,24.2326539573347,1.00755835105052e-129,5.04753148597942e-127,"15040","H2-T23","protein_coding","histocompatibility 2, T region locus 23 [Source:MGI Symbol;Acc:MGI:95957]"
"ENSMUSG00000074896",1150.51299410401,2.52296608293775,0.105701014838669,23.8688917678657,6.44696605122222e-126,3.12553073496189e-123,"15959","Ifit3","protein_coding","interferon-induced protein with tetratricopeptide repeats 3 [Source:MGI Symbol;Acc:MGI:1101055]"
"ENSMUSG00000040010",37800.6314446918,1.23027644358179,0.0515751812844037,23.8540401205303,9.19455960270094e-126,4.31828238340601e-123,"20539","Slc7a5","protein_coding","solute carrier family 7 (cationic amino acid transporter, y+ system), member 5 [Source:MGI Symbol;Acc:MGI:1298205]"
"ENSMUSG00000027227",11161.2811819535,-1.31174133508857,0.0552299810186494,-23.7505302535888,1.08496385550538e-124,4.94118841951221e-122,"20322","Sord","protein_coding","sorbitol dehydrogenase [Source:MGI Symbol;Acc:MGI:98266]"
"ENSMUSG00000053846",626.080139041029,-2.93168893507072,0.12488286934474,-23.4755090946683,7.25769480664463e-122,3.20811456614889e-119,"16891","Lipg","protein_coding","lipase, endothelial [Source:MGI Symbol;Acc:MGI:1341803]"
"ENSMUSG00000079362",943.866484344889,2.18901981242121,0.093849572711207,23.3247712182691,2.48580851172304e-120,1.06740617493387e-117,"NA","Gm43302","protein_coding","predicted gene 43302 [Source:MGI Symbol;Acc:MGI:5663439]"
"ENSMUSG00000052776",508.975058610772,3.30180954304944,0.143720151894521,22.9738801380665,8.50655068610143e-117,3.55124861837273e-114,"246730","Oas1a","protein_coding","2'-5' oligoadenylate synthetase 1A [Source:MGI Symbol;Acc:MGI:2180860]"
"ENSMUSG00000001506",15143.6312763769,2.07992589611612,0.0919940056824017,22.6093633023962,3.50558983669374e-113,1.42393269339649e-110,"12842","Col1a1","protein_coding","collagen, type I, alpha 1 [Source:MGI Symbol;Acc:MGI:88467]"
"ENSMUSG00000031558",48839.1690258026,1.2324453490603,0.0548402005656871,22.4733924447283,7.55910458158637e-112,2.98962586201741e-109,"20563","Slit2","protein_coding","slit guidance ligand 2 [Source:MGI Symbol;Acc:MGI:1315205]"
"ENSMUSG00000047735",1565.95830529628,1.71940438218332,0.0765363311213178,22.4652051776285,9.08911768275992e-112,3.50257306805638e-109,"209086","Samd9l","protein_coding","sterile alpha motif domain containing 9-like [Source:MGI Symbol;Acc:MGI:1343184]"
"ENSMUSG00000030351",1755.55815383814,2.2629665306317,0.100794234886009,22.4513488612812,1.24147016549952e-111,4.66451377932306e-109,"68498","Tspan11","protein_coding","tetraspanin 11 [Source:MGI Symbol;Acc:MGI:1915748]"
