"experiment","condition","sample","sample_label","ensembl_gene_id","entrezgene_id","external_gene_name","gene_biotype","normalized_count"
"mouseKD","KD","sample.shrubr5_2_jw","KD 2 jw","ENSMUSG00000000085","29871","Scmh1","protein_coding",3360.00508078489
"mouseKD","KD","sample.shrubr5_1_jw","KD 1 jw","ENSMUSG00000000085","29871","Scmh1","protein_coding",3137.08347640917
"mouseKD","Control","sample.jw23.3_3","Control 3","ENSMUSG00000000085","29871","Scmh1","protein_coding",2986.1536477729
"mouseKD","Control","sample.jw23.3_2","Control 2","ENSMUSG00000000085","29871","Scmh1","protein_coding",2904.76893404427
"mouseKD","Control","sample.jw23.3_1","Control 1","ENSMUSG00000000085","29871","Scmh1","protein_coding",3031.48372411644
"mouseKD","KD","sample.shrubr5_3_jw","KD 3 jw","ENSMUSG00000000088","12858","Cox5a","protein_coding",8298.4723557226
"mouseKD","KD","sample.shrubr5_2_jw","KD 2 jw","ENSMUSG00000000088","12858","Cox5a","protein_coding",7802.7506769639
"mouseKD","KD","sample.shrubr5_1_jw","KD 1 jw","ENSMUSG00000000088","12858","Cox5a","protein_coding",7727.4108153651
"mouseKD","Control","sample.jw23.3_3","Control 3","ENSMUSG00000000088","12858","Cox5a","protein_coding",8782.96870469027
"mouseKD","Control","sample.jw23.3_2","Control 2","ENSMUSG00000000088","12858","Cox5a","protein_coding",8435.94196646361
"mouseKD","Control","sample.jw23.3_1","Control 1","ENSMUSG00000000088","12858","Cox5a","protein_coding",7228.98762822979
"mouseKD","KD","sample.shrubr5_3_jw","KD 3 jw","ENSMUSG00000000093","21385","Tbx2","protein_coding",54.485852324464
"mouseKD","KD","sample.shrubr5_2_jw","KD 2 jw","ENSMUSG00000000093","21385","Tbx2","protein_coding",70.189661262044
"mouseKD","KD","sample.shrubr5_1_jw","KD 1 jw","ENSMUSG00000000093","21385","Tbx2","protein_coding",52.0067013605524
"mouseKD","Control","sample.jw23.3_3","Control 3","ENSMUSG00000000093","21385","Tbx2","protein_coding",133.708372288339
"mouseKD","Control","sample.jw23.3_2","Control 2","ENSMUSG00000000093","21385","Tbx2","protein_coding",154.056874702421
"mouseKD","Control","sample.jw23.3_1","Control 1","ENSMUSG00000000093","21385","Tbx2","protein_coding",118.964432257283
"mouseKD","KD","sample.shrubr5_3_jw","KD 3 jw","ENSMUSG00000000126","216795","Wnt9a","protein_coding",84.9609900652659
"mouseKD","KD","sample.shrubr5_2_jw","KD 2 jw","ENSMUSG00000000126","216795","Wnt9a","protein_coding",81.8879381390514
"mouseKD","KD","sample.shrubr5_1_jw","KD 1 jw","ENSMUSG00000000126","216795","Wnt9a","protein_coding",81.4444568476575
"mouseKD","Control","sample.jw23.3_3","Control 3","ENSMUSG00000000126","216795","Wnt9a","protein_coding",296.201185833195
"mouseKD","Control","sample.jw23.3_2","Control 2","ENSMUSG00000000126","216795","Wnt9a","protein_coding",247.553460728718
"mouseKD","Control","sample.jw23.3_1","Control 1","ENSMUSG00000000126","216795","Wnt9a","protein_coding",199.961492517561
"mouseKD","KD","sample.shrubr5_3_jw","KD 3 jw","ENSMUSG00000000127","14158","Fer","protein_coding",2010.43560187048
"mouseKD","KD","sample.shrubr5_2_jw","KD 2 jw","ENSMUSG00000000127","14158","Fer","protein_coding",2000.40534596826
"mouseKD","KD","sample.shrubr5_1_jw","KD 1 jw","ENSMUSG00000000127","14158","Fer","protein_coding",2006.67366570433
"mouseKD","Control","sample.jw23.3_3","Control 3","ENSMUSG00000000127","14158","Fer","protein_coding",1039.02547632397
"mouseKD","Control","sample.jw23.3_2","Control 2","ENSMUSG00000000127","14158","Fer","protein_coding",1196.33131665466
"mouseKD","Control","sample.jw23.3_1","Control 1","ENSMUSG00000000127","14158","Fer","protein_coding",1139.86487928787
"mouseKD","KD","sample.shrubr5_3_jw","KD 3 jw","ENSMUSG00000000131","74204","Xpo6","protein_coding",10633.976093495
"mouseKD","KD","sample.shrubr5_2_jw","KD 2 jw","ENSMUSG00000000131","74204","Xpo6","protein_coding",9908.44051482522
"mouseKD","KD","sample.shrubr5_1_jw","KD 1 jw","ENSMUSG00000000131","74204","Xpo6","protein_coding",10249.2452020938
"mouseKD","Control","sample.jw23.3_3","Control 3","ENSMUSG00000000131","74204","Xpo6","protein_coding",9877.70600280104
"mouseKD","Control","sample.jw23.3_2","Control 2","ENSMUSG00000000131","74204","Xpo6","protein_coding",10173.066036384
"mouseKD","Control","sample.jw23.3_1","Control 1","ENSMUSG00000000131","74204","Xpo6","protein_coding",9392.28411268138
"mouseKD","KD","sample.shrubr5_3_jw","KD 3 jw","ENSMUSG00000000134","209446","Tfe3","protein_coding",6273.26092949295
"mouseKD","KD","sample.shrubr5_2_jw","KD 2 jw","ENSMUSG00000000134","209446","Tfe3","protein_coding",6106.50052979783
"mouseKD","KD","sample.shrubr5_1_jw","KD 1 jw","ENSMUSG00000000134","209446","Tfe3","protein_coding",6202.53508113305
"mouseKD","Control","sample.jw23.3_3","Control 3","ENSMUSG00000000134","209446","Tfe3","protein_coding",5458.83000474406
"mouseKD","Control","sample.jw23.3_2","Control 2","ENSMUSG00000000134","209446","Tfe3","protein_coding",5412.17737747678
"mouseKD","Control","sample.jw23.3_1","Control 1","ENSMUSG00000000134","209446","Tfe3","protein_coding",5251.30940687468
"mouseKD","KD","sample.shrubr5_3_jw","KD 3 jw","ENSMUSG00000000142","12006","Axin2","protein_coding",60.9502754816038
"mouseKD","KD","sample.shrubr5_2_jw","KD 2 jw","ENSMUSG00000000142","12006","Axin2","protein_coding",50.6925331336985
"mouseKD","KD","sample.shrubr5_1_jw","KD 1 jw","ENSMUSG00000000142","12006","Axin2","protein_coding",54.9504769092629
"mouseKD","Control","sample.jw23.3_3","Control 3","ENSMUSG00000000142","12006","Axin2","protein_coding",116.066295389183
"mouseKD","Control","sample.jw23.3_2","Control 2","ENSMUSG00000000142","12006","Axin2","protein_coding",112.620887713494
"mouseKD","Control","sample.jw23.3_1","Control 1","ENSMUSG00000000142","12006","Axin2","protein_coding",133.307661678374
"mouseKD","KD","sample.shrubr5_3_jw","KD 3 jw","ENSMUSG00000000148","231841","Brat1","protein_coding",1328.90070330345
"mouseKD","KD","sample.shrubr5_2_jw","KD 2 jw","ENSMUSG00000000148","231841","Brat1","protein_coding",1280.31141376136
"mouseKD","KD","sample.shrubr5_1_jw","KD 1 jw","ENSMUSG00000000148","231841","Brat1","protein_coding",1499.36301280989
"mouseKD","Control","sample.jw23.3_3","Control 3","ENSMUSG00000000148","231841","Brat1","protein_coding",1484.72005061843
"mouseKD","Control","sample.jw23.3_2","Control 2","ENSMUSG00000000148","231841","Brat1","protein_coding",1337.63865689895
"mouseKD","Control","sample.jw23.3_1","Control 1","ENSMUSG00000000148","231841","Brat1","protein_coding",1232.6740108361
"mouseKD","KD","sample.shrubr5_3_jw","KD 3 jw","ENSMUSG00000000149","14673","Gna12","protein_coding",14277.1402870545
"mouseKD","KD","sample.shrubr5_2_jw","KD 2 jw","ENSMUSG00000000149","14673","Gna12","protein_coding",14097.7234453357
"mouseKD","KD","sample.shrubr5_1_jw","KD 1 jw","ENSMUSG00000000149","14673","Gna12","protein_coding",14084.0034835473
"mouseKD","Control","sample.jw23.3_3","Control 3","ENSMUSG00000000149","14673","Gna12","protein_coding",9597.28983314077
"mouseKD","Control","sample.jw23.3_2","Control 2","ENSMUSG00000000149","14673","Gna12","protein_coding",8894.92520695634
"mouseKD","Control","sample.jw23.3_1","Control 1","ENSMUSG00000000149","14673","Gna12","protein_coding",7983.27275190363
"mouseKD","KD","sample.shrubr5_3_jw","KD 3 jw","ENSMUSG00000000167","72614","Pih1d2","protein_coding",29.5516487183533
"mouseKD","KD","sample.shrubr5_2_jw","KD 2 jw","ENSMUSG00000000167","72614","Pih1d2","protein_coding",41.5938733404705
"mouseKD","KD","sample.shrubr5_1_jw","KD 1 jw","ENSMUSG00000000167","72614","Pih1d2","protein_coding",32.3815310358156
"mouseKD","Control","sample.jw23.3_3","Control 3","ENSMUSG00000000167","72614","Pih1d2","protein_coding",23.2132590778366
"mouseKD","Control","sample.jw23.3_2","Control 2","ENSMUSG00000000167","72614","Pih1d2","protein_coding",29.7489137356399
"mouseKD","Control","sample.jw23.3_1","Control 1","ENSMUSG00000000167","72614","Pih1d2","protein_coding",32.0613363530266
"mouseKD","KD","sample.shrubr5_3_jw","KD 3 jw","ENSMUSG00000000168","235339","Dlat","protein_coding",5228.79484510365
"mouseKD","KD","sample.shrubr5_2_jw","KD 2 jw","ENSMUSG00000000168","235339","Dlat","protein_coding",5285.02153132354
"mouseKD","KD","sample.shrubr5_1_jw","KD 1 jw","ENSMUSG00000000168","235339","Dlat","protein_coding",5415.56575111111
"mouseKD","Control","sample.jw23.3_3","Control 3","ENSMUSG00000000168","235339","Dlat","protein_coding",4059.53474753207
"mouseKD","Control","sample.jw23.3_2","Control 2","ENSMUSG00000000168","235339","Dlat","protein_coding",3940.66860876745
"mouseKD","Control","sample.jw23.3_1","Control 1","ENSMUSG00000000168","235339","Dlat","protein_coding",3599.30686531609
"mouseKD","KD","sample.shrubr5_3_jw","KD 3 jw","ENSMUSG00000000171","66925","Sdhd","protein_coding",7516.27715370868
"mouseKD","KD","sample.shrubr5_2_jw","KD 2 jw","ENSMUSG00000000171","66925","Sdhd","protein_coding",7379.01309230785
"mouseKD","KD","sample.shrubr5_1_jw","KD 1 jw","ENSMUSG00000000171","66925","Sdhd","protein_coding",7570.4094527672
"mouseKD","Control","sample.jw23.3_3","Control 3","ENSMUSG00000000171","66925","Sdhd","protein_coding",10986.3712563585
"mouseKD","Control","sample.jw23.3_2","Control 2","ENSMUSG00000000171","66925","Sdhd","protein_coding",9998.82239878955
"mouseKD","Control","sample.jw23.3_1","Control 1","ENSMUSG00000000171","66925","Sdhd","protein_coding",8494.56669479663
