"ensembl_gene_id","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","entrezgene_id","external_gene_name","gene_biotype","description"
"ENSG00000112306",7921.26930733019,0.510932914261337,0.14204340566334,3.59701960027846,0.000321884237136685,0.000427936090107966,"6206","RPS12","protein_coding","ribosomal protein S12 [Source:HGNC Symbol;Acc:HGNC:10385]"
"ENSG00000271576",10.2511952180233,4.3286843892592,1.20353693298435,3.59663610698308,0.000322358945590005,0.000428542256014559,"NA","AL359504.1","lncRNA","novel transcript"
"ENSG00000135185",329.060970512201,0.601552432330842,0.167303019897342,3.59558621655459,0.000323661910718561,0.000430249367260416,"79161","TMEM243","protein_coding","transmembrane protein 243 [Source:HGNC Symbol;Acc:HGNC:21707]"
"ENSG00000256663",330.229001637972,-0.58661969986239,0.163161468211869,-3.59533231890664,0.000323977749377556,0.000430644151905134,"NA","AC112777.1","processed_pseudogene","ubiquitin-like with PHD and ring finger domains 1 (UHRF1) pseudogene"
"ENSG00000224712",5.29612803583241,5.33968959447994,1.48519044058035,3.59528949862713,0.000324031044535013,0.00043068992761073,"642778","NPIPA3","protein_coding","nuclear pore complex interacting protein family member A3 [Source:HGNC Symbol;Acc:HGNC:41978]"
"ENSG00000141506",481.187497164325,-7.56307765525404,2.10387104215641,-3.5948389914156,0.000324592254244295,0.000431410759700038,"23533","PIK3R5","protein_coding","phosphoinositide-3-kinase regulatory subunit 5 [Source:HGNC Symbol;Acc:HGNC:30035]"
"ENSG00000200087",35.0079442021338,-2.06823422299106,0.575540712584834,-3.59354981805255,0.000326203244815286,0.000433526674910464,"NA","SNORA73B","snoRNA","small nucleolar RNA, H/ACA box 73B [Source:HGNC Symbol;Acc:HGNC:10116]"
"ENSG00000240922",5.18229687461905,5.31151606522283,1.4781485231506,3.59335748880064,0.000326444225822479,0.000433821696355149,"NA","LSAMP-AS1","lncRNA","LSAMP antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:40350]"
"ENSG00000217835",59.2401621156316,1.50652625994661,0.419480519095498,3.5914093536335,0.000328894571425113,0.00043705260468832,"NA","AL034397.1","processed_pseudogene","Heterogenous nuclear ribonucleoprotein G pseudogene"
"ENSG00000197587",30.1407751912185,1.59188529688165,0.443282069565328,3.59113396678241,0.000329242335650052,0.000437489277630412,"127343","DMBX1","protein_coding","diencephalon/mesencephalon homeobox 1 [Source:HGNC Symbol;Acc:HGNC:19026]"
"ENSG00000257815",11.4904008625445,3.15018538788714,0.877276750833793,3.59086842879753,0.00032957798837196,0.000437909807227133,"NA","PRANCR","lncRNA","progenitor renewal associated non-coding RNA [Source:HGNC Symbol;Acc:HGNC:51126]"
"ENSG00000161638",6625.42365088898,-0.619090070680202,0.17242073657278,-3.59057780975712,0.000329945711754825,0.000438372897659596,"3678","ITGA5","protein_coding","integrin subunit alpha 5 [Source:HGNC Symbol;Acc:HGNC:6141]"
"ENSG00000254634",15.1436769628577,2.2839458176696,0.636222275916792,3.5898551561692,0.000330861758104626,0.00043956440540699,"NA","SMG1P6","unprocessed_pseudogene","SMG1 pseudogene 6 [Source:HGNC Symbol;Acc:HGNC:49863]"
"ENSG00000135338",132.743267026984,0.853708541106776,0.237834390446586,3.58950839491191,0.000331302162279658,0.000440123899738548,"167691","LCA5","protein_coding","lebercilin LCA5 [Source:HGNC Symbol;Acc:HGNC:31923]"
"ENSG00000267370",5.25379431795534,5.32888415962195,1.48494218112581,3.58861390521067,0.000332440742953157,0.000441610779288498,"NA","AC008752.4","unprocessed_pseudogene","zinc finger protein 420 (ZNF420) pseudogene"
"ENSG00000155465",57.2018094460445,-1.1077914530282,0.308815988136005,-3.58722182654716,0.000334219981785101,0.000443948479934275,"9056","SLC7A7","protein_coding","solute carrier family 7 member 7 [Source:HGNC Symbol;Acc:HGNC:11065]"
"ENSG00000132394",606.564066714331,0.428612915058411,0.119529795065678,3.58582489682093,0.000336014374697959,0.000446306036855288,"60678","EEFSEC","protein_coding","eukaryotic elongation factor, selenocysteine-tRNA specific [Source:HGNC Symbol;Acc:HGNC:24614]"
"ENSG00000180878",18.0036453076331,-2.99548651988939,0.835390908412674,-3.5857303326189,0.000336136170071445,0.000446441846258533,"160298","C11orf42","protein_coding","chromosome 11 open reading frame 42 [Source:HGNC Symbol;Acc:HGNC:28541]"
"ENSG00000267274",5.33902650183419,5.35009097933335,1.49213953306072,3.58551654238334,0.000336411676664024,0.000446781780736736,"NA","AC008770.3","lncRNA","novel transcript, sense overlapping with ZNF700"
