"ensembl_gene_id","baseMean","log2FoldChange","lfcSE","pvalue","padj","entrezgene_id","external_gene_name","gene_biotype","description"
"ENSG00000257738",33.5514238225974,-9.95524881721345,2.97782526937659,1.9256826697937e-12,4.23298041341851e-12,"NA","AC009248.1","processed_pseudogene","carbonyl reductase 3 (CBR3) pseudogene"
"ENSG00000174428",127.681167600279,1.86948532019217,0.273695601739622,1.94976860014121e-12,4.28551294953566e-12,"389524","GTF2IRD2B","protein_coding","GTF2I repeat domain containing 2B [Source:HGNC Symbol;Acc:HGNC:33125]"
"ENSG00000186272",103.732770449448,2.00731407020935,0.293672337395885,1.95767796808458e-12,4.30248336346071e-12,"7565","ZNF17","protein_coding","zinc finger protein 17 [Source:HGNC Symbol;Acc:HGNC:12958]"
"ENSG00000198521",186.496582363113,1.80970288075644,0.264915468617398,1.9752953435518e-12,4.34078421546999e-12,"7594","ZNF43","protein_coding","zinc finger protein 43 [Source:HGNC Symbol;Acc:HGNC:13109]"
"ENSG00000172250",38.0619563788372,4.52355670136693,0.654142957908491,1.97571807668443e-12,4.3412954736767e-12,"NA","SERHL","transcribed_unitary_pseudogene","serine hydrolase like (pseudogene) [Source:HGNC Symbol;Acc:HGNC:14408]"
"ENSG00000223890",28.3964969520761,-9.69397589785389,2.92823764885544,1.97816712472399e-12,4.34625867836184e-12,"NA","AC008171.1","processed_pseudogene","pseudogene similar to part of CAP-GLY domain containing linker protein 2 CLIP2"
"ENSG00000174840",852.530112436114,0.739865243623826,0.105773360829989,1.98032440692851e-12,4.35057994707967e-12,"201626","PDE12","protein_coding","phosphodiesterase 12 [Source:HGNC Symbol;Acc:HGNC:25386]"
"ENSG00000236496",45.3858864467145,-3.66179692297954,0.547765805850514,1.9820771342929e-12,4.35401170242527e-12,"NA","GPS2P1","processed_pseudogene","G protein pathway suppressor 2 pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:49622]"
"ENSG00000164032",5491.39527888691,-1.05068311783704,0.151222657738602,2.00108012185233e-12,4.39533265079682e-12,"3015","H2AZ1","protein_coding","H2A.Z variant histone 1 [Source:HGNC Symbol;Acc:HGNC:4741]"
"ENSG00000163016",32.0506859999785,-3.39487472551836,0.505882678514528,2.00404597798944e-12,4.40142379952887e-12,"NA","ALMS1P1","transcribed_unprocessed_pseudogene","ALMS1 pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:29586]"
"ENSG00000267470",42.4071301022513,3.53135645788344,0.521495382083674,2.00830405900579e-12,4.41035157727242e-12,"NA","ZNF571-AS1","lncRNA","ZNF571 antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:44324]"
"ENSG00000119878",278.794689490197,-1.02153376238417,0.146925789804228,2.0111171447544e-12,4.41610465042262e-12,"9419","CRIPT","protein_coding","CXXC repeat containing interactor of PDZ3 domain [Source:HGNC Symbol;Acc:HGNC:14312]"
"ENSG00000259512",27.7599831339025,-9.66524226864667,2.92286115794327,2.0169395940445e-12,4.42846408271317e-12,"NA","HNRNPA1P5","processed_pseudogene","heterogeneous nuclear ribonucleoprotein A1 pseudogene 5 [Source:HGNC Symbol;Acc:HGNC:15787]"
"ENSG00000214998",34.1371609101583,-4.37818853527194,0.653392178995644,2.01956930531106e-12,4.43381172392572e-12,"NA","CCNB2P1","processed_pseudogene","cyclin B2 pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:50850]"
"ENSG00000232422",28.8672076038431,-9.72881390228447,2.93527366804188,2.02546898215655e-12,4.4463366093304e-12,"NA","KNOP1P4","processed_pseudogene","lysine rich nucleolar protein 1 pseudogene 4 [Source:HGNC Symbol;Acc:HGNC:48922]"
"ENSG00000179636",30.7240561462682,-9.82701081502271,2.95436037181491,2.0260128362405e-12,4.44710304343074e-12,"122664","TPPP2","protein_coding","tubulin polymerization promoting protein family member 2 [Source:HGNC Symbol;Acc:HGNC:19293]"
"ENSG00000188340",29.8735959063026,-9.78309328804317,2.9458475184959,2.0273571979941e-12,4.44962627762708e-12,"81442","OR6N2","protein_coding","olfactory receptor family 6 subfamily N member 2 [Source:HGNC Symbol;Acc:HGNC:15035]"
"ENSG00000217085",27.5275746464647,-9.64932428016505,2.91995499168666,2.02832893703913e-12,4.45133127635599e-12,"NA","HMGB3P19","processed_pseudogene","high mobility group box 3 pseudogene 19 [Source:HGNC Symbol;Acc:HGNC:39311]"
"ENSG00000179406",174.852431455662,1.47532792554804,0.214049038626573,2.04154231673934e-12,4.47989863297558e-12,"NA","LINC00174","lncRNA","long intergenic non-protein coding RNA 174 [Source:HGNC Symbol;Acc:HGNC:27788]"
"ENSG00000101986",718.940115821892,-0.925663287474299,0.13297609606442,2.04370494505723e-12,4.4842133961151e-12,"215","ABCD1","protein_coding","ATP binding cassette subfamily D member 1 [Source:HGNC Symbol;Acc:HGNC:61]"
"ENSG00000143079",1404.27636567939,-0.570244905445916,0.081412875001068,2.06571414614222e-12,4.53206968143536e-12,"55917","CTTNBP2NL","protein_coding","CTTNBP2 N-terminal like [Source:HGNC Symbol;Acc:HGNC:25330]"
"ENSG00000177479",2072.83982052748,0.563383693045592,0.0803963914005406,2.06902664336688e-12,4.53890111496072e-12,"10425","ARIH2","protein_coding","ariadne RBR E3 ubiquitin protein ligase 2 [Source:HGNC Symbol;Acc:HGNC:690]"
"ENSG00000066855",556.051655272295,-0.857836477349182,0.123038990008521,2.07440763034017e-12,4.55026852375519e-12,"9650","MTFR1","protein_coding","mitochondrial fission regulator 1 [Source:HGNC Symbol;Acc:HGNC:29510]"
"ENSG00000149596",90.324044656468,1.9510173648851,0.285531906850706,2.07555423657511e-12,4.55234641401507e-12,"57158","JPH2","protein_coding","junctophilin 2 [Source:HGNC Symbol;Acc:HGNC:14202]"
"ENSG00000125733",1615.80623800344,0.666866458221717,0.0953402383912465,2.08328992762105e-12,4.56887446292847e-12,"9322","TRIP10","protein_coding","thyroid hormone receptor interactor 10 [Source:HGNC Symbol;Acc:HGNC:12304]"
"ENSG00000145335",264.965075877392,4.95145668255537,0.743722035060369,2.11457529172644e-12,4.63704129503025e-12,"6622","SNCA","protein_coding","synuclein alpha [Source:HGNC Symbol;Acc:HGNC:11138]"
"ENSG00000253401",28.6500404158412,-9.71613287683035,2.93364269555823,2.13411260656444e-12,4.67943527470481e-12,"NA","VTA1P2","processed_pseudogene","vesicle trafficking 1 pseudogene 2 [Source:HGNC Symbol;Acc:HGNC:50484]"
"ENSG00000164404",46.8994887242165,-2.62023990560326,0.388674375872618,2.15136017254879e-12,4.71680090053201e-12,"2661","GDF9","protein_coding","growth differentiation factor 9 [Source:HGNC Symbol;Acc:HGNC:4224]"
"ENSG00000182372",411.992267833934,1.18716413742169,0.171425289517019,2.15958730483566e-12,4.73438418651772e-12,"2055","CLN8","protein_coding","CLN8 transmembrane ER and ERGIC protein [Source:HGNC Symbol;Acc:HGNC:2079]"
"ENSG00000158578",30.157699633098,-6.17433732921929,0.883586700529637,2.17317481343664e-12,4.76371432614257e-12,"212","ALAS2","protein_coding","5'-aminolevulinate synthase 2 [Source:HGNC Symbol;Acc:HGNC:397]"
"ENSG00000213133",28.679487915371,-5.70564423871054,0.828496326958502,2.18400093402963e-12,4.78698630828242e-12,"NA","PPP1R14BP5","processed_pseudogene","protein phosphatase 1 regulatory inhibitor subunit 14B pseudogene 5 [Source:HGNC Symbol;Acc:HGNC:16332]"
"ENSG00000159079",68.3741197329513,2.60583930113374,0.385081370765342,2.1859485502766e-12,4.79079540732821e-12,"56683","CFAP298","protein_coding","cilia and flagella associated protein 298 [Source:HGNC Symbol;Acc:HGNC:1301]"
"ENSG00000246876",27.3104074584628,-9.63539503304179,2.91854671522787,2.20790727161859e-12,4.83845655118951e-12,"NA","LINC02466","lncRNA","long intergenic non-protein coding RNA 2466 [Source:HGNC Symbol;Acc:HGNC:53405]"
"ENSG00000259429",78.9211851321798,7.09054467419997,0.981094946520687,2.21061755935963e-12,4.8439311559258e-12,"NA","UBE2Q2P2","transcribed_unprocessed_pseudogene","ubiquitin conjugating enzyme E2 Q2 pseudogene 2 [Source:HGNC Symbol;Acc:HGNC:37440]"
"ENSG00000278133",77.5498613803463,7.08755776170566,0.978131912039833,2.22069832027483e-12,4.86555342831511e-12,"NA","AC135050.6","lncRNA","novel transcript, sense intronic to KAT8"
"ENSG00000118432",59.4709837644241,3.11412759178306,0.464281388820207,2.233696428095e-12,4.89356285096037e-12,"1268","CNR1","protein_coding","cannabinoid receptor 1 [Source:HGNC Symbol;Acc:HGNC:2159]"
"ENSG00000260316",25.9460310082019,-5.27174894602378,0.767032397793458,2.25127139100356e-12,4.93159287350184e-12,"NA","AL008727.1","lncRNA","novel transcript, intronic to LMF1"
"ENSG00000186431",27.8335370945612,-9.66128646846994,2.92413923995786,2.28390876523614e-12,5.00260787275614e-12,"2204","FCAR","protein_coding","Fc fragment of IgA receptor [Source:HGNC Symbol;Acc:HGNC:3608]"
"ENSG00000164024",1694.79607712771,-0.619598518275322,0.0887293937636584,2.29532490174541e-12,5.02713132249361e-12,"23173","METAP1","protein_coding","methionyl aminopeptidase 1 [Source:HGNC Symbol;Acc:HGNC:15789]"
"ENSG00000109265",343.792278127953,1.25198156326739,0.181351332133538,2.29614479413239e-12,5.0284448128478e-12,"57482","CRACD","protein_coding","capping protein inhibiting regulator of actin dynamics [Source:HGNC Symbol;Acc:HGNC:29219]"
"ENSG00000124613",91.4877199875579,1.75740766072062,0.25686389989671,2.3127440986246e-12,5.06431087904958e-12,"346157","ZNF391","protein_coding","zinc finger protein 391 [Source:HGNC Symbol;Acc:HGNC:18779]"
"ENSG00000116205",350.30243574879,-1.12200518368837,0.162312412646429,2.3133601893806e-12,5.06517432319657e-12,"127428","TCEANC2","protein_coding","transcription elongation factor A N-terminal and central domain containing 2 [Source:HGNC Symbol;Acc:HGNC:26494]"
"ENSG00000159618",27.8608193013836,-9.67001676199463,2.92602051189518,2.32334671210186e-12,5.08655248827592e-12,"221188","ADGRG5","protein_coding","adhesion G protein-coupled receptor G5 [Source:HGNC Symbol;Acc:HGNC:19010]"
"ENSG00000166321",68.1279354578538,-2.02931750211518,0.299044842954877,2.32892272809418e-12,5.09827146429051e-12,"25961","NUDT13","protein_coding","nudix hydrolase 13 [Source:HGNC Symbol;Acc:HGNC:18827]"
"ENSG00000181404",142.035404389194,1.61241928342902,0.235762099738993,2.32959813039266e-12,5.09895403781837e-12,"100287171","WASHC1","protein_coding","WASH complex subunit 1 [Source:HGNC Symbol;Acc:HGNC:24361]"
"ENSG00000215454",27.9682894324071,-9.67239147068101,2.92657825042769,2.32968104490716e-12,5.09895403781837e-12,"386672","KRTAP10-4","protein_coding","keratin associated protein 10-4 [Source:HGNC Symbol;Acc:HGNC:20521]"
"ENSG00000254512",30.6874346288001,-4.2579994026317,0.633415129356677,2.33134340504837e-12,5.10210349059983e-12,"NA","PHBP2","processed_pseudogene","prohibitin pseudogene 2 [Source:HGNC Symbol;Acc:HGNC:8914]"
"ENSG00000174738",1512.90586452848,0.880195109936492,0.126537348531627,2.33973214443417e-12,5.11997149053674e-12,"9975","NR1D2","protein_coding","nuclear receptor subfamily 1 group D member 2 [Source:HGNC Symbol;Acc:HGNC:7963]"
"ENSG00000242428",29.0536386393693,-9.73669951871069,2.93917544558039,2.34393916157496e-12,5.12868619574732e-12,"NA","C3orf67-AS1","lncRNA","C3orf67 antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:41063]"
