"comparison","database","pathway_key","pathway_name","filter_mode_used","fdr_cutoff_used","direction_class","delta_NES","abs_delta_NES","NES_x","NES_y","padj_x","padj_y","leading_edge_x","leading_edge_y","pathway_id_human_KD","pathway_id_mouse_KD","pathway_name_human_KD","pathway_name_mouse_KD","signed_log10padj_human_KD","signed_log10padj_mouse_KD","significant_human_KD","significant_mouse_KD","delta_NES_human_minus_mouse","abs_delta_NES_human_minus_mouse","direction_pattern"
"human KD vs control vs mouse KD vs control","Reactome","Microtubule-dependent trafficking of connexons from Golgi to the plasma membrane","Microtubule-dependent trafficking of connexons from Golgi to the plasma membrane","either",0.05,"opposite direction",-3.86647006348623,3.86647006348623,1.98607271075239,-1.88039735273384,0.00363018354294996,0.0194674273359285,"14609/22142/67951/22143/227613/22146/22152","80086/10382/347688/7277","R-HSA-190840","R-MMU-190840","Microtubule-dependent trafficking of connexons from Golgi to the plasma membrane","Microtubule-dependent trafficking of connexons from Golgi to the plasma membrane",-1.71069143767531,2.44007141637568,TRUE,TRUE,-3.86647006348623,3.86647006348623,"opposite direction"
"human KD vs control vs mouse KD vs control","Reactome","Gluconeogenesis","Gluconeogenesis","either",0.05,"opposite direction",-3.7618282418291,3.7618282418291,1.79756550572888,-1.96426273610022,0.0429840204022832,0.00438770856212244,"74551/68401/14751/11674/14433/13808/21991","5230/2026/5091/230/2027","R-HSA-70263","R-MMU-70263","Gluconeogenesis","Gluconeogenesis",-2.35776222659993,1.36669296630227,TRUE,TRUE,-3.7618282418291,3.7618282418291,"opposite direction"
"human KD vs control vs mouse KD vs control","Reactome","Cross-presentation of soluble exogenous antigens (endosomes)","Cross-presentation of soluble exogenous antigens (endosomes)","either",0.05,"opposite direction",-3.76052384072555,3.76052384072555,1.48348017979168,-2.27704366093387,0.272448362285023,6.00506037821972e-05,"19171/17534/19186/26444/16913/19188/59029/19181/16912/19167/19173/67089/17463/22123/26441/19170/70247","5702/5699/5692/5687/5704/5690/10213/9902/5719/5685/5720/5684/5718/11047/7979/5694/5717/5689/5701/5686/5709/5691/5707","R-HSA-1236978","R-MMU-1236978","Cross-presentation of soluble exogenous antigens (endosomes)","Cross-presentation of soluble exogenous antigens (endosomes)",-4.22148262160065,0.564715798340585,TRUE,FALSE,-3.76052384072555,3.76052384072555,"opposite direction"
"human KD vs control vs mouse KD vs control","Reactome","Transport of connexons to the plasma membrane","Transport of connexons to the plasma membrane","either",0.05,"opposite direction",-3.73890356186619,3.73890356186619,1.98607271075239,-1.7528308511138,0.00363018354294996,0.0255257622805653,"14609/22142/67951/22143/227613/22146/22152","80086/10382/347688/7277","R-HSA-190872","R-MMU-190872","Transport of connexons to the plasma membrane","Transport of connexons to the plasma membrane",-1.59302127963087,2.44007141637568,TRUE,TRUE,-3.73890356186619,3.73890356186619,"opposite direction"
"human KD vs control vs mouse KD vs control","Reactome","Amplification of signal from the kinetochores","Amplification of signal from the kinetochores","either",0.05,"opposite direction",3.58613447639976,3.58613447639976,-1.66587398827837,1.92026048812139,0.0368310977635968,0.0003233651264945,"13424/269966/67139/103573/236930/52504/18221/56430/66977/26951/68549/107995/83431/76499/12237/228421/66934/52696/75786/12235/229841/68097/21770/26932/66140/70385/52276/16319/108000/12236/19387","54908/11130/701/1063/8379/80152/348235/332/55746/147841/57082/55143/79172/699/6232/25936/25909/79980/151246/55055/83540/348995/79682/5527/220134/2491/57405/1060/64946/55839/1058/57122/3619/991/9735/55166/5905/23421/81930/151648/91687/1062/23279/4085/54820/9212","R-HSA-141424","R-MMU-141424","Amplification of signal from the kinetochores","Amplification of signal from the kinetochores",3.49030681865242,-1.43378533665506,TRUE,TRUE,3.58613447639976,3.58613447639976,"opposite direction"
"human KD vs control vs mouse KD vs control","Reactome","Amplification of signal from unattached kinetochores via a MAD2 inhibitory signal","Amplification  of signal from unattached  kinetochores via a MAD2  inhibitory signal","either",0.05,"opposite direction",3.58613447639976,3.58613447639976,-1.66587398827837,1.92026048812139,0.0368310977635968,0.0003233651264945,"13424/269966/67139/103573/236930/52504/18221/56430/66977/26951/68549/107995/83431/76499/12237/228421/66934/52696/75786/12235/229841/68097/21770/26932/66140/70385/52276/16319/108000/12236/19387","54908/11130/701/1063/8379/80152/348235/332/55746/147841/57082/55143/79172/699/6232/25936/25909/79980/151246/55055/83540/348995/79682/5527/220134/2491/57405/1060/64946/55839/1058/57122/3619/991/9735/55166/5905/23421/81930/151648/91687/1062/23279/4085/54820/9212","R-HSA-141444","R-MMU-141444","Amplification  of signal from unattached  kinetochores via a MAD2  inhibitory signal","Amplification  of signal from unattached  kinetochores via a MAD2  inhibitory signal",3.49030681865242,-1.43378533665506,TRUE,TRUE,3.58613447639976,3.58613447639976,"opposite direction"
"human KD vs control vs mouse KD vs control","Reactome","Metabolism of polyamines","Metabolism of polyamines","either",0.05,"opposite direction",-3.53121101701303,3.53121101701303,1.20628034186498,-2.32493067514805,0.538982829251286,2.49570661479088e-05,"18263/26444/228608/59029/20810/18247/19181/18104/19167/19173/67089/17463/22123/26441/19170/70247","5687/4953/4947/5704/51582/5690/10213/5719/5685/5684/6303/5718/11047/7979/5694/5717/5689/5701/196743/113451/5686/5709/54498/5691/5707","R-HSA-351202","R-MMU-351202","Metabolism of polyamines","Metabolism of polyamines",-4.6028064698976,0.268425070212518,TRUE,FALSE,-3.53121101701303,3.53121101701303,"opposite direction"
"human KD vs control vs mouse KD vs control","Reactome","Regulation of ornithine decarboxylase (ODC)","Regulation of ornithine decarboxylase (ODC)","either",0.05,"opposite direction",-3.52674258674218,3.52674258674218,1.18313853366364,-2.34360405307854,0.59719790779971,2.5128020267419e-05,"18263/26444/59029/18247/19181/18104/19167/19173/67089/17463/22123/26441/19170/70247","5687/4953/4947/5704/51582/5690/10213/5719/5685/5684/5718/11047/7979/5694/5717/5689/5701/5686/5709/5691/5707","R-HSA-350562","R-MMU-350562","Regulation of ornithine decarboxylase (ODC)","Regulation of ornithine decarboxylase (ODC)",-4.59984172632204,0.22388172243501,TRUE,FALSE,-3.52674258674218,3.52674258674218,"opposite direction"
"human KD vs control vs mouse KD vs control","Reactome","Gap junction assembly","Gap junction assembly","either",0.05,"opposite direction",-3.48539193100325,3.48539193100325,1.87574388491157,-1.60964804609168,0.0223778755942561,0.0756090175029796,"14609/22142/67951/22143/227613/22146/22152","81027/10376/2705/2697/7278/7846/2709/127534/7280/80086/10382/347688/7277","R-HSA-190861","R-MMU-190861","Gap junction assembly","Gap junction assembly",-1.12142640531573,1.65018114486236,FALSE,TRUE,-3.48539193100325,3.48539193100325,"opposite direction"
"human KD vs control vs mouse KD vs control","Reactome","Antigen processing: Ub, ATP-independent proteasomal degradation","Antigen processing: Ub, ATP-independent proteasomal degradation","either",0.05,"opposite direction",-3.47011484910462,3.47011484910462,1.64413587593451,-1.82597897317011,0.203327404905738,0.0127493782769375,"19171/19186/26444/16913/19188/16912/19167/19173","5699/5692/5687/5690/5685/5720/5684/5694/5689/5686/5691","R-HSA-9912633","R-MMU-9912633","Antigen processing: Ub, ATP-independent proteasomal degradation","Antigen processing: Ub, ATP-independent proteasomal degradation",-1.8945109930715,0.691804082270825,TRUE,FALSE,-3.47011484910462,3.47011484910462,"opposite direction"
"human KD vs control vs mouse KD vs control","Reactome","Cellular response to starvation","Cellular response to starvation","either",0.05,"opposite direction",3.45036835301223,3.45036835301223,-1.90523437119928,1.54513398181295,0.00798655001263218,0.0150834723974126,"56032/11984/11973/80909/54170/114143/329679/11966/11964/66335/56692/73834/11972/52187","6187/6130/6128/6228/6146/3921/6159/6129/6171/116832/6133/23677/6218/6231/6230/6136/6224/6144/23521/6232/51121/6124/9045/6158/6189/6122/6233/6201/6170/57761/6173/6235/6210/440275/6204/1968/6234/58528","R-HSA-9711097","R-MMU-9711097","Cellular response to starvation","Cellular response to starvation",1.82149866712426,-2.09764078439639,TRUE,TRUE,3.45036835301223,3.45036835301223,"opposite direction"
"human KD vs control vs mouse KD vs control","Reactome","Removal of the Flap Intermediate from the C-strand","Removal of the Flap Intermediate from the C-strand","either",0.05,"opposite direction",3.43700088341321,3.43700088341321,-1.39929372244378,2.03770716096943,0.387690988305238,0.00116707245985759,"18538/497652/21750/327762/68275/67967/21749/19891/57321","5425/54386/6118/2237/7486/1763/7013/25913/6119/26277","R-HSA-174437","R-MMU-174437","Removal of the Flap Intermediate from the C-strand","Removal of the Flap Intermediate from the C-strand",2.93290217913939,-0.411514293846527,TRUE,FALSE,3.43700088341321,3.43700088341321,"opposite direction"
"human KD vs control vs mouse KD vs control","Reactome","Activation of STAT3 by cadherin engagement","Activation of STAT3 by cadherin engagement","either",0.05,"opposite direction",-3.43607514236017,3.43607514236017,1.28132772066071,-2.15474742169946,0.482176255304871,3.63461033967609e-05,"11475/12552/13039/11461/227377/330662/20779/12540/22325/11465/16452/54721/16193","998/5687/5704/1495/1009/3716/5690/10213/5719/5685/5684/5718/72/1500/11047/7979/9844/5694/5717/6774/5689/5701/4790/6714/5686/5709/3717/5691/5707/1499/127544/58/59","R-HSA-9958825","R-MMU-9958825","Activation of STAT3 by cadherin engagement","Activation of STAT3 by cadherin engagement",-4.43954214227384,0.316794180196591,TRUE,FALSE,-3.43607514236017,3.43607514236017,"opposite direction"
"human KD vs control vs mouse KD vs control","Reactome","HDR through Homologous Recombination (HRR)","HDR through Homologous Recombination (HRR)","either",0.05,"opposite direction",3.36610389525669,3.36610389525669,-1.2194063718981,2.14669752335859,0.549528155460359,1.7668273273717e-05,"69263/381306/59001/193838/18538/11920/327762/19362/26909/19687/22186/68275/80905/74335/71711/233826/52864/67967/21975/22190/19891/12189/12144/27015","5425/348654/9156/5889/197342/83695/63979/7517/6118/79728/6233/7516/7486/1763/672/23514/54107/10635/84464/6119/3364/5984/4683/5982/4361/83990/5429/146956/641/5426/7156/5892/5932/84126/11073/116028/580/675/56655/5810/5111/80198/51750/1111","R-HSA-5685942","R-MMU-5685942","HDR through Homologous Recombination (HRR)","HDR through Homologous Recombination (HRR)",4.75280589216498,-0.260010051288143,TRUE,FALSE,3.36610389525669,3.36610389525669,"opposite direction"
"human KD vs control vs mouse KD vs control","Reactome","DARPP-32 events","DARPP-32 events","either",0.05,"opposite direction",-3.36534511912648,3.36534511912648,1.0422484560069,-2.32309666311958,0.785948165824963,8.16049941269372e-05,"12568/238871/18578/19088/19084","801/5532/5142/5568/5528/5518/1020/5519/5141/5144/5530/5515/5499/5577","R-HSA-180024","R-MMU-180024","DARPP-32 events","DARPP-32 events",-4.08828326213582,0.104606095230947,TRUE,FALSE,-3.36534511912648,3.36534511912648,"opposite direction"
"human KD vs control vs mouse KD vs control","Reactome","Gap junction trafficking and regulation","Gap junction trafficking and regulation","either",0.05,"opposite direction",-3.35463665179526,3.35463665179526,1.38558823656904,-1.96904841522622,0.362048372648552,0.00259406806758616,"14609/22142/67951/22143/227613/13429/22146/22152/11461","80086/1601/10382/6714/347688/1759/1213/7277","R-HSA-157858","R-MMU-157858","Gap junction trafficking and regulation","Gap junction trafficking and regulation",-2.58601863234245,0.441233400265565,TRUE,FALSE,-3.35463665179526,3.35463665179526,"opposite direction"
"human KD vs control vs mouse KD vs control","Reactome","Processive synthesis on the C-strand of the telomere","Processive synthesis on the C-strand of the telomere","either",0.05,"opposite direction",3.32418338157224,3.32418338157224,-1.43558350346236,1.88859987810988,0.356479690522244,0.00503979178128074,"18538/497652/21750/327762/68275/67967/21749/19891/12144/57321","5425/54386/6118/2237/7486/1763/7013/25913/6119/26277","R-HSA-174414","R-MMU-174414","Processive synthesis on the C-strand of the telomere","Processive synthesis on the C-strand of the telomere",2.29758740603638,-0.447965207874868,TRUE,FALSE,3.32418338157224,3.32418338157224,"opposite direction"
"human KD vs control vs mouse KD vs control","Reactome","Regulation of CDH1 Function","Regulation of CDH1 Function","either",0.05,"opposite direction",-3.31895205722706,3.31895205722706,1.07263496543987,-2.24631709178719,0.723492962056304,2.85078959373655e-05,"11475/26444/14694/13858/59029/105837/13039/11461/19181/20779/19167/19173/11465/14360/67089","5690/10213/5719/5685/5684/5718/2534/72/1500/11047/7979/5694/5717/5689/5701/6714/5686/5709/5691/5707/1499/58/59","R-HSA-9764561","R-MMU-9764561","Regulation of CDH1 Function","Regulation of CDH1 Function",-4.54503483518133,0.140565689223558,TRUE,FALSE,-3.31895205722706,3.31895205722706,"opposite direction"
"human KD vs control vs mouse KD vs control","Reactome","Proteasome assembly","Proteasome assembly","either",0.05,"opposite direction",-3.29206695262343,3.29206695262343,1.45041273099981,-1.84165422162362,0.270390253974809,0.00475649820832507,"19171/19186/26444/16913/19188/59029/19192/107047/19181/16912/69666/19167/19173/67089/17463/56088/22123/26441/19170/70247","5690/10213/5710/5719/5685/5720/5684/5718/23198/11047/7979/5694/5717/5689/5701/5686/5709/5691/5707","R-HSA-9907900","R-MMU-9907900","Proteasome assembly","Proteasome assembly",-2.32271266250699,0.568008966285288,TRUE,FALSE,-3.29206695262343,3.29206695262343,"opposite direction"
"human KD vs control vs mouse KD vs control","Reactome","Gap junction trafficking","Gap junction trafficking","either",0.05,"opposite direction",-3.27445327867914,3.27445327867914,1.40591454368609,-1.86853873499305,0.387690988305238,0.00740896574243909,"14609/22142/67951/22143/227613/13429/22146/22152/11461","80086/1601/10382/347688/1759/1213/7277","R-HSA-190828","R-MMU-190828","Gap junction trafficking","Gap junction trafficking",-2.1302424133029,0.411514293846527,TRUE,FALSE,-3.27445327867914,3.27445327867914,"opposite direction"
"human KD vs control vs mouse KD vs control","Reactome","Fanconi Anemia Pathway","Fanconi Anemia Pathway","either",0.05,"opposite direction",3.26395415145904,3.26395415145904,-1.0494590099034,2.21449514155564,0.731281627594754,5.33204035007886e-05,"193838/67513/104806/237211/50505/272158/235610/60534/22186/68275/71711/20892/71885/52864/67196/22190/19891","201254/2175/55215/2189/197342/199990/29089/22909/6118/2176/2177/6233/2067/84464/80233/2178/6119/2188/146956/64858/2187/84126","R-HSA-6783310","R-MMU-6783310","Fanconi Anemia Pathway","Fanconi Anemia Pathway",4.27310657273337,-0.13591533746656,TRUE,FALSE,3.26395415145904,3.26395415145904,"opposite direction"
"human KD vs control vs mouse KD vs control","Reactome","Autodegradation of Cdh1 by Cdh1:APC/C","Autodegradation of Cdh1 by Cdh1:APC/C","either",0.05,"opposite direction",-3.26073873278594,3.26073873278594,1.0783665126127,-2.18237222017324,0.728952545145105,9.0563768417823e-05,"26444/59008/52206/59029/69957/216080/19181/217232/19167/19173/67089/52717/17222/17463/22123/26441/19170/70247/78294/56371","5690/10213/5719/5685/5684/10393/5718/8881/51433/11047/64682/7321/29882/7979/5694/5717/5689/5701/5686/5709/5691/29945/5707","R-HSA-174084","R-MMU-174084","Autodegradation of Cdh1 by Cdh1:APC/C","Autodegradation of Cdh1 by Cdh1:APC/C",-4.04304551450148,0.1373007433589,TRUE,FALSE,-3.26073873278594,3.26073873278594,"opposite direction"
"human KD vs control vs mouse KD vs control","Reactome","Dectin-1 mediated noncanonical NF-kB signaling","Dectin-1 mediated noncanonical NF-kB signaling","either",0.05,"opposite direction",-3.2518928592642,3.2518928592642,0.943993727894708,-2.30789913136949,0.894084129378247,3.2628487562523e-05,"26444/22192/59029/19181/19167/19173/67089/22200/26965/17463/19698/22123/26441/19170/70247/78294","5687/5704/9040/5971/1147/5690/10213/5719/5685/5684/5718/11047/8454/7979/4791/5694/5717/9039/5689/5701/5686/5709/5691/5707","R-HSA-5607761","R-MMU-5607761","Dectin-1 mediated noncanonical NF-kB signaling","Dectin-1 mediated noncanonical NF-kB signaling",-4.48640305672005,0.0486216140836093,TRUE,FALSE,-3.2518928592642,3.2518928592642,"opposite direction"
"human KD vs control vs mouse KD vs control","Reactome","NIK-->noncanonical NF-kB signaling","NIK-->noncanonical NF-kB signaling","either",0.05,"opposite direction",-3.24131092586584,3.24131092586584,0.943993727894708,-2.29731719797113,0.894084129378247,3.68003241515305e-05,"26444/22192/59029/19181/19167/19173/67089/22200/26965/17463/19698/22123/26441/19170/70247/78294","5687/5704/9040/5971/1147/5690/10213/5719/5685/5684/5718/11047/8454/7979/4791/5694/5717/9039/5689/5701/5686/5709/5691/5707","R-HSA-5676590","R-MMU-5676590","NIK-->noncanonical NF-kB signaling","NIK-->noncanonical NF-kB signaling",-4.43414835587537,0.0486216140836093,TRUE,FALSE,-3.24131092586584,3.24131092586584,"opposite direction"
"human KD vs control vs mouse KD vs control","Reactome","Integration of energy metabolism","Integration of energy metabolism","either",0.05,"opposite direction",-3.23425897105704,3.23425897105704,1.39645455317136,-1.83780441788568,0.356479690522244,0.00130540055489741,"20525/12286/14682/14701/18795/12288/19088/19084/14693/14708/21351/109905/14672/14688/50790/14696/14706/16439/68465/14702/18797/12296","2778/6844/32/111/23236/3747/51094/31/5568/5528/777/2771/5518/5313/5207/5331/2783/5906/6888/10411/196883/2740/5519/150/6812/112/3710/47/2181/10768/5515/775/3708/784/5577","R-HSA-163685","R-MMU-163685","Integration of energy metabolism","Integration of energy metabolism",-2.88425620703086,0.447965207874868,TRUE,FALSE,-3.23425897105704,3.23425897105704,"opposite direction"
"human KD vs control vs mouse KD vs control","Reactome","Signaling by ERBB4","Signaling by ERBB4","either",0.05,"opposite direction",-3.23364283730569,3.23364283730569,1.60100023570547,-1.63264260160022,0.117567014780821,0.0251847543214528,"13874/17999/22601/19165/59287/107568/15461/20416/19164/18706/20779/80707/226548","10718/6654/9542/2566/2065/23385/2554/5241/6285/23118/2567/11059/3084/51107/3265/6868/9611/6776/2099/6714/5295/5290/6387/55851/4734","R-HSA-1236394","R-MMU-1236394","Signaling by ERBB4","Signaling by ERBB4",-1.59886228135016,0.92971450911087,TRUE,FALSE,-3.23364283730569,3.23364283730569,"opposite direction"
"human KD vs control vs mouse KD vs control","Reactome","SPOP-mediated proteasomal degradation of PD-L1(CD274)","SPOP-mediated proteasomal degradation of PD-L1(CD274)","either",0.05,"opposite direction",-3.22538135262126,3.22538135262126,1.04529997094891,-2.18008138167235,0.782577614379085,0.000168061600721765,"12567/26444/22628/59029/12443/19181/60533/19167/19173/67089/12995/17463/22123/20747/26441/19170/70247/78294","5690/10213/1460/5719/5685/5684/5718/8452/11047/7979/5694/5717/5689/5701/9978/5686/5709/8405/5691/5707","R-HSA-9929491","R-MMU-9929491","SPOP-mediated proteasomal degradation of PD-L1(CD274)","SPOP-mediated proteasomal degradation of PD-L1(CD274)",-3.77453150428607,0.1064725792448,TRUE,FALSE,-3.22538135262126,3.22538135262126,"opposite direction"
"human KD vs control vs mouse KD vs control","Reactome","COPI-independent Golgi-to-ER retrograde traffic","COPI-independent Golgi-to-ER retrograde traffic","either",0.05,"opposite direction",-3.21946115551324,3.21946115551324,1.25259834949498,-1.96686280601826,0.515426436370145,0.00136511543010045,"22142/67951/22143/235661/227613/18476/22146/22152/69654/18472/234663","7846/51143/140735/7280/5050/5049/5048/55860/10540/23299/10121/80086/830/10382/22931/347688/832/5321/8398/7277","R-HSA-6811436","R-MMU-6811436","COPI-independent Golgi-to-ER retrograde traffic","COPI-independent Golgi-to-ER retrograde traffic",-2.86483062442091,0.287833310124978,TRUE,FALSE,-3.21946115551324,3.21946115551324,"opposite direction"
"human KD vs control vs mouse KD vs control","Reactome","RAF/MAP kinase cascade","RAF/MAP kinase cascade","either",0.05,"opposite direction",-3.20488261414735,3.20488261414735,0.968313087090486,-2.23656952705686,0.878811014404235,1.17833333333333e-08,"14178/26396/23859/13874/15234/16453/12048/26444/19731/19414/67603/18777/14268/14272/75590/218397/11836/13866/56327/59029/231474/240672/26395/114715/15461/18595/11461/14585/20416/11876/216148/19181/108058/109905/26417/16706/14586/18706/20779/13537/11600/19167/18709/54401/14083/225849/208884/19173/11465/14360/67089/11839/16416/110606/18596/14173/19252/19671/54519","2249/3667/5604/8649/5687/2906/5778/5704/1847/801/1852/115727/5291/5786/673/3561/3716/2902/9986/3084/4254/5690/10213/818/5528/5719/5685/5684/3265/5518/1741/5718/8452/2255/1843/8831/2534/1439/5147/5159/2668/408/11047/2260/5906/7979/817/1740/5900/5694/5921/5717/28956/2675/3718/5689/8036/5526/5519/5701/8315/5037/9978/5747/6714/51104/5295/10048/5686/5709/5501/3717/5290/4763/58489/284/5691/5593/5707/5515/2263/23179/11221/5525/5595/5156/57731/3082/2252","R-HSA-5673001","R-MMU-5673001","RAF/MAP kinase cascade","RAF/MAP kinase cascade",-7.92873183658675,0.0561045085733251,TRUE,FALSE,-3.20488261414735,3.20488261414735,"opposite direction"
"human KD vs control vs mouse KD vs control","Reactome","ER-Phagosome pathway","ER-Phagosome pathway","either",0.05,"opposite direction",-3.20361225673927,3.20361225673927,1.56933279624843,-1.63427946049084,0.182143149896075,0.0122842099042503,"19171/19186/26444/16913/19188/15039","1147/929/5690/10952/10213/5719/5685/5720/5684/5718/55176/11047/7979/6810/5694/5717/3134/5689/5701/23480/5686/5709/5691/8673/5707/3135","R-HSA-1236974","R-MMU-1236974","ER-Phagosome pathway","ER-Phagosome pathway",-1.91065277123591,0.739587157215236,TRUE,FALSE,-3.20361225673927,3.20361225673927,"opposite direction"
"human KD vs control vs mouse KD vs control","Reactome","Regulation of insulin secretion","Regulation of insulin secretion","either",0.05,"opposite direction",-3.18392675248347,3.18392675248347,1.47353996554429,-1.71038678693918,0.246037017559627,0.00703878949595541,"20525/12286/14682/14701/18795/12288/14693/14708/109905/14672/14688/50790/14696/14706/16439/14702/18797/12296","2778/6844/111/23236/3747/5568/777/2771/5331/2783/5906/10411/2740/150/6812/112/3710/2181/10768/775/3708/784/5577","R-HSA-422356","R-MMU-422356","Regulation of insulin secretion","Regulation of insulin secretion",-2.15250202273708,0.608999546098164,TRUE,FALSE,-3.18392675248347,3.18392675248347,"opposite direction"
"human KD vs control vs mouse KD vs control","Reactome","Intraflagellar transport","Intraflagellar transport","either",0.05,"opposite direction",-3.17304823464608,3.17304823464608,1.59488357855235,-1.57816465609373,0.103383470186651,0.0371148823725438,"22142/67951/22143/67661/245866/213575/227613/22146/22152/71820/76779/72421/76568/72938/12589/81896/67068/67286/21821/55978","140735/26160/7280/83658/90410/51098/80173/3797/28981/64792/56912/51626/11127/10382/22920/7277","R-HSA-5620924","R-MMU-5620924","Intraflagellar transport","Intraflagellar transport",-1.43045191150995,0.985548894323291,TRUE,FALSE,-3.17304823464608,3.17304823464608,"opposite direction"
"human KD vs control vs mouse KD vs control","Reactome","SUMOylation of DNA damage response and repair proteins","SUMOylation of DNA damage response and repair proteins","either",0.05,"opposite direction",3.16527728700119,3.16527728700119,-1.46096185165149,1.7043154353497,0.197834154135897,0.0118394731983147,"107939/19821/69482/240087/227720/22196/226026/22218/241915/12189/59004/12144/68501/18141","10762/9883/9656/6672/84733/142/55746/7508/165918/5371/23636/11097/348995/6612/7486/672/56160/6015/23225/57122/8535/6996/641/1911/51588/23279","R-HSA-3108214","R-MMU-3108214","SUMOylation of DNA damage response and repair proteins","SUMOylation of DNA damage response and repair proteins",1.92666762127483,-0.703698729562407,TRUE,FALSE,3.16527728700119,3.16527728700119,"opposite direction"
"human KD vs control vs mouse KD vs control","Reactome","Unblocking of NMDA receptors, glutamate binding and activation","Unblocking of NMDA receptors, glutamate binding and activation","either",0.05,"opposite direction",-3.16432049781718,3.16432049781718,1.35036560626844,-1.81395489154874,0.453242996241299,0.0213149080981111,"23859/14799","2906/801/2903/2902/818/1741/2891/817/1740","R-HSA-438066","R-MMU-438066","Unblocking of NMDA receptors, glutamate binding and activation","Unblocking of NMDA receptors, glutamate binding and activation",-1.67131653552772,0.343668898136496,TRUE,FALSE,-3.16432049781718,3.16432049781718,"opposite direction"
"human KD vs control vs mouse KD vs control","Reactome","GSK3B and BTRC:CUL1-mediated-degradation of NFE2L2","GSK3B and BTRC:CUL1-mediated-degradation of NFE2L2","either",0.05,"opposite direction",-3.15200712145881,3.15200712145881,0.839687398205772,-2.31231972325304,0.988974242052217,5.37808334864643e-05,"26444/59029/19181/18024/19167/19173/67089/26965/17463/56637/22123/26441/19170/70247/78294","5690/10213/5719/5685/5684/5718/11047/8454/7979/4780/5694/5717/5689/5701/9978/5686/5709/5691/5707","R-HSA-9762114","R-MMU-9762114","GSK3B and BTRC:CUL1-mediated-degradation of NFE2L2","GSK3B and BTRC:CUL1-mediated-degradation of NFE2L2",-4.2693724714365,0.00481501950521023,TRUE,FALSE,-3.15200712145881,3.15200712145881,"opposite direction"
"human KD vs control vs mouse KD vs control","Reactome","Autodegradation of the E3 ubiquitin ligase COP1","Autodegradation of the E3 ubiquitin ligase COP1","either",0.05,"opposite direction",-3.1259950760366,3.1259950760366,0.946415334364778,-2.17957974167182,0.894084129378247,0.000313674037601297,"22059/26444/59029/26374/19181/19167/19173/67089/17463/22123/26441/19170/70247/78294","5690/10213/5719/5685/5684/5718/11047/7979/5694/5717/5689/5701/5686/5709/5691/5707/64326","R-HSA-349425","R-MMU-349425","Autodegradation of the E3 ubiquitin ligase COP1","Autodegradation of the E3 ubiquitin ligase COP1",-3.50352142581326,0.0486216140836093,TRUE,FALSE,-3.1259950760366,3.1259950760366,"opposite direction"
"human KD vs control vs mouse KD vs control","Reactome","Fcgamma receptor (FCGR) dependent phagocytosis","Fcgamma receptor (FCGR) dependent phagocytosis","either",0.05,"opposite direction",-3.12558954210003,3.12558954210003,1.09123991208487,-2.03434963001516,0.701705174577397,0.00020313051847496,"71910/11867/68089/67771/20430/11461/18754/26417/330662/242687/18706/20779/17913/11350/74117/12540/18709/22325/14083/11465/14360","1072/10787/5580/10096/2534/4627/5058/10006/4641/10109/9844/10092/1398/5747/6714/5295/10458/3710/5290/4644/10768/8398/10095/10451/5595/3708","R-HSA-2029480","R-MMU-2029480","Fcgamma receptor (FCGR) dependent phagocytosis","Fcgamma receptor (FCGR) dependent phagocytosis",-3.69222482297838,0.153845320845955,TRUE,FALSE,-3.12558954210003,3.12558954210003,"opposite direction"
"human KD vs control vs mouse KD vs control","Reactome","Cargo trafficking to the periciliary membrane","Cargo trafficking to the periciliary membrane","either",0.05,"opposite direction",-3.12428038508939,3.12428038508939,1.65436532679182,-1.46991505829757,0.0661416277422151,0.0457308401885668,"22142/53413/18764/67951/22143/227613/319757/76260/12464/22146/22152/13196/67378/18763/12469/21454/100503572","166379/6753/7278/10576/1260/117177/2847/7846/1258/22948/7280/11336/6950/79969/5311/6608/4218/5147/60412/55763/50807/10382/347688/403/7277","R-HSA-5620920","R-MMU-5620920","Cargo trafficking to the periciliary membrane","Cargo trafficking to the periciliary membrane",-1.33979081948295,1.1795251213249,TRUE,FALSE,-3.12428038508939,3.12428038508939,"opposite direction"
"human KD vs control vs mouse KD vs control","Reactome","Recycling pathway of L1","Recycling pathway of L1","either",0.05,"opposite direction",-3.11824417663265,3.11824417663265,1.26037118545123,-1.85787299118142,0.536440845348607,0.00590611562075961,"22142/67951/22143/227613/13429/22146/22152/17698/11461","80086/161/10382/6714/347688/1759/1213/285643/9252/7277","R-HSA-437239","R-MMU-437239","Recycling pathway of L1","Recycling pathway of L1",-2.2286980553448,0.270478161778377,TRUE,FALSE,-3.11824417663265,3.11824417663265,"opposite direction"
"human KD vs control vs mouse KD vs control","Reactome","Glutathione conjugation","Glutathione conjugation","either",0.05,"opposite direction",-3.11658847996483,3.11658847996483,1.88440994222982,-1.23217853773501,0.0231770015780794,0.345447046132369,"14873/69065/14874/211666/14870/68312/75475/14629/14854/14630/14863/68044/14865/13885/110175","2098/2730/26873/119391/10327/2949","R-HSA-156590","R-MMU-156590","Glutathione conjugation","Glutathione conjugation",-0.46161851655339,1.63494274966336,FALSE,TRUE,-3.11658847996483,3.11658847996483,"opposite direction"
