"comparison","database","pathway_key","pathway_name","filter_mode_used","fdr_cutoff_used","direction_class","delta_NES","abs_delta_NES","NES_x","NES_y","padj_x","padj_y","leading_edge_x","leading_edge_y","pathway_id_human_KD","pathway_id_mouse_KD","pathway_name_human_KD","pathway_name_mouse_KD","signed_log10padj_human_KD","signed_log10padj_mouse_KD","significant_human_KD","significant_mouse_KD","delta_NES_human_minus_mouse","abs_delta_NES_human_minus_mouse","direction_pattern"
"human KD vs control vs mouse KD vs control","Reactome","ROS and RNS production in phagocytes","ROS and RNS production in phagocytes","either",0.05,"shared negative",0.35136697165132,0.35136697165132,-2.18448453964609,-1.83311756799477,0.000629127851932323,0.00766973180983054,"21871/11975/17969/74096/11974/108664/66144/11984/11973/114143/11966/11964/66335/73834/11972","9550/9296/4689/9114/23545/50617/535/533/51606/528/523/10312","R-HSA-1222556","R-MMU-1222556","ROS and RNS production in phagocytes","ROS and RNS production in phagocytes",-2.11521982191113,-3.20126108786734,TRUE,TRUE,0.35136697165132,0.35136697165132,"shared negative"
"human KD vs control vs mouse KD vs control","Reactome","HS-GAG degradation","HS-GAG degradation","either",0.05,"shared positive",-0.3463048934068,0.3463048934068,1.83977573331426,1.49347083990746,0.0330584230156803,0.13310094161158,"11603/52120/15529/27029/14733/13039/27419/15442/15931/23888","375790/1514/138050/9672/2239/10082/3423/3425/10855","R-HSA-2024096","R-MMU-2024096","HS-GAG degradation","HS-GAG degradation",0.875818872134139,1.48071786739866,FALSE,TRUE,-0.3463048934068,0.3463048934068,"shared positive"
"human KD vs control vs mouse KD vs control","Reactome","COPI-dependent Golgi-to-ER retrograde traffic","COPI-dependent Golgi-to-ER retrograde traffic","either",0.05,"shared negative",-0.30475081244382,0.30475081244382,-1.2405644271686,-1.54531523961242,0.435019986350785,0.0269486417896737,"66676/26951/26934/16569/56334/70349/16561/228421/16571/16572/16573/100502766/107338/16551/11842/229841/110033/19324/108123/16580/19348/240641/16554/16564/70218/17957","11127/55614/80086/51226/26958/10749/10382/23095/9276/347688/381/1314/147700/22920/285643/55605/7277","R-HSA-6811434","R-MMU-6811434","COPI-dependent Golgi-to-ER retrograde traffic","COPI-dependent Golgi-to-ER retrograde traffic",-1.5694631183479,-0.361490789568438,TRUE,FALSE,-0.30475081244382,0.30475081244382,"shared negative"
"human KD vs control vs mouse KD vs control","Reactome","Basigin interactions","Basigin interactions","either",0.05,"shared positive",0.27054444596254,0.27054444596254,1.56863543352984,1.83917987949238,0.262379418963218,0.00923154879437894,"26570/20539/66053/17254/16403/268373","5478/3897/4312/682/9123/23428/3675/8140/23657/481","R-HSA-210991","R-MMU-210991","Basigin interactions","Basigin interactions",2.03472543045569,0.581070234011524,TRUE,FALSE,0.27054444596254,0.27054444596254,"shared positive"
"human KD vs control vs mouse KD vs control","Reactome","Signaling by Insulin receptor","Signaling by Insulin receptor","either",0.05,"shared negative",-0.2480794159877,0.2480794159877,-1.87691243437132,-2.12499185035902,0.00545034000170317,0.000177255167602357,"18607/14171/11984/19246/11973/114143/14388/74769/384783/16367/11966/11964/66335/13033/73834/11972","9550/9296/3265/2255/9114/2260/537/23545/50617/535/533/5295/51606/528/5290/3416/2263/5595/5140/523/10312/2252","R-HSA-74752","R-MMU-74752","Signaling by Insulin receptor","Signaling by Insulin receptor",-3.75140109477128,-2.26357640483203,TRUE,TRUE,-0.2480794159877,0.2480794159877,"shared negative"
"human KD vs control vs mouse KD vs control","Reactome","Integrin cell surface interactions","Integrin cell surface interactions","either",0.05,"shared positive",-0.24784736708515,0.24784736708515,2.00226904080482,1.75442167371967,0.00209237134542873,0.0029247906464467,"20750/12826/14118/12833/16423/12834/21923/107581/241226/12832/12825/12827/16419/16403/14268","1282/1294/1284/1293/3371/1292/83700/1291/375790/1288/682/3676/3696/3675/22801/7057/1287/960/80781/1299/1295","R-HSA-216083","R-MMU-216083","Integrin cell surface interactions","Integrin cell surface interactions",2.53390521482861,2.67936123617251,TRUE,TRUE,-0.24784736708515,0.24784736708515,"shared positive"
"human KD vs control vs mouse KD vs control","Reactome","Cell surface interactions at the vascular wall","Cell surface interactions at the vascular wall","either",0.05,"shared positive",0.24323747549434,0.24323747549434,1.36103865608893,1.60427613158327,0.333597883597884,0.00999942458720343,"26570/20539/16423/66053/17254/21824/16403/14268/20340/268373/15461/20416/19128/18706/20779/11600/50915/18709/16818/14360/16416/80879/26365/18803","5478/8795/8793/3897/4267/83700/4312/682/7040/3676/140885/2995/9672/9123/23428/3675/960/8140/10544/83692/2621","R-HSA-202733","R-MMU-202733","Cell surface interactions at the vascular wall","Cell surface interactions at the vascular wall",2.00002499057924,0.476776713264143,TRUE,FALSE,0.24323747549434,0.24323747549434,"shared positive"
"human KD vs control vs mouse KD vs control","Reactome","Nonsense Mediated Decay (NMD) independent of the Exon Junction Complex (EJC)","Nonsense Mediated Decay (NMD) independent of the Exon Junction Complex (EJC)","either",0.05,"shared positive",0.24151418471764,0.24151418471764,2.08946682607426,2.3309810107919,8.84385490713248e-05,1.04609308489304e-07,"27207/27050/27370/20091/68028/18458/26961/20085/67427/20103/27367/19934/16898/268449/68092/76808/270106/56040/14852/67115/269261/16785/208643/20102/67281/19981/67891/11837/100043813/20090/19944/68052/20116/19982/20104/67097/100502825/22121/19943/20084/100503670/75617/67025/66480/19942/19988/20115/76846/54127/20005/57294","6187/6130/6128/6228/6146/3921/6159/6129/6171/116832/6133/6218/6231/6230/6136/6224/6144/23521/6232/51121/6124/9045/6158/6189/6122/6233/6201/6170/6173/6235/6210/6204/6234/6205/6137/6141/22916","R-HSA-975956","R-MMU-975956","Nonsense Mediated Decay (NMD) independent of the Exon Junction Complex (EJC)","Nonsense Mediated Decay (NMD) independent of the Exon Junction Complex (EJC)",6.98042966876061,4.05335839109882,TRUE,TRUE,0.24151418471764,0.24151418471764,"shared positive"
"human KD vs control vs mouse KD vs control","Reactome","Ion channel transport","Ion channel transport","either",0.05,"shared negative",-0.24130887183073,0.24130887183073,-1.57719516587239,-1.81850403770312,0.04790827197662,0.000198304970810257,"101772/56407/12723/26373/21871/11975/22186/50770/94178/11974/246788/14605/108664/66144/252972/11979/22063/22190/22368/105722/11977/11984/11973/114143/14628/13830/212989/11931/11966/12724/11964/66335/73834/11972/12728","23200/801/490/57101/11035/480/84239/53373/11059/57194/476/80036/53822/6446/65266/54822/65125/6261/9550/818/9296/41/57192/483/9114/488/487/79895/9914/7226/1180/57578/537/23545/492/817/50617/535/1184/538/533/51606/528/26133/94015/285175/374868/523/10312","R-HSA-983712","R-MMU-983712","Ion channel transport","Ion channel transport",-3.70266639941846,-1.31958949360758,TRUE,TRUE,-0.24130887183073,0.24130887183073,"shared negative"
"human KD vs control vs mouse KD vs control","Reactome","Transferrin endocytosis and recycling","Transferrin endocytosis and recycling","either",0.05,"shared negative",-0.22379542741905,0.22379542741905,-2.06916644858182,-2.29296187600087,0.00353840220398715,6.65695629871699e-05,"21871/11975/94178/11974/68428/108664/66144/11984/11973/114143/11966/11964/66335/73834/11972","9550/9296/57192/9114/537/23545/50617/535/533/51606/528/523/10312","R-HSA-917977","R-MMU-917977","Transferrin endocytosis and recycling","Transferrin endocytosis and recycling",-4.17672429407557,-2.45119280312659,TRUE,TRUE,-0.22379542741905,0.22379542741905,"shared negative"
"human KD vs control vs mouse KD vs control","Reactome","L13a-mediated translational silencing of Ceruloplasmin expression","L13a-mediated translational silencing of Ceruloplasmin expression","either",0.05,"shared positive",-0.21421484866525,0.21421484866525,2.23374854729427,2.01953369862902,1.8706741154016e-06,3.67140575306773e-05,"27207/27979/27050/27370/54709/20091/13681/68028/18458/26961/20085/67427/20103/27367/19934/16898/73830/268449/76808/16341/270106/56040/67115/269261/16785/208643/20102/67281/19981/67891/11837/100043813/55944/20090/19944/68052/20116/66085/19982/20104/67097/100502825/22121/19943/20084/100503670/98221/75617/67025/66480/75705/19942/53356/22384/19988/20115/76846/54127/20005/57294/67204/110954/19989","6187/6130/6128/6228/6146/3921/6159/6129/6171/116832/6133/6218/6231/6230/6136/6224/6144/23521/6232/51121/6124/9045/8665/6158/6189/6122/6233/6201/6170/6173/6235/6210/6204/1968/6234/6205/6137/6141/7458/6139/1964/8666","R-HSA-156827","R-MMU-156827","L13a-mediated translational silencing of Ceruloplasmin expression","L13a-mediated translational silencing of Ceruloplasmin expression",4.43516761588269,5.72800186306646,TRUE,TRUE,-0.21421484866525,0.21421484866525,"shared positive"
