"comparison","database","pathway_key","pathway_name","filter_mode_used","fdr_cutoff_used","direction_class","delta_NES","abs_delta_NES","NES_x","NES_y","padj_x","padj_y","leading_edge_x","leading_edge_y","pathway_id_human_KD","pathway_id_mouse_KD","pathway_name_human_KD","pathway_name_mouse_KD","signed_log10padj_human_KD","signed_log10padj_mouse_KD","significant_human_KD","significant_mouse_KD","delta_NES_human_minus_mouse","abs_delta_NES_human_minus_mouse","direction_pattern"
"human KD vs control vs mouse KD vs control","GO_BP","GO:0045839","negative regulation of mitotic nuclear division","either",0.05,"opposite direction",3.67840312070466,3.67840312070466,-1.727503136115,1.95089998458966,0.053830359642504,0.00214726902719002,"66977/26951/66591/74335/107995/12237/24010/14184/219114/52696/12235/268697/229841/11799/11789/70385/52276/16319/12159/12236","54908/11130/701/1063/221150/8379/332/147841/57082/55143/699/348654/26271/55755/9319/7517/55055/83540/220134/655/7272/57405","GO:0045839","GO:0045839","negative regulation of mitotic nuclear division","negative regulation of mitotic nuclear division",2.66811354023787,-1.26897271863809,TRUE,FALSE,3.67840312070466,3.67840312070466,"opposite direction"
"human KD vs control vs mouse KD vs control","GO_BP","GO:0048846","axon extension involved in axon guidance","either",0.05,"opposite direction",-3.62689944397527,3.62689944397527,2.08560829267467,-1.5412911513006,0.0106623115539623,0.186395954873064,"20563/20564/18846/20356/11658/20346/18186/319757/20315/269878","6387/6405/8828/9353","GO:0048846","GO:0048846","axon extension involved in axon guidance","axon extension involved in axon guidance",-0.729563516849899,1.97214863149125,FALSE,TRUE,-3.62689944397527,3.62689944397527,"opposite direction"
"human KD vs control vs mouse KD vs control","GO_BP","GO:0044786","cell cycle DNA replication","either",0.05,"opposite direction",3.62352777620834,3.62352777620834,-1.82831076260669,1.79521701360165,0.039109402682032,0.0269560228170584,"57441/327762/75826/22589/108961/67177/13134/12566/18968/12545/12534/237877/52679/17217/17215/19704","144455/26271/29980/4173/81620/80174/9837/2237/51053/7486/1763/7083/7013","GO:0044786","GO:0044786","cell cycle DNA replication","cell cycle DNA replication",1.56934418468947,-1.40771881697751,TRUE,TRUE,3.62352777620834,3.62352777620834,"opposite direction"
"human KD vs control vs mouse KD vs control","GO_BP","GO:0051985","negative regulation of chromosome segregation","either",0.05,"opposite direction",3.61476773353301,3.61476773353301,-1.59143090347943,2.02333683005358,0.142640877815641,0.00163183270358738,"66977/26951/66591/74335/107995/12237/24010/219114/52696/12235/268697/229841/11799/11789/70385/52276/16319/12236","54908/11130/701/1063/221150/8379/332/147841/57082/55143/699/348654/26271/55755/9319/7517/55055/83540/220134/7272/57405","GO:0051985","GO:0051985","negative regulation of chromosome segregation","negative regulation of chromosome segregation",2.78732436741615,-0.845755997165035,TRUE,FALSE,3.61476773353301,3.61476773353301,"opposite direction"
"human KD vs control vs mouse KD vs control","GO_BP","GO:0140014","mitotic nuclear division","either",0.05,"opposite direction",3.59226815002037,3.59226815002037,-1.82080058833918,1.77146756168119,2.63406057066442e-05,0.000216386566954127,"13006/103768/21802/99412/50850/67139/218294/381293/214444/101706/67177/101994/76044/74201/72549/66371/18221/52683/68942/71819/58994/66977/12537/232933/26951/26934/18591/16569/106042/66591/74335/14211/107995/83431/12390/76499/12237/218914/12704/24010/228421/14184/16571/70012/215387/219114/52696/83946/13614/22629/100502766/16973/105988/54141/328440/12235/17345/268697/16551/108912/229841/110033/22385/20399/108907/12534/67655/16580/72119/66140/11799/11789/193740/67300/70385/18005/229776/70218/381318/70466/52276/16319/68501/12159/12236/233406/20878/78906/15511","3481/4288/29128/54908/11130/9787/54443/701/51203/22974/146909/1063/221150/8379/83987/3833/23141/348235/10615/332/8815/147841/57082/7040/55143/699/348654/26271/3304/9928/2801/23636/51652/55755/23310/25936/27183/3835/9319/91272/1906/79080/80346/81620/7517/6790/54892/55055/83540/220134/2491/3832/655/7272/57405/27338/1060/9493/7039/10040/23113/11065/9639/51115/9055/90417/995/54984/1058/3619/991/286151/79598/49856/9735/137886/54627/26993/1104/9918/81930/79884/26151/84142/56647/9088/54461/1062/4085/56992/54820/9212/24137/23397/92421/5119/10459/9700/55125/64105","GO:0140014","GO:0140014","mitotic nuclear division","mitotic nuclear division",3.66476970326406,-4.57937424258499,TRUE,TRUE,3.59226815002037,3.59226815002037,"opposite direction"
"human KD vs control vs mouse KD vs control","GO_BP","GO:0046496","nicotinamide nucleotide metabolic process","either",0.05,"opposite direction",-3.5824201723958,3.5824201723958,1.73030586805744,-1.85211430433836,0.006630064403503,0.00147838969603391,"18641/547253/20512/192185/243853/66171/12833/14635/74747/14381/110208/226518/22059/14751/107747/216188/67863/19895/22601/66129/246703/11674/108155/225913/15926/74370/56327/100198/17436/18113/50721/239017/72141/269951/69225/11820/19384/14433/13808/208727/21351/15937/107029/66646/19164/16548/18104/56428/68646/56716/21991/20779","55753/3418/8604/5232/441531/10840/11182/65220/2806/5027/84676/729020/3101/5313/5207/349565/8473/4191/5571/2821/53632/6888/89/9611/405/128240/26137/5562/8402/23530/6714/3098/9759/5236/2033/3417/4199/133686/7415/5515/5230/2026/5091/230/2027","GO:0046496","GO:0046496","nicotinamide nucleotide metabolic process","nicotinamide nucleotide metabolic process",-2.83021107302549,2.17848225289988,TRUE,TRUE,-3.5824201723958,3.5824201723958,"opposite direction"
"human KD vs control vs mouse KD vs control","GO_BP","GO:0007088","regulation of mitotic nuclear division","either",0.05,"opposite direction",3.57916693200089,3.57916693200089,-1.65139503301889,1.927771898982,0.0430838744290564,0.000811769163621448,"58994/66977/12537/26951/18591/66591/74335/107995/12390/12237/24010/14184/219114/52696/83946/13614/22629/16973/12235/17345/268697/108912/229841/20399/108907/11799/11789/70385/52276/16319/68501/12159/12236","3481/4288/54908/11130/9787/701/51203/1063/221150/8379/83987/332/147841/57082/55143/699/348654/26271/23636/55755/9319/1906/7517/6790/55055/83540/220134/655/7272/57405/7039/10040/23113/11065/995","GO:0007088","GO:0007088","regulation of mitotic nuclear division","regulation of mitotic nuclear division",3.09056745009117,-1.36568524856116,TRUE,TRUE,3.57916693200089,3.57916693200089,"opposite direction"
"human KD vs control vs mouse KD vs control","GO_BP","GO:0050000","chromosome localization","either",0.05,"opposite direction",3.57431834754005,3.57431834754005,-1.73152553336766,1.84279281417239,0.0133603204157991,0.00386181513948376,"13424/269966/67139/381293/101706/67177/101994/66371/18221/68942/66977/26951/26934/54204/83431/12237/218914/228421/66934/219114/52696/16905/100502766/77053/14579/54141/268697/13605/229841/110033/21749/12534/16580/320678/66140/11799/11789/70385/18005/381318/52276/16319/108000","23353/54908/11130/9787/1063/221150/8379/3833/348235/10615/56776/332/147841/57082/55143/9928/23636/51652/25936/27183/3835/81610/91272/79980/81620/55055/83540/220134/7272/57405/1060/51112/2669/55201/51115/90417/54984/1058/3619/150465/9735/55166","GO:0050000","GO:0050000","chromosome localization","chromosome localization",2.41320851922147,-1.87418312620592,TRUE,TRUE,3.57431834754005,3.57431834754005,"opposite direction"
"human KD vs control vs mouse KD vs control","GO_BP","GO:0034405","response to fluid shear stress","either",0.05,"opposite direction",-3.54846261574578,3.54846261574578,1.87553710864724,-1.67292550709854,0.050924490442825,0.042127487022192,"20750/16600/18764/18438/17250/19225/11651/11898/18763/16598/18024/21821/20779/11303/56468/15183/22433","5339/108/25/5573/5598/5586/2778/111/9788/5568/5025/5311/8841/10370/4780/196883/4313/9314/6721/2035/5747/112/5515/5577/4354","GO:0034405","GO:0034405","response to fluid shear stress","response to fluid shear stress",-1.37543444652104,1.29307330791398,TRUE,FALSE,-3.54846261574578,3.54846261574578,"opposite direction"
"human KD vs control vs mouse KD vs control","GO_BP","GO:0051310","metaphase chromosome alignment","either",0.05,"opposite direction",3.54689535100591,3.54689535100591,-1.7150229360201,1.83187241498581,0.011800762110898,0.00485995672440601,"13424/67139/381293/101706/67177/101994/66371/18221/68942/66977/26951/26934/54204/12237/218914/228421/66934/219114/52696/100502766/14579/54141/268697/13605/229841/110033/12534/16580/66140/11799/11789/70385/18005/381318/52276/16319/108000","54908/11130/1063/221150/8379/3833/348235/10615/332/147841/57082/55143/9928/23636/51652/25936/27183/3835/81610/91272/79980/81620/55055/83540/220134/7272/57405/1060/51112/2669/55201/51115/90417/54984/1058/3619/150465/9735/55166","GO:0051310","GO:0051310","metaphase chromosome alignment","metaphase chromosome alignment",2.31336759790547,-1.92808994439983,TRUE,TRUE,3.54689535100591,3.54689535100591,"opposite direction"
