"scatter_comparison","comparison","database","pathway_key","pathway_name","filter_mode_used","fdr_cutoff_used","direction_class","delta_NES","abs_delta_NES","NES_x","NES_y","padj_x","padj_y","leading_edge_x","leading_edge_y","pathway_id_human_KD","pathway_id_mouse_KD","pathway_name_human_KD","pathway_name_mouse_KD","signed_log10padj_human_KD","signed_log10padj_mouse_KD","significant_human_KD","significant_mouse_KD","delta_NES_human_minus_mouse","abs_delta_NES_human_minus_mouse","direction_pattern"
"human_vs_mouse_KD_GO_BP","human KD vs control vs mouse KD vs control","GO_BP","GO:0009206","purine ribonucleoside triphosphate biosynthetic process","either",0.05,"shared positive",0.38522604686804,0.38522604686804,1.35480013049569,1.74002617736373,0.274647976712306,0.0125420773934561,"56520/23918/12048/19241/66592/68073/11674/67942/11951/67273/66218/66294/56632/68614/26395/66114/225887/72900/67680/67130/66416/70316/75406/98496/214917/68349/16189/107197/67126/13806/21803/68194/20848/54369/66377/66091/23917/17991/28080/17995/50799/66826/11949","4538/4508/4539/4535/4540/4833/513/142/4698/4710/4537/539/7040/4694/9556/4725/514/4711/4536/55022/4830/126328/1353/4509/9551/4717/7114/5465/4831/4709/4731/4726/790955/134145/6391/84277/4704/4707/6901/51079/27109/9605/56848/515/4716/51422/521/65990/6392","GO:0009206","GO:0009206","purine ribonucleoside triphosphate biosynthetic process","purine ribonucleoside triphosphate biosynthetic process",1.90163052364939,0.561223596008788,TRUE,FALSE,0.38522604686804,0.38522604686804,"shared positive"
"human_vs_mouse_KD_GO_BP","human KD vs control vs mouse KD vs control","GO_BP","GO:0008286","insulin receptor signaling pathway","either",0.05,"shared negative",-0.37322144561914,0.37322144561914,-1.20755847627792,-1.58077992189706,0.375260145681582,0.0469140225301408,"83431/12390/56458/19271/66144/320706/18479/83946/213053/18607/16332/11984/19246/114143/11789/384783/18710/16367/11964/117150/192157/66335/13033/73834/11972","3265/5580/8473/5058/645/6198/2931/9820/81565/324/1176/5791/5166/4303/23371/5562/9978/80318/2308/3645/5295/143686/51043/10458/5290/3416/5595/5140","GO:0008286","GO:0008286","insulin receptor signaling pathway","insulin receptor signaling pathway",-1.32869732791946,-0.425667557168738,TRUE,FALSE,-0.37322144561914,0.37322144561914,"shared negative"
"human_vs_mouse_KD_GO_BP","human KD vs control vs mouse KD vs control","GO_BP","GO:0016482","cytosolic transport","either",0.05,"shared negative",-0.36224159155754,0.36224159155754,-1.22617789390259,-1.58841948546013,0.396283648434668,0.0409658774901047,"56440/226421/19346/77097/70834/16561/16572/69091/54198/56382/16573/107338/216131/11765/68767/19349/12752/56418/18711/20661/67300/56433/67166/65114/16783/231834/28006","1066/80230/7805/644150/160/63893/23033/23041/51552/200576/80128/83874/254122/65977/9066/51479/29934/6293/164/25938/6811/23074/55435/9043/400/7879/55614/51699/55207/6643/27236/55062/54497/55737/10749/23095/1213/9367/7813/23258/26088/120892","GO:0016482","GO:0016482","cytosolic transport","cytosolic transport",-1.38757773810646,-0.40199384727495,TRUE,FALSE,-0.36224159155754,0.36224159155754,"shared negative"
"human_vs_mouse_KD_GO_BP","human KD vs control vs mouse KD vs control","GO_BP","GO:1901836","regulation of transcription of nucleolar large rRNA by RNA polymerase I","either",0.05,"shared positive",0.35377081284191,0.35377081284191,1.54021468921753,1.89398550205944,0.323346181709328,0.0277956031768307,"20587/68077/103136/17975/20586/68845/216443/56717/26914/320209","29997/1663/25926/55506/1387","GO:1901836","GO:1901836","regulation of transcription of nucleolar large rRNA by RNA polymerase I","regulation of transcription of nucleolar large rRNA by RNA polymerase I",1.55602389714163,0.490332263129916,TRUE,FALSE,0.35377081284191,0.35377081284191,"shared positive"
"human_vs_mouse_KD_GO_BP","human KD vs control vs mouse KD vs control","GO_BP","GO:0072659","protein localization to plasma membrane","either",0.05,"shared negative",-0.34873486493031,0.34873486493031,-1.0593419032833,-1.40807676821361,0.609531570686949,0.0358627956082305,"98878/18483/22350/53331/16573/18720/19122/12492/106572/67943/22349/11596/18607/66629/217124/229593/74105/71648/80291/84652/17096/68767/22027/19349/12752/69847/56224/26941/213056/67300/67451/18222/11931/16456/20908/65114/54214/16776/72287/217154/56217","65266/288/2319/65125/382/3958/818/23499/5584/79156/7871/483/4218/81693/2013/115548/8546/25921/353116/4323/10890/5906/7879/8878/7184/6342/10268/4035/537/817/10938/6810/55737/1601/1020/23167/5562/6281/6812/5295/4644/55667/2181/23136/1213/5593/8673/129303/9528/4040/26088/5525/342667/64083/57731/784/27065","GO:0072659","GO:0072659","protein localization to plasma membrane","protein localization to plasma membrane",-1.44535585894827,-0.215003795180881,TRUE,FALSE,-0.34873486493031,0.34873486493031,"shared negative"
"human_vs_mouse_KD_GO_BP","human KD vs control vs mouse KD vs control","GO_BP","GO:0060142","regulation of syncytium formation by plasma membrane fusion","either",0.05,"shared positive",-0.34021971556363,0.34021971556363,2.06937179271189,1.72915207714826,0.00109736664179797,0.0341107980866521,"52163/20846/19946/26961/54217/20315/67945/268449/319195/76808/19896/270106/27176/56040/67115/269261/67281/19981/67891/11837/68436/12508/19944/20586/66489/259300/19982/22121/19943/19951/16189/100503670/67025/66480/19942/20307/19988/114641/193385/12633/20005/110954/19989/11502/18022","6130/6128/6159/6129/6171/6133/6136/6144/23521/6124/9045/11224/6158/6170/8754/6173","GO:0060142","GO:0060142","regulation of syncytium formation by plasma membrane fusion","regulation of syncytium formation by plasma membrane fusion",1.46710811933273,2.95964824580138,TRUE,TRUE,-0.34021971556363,0.34021971556363,"shared positive"
"human_vs_mouse_KD_GO_BP","human KD vs control vs mouse KD vs control","GO_BP","GO:0009201","ribonucleoside triphosphate biosynthetic process","either",0.05,"shared positive",0.33779978967805,0.33779978967805,1.39606115972469,1.73386094940274,0.262114664614421,0.0134329683766216,"56520/23918/12048/19241/66592/68073/11674/67942/55936/11951/67273/66218/66294/56632/69719/68614/26395/66114/225887/72900/67680/67130/66416/70316/75406/80914/98496/214917/68349/16189/107197/67126/13806/21803/68194/51797/20848/54369/66377/66091/23917/17991/28080/17995/50799/66826/11949","4538/4508/4539/4535/4540/4833/513/142/4698/4710/4537/539/7040/4694/9556/4725/514/4711/4536/55022/4830/126328/1353/4509/9551/4717/7114/5465/4831/4709/4731/4726/790955/54963/134145/6391/84277/83549/4704/4707/6901/51079/27109/9605/56848/515/4716/51422/521/65990/6392","GO:0009201","GO:0009201","ribonucleoside triphosphate biosynthetic process","ribonucleoside triphosphate biosynthetic process",1.87182800764846,0.581508680759003,TRUE,FALSE,0.33779978967805,0.33779978967805,"shared positive"
"human_vs_mouse_KD_GO_BP","human KD vs control vs mouse KD vs control","GO_BP","GO:0006399","tRNA metabolic process","either",0.05,"shared positive",0.33287776289409,0.33287776289409,1.50637377007185,1.83925153296594,0.0559419806966024,0.000253348836384272,"381314/353172/22375/74195/107045/23874/17299/110960/70153/22321/104721/11651/328162/70223/67106/68915/226414/107508/66965/15108/28114/15115/74467/27267/52477/72181/20226/209584/68260/105638/69372/66044/66628/28088/72133/66192/105148/212528/68045/98956/70359/216443/208366/104458/67724/13434/107271/240174/83669/54351/71916/85305/68857/227682/68626/67674/109093/97541/76357/70047/69786/72167/71941/68730/71984/433813/381802/328092/102436/244141/67939/70560/329504/76265/224907/20556/98404/100929/73681/246221/77766/67053/230233/226539/78697/66132/227835/211006/11727/381406/74097/66971/68215/66078/114615/52231/52686/67667/66926/74753/107328/66369/108943/106248/67789/69961/276950/66246","6050/51504/112495/54913/54733/79587/92675/55157/23405/54859/127253/115708/81890/339175/55278/60528/23536/11102/6894/26995/10775/9328/9692/79691/64118/661/146712/10785/7453/84705/84267/80746/80745/283459/116461/55006/24140/51531/83707/2975/55623/54901/56986/23395/57176/27304/79979/55687/57604/51654/25821/285381/57038/142940/57570/112487/55253/57505/8518/55644/2972/348180/441250/11180/55152/4234/55140/112858/339487/5859/55226/4141/283742/79731/5441/80755/10799/55699/138716/79828/8846/84520/63892/54974/11062/113179/221078/283989/10248/9836/55621/8565/91801/84881/10556/51605/10557/26024/56931/6741/285605/7407/124454/23438/10056","GO:0006399","GO:0006399","tRNA metabolic process","tRNA metabolic process",3.59628108605675,1.25226216094668,TRUE,FALSE,0.33287776289409,0.33287776289409,"shared positive"
"human_vs_mouse_KD_GO_BP","human KD vs control vs mouse KD vs control","GO_BP","GO:0006120","mitochondrial electron transport, NADH to ubiquinone","either",0.05,"shared positive",0.32089982238383,0.32089982238383,1.46573166241152,1.78663148479535,0.313057632023149,0.0361167043812332,"67914/68943/67273/66218/225887/72900/66416/75406/68349/57320","4538/4539/4535/4540/4698/4710/4537/4694/4725/4711/4536/126328/4717/4709/4731/4726","GO:0006120","GO:0006120","mitochondrial electron transport, NADH to ubiquinone","mitochondrial electron transport, NADH to ubiquinone",1.44229188555521,0.504375704096924,TRUE,FALSE,0.32089982238383,0.32089982238383,"shared positive"
"human_vs_mouse_KD_GO_BP","human KD vs control vs mouse KD vs control","GO_BP","GO:0009165","nucleotide biosynthetic process","either",0.05,"shared positive",-0.31661015885599,0.31661015885599,1.83766499382787,1.52105483497188,0.000196556364217019,0.0363302789086552,"23962/246730/192185/22169/20135/353172/14381/11566/56520/226518/320685/23918/12048/15452/229949/108147/19241/66592/14923/68073/11639/11674/67942/55936/11951/67273/66218/66294/56632/69719/68614/66588/269951/382985/26395/27369/108156/22271/212627/104111/66114/22171/225887/72900/68646/20425/67680/67130/66416/70316/75406/14450/319945/80914/68556/67054/109674/11717/218756/11541/230125/98496/214917/85305/68349/16189/107197/67126/13806/231327/230103/21803/331487/237823/13618/68194/11534/51797/20848/54369/239790/11821/66377/23972/66091/56749/23917/17991/11486/28080/66355/23971/21877/105446/17995/110074/50799/66826/11949/18162","4538/4508/4539/4535/4540/6241/1854/7378/4833/513/1635/142/4698/2987/4710/4537/539/7040/4694/9556/4725/9060/204/514/4711/4536/2618/109/125061/55022/55191/1841/93100/205/4830/126328/7083/1716/1353/4509/9551/4717/7114/5465/4831/4709/353/4731/4726/50808/790955/7298/54963/134145/6391/84277/83549/4704/115/4707/6901/4522/114/107/51079/27109/9605/56848/515/4716/5198","GO:0009165","GO:0009165","nucleotide biosynthetic process","nucleotide biosynthetic process",1.43973126803255,3.70651288977528,TRUE,TRUE,-0.31661015885599,0.31661015885599,"shared positive"
