"collection","pathway","pval","padj","ES","NES","size","leadingEdge_count","leadingEdge_entrez","leadingEdge_symbols"
"GO_BP","GOBP_EPIGENETIC_REGULATION_OF_GENE_EXPRESSION",0.702290076335878,0.88229098239971,0.195259656268211,0.938209710689237,246,75,"76073;67155;69260;212391;404634;232440;19821;109113;22715;233490;51869;93762;116848;109263;321000;70645;67276;225876;208266;26992;23942;68968;234069;103012;94246;15078;21652;107435;252870;170823;140858;13990;329559;13194;320595;98999;319162;64707;226691;380855;69587;93759;320817;233904;17190;76781;16468;17765;66578;214899;12151;214572;194388;217578;228536;21665;19820;109095;11909;13548;224826;330890;14683;208727;77853;218850;12005;67246;18294;23808;13436;666704;51810;13018;17283","Pcgf5;Smarca2;Ing2;Lcor;Macroh2a2;H2aj;Rnf2;Uhrf2;Zfp57;Crebzf;Rif1;Smarca5;Baz2a;Rlf;Lrif1;Oip5;Eri1;Kdm2a;Dot1l;Brd7;Mta2;Cdan1;Pcid2;Firre;Arid4b;H3f3a;Phf1;Hat1;Usp7;Glmn;Wdr5;Smarcad1;Zfp335;Ddb1;Phf8;Znfx1;H2ac25;Suv39h2;Ifi207;Rsl1;Pcgf3;Sirt1;Atad2b;Setd1a;Mbd1;Mettl4;Jarid2;Mtf2;Mis18a;Kdm5a;Bmi1;Prmt7;Tet3;Baz1a;Bahd1;Tdg;Rlim;Rbm15b;Atf2;Dyrk1a;Ubr2;Piwil4;Gnas;Hdac4;Msl2;Tasor;Axin1;Resf1;Ogg1;Ash2l;Dnmt3b;Samd1;Hnrnpu;Ctcf;Men1"
"GO_BP","GOBP_GLUCAN_METABOLIC_PROCESS",0.701954397394137,0.88229098239971,-0.240256956065029,-0.869486226833417,66,9,"18605;77559;14387;217166;66840;18642;16195;11548;14583","Enpp1;Agl;Gaa;Nr1d1;Wdr45b;Pfkm;Il6st;Adra1b;Gfpt1"
"GO_BP","GOBP_MITOTIC_METAPHASE_CHROMOSOME_ALIGNMENT",0.702072538860104,0.88229098239971,0.224712959677776,0.877896786297588,62,25,"20479;228421;16319;15078;75608;76959;225898;93759;67028;320234;101994;66468;67064;81601;116733;66371;68953;234852;12617;53869;51810;66700;68942;26554;16580","Vps4b;Kif18a;Incenp;H3f3a;Chmp4b;Chmp5;Eml3;Sirt1;Chmp1b2;Ccdc66;Champ1;Ska1;Chmp1b;Kat5;Vps4a;Chmp4c;Chmp2a;Chmp1a;Cenpc1;Rab11a;Hnrnpu;Chmp3;Chmp2b;Cul3;Kifc5b"
"GO_BP","GOBP_PROTEIN_INSERTION_INTO_MITOCHONDRIAL_INNER_MEMBRANE",0.703237410071942,0.883153543905698,-0.308678358741822,-0.818199013755738,17,7,"56322;30055;69089;28185;30056;66821;14356","Timm22;Timm13;Oxa1l;Tomm70a;Timm9;Bcs1l;Timm10b"
"GO_BP","GOBP_SKELETAL_MUSCLE_ACETYLCHOLINE_GATED_CHANNEL_CLUSTERING",0.703770197486535,0.883495055184171,-0.316526829991988,-0.821868560236979,16,4,"104156;67943;12928;14371","Etv5;Mesd;Crk;Fzd9"
"GO_BP","GOBP_NEGATIVE_REGULATION_OF_PEPTIDYL_TYROSINE_PHOSPHORYLATION",0.704745166959578,0.884391211742161,-0.295011749105559,-0.825662554199305,21,5,"208092;233328;56468;12389;217039","Chmp6;Lrrk1;Socs5;Cav1;Ggnbp2"
"GO_BP","GOBP_BRANCHED_CHAIN_AMINO_ACID_METABOLIC_PROCESS",0.705172413793103,0.884599616858238,-0.278023157374931,-0.806526089520187,24,9,"12041;216136;12035;78038;66948;12036;229517;13382;227095","Bckdk;Ilvbl;Bcat1;Mccc2;Acad8;Bcat2;Slc25a44;Dld;Hibch"
"GO_BP","GOBP_TELOMERE_MAINTENANCE_VIA_RECOMBINATION",0.705667276051188,0.884892656047899,-0.318127187693978,-0.815887093839595,15,4,"19364;68501;22594;19360","Rad51d;Nsmce2;Xrcc1;Rad50"
"GO_BP","GOBP_AROMATIC_AMINO_ACID_METABOLIC_PROCESS",0.707093821510298,0.885565739137586,0.292119789470377,0.833349082666166,18,3,"239273;110391;270076","Abcc4;Qdpr;Gcdh"
"GO_BP","GOBP_IRON_ION_TRANSMEMBRANE_TRANSPORT",0.708480565371025,0.885565739137586,-0.304251653192964,-0.828888383257144,19,5,"67547;68428;68279;11977;18174","Slc39a8;Steap3;Mcoln2;Atp7a;Slc11a2"
"GO_BP","GOBP_MEIOTIC_CELL_CYCLE_PROCESS",0.707865168539326,0.885565739137586,-0.211725715799206,-0.896160815550423,171,27,"52683;54427;19364;54611;16878;19183;13617;22418;20892;223499;15499;11799;19355;60530;211651;17886;103733;72787;381678;268465;73139;21973;22187;17220;105988;19360;71846","Ncaph2;Dnmt3l;Rad51d;Pde3a;Lif;Psmc3ip;Ednra;Wnt5a;Cenpx;Dcaf13;Hsf1;Birc5;Rad1;Fignl1;Fancd2;Myh9;Tubg1;Ndc1;Zcwpw1;Eme1;Cenpv;Top2a;Ubb;Mcm7;Espl1;Rad50;Syce2"
"GO_BP","GOBP_NEGATIVE_REGULATION_OF_INTRACELLULAR_TRANSPORT",0.70873786407767,0.885565739137586,-0.247505734847668,-0.85257252218516,50,16,"11600;231070;116891;66753;18015;170749;68889;20224;13663;236732;19387;11640;17755;11305;12568;22627","Angpt1;Insig1;Derl2;Erlec1;Nf1;Mtmr4;Ubac2;Sar1a;Ei24;Rbm10;Rangap1;Akap1;Map1b;Abca2;Cdk5;Ywhae"
"GO_BP","GOBP_NEGATIVE_REGULATION_OF_PHOSPHORUS_METABOLIC_PROCESS",0.706563706563707,0.885565739137586,0.195154309062707,0.923765350162252,226,31,"15937;12062;93742;14114;56428;19259;320795;215748;19211;13163;19165;12580;75296;12367;319801;16475;11606;52840;24074;16337;231474;110355;50523;232431;67384;229007;17096;19249;230126;70012;56398","Ier3;Bdkrb2;Pard3;Fbln1;Mtch2;Ptpn5;Pkn1;Cnksr3;Pten;Daxx;Psen2;Cdkn2c;Cep43;Casp3;Tigar;Ajuba;Agt;Dbndd2;Taf7;Insr;Paqr3;Grk2;Lats2;Gprc5a;Bag4;Zgpat;Lyn;Ptpn13;Shb;Cep85;Chp1"
