"entrezgene_id","stat"
"56047",22.8335469339416
"13052",17.506610596887
"20744",15.009584748619
"18162",12.5893747991318
"20657",12.5620527993831
"70546",12.5566292498578
"14726",11.9921012081088
"320924",11.5218542049483
"232748",11.4096296136853
"102636155",11.3193641211848
"105349",11.2336594426612
"18007",11.0698355821273
"67573",10.9871767820732
"13800",10.9136834918968
"27360",10.7934106802462
"14063",10.7157077149164
"18415",10.5501022705563
"12484",10.4333788502792
"208111",10.3442333874613
"18082",10.3191880254997
"71310",10.080019750614
"54613",10.0083692213539
"#N/A",9.98734611869181
"83996",9.9180520758697
"14048",9.91464153106223
"18027",9.84395288186645
"50490",9.72368437576099
"70153",9.69622621324377
"110596",9.63451496465326
"74442",9.62554891225746
"76073",9.58428775960924
"12660",9.56714860139516
"70701",9.54112205726401
"11535",9.39543778071328
"14725",9.36827230521523
"19085",9.34615034196903
"244954",9.27175839657311
"68178",9.14582058521523
"22441",9.09895548521598
"320078",9.09361836687149
"68792",8.87479732636607
"228413",8.82424069165728
"14190",8.58957384798422
"240660",8.53900062643985
"17948",8.53597795944225
"11443",8.53312917145472
"67155",8.45694835706758
"269424",8.38476704953285
"75577",8.25889292363188
"494504",8.09678313996128
"14806",8.063040629126
"12554",8.04138998786151
"15395",8.03261254707191
"229357",8.0230326997729
"381605",7.8552640883817
"93876",7.84070293345766
"11630",7.73545545478965
"54525",7.58639226845017
"19225",7.58590723466458
"16011",7.56969359199674
"74760",7.55068760664854
"235086",7.50281963600015
"15937",7.46437393536486
"12725",7.44278632484301
"226352",7.38235525979923
"240055",7.33886890627267
"98878",7.31874443763458
"108897",7.31833975351262
"99326",7.29105189397683
"107765",7.21086992033886
"63955",7.16480650909874
"192216",7.14256205143257
"20619",7.13556978545909
"11609",7.12908296875815
"234595",7.10555554925507
"229474",7.0926130036369
"22696",7.04954266434676
"109594",7.04184698351932
"75415",6.99052829246334
"382571",6.98982978696281
"621430",6.98793942997831
"11677",6.96138809197211
"234797",6.91918739510352
"66092",6.9139831111181
"18563",6.88542659890565
"76072",6.86842939924835
"20661",6.84291079114535
"214048",6.83259473548128
"14667",6.80504706689896
"11717",6.78357372646119
