"experiment","contrast","deg_direction","ensembl_gene_id","external_gene_name","entrezgene_id","log2FoldChange","stat","padj"
"humanKD","KD_vs_Control","up","ENSG00000272752","STAG3L5P-PVRIG2P-PILRB","NA",5.39932007281505,3.6030505210888,0.000418441414599684
"humanKD","KD_vs_Control","up","ENSG00000230191","IFITM3P4","NA",2.5360018796494,3.60071022152486,0.000422152514592649
"humanKD","KD_vs_Control","down","ENSG00000249256","ATP5MGP3","NA",-2.24119854004214,-3.60053739799442,0.000422408630342105
"humanKD","KD_vs_Control","up","ENSG00000265749","AC135178.4","NA",3.83231901977637,3.59971095693645,0.00042367933799331
"humanKD","KD_vs_Control","up","ENSG00000049768","FOXP3","50943",2.38215384873563,3.59946226588014,0.000424060012327393
"humanKD","KD_vs_Control","down","ENSG00000125850","OVOL2","58495",-3.07592992422488,-3.59943590197406,0.000424072614652504
"humanKD","KD_vs_Control","up","ENSG00000230658","KLHL7-DT","NA",2.37288977818955,3.59942425411556,0.000424072614652504
"humanKD","KD_vs_Control","up","ENSG00000226012","AP001434.1","NA",5.41189943936461,3.59717962594444,0.000427697891121994
"humanKD","KD_vs_Control","up","ENSG00000271576","AL359504.1","NA",4.3286843892592,3.59663610698308,0.000428542256014559
"humanKD","KD_vs_Control","up","ENSG00000224712","NPIPA3","642778",5.33968959447994,3.59528949862713,0.00043068992761073
"humanKD","KD_vs_Control","down","ENSG00000141506","PIK3R5","23533",-7.56307765525404,-3.5948389914156,0.000431410759700038
"humanKD","KD_vs_Control","down","ENSG00000200087","SNORA73B","NA",-2.06823422299106,-3.59354981805255,0.000433526674910464
"humanKD","KD_vs_Control","up","ENSG00000240922","LSAMP-AS1","NA",5.31151606522283,3.59335748880064,0.000433821696355149
"humanKD","KD_vs_Control","up","ENSG00000217835","AL034397.1","NA",1.50652625994661,3.5914093536335,0.00043705260468832
"humanKD","KD_vs_Control","up","ENSG00000197587","DMBX1","127343",1.59188529688165,3.59113396678241,0.000437489277630412
"humanKD","KD_vs_Control","up","ENSG00000257815","PRANCR","NA",3.15018538788714,3.59086842879753,0.000437909807227133
"humanKD","KD_vs_Control","up","ENSG00000254634","SMG1P6","NA",2.2839458176696,3.5898551561692,0.00043956440540699
"humanKD","KD_vs_Control","up","ENSG00000267370","AC008752.4","NA",5.32888415962195,3.58861390521067,0.000441610779288498
"humanKD","KD_vs_Control","down","ENSG00000155465","SLC7A7","9056",-1.1077914530282,-3.58722182654716,0.000443948479934275
"humanKD","KD_vs_Control","down","ENSG00000180878","C11orf42","160298",-2.99548651988939,-3.5857303326189,0.000446441846258533
"humanKD","KD_vs_Control","up","ENSG00000267274","AC008770.3","NA",5.35009097933335,3.58551654238334,0.000446781780736736
"humanKD","KD_vs_Control","up","ENSG00000272841","AL139393.3","NA",1.56319781903791,3.58420892745289,0.000448999725031546
"humanKD","KD_vs_Control","up","ENSG00000227038","GTF2IP7","NA",3.01913420900721,3.58405640009427,0.000449236032719
"humanKD","KD_vs_Control","up","ENSG00000277459","AP001527.2","NA",2.4013873471172,3.58399577342914,0.000449314252536528
"humanKD","KD_vs_Control","up","ENSG00000260948","AL390195.3","NA",5.41592602511771,3.58260763979475,0.000451656917368216
"humanKD","KD_vs_Control","down","ENSG00000135605","TEC","7006",-1.37704177397467,-3.58092355744625,0.000454541354887619
"humanKD","KD_vs_Control","down","ENSG00000270747","AL606490.9","NA",-2.68667577764056,-3.58091450351609,0.000454541354887619
"humanKD","KD_vs_Control","down","ENSG00000244192","AC113367.1","NA",-2.66959223201167,-3.58020436472919,0.000455751993710408
"humanKD","KD_vs_Control","down","ENSG00000145681","HAPLN1","1404",-2.3483331909662,-3.57835589837643,0.000458906779083605
"humanKD","KD_vs_Control","up","ENSG00000204969","PCDHA2","56146",2.35952628074833,3.57746887208468,0.00046038614921049
"humanKD","KD_vs_Control","down","ENSG00000168661","ZNF30","90075",-1.06392340555756,-3.57623969000535,0.000462501458615783
"humanKD","KD_vs_Control","down","ENSG00000125872","LRRN4","164312",-2.68092909769195,-3.57529583169954,0.000464146346236512
"humanKD","KD_vs_Control","down","ENSG00000186777","ZNF732","654254",-1.91331801605141,-3.57488333696027,0.000464851723260391
"humanKD","KD_vs_Control","up","ENSG00000214184","GCC2-AS1","NA",4.98783266323552,3.57100877889155,0.000471701322248879
"humanKD","KD_vs_Control","down","ENSG00000113494","PRLR","5618",-2.72783045625482,-3.56736128207102,0.000478202881474288
"humanKD","KD_vs_Control","up","ENSG00000270605","AL353622.1","NA",3.44842708348313,3.56727337697157,0.000478335499827637
"humanKD","KD_vs_Control","down","ENSG00000175985","PLEKHD1","400224",-1.44515236273845,-3.56678356066816,0.000479202272530999
"humanKD","KD_vs_Control","down","ENSG00000163612","FAM86KP","NA",-2.39797321026186,-3.56603258188446,0.000480493122050803
"humanKD","KD_vs_Control","down","ENSG00000215493","AC007731.2","NA",-1.39729278397102,-3.56356988240226,0.000484969495803235
"humanKD","KD_vs_Control","up","ENSG00000258791","LINC00520","NA",3.50036365588347,3.56318250311564,0.000485657836556517
"humanKD","KD_vs_Control","up","ENSG00000213901","SLC23A3","151295",1.3428903190123,3.56272656310704,0.000486474166250153
"humanKD","KD_vs_Control","up","ENSG00000159239","AC005041.1","NA",1.04277840851114,3.56192313005303,0.000487909035989621
"humanKD","KD_vs_Control","up","ENSG00000230424","EMC1-AS1","NA",5.39631902285098,3.56107960426134,0.000489422582859236
"humanKD","KD_vs_Control","up","ENSG00000182993","C12orf60","144608",3.28553144692391,3.56091112404026,0.000489708349148833
"humanKD","KD_vs_Control","up","ENSG00000253771","TPTE2P1","NA",4.37572371639856,3.56066151299488,0.000490145703099026
"humanKD","KD_vs_Control","up","ENSG00000205293","LINC01602","NA",2.2342333016336,3.55798001585781,0.000495060578041862
"humanKD","KD_vs_Control","up","ENSG00000158792","SPATA2L","124044",1.31750847363097,3.55791027878175,0.00049516327665711
"humanKD","KD_vs_Control","up","ENSG00000213816","CNN2P4","NA",4.90596763571381,3.55553656954107,0.000499539850337395
"humanKD","KD_vs_Control","down","ENSG00000172061","LRRC15","131578",-1.77240355475676,-3.55396280514864,0.000502509482814733
"humanKD","KD_vs_Control","down","ENSG00000111344","RASAL1","8437",-2.20100355169847,-3.55209965249733,0.000506022538656154
"humanKD","KD_vs_Control","up","ENSG00000123609","NMI","9111",4.86786910588616,3.55205603359628,0.000506077092089555
"humanKD","KD_vs_Control","down","ENSG00000163817","SLC6A20","54716",-1.79983831961,-3.55018225424683,0.000509604423600661
"humanKD","KD_vs_Control","up","ENSG00000250299","MRPS31P4","NA",4.85311636483997,3.55004695950789,0.000509836847248277
"humanKD","KD_vs_Control","down","ENSG00000153208","MERTK","10461",-1.09515983049051,-3.54903961932613,0.000511761569918652
"humanKD","KD_vs_Control","down","ENSG00000237351","AL513366.1","NA",-3.1256255895926,-3.54279305813626,0.000523764061877681
"humanKD","KD_vs_Control","up","ENSG00000261652","C15orf65","145788",4.9510794728952,3.54251271488861,0.000524290729019162
"humanKD","KD_vs_Control","up","ENSG00000130775","THEMIS2","9473",1.87662744262247,3.54237689124052,0.000524530409983085
"humanKD","KD_vs_Control","down","ENSG00000226080","RPL6P4","NA",-1.62896976596667,-3.54200499407223,0.000525240065877183
"humanKD","KD_vs_Control","down","ENSG00000187715","KBTBD12","166348",-2.80615108250794,-3.53829272205924,0.000532649882134109
"humanKD","KD_vs_Control","up","ENSG00000178081","ULK4P3","NA",4.89571778885409,3.53679843142608,0.000535641460950199
"humanKD","KD_vs_Control","up","ENSG00000204065","TCEAL5","340543",3.06190000499224,3.53652640124812,0.000536162355323246
"humanKD","KD_vs_Control","up","ENSG00000187808","SOWAHD","347454",2.51028241519352,3.53604012273636,0.000537119167025883
"humanKD","KD_vs_Control","down","ENSG00000229989","MIR181A1HG","NA",-1.65924750024238,-3.53498210177618,0.000539243149896646
"humanKD","KD_vs_Control","up","ENSG00000261766","AC133550.3","NA",4.97725302544355,3.53478528242363,0.000539613698690596
"humanKD","KD_vs_Control","up","ENSG00000169429","CXCL8","3576",1.51220436439938,3.53241938583526,0.000544402105490373
"humanKD","KD_vs_Control","down","ENSG00000204241","LINC02731","NA",-1.88631757983134,-3.53147667963134,0.000546219817356591
"humanKD","KD_vs_Control","down","ENSG00000255231","MRPS36P4","NA",-4.01340475314881,-3.53003785721722,0.000549167203380137
"humanKD","KD_vs_Control","up","ENSG00000169218","RSPO1","284654",1.42386973965047,3.52952746831568,0.000550163897925078
"humanKD","KD_vs_Control","up","ENSG00000123977","DAW1","164781",2.89655873407506,3.52946221183569,0.000550267754684484
"humanKD","KD_vs_Control","down","ENSG00000132854","KANK4","163782",-1.00980645088897,-3.52929793515237,0.000550545768156998
"humanKD","KD_vs_Control","up","ENSG00000272872","AP000525.1","NA",5.39976412827631,3.52930706778765,0.000550545768156998
"humanKD","KD_vs_Control","up","ENSG00000239332","LINC01119","NA",1.9918875035024,3.52911450300037,0.000550895656430284
"humanKD","KD_vs_Control","up","ENSG00000236914","LINC01852","NA",2.01258194736893,3.52819667772364,0.000552777464385032
"humanKD","KD_vs_Control","down","ENSG00000214827","MTCP1","4515",-1.24507379160949,-3.52676446707068,0.000555647475732943
"humanKD","KD_vs_Control","up","ENSG00000224677","PDIA3P2","NA",1.48917370392373,3.52670050321128,0.000555749576822188
"humanKD","KD_vs_Control","up","ENSG00000277369","AC010654.1","NA",5.2645954630922,3.52635746449817,0.000556437814456418
"humanKD","KD_vs_Control","up","ENSG00000163734","CXCL3","2921",3.373220637768,3.52434336631504,0.000560587752692717
"humanKD","KD_vs_Control","up","ENSG00000230847","OCLNP1","NA",4.33995540827079,3.52406927726704,0.000561135523175848
"humanKD","KD_vs_Control","up","ENSG00000257074","RPL29P33","NA",3.09249624019298,3.52395817581194,0.000561338404734994
"humanKD","KD_vs_Control","up","ENSG00000273486","AC096992.2","NA",4.86291009724758,3.52227998817917,0.000564740915789939
"humanKD","KD_vs_Control","down","ENSG00000271101","AC005181.1","NA",-3.3559440753521,-3.5209108109519,0.000567566495992916
"humanKD","KD_vs_Control","down","ENSG00000230196","DDX43P3","NA",-4.02860834906451,-3.52067432882909,0.000568040040220541
"humanKD","KD_vs_Control","down","ENSG00000168672","LRATD2","157638",-1.45022813218045,-3.52033959184645,0.000568724614730551
"humanKD","KD_vs_Control","down","ENSG00000134376","CRB1","23418",-3.08810386969734,-3.51989086086238,0.000569654730194663
"humanKD","KD_vs_Control","up","ENSG00000119866","BCL11A","53335",1.12247929562937,3.51947688912178,0.00057051149925335
"humanKD","KD_vs_Control","up","ENSG00000169627","BOLA2B","654483",2.76683261365488,3.51833580320573,0.000572871274909383
"humanKD","KD_vs_Control","up","ENSG00000149295","DRD2","1813",1.31583528835617,3.51769505131022,0.000574203561933295
"humanKD","KD_vs_Control","up","ENSG00000260011","AC132938.2","NA",5.33207650751337,3.51768872332638,0.000574203561933295
"humanKD","KD_vs_Control","down","ENSG00000132938","MTUS2","23281",-2.46367100317714,-3.517100702931,0.000575443910962041
"humanKD","KD_vs_Control","up","ENSG00000168026","TTC21A","199223",1.21322112805096,3.51680701295924,0.000576047692242272
"humanKD","KD_vs_Control","up","ENSG00000252498","RNU6-1016P","NA",5.27025039751083,3.51648066561167,0.000576723005426888
"humanKD","KD_vs_Control","up","ENSG00000055732","MCOLN3","55283",4.34691281393342,3.51555011010556,0.00057868109878163
"humanKD","KD_vs_Control","down","ENSG00000262402","MCUR1P1","NA",-2.18067210194016,-3.51127744563045,0.000587825400576524
"humanKD","KD_vs_Control","down","ENSG00000169918","OTUD7A","161725",-1.42955439256382,-3.51074884576722,0.000588961449090021
"humanKD","KD_vs_Control","down","ENSG00000134321","RSAD2","91543",-2.80585112267234,-3.50891913064213,0.000592891174224291
"humanKD","KD_vs_Control","down","ENSG00000189157","FAM47E","100129583",-1.96072110861197,-3.5088186341505,0.000593081017072537
"humanKD","KD_vs_Control","up","ENSG00000197670","AL157838.1","NA",3.1687062793173,3.50653676203992,0.000598051567662526
"humanKD","KD_vs_Control","down","ENSG00000248909","HMGB1P21","NA",-2.41525125707556,-3.50419003016797,0.00060331212645858
"humanKD","KD_vs_Control","up","ENSG00000264769","AC145207.8","NA",3.1632886062972,3.50393356645021,0.00060385861447516
"humanKD","KD_vs_Control","up","ENSG00000233230","AC079807.1","NA",1.6786545994617,3.50097993461388,0.000610520468485329
"humanKD","KD_vs_Control","up","ENSG00000118513","MYB","4602",1.12228582888045,3.50066715639905,0.00061120214763693
"humanKD","KD_vs_Control","down","ENSG00000139445","FOXN4","121643",-5.12265904023951,-3.49876041321323,0.000615553901254303
"humanKD","KD_vs_Control","up","ENSG00000125731","SH2D3A","10045",2.22239840097942,3.49660654705073,0.000620437477980688
"humanKD","KD_vs_Control","down","ENSG00000174038","C9orf131","138724",-2.18318764854677,-3.49645879694179,0.000620745376244273
"humanKD","KD_vs_Control","down","ENSG00000188782","CATSPER4","378807",-3.98627300725616,-3.49310889293095,0.000628512559796398
"humanKD","KD_vs_Control","up","ENSG00000104951","IL4I1","259307",1.54174884336478,3.49117985001717,0.0006329223737927
"humanKD","KD_vs_Control","up","ENSG00000222881","AC080112.1","NA",5.21451741706591,3.49057835268362,0.000634312310020132
"humanKD","KD_vs_Control","down","ENSG00000184956","MUC6","4588",-1.81515585993071,-3.48734085949584,0.000641893478103027
"humanKD","KD_vs_Control","down","ENSG00000021300","PLEKHB1","58473",-1.72677280056103,-3.48691901524641,0.000642832721720988
"humanKD","KD_vs_Control","up","ENSG00000215769","ARHGAP27P1-BPTFP1-KPNA2P3","NA",1.96947918576644,3.48624516711542,0.000644342929740723
"humanKD","KD_vs_Control","up","ENSG00000277382","AC005837.4","NA",4.90252680221561,3.48581256771356,0.000645348604382992
"humanKD","KD_vs_Control","up","ENSG00000101198","NKAIN4","128414",1.9442131861738,3.48534719918688,0.000646434905699396
"humanKD","KD_vs_Control","up","ENSG00000258949","AL049870.3","NA",3.02196839361267,3.48381742491933,0.00065006599055218
"humanKD","KD_vs_Control","up","ENSG00000157315","TMED6","146456",4.88174757550471,3.48140132269674,0.000655807771244856
"humanKD","KD_vs_Control","up","ENSG00000256139","AC007637.1","NA",5.2319350520095,3.48010187839269,0.000658921052283952
"humanKD","KD_vs_Control","up","ENSG00000273893","AL133520.1","NA",5.20441433891498,3.47898243912199,0.000661641608130894
"humanKD","KD_vs_Control","down","ENSG00000233122","CTAGE7P","NA",-1.48685815999516,-3.47835250339102,0.000663122268158087
