"ensembl_gene_id","external_gene_name","lfc_a","padj_a","lfc_b","padj_b","sig_class","label_gene"
"ENSMUSG00000069874","Irgm2",2.47494328515459,6.77073621304307e-107,0.0394905690574321,0.987510616377423,"mouseKD__KD_vs_Control only",NA
"ENSMUSG00000019846","Lama4",2.85189616113761,1.60569090889999e-106,-2.35264735371697,0.00434045894852849,"both padj<0.05","Lama4"
"ENSMUSG00000029167","Ppargc1a",-3.12639454174947,1.94390492262153e-106,-0.476017665918099,0.505897934392185,"mouseKD__KD_vs_Control only",NA
"ENSMUSG00000028542","Slc6a9",1.57485014204302,8.8577608954633e-105,-0.473358766002608,0.171776310745527,"mouseKD__KD_vs_Control only",NA
"ENSMUSG00000035692","Isg15",2.31935507675526,1.13084539916188e-104,0.0490539127053721,0.983280586360081,"mouseKD__KD_vs_Control only",NA
"ENSMUSG00000005360","Slc1a3",1.79369861114991,2.76627903024735e-104,-0.632111928856306,0.0377926271211614,"both padj<0.05",NA
"ENSMUSG00000020777","Acox1",-1.39765222209116,5.00306207897885e-103,-0.29553832149971,0.0373141995633633,"both padj<0.05",NA
"ENSMUSG00000090877","Hspa1b",-1.67882794892837,3.19702258058768e-102,-1.7722383049612,0.00851482874060633,"both padj<0.05","Hspa1b"
"ENSMUSG00000042379","Esm1",1.75878956080797,2.66922093643838e-100,0.283985452666343,0.573582699875488,"mouseKD__KD_vs_Control only",NA
"ENSMUSG00000049929","Lpar4",2.36569506972523,3.84846029791808e-100,-1.55273842380494,0.00558732550112055,"both padj<0.05","Lpar4"
"ENSMUSG00000086075","Gm15728",-3.12573235353567,4.10859757672479e-100,0.275555162772242,0.715473275875379,"mouseKD__KD_vs_Control only",NA
"ENSMUSG00000033355","Rtp4",1.91002647017267,2.14716640091641e-99,1.47206749330781,0.275768752597746,"mouseKD__KD_vs_Control only",NA
"ENSMUSG00000029722","Agfg2",-1.61867318231773,1.77520721898168e-98,-0.240490279331295,0.294230554288826,"mouseKD__KD_vs_Control only",NA
"ENSMUSG00000030256","Bhlhe41",-1.85755887053372,2.9043107569421e-96,0.0923760436878721,0.89772100285566,"mouseKD__KD_vs_Control only",NA
"ENSMUSG00000000753","Serpinf1",1.30989764196391,8.05550604549976e-96,-4.00278055984366,3.75477314576195e-53,"both padj<0.05","Serpinf1"
"ENSMUSG00000030921","Trim30a",2.44310424594257,2.01482180159206e-95,0.599516337355486,0.702698155204522,"mouseKD__KD_vs_Control only",NA
"ENSMUSG00000031700","Gpt2",1.26703725538854,2.49014930866933e-95,0.150734380103765,0.734031969170062,"mouseKD__KD_vs_Control only",NA
"ENSMUSG00000021094","Dhrs7",1.61128035204377,3.2951335445336e-95,-0.337989885549648,0.544849743525455,"mouseKD__KD_vs_Control only",NA
"ENSMUSG00000045868","Gvin1",3.29204947600705,5.40826432660164e-95,1.0450378647779,0.404499747308966,"mouseKD__KD_vs_Control only",NA
"ENSMUSG00000029298","Gbp9",2.00885232308325,1.33346236784808e-94,0.0963402929578528,0.957409979008583,"mouseKD__KD_vs_Control only",NA
"ENSMUSG00000027939","Nup210l",-2.10145583609052,3.54449703388871e-94,0.235643693672164,0.543189990716731,"mouseKD__KD_vs_Control only",NA
"ENSMUSG00000022951","Rcan1",-1.52605105315039,3.17068595989814e-93,1.52397348507438,2.29671943606958e-28,"both padj<0.05","Rcan1"
"ENSMUSG00000006717","Acot13",-1.34098379932106,7.33587464825382e-93,0.0214529647198138,0.968338129512617,"mouseKD__KD_vs_Control only",NA
"ENSMUSG00000024048","Myl12a",-1.09228446830003,3.38098844518619e-92,0.301108853608742,0.177273651546532,"mouseKD__KD_vs_Control only",NA
"ENSMUSG00000020642","Rnf144a",3.40063979899318,9.00913440715488e-92,-1.39018491147156,0.321359577975686,"mouseKD__KD_vs_Control only",NA
"ENSMUSG00000029661","Col1a2",1.31895077969564,1.74773138801375e-91,-1.16361224084498,1.30631211455031e-13,"both padj<0.05",NA
"ENSMUSG00000025007","Aldh18a1",1.29864266492222,3.95135780030257e-91,0.308252719622981,0.0636791872792788,"mouseKD__KD_vs_Control only",NA
"ENSMUSG00000027171","Prrg4",-1.94608141214467,5.08707605048505e-91,1.67303796147382,4.8694089693771e-10,"both padj<0.05","Prrg4"
"ENSMUSG00000053158","Fes",-2.29847534962359,7.43500035917181e-90,0.899921095672306,0.23585185252838,"mouseKD__KD_vs_Control only",NA
"ENSMUSG00000024664","Fads3",1.24320245763965,2.40667411397731e-89,0.788127861219357,2.24154907647961e-05,"both padj<0.05",NA
"ENSMUSG00000052957","Gas1",2.05595246930074,4.13095889850292e-89,-1.41893586861987,1.05919291376085e-07,"both padj<0.05","Gas1"
"ENSMUSG00000025757","Hspa4l",-1.07523296674256,8.73206577581725e-89,1.51236523876685,6.67134413743121e-27,"both padj<0.05",NA
"ENSMUSG00000056427","Slit3",1.13700771927446,2.44176496004778e-86,-0.7793910153083,0.00155417897640098,"both padj<0.05",NA
"ENSMUSG00000024164","C3",2.42405218716883,4.93030283444828e-86,-0.306336066384143,0.845418980926133,"mouseKD__KD_vs_Control only",NA
"ENSMUSG00000024066","Xdh",1.12354506137675,5.86031641980957e-85,-0.781277757054404,0.0329277080624624,"both padj<0.05",NA
"ENSMUSG00000031824","6430548M08Rik",-1.76251880910809,1.01841753495448e-84,1.33303839871803,3.41024182560475e-07,"both padj<0.05","6430548M08Rik"
"ENSMUSG00000031875","Cmtm3",1.29940594594709,2.3104254090023e-84,0.38274770257132,0.0606695150829895,"mouseKD__KD_vs_Control only",NA
"ENSMUSG00000022505","Emp2",1.04183616247803,3.06132378050119e-84,0.334825004209386,0.0740463353275309,"mouseKD__KD_vs_Control only",NA
"ENSMUSG00000036902","Neto2",1.6232682552311,8.0942661874008e-84,0.911146728003439,7.41782921676184e-06,"both padj<0.05",NA
"ENSMUSG00000067818","Myl9",3.20313665981794,4.11180202116768e-83,0.837819117838781,0.307584838266368,"mouseKD__KD_vs_Control only",NA
"ENSMUSG00000021748","Pdhb",-1.10059513619013,1.04530651083064e-82,0.0709275729489766,0.754997242959434,"mouseKD__KD_vs_Control only",NA
"ENSMUSG00000054072","Iigp1",4.13285195250362,1.04530651083064e-82,-0.0866218778037987,0.976489501329574,"mouseKD__KD_vs_Control only",NA
"ENSMUSG00000019461","Plscr3",1.55693722082832,1.50527168784876e-82,-0.475066406189427,0.0192485407800795,"both padj<0.05",NA
"ENSMUSG00000024330","Col11a2",-1.74764601077512,2.0832576151218e-82,-0.456091268409693,0.671746620249158,"mouseKD__KD_vs_Control only",NA
"ENSMUSG00000039385","Cdh6",1.49652247484291,5.00445330957611e-82,0.149488829588421,0.505997567437937,"mouseKD__KD_vs_Control only",NA
"ENSMUSG00000023191","P3h3",1.71189200447571,6.50021741618364e-82,-0.392227005726362,0.284215967002426,"mouseKD__KD_vs_Control only",NA
"ENSMUSG00000028967","Errfi1",1.24809153258598,1.77925372873034e-81,0.797768147837658,0.0326245120354338,"both padj<0.05",NA
"ENSMUSG00000017314","Mpp2",-2.46266975683682,4.5040676167473e-80,-1.52365067347593,0.015626866222031,"both padj<0.05","Mpp2"
"ENSMUSG00000034459","Ifit1",1.44574007752484,4.92327890887574e-79,0.79037125735563,0.405603916616147,"mouseKD__KD_vs_Control only",NA
"ENSMUSG00000040296","Ddx58",1.13117885467873,5.60723492843185e-79,0.0807689829408084,0.966029759890031,"mouseKD__KD_vs_Control only",NA
"ENSMUSG00000021112","Mpp5",-1.30060719086623,6.56417136789865e-79,0.6133797318815,0.000187907522224495,"both padj<0.05",NA
"ENSMUSG00000046027","Stard5",1.44247598860036,2.88678339442139e-78,0.0452195866341576,0.931869824666164,"mouseKD__KD_vs_Control only",NA
"ENSMUSG00000019810","Fuca2",-1.4710449756401,4.50691506422159e-78,-0.0212774257099805,0.974814245129065,"mouseKD__KD_vs_Control only",NA
"ENSMUSG00000000902","Smarcb1",1.2574052829268,5.53369888516014e-78,-0.0828834232152713,0.719654261377724,"mouseKD__KD_vs_Control only",NA
"ENSMUSG00000040560","Wdr7",-1.317656240495,3.18754303957514e-77,-0.305615864198997,0.202311084622694,"mouseKD__KD_vs_Control only",NA
"ENSMUSG00000026640","Plxna2",-1.51859992822058,9.32016918578252e-77,-0.156607099371301,0.708461186059015,"mouseKD__KD_vs_Control only",NA
"ENSMUSG00000022479","Vdr",1.99177924297302,1.53435260906954e-75,-1.28557971013497,0.0706197787458949,"mouseKD__KD_vs_Control only",NA
"ENSMUSG00000038507","Parp12",1.35895048254728,2.26698012501217e-75,0.184474386629947,0.859658649401454,"mouseKD__KD_vs_Control only",NA
"ENSMUSG00000036615","Rfxap",-1.24100768559049,5.49153770039288e-74,0.301650308067892,0.184820047731277,"mouseKD__KD_vs_Control only",NA
"ENSMUSG00000026536","Ifi211",1.72566398035608,1.24578592925252e-73,0.832042474015249,0.397171389286835,"mouseKD__KD_vs_Control only",NA
"ENSMUSG00000047261","Gap43",2.43092819769254,1.48371769456526e-73,-1.84063975895147,7.94075871813726e-06,"both padj<0.05","Gap43"
"ENSMUSG00000034330","Plcg2",-1.88873723180702,1.66308897517953e-73,-0.569325683478417,0.389654090497356,"mouseKD__KD_vs_Control only",NA
"ENSMUSG00000027514","Zbp1",3.67731526621763,4.89499361863646e-73,-0.167695168190968,0.960396245987408,"mouseKD__KD_vs_Control only",NA
"ENSMUSG00000059173","Pde1a",2.00156681653958,1.15424935536096e-71,0.743247533664808,0.00517625245075135,"both padj<0.05",NA
