"class","external_gene_name","ensembl_gene_id","entrezgene_id","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Cell cycle","Top2a","ENSMUSG00000020914","21973",18468.2681717405,-0.46813238066459,0.119661577996266,-3.91213611339136,9.14833225916528e-05,0.000991839389714215
"Cell cycle","Mki67","ENSMUSG00000031004","17345",8446.03727863159,-0.236718246609182,0.193133805421444,-1.22566966509375,0.220323010106121,0.461940821596952
"Cell cycle","Cdk1","ENSMUSG00000019942","12534",5551.96957359319,0.112604894934382,0.169923861368773,0.662678531592475,0.507536462181154,0.743849420314714
"Cell cycle","Pcna","ENSMUSG00000027342","18538",4285.70608004429,0.076032507525367,0.135117878689258,0.5627124127683,0.573630730465918,0.787700408511685
"Cell cycle","Ccnb1","ENSMUSG00000041431","268697",4309.51583396894,0.064940852003895,0.203533385538558,0.319067320734918,0.74967546379531,0.892223469108058
"Chromatin/PRC2","Suz12","ENSMUSG00000017548","52615",3794.46212109519,-0.229030109308043,0.105466566865306,-2.17158969060349,0.0298866253225918,0.115113556864528
"Chromatin/PRC2","Ezh2","ENSMUSG00000029687","14056",2548.64676665601,0.22725320728702,0.112427400104794,2.02133294085959,0.043245311386471,0.151953189288997
"Chromatin/PRC2","Eed","ENSMUSG00000030619","13626",1396.57464224078,0.0577088149162497,0.130220771699862,0.443161364834015,0.657649021901869,0.84147930180799
"Interferon/viral mimicry","Ifit2","ENSMUSG00000045932","15958",1157.48517570095,0.727610380996083,0.122014282386324,5.96332139783692,2.47161586699855e-09,9.65849889773705e-08
"Interferon/viral mimicry","Ifit1","ENSMUSG00000034459","15957",784.453597782394,0.79037125735563,0.587898000844449,1.34440201569039,0.178818422369032,0.405603916616147
"Interferon/viral mimicry","Ifih1","ENSMUSG00000026896","71586",548.521760015497,0.566095374048958,0.490400333507096,1.15435356660655,0.248355243615553,0.499627567438512
"Interferon/viral mimicry","Ifit3","ENSMUSG00000074896","15959",203.371430067237,0.851766531985559,0.80872712039722,1.05321870690722,0.29224076669348,0.548696949710208
"Interferon/viral mimicry","Irf7","ENSMUSG00000025498","54123",240.090434390643,1.05276032663524,1.0708661768581,0.983092331596476,0.325561998092978,0.584407199163446
"Interferon/viral mimicry","Stat1","ENSMUSG00000026104","20846",251.586736750338,0.231469685623829,0.345701057738812,0.669566032391812,0.503134473591234,0.740174068070058
"Interferon/viral mimicry","Cxcl10","ENSMUSG00000034855","15945",319.438449388382,0.361971817401854,0.601427561967004,0.601854388279121,0.547271067883944,0.771516530610075
"Interferon/viral mimicry","Stat2","ENSMUSG00000040033","20847",669.845168650775,0.401655071435192,0.773198649199558,0.519472029407965,0.603431613192541,0.807318632569739
"Interferon/viral mimicry","Oas1a","ENSMUSG00000052776","246730",84.998745674477,0.540583209409816,1.22608293149186,0.44090264657061,0.659283477598389,0.842484640791655
"Interferon/viral mimicry","Tbk1","ENSMUSG00000020115","56480",1036.09347070081,-0.0126076168014868,0.10947482846069,-0.115164526665725,0.908314715173185,0.967246007600071
"Interferon/viral mimicry","Isg15","ENSMUSG00000035692","100038882",116.697096177814,0.0490539127053721,0.867891926742334,0.0565207616223576,0.954926956577802,0.983280586360081
"MAPK/MPNST","Nf1","ENSMUSG00000020716","18015",2154.85525580944,-0.80599591620775,0.140223226330504,-5.74794873360015,9.03326171203004e-09,3.15478337448338e-07
"MAPK/MPNST","Erbb2","ENSMUSG00000062312","13866",873.423585161857,-0.381560841710091,0.130679581264176,-2.91981989855588,0.00350233728286208,0.0210873710748241
"MAPK/MPNST","Pdgfra","ENSMUSG00000029231","18595",4159.10920384638,-0.481896373850469,0.501829617274381,-0.960278862112249,0.336914885574964,0.596539058369836
"NF-kB/inflammation","Nfkb1","ENSMUSG00000028163","18033",4693.37257064302,0.353378282709502,0.102397369010535,3.45104846075827,0.000558413292560068,0.0045537864747653
"NF-kB/inflammation","Il6","ENSMUSG00000025746","16193",23.4128365205226,2.16807077536119,0.754789113806458,2.87241924360494,0.00407342174000492,0.0239176112378115
"NF-kB/inflammation","Nfkbia","ENSMUSG00000021025","18035",594.980791114947,-0.453741999500639,0.19799230184924,-2.29171536096458,0.021922073436802,0.090568484047347
"UBR5","Ubr5","ENSMUSG00000037487","70790",5110.83618091453,-1.04797239370405,0.223027675950033,-4.69884461307322,2.61637416750228e-06,4.83069083678748e-05
