"experiment","contrast","collection","pathway","NES","ES","pval","padj","size","leadingEdge_count","leadingEdge_symbols","leadingEdge_entrez"
"humanKD","KD_vs_Control","Hallmark","HALLMARK_HYPOXIA",-1.58473614617789,-0.322671105384609,0.000536943645955219,0.00496252229085123,189,47,"S100A4;ENO3;BTG1;RBPJ;ALDOC;MXI1;ENO2;TPST2;PGK1;PDK3;XPNPEP1;NDRG1;AMPD3;CP;PGM1;LARGE1;TGFB3;HK1;ERRFI1;EFNA1;JMJD6;ATP7A;GALK1;GAA;FAM162A;GPC1;HEXA;KLHL24;KDM3A;CITED2;HS3ST1;PLIN2;CCN5;CSRP2;P4HA1;GPI;PNRC1;BCL2;HMOX1;LXN;MYH9;DUSP1;INHA;ISG20;UGP2;SLC25A1;PKLR","6275;2027;694;3516;230;4601;2026;8459;5230;5165;7511;10397;272;1356;5236;9215;7043;3098;54206;1942;23210;538;2584;2548;26355;2817;3073;54800;55818;10370;9957;123;8839;1466;5033;2821;10957;596;3162;56925;4627;1843;3623;3669;7360;6576;5313"
"humanKD","KD_vs_Control","Hallmark","HALLMARK_MYC_TARGETS_V2",1.84774456421177,0.496488593984074,0.000595502674902148,0.00496252229085123,57,30,"NPM1;TCOF1;UNG;TBRG4;TMEM97;DDX18;MCM4;CBX3;GRWD1;RABEPK;TFB2M;GNL3;MAP3K6;NOLC1;IMP4;NOC4L;SORD;DCTPP1;SLC19A1;NOP56;MCM5;NIP7;NDUFAF4;SRM;PPAN;RRP12;MPHOSPH10;WDR74;SLC29A2;PPRC1","4869;6949;7374;9238;27346;8886;4173;11335;83743;10244;64216;26354;9064;9221;92856;79050;6652;79077;6573;10528;4174;51388;29078;6723;56342;23223;10199;54663;3177;23082"
"humanKD","KD_vs_Control","Hallmark","HALLMARK_UV_RESPONSE_UP",-1.56279752577698,-0.325344907651159,0.000971000602994255,0.00693571859281611,155,24,"TUBA4A;SLC25A4;EPHX1;BTG1;GRINA;MAOA;ENO2;SLC6A8;BMP2;AGO2;CYB5R1;ATP6V1C1;RRAD;CCK;HLA-F;COL2A1;MARK2;IRF1;ABCB1;SQSTM1;CHKA;MMP14;JUNB;NR4A1","7277;291;2052;694;2907;4128;2026;6535;650;27161;51706;528;6236;885;3134;1280;2011;3659;5243;8878;1119;4323;3726;3164"
"humanKD","KD_vs_Control","Hallmark","HALLMARK_PEROXISOME",-1.60462086597723,-0.363113522040602,0.0029308594221993,0.0183178713887456,96,39,"SLC25A4;ALDH9A1;IDE;IDH1;ABCD2;PRDX1;ACOX1;FIS1;PABPC1;HSD3B7;SLC25A17;ABCB1;SCP2;PEX5;ACSL5;SERPINA6;YWHAH;FADS1;HRAS;ABCC5;CRAT;VPS4B;ABCD3;PEX14;ACAA1;RXRG;TSPO;CTBP1;IDH2;SOD1;FDPS;SMARCC1;CACNA1B;ABCC8;ABCD1;MVP;DHRS3;ACSL4;CTPS1","291;223;3416;3417;225;5052;51;51024;26986;80270;10478;5243;6342;5830;51703;866;7533;3992;3265;10057;1384;9525;5825;5195;30;6258;706;1487;3418;6647;2224;6599;774;6833;215;9961;9249;2182;1503"
"humanKD","KD_vs_Control","Hallmark","HALLMARK_ADIPOGENESIS",-1.43833083907474,-0.29161763504323,0.00460015965221499,0.0239600816940166,191,66,"ALDH2;ENPP2;C3;FABP4;ACADL;ACADS;ANGPT1;ACLY;ME1;IDH1;DNAJC15;PGM1;AIFM1;ADCY6;SLC27A1;NMT1;TOB1;STAT5A;ACOX1;ACO2;ELOVL6;MAP4K3;CAVIN2;PLIN2;SQOR;SCP2;PREB;TALDO1;PPM1B;ETFB;MDH2;HSPB8;ATP1B3;PHLDB1;POR;MTCH2;IMMT;LPCAT3;COX8A;REEP5;SLC25A1;VEGFB;CYC1;CRAT;SDHB;G3BP2;OMD;IDH3A;PEX14;CHUK;DLD;GPX4;GPAM;QDPR;RNF11;SOD1;SAMM50;GHITM;MTARC2;DLAT;DHRS7B;DNAJB9;CPT2;LIPE;RTN3;SLC25A10","217;5168;718;2167;33;35;284;47;4199;3417;29103;5236;9131;112;376497;4836;10140;6776;51;50;79071;8491;8436;123;58472;6342;10113;6888;5495;2109;4191;26353;483;23187;5447;23788;10989;10162;1351;7905;6576;7423;1537;1384;6390;9908;4958;3419;5195;1147;1738;2879;57678;5860;26994;6647;25813;27069;54996;1737;25979;4189;1376;3991;10313;1468"
"humanKD","KD_vs_Control","Hallmark","HALLMARK_FATTY_ACID_METABOLISM",-1.52479400312218,-0.318983269427197,0.00479201633880332,0.0239600816940166,141,21,"ENO3;EPHX1;MAOA;ACADL;ENO2;PDHA1;ACADS;ALDH9A1;HMGCS1;ME1;IDH1;ETFDH;LGALS1;UGDH;NSDHL;RAP1GDS1;S100A10;ACOX1;ACO2;ALDH3A1;AOC3","2027;2052;4128;33;2026;5160;35;223;3157;4199;3417;2110;3956;7358;50814;5910;6281;51;50;218;8639"
"humanKD","KD_vs_Control","Hallmark","HALLMARK_BILE_ACID_METABOLISM",-1.54251407899313,-0.349059227569811,0.00650244091418816,0.0295565496099462,96,34,"NEDD4;ALDH9A1;IDH1;ABCA2;HSD17B6;ABCD2;PAOX;ABCA3;GCLM;HSD3B7;SCP2;NPC1;ACSL5;SERPINA6;FADS1;RBP1;ABCD3;ABCA5;RXRG;ABCA9;ABCG4;CYP7B1;IDH2;PEX7;PFKM;SOD1;ABCG8;LIPE;ABCD1;AGXT;SOAT2;AQP9;PNPLA8;NR1H4","4734;223;3417;20;8630;225;196743;21;2730;80270;6342;4864;51703;866;3992;5947;5825;23461;6258;10350;64137;9420;3418;5191;5213;6647;64241;3991;215;189;8435;366;50640;9971"
"humanKD","KD_vs_Control","Hallmark","HALLMARK_MTORC1_SIGNALING",-1.3362543919631,-0.270936013629379,0.0123435633990723,0.0514315141628013,197,65,"TUBA4A;INSIG1;PGK1;SQLE;HMGCS1;ACSL3;CD9;ACLY;ME1;IDH1;PGM1;PRDX1;CCNG1;NMT1;PSMC2;COPS5;ELOVL6;TM7SF2;EDEM1;SDF2L1;ABCF2;HSP90B1;SQSTM1;LTA4H;HMGCR;P4HA1;HSPE1;GPI;PITPNB;ATP2A2;PSMD12;MTHFD2L;IFRD1;ACTR3;HMBS;PHGDH;IMMT;FADS1;ATP5MC1;PSMA4;PSMD13;PSMA3;HSPA4;DAPP1;ETF1;PSMD14;GLA;TBK1;USO1;ACACA;GTF2H1;SERP1;RAB1A;DDIT3;GCLC;NFYC;VLDLR;EPRS1;PSMC4;BHLHE40;QDPR;UBE2D3;HSPA9;SSR1;SLA","7277;3638;5230;6713;3157;2181;928;47;4199;3417;5236;5052;900;4836;5701;10987;79071;7108;9695;23753;10061;7184;8878;4048;3156;5033;3336;2821;23760;488;5718;441024;3475;10096;3145;26227;10989;3992;516;5685;5719;5684;3308;27071;2107;10213;2717;29110;8615;31;2965;27230;5861;1649;2729;4802;7436;2058;5704;8553;5860;7323;3313;6745;6503"
"humanKD","KD_vs_Control","Hallmark","HALLMARK_INTERFERON_ALPHA_RESPONSE",1.48035740767871,0.365990951586076,0.0168793610672141,0.0649206194892848,95,28,"IFITM3;ADAR;LGALS3BP;B2M;EIF2AK2;TRIM5;IFI44;LY6E;SAMD9;PLSCR1;STAT2;PROCR;TRIM14;SP110;PARP14;CNP;HELZ2;IL4R;PNPT1;TRIM25;WARS1;RNF31;TRIM26;ISG15;SAMD9L;TAP1;EPSTI1;DDX60","10410;103;3959;567;5610;85363;10561;4061;54809;5359;6773;10544;9830;3431;54625;1267;85441;3566;87178;7706;7453;55072;7726;9636;219285;6890;94240;55601"
"humanKD","KD_vs_Control","Hallmark","HALLMARK_IL6_JAK_STAT3_SIGNALING",1.49070174425431,0.386044320419359,0.0259406606275751,0.0926452165270539,71,23,"OSMR;IFNAR1;IFNGR2;TGFB1;ITGA4;TNFRSF1A;TYK2;MYD88;PTPN1;TNFRSF21;TNFRSF12A;CD44;STAT2;IL10RB;IFNGR1;IL4R;PDGFC;FAS;JUN;PTPN11;IL13RA1;IL17RB;STAT1","9180;3454;3460;7040;3676;7132;7297;4615;5770;27242;51330;960;6773;3588;3459;3566;56034;355;3725;5781;3597;55540;6772"
"humanKD","KD_vs_Control","KEGG","DUTERTRE_ESTRADIOL_RESPONSE_24HR_UP",2.69312686298343,0.567891297478854,7.29657880359595e-30,3.72563313711609e-26,319,169,"STC2;MKI67;UHRF1;TACC3;SPDL1;CA12;ZWINT;RRM2;ANLN;DLGAP5;DUT;BUB1B;NUSAP1;POLD2;TPX2;CDCA7L;ARHGAP11A;GTSE1;SKA3;CEP55;CDCA4;CHAF1A;KIFC1;MCM8;PBK;SPAG5;MYBL2;PRR11;BIRC5;RECQL4;E2F7;TCF19;FANCA;C21orf58;SPC24;KNL1;TROAP;MELK;PTTG1;ASPM;FANCI;CPAP;HR;FOXM1;CENPO;BUB1;UNG;MYO19;WDR76;CDCA5;FBXO5;NEMP1;EXO1;CHTF18;FANCG;CD320;LYPD6;UBE2T;STIL;DARS2;NCAPD3;DYNC2I2;SACK1D;SYTL5;TRIP13;ELOVL2;HAUS8;MIS18A;DSN1;MCM4;MICB;FIGNL1;CDT1;SLC7A5;GAS2L3;NASP;XRCC3;AURKA;ZWILCH;SHCBP1;NCAPG2;GINS1;FEN1;CDC6;CENPU;FANCC;GMNN;PPIF;CENPI;KIF11;FANCD2;SLC39A8;NME1;XRCC2;TTK;KCNK6;CEP78;TMED8;BRCA1;DNA2;TK1;CENPN;TTF2;ARMCX6;KIF23;DHTKD1;IQGAP3;CLSPN;WDHD1;LMNB1;RPA3;RFC4;UBE2C;DDIAS;PRC1;KNSTRN;E2F2;RNASEH2A;MCM10;SULF1;RFC2;ESCO2;CDCA7;TET2;TMEM38B;NUP107;MRE11;INCENP;BRIP1;STC1;TYMS;IL1RAP;CHAF1B;DHRS2;TONSL;TIMELESS;GGH;GINS3;IL17RB;KNTC1;FAM111B;DNMT1;BLM;TMEM164;MPHOSPH9;MANEAL;CHRNA5;GINS2;POLE;MTHFD1;RAD18;NCAPD2;ADCY1;DCLRE1B;RBBP8;POLQ;TICRR;PKMYT1;CENPL;PAQR4;CELSR2;VRK1;EBP;AURKB;KIF4A;NCAPH;REXO5;MTFR2;ASF1B","8614;4288;29128;10460;54908;771;11130;6241;54443;9787;1854;701;51203;5425;22974;55536;9824;51512;221150;55165;55038;10036;3833;84515;55872;10615;4605;55771;332;9401;144455;6941;2175;54058;147841;57082;10024;9833;9232;259266;55215;55835;55806;2305;79172;699;7374;80179;79968;113130;26271;23306;9156;63922;2189;51293;130574;29089;6491;55157;23310;89891;81610;94122;9319;54898;93323;54069;79980;4173;4277;63979;81620;8140;283431;4678;7517;6790;55055;79801;54892;9837;2237;990;79682;2176;51053;10105;2491;3832;2177;64116;4830;7516;7272;9424;84131;283578;672;1763;7083;55839;8458;54470;9493;55526;128239;63967;11169;4001;6119;5984;11065;220042;9055;90417;1870;10535;55388;23213;5982;157570;83879;54790;55151;57122;4361;3619;83990;6781;7298;3556;8208;10202;4796;8914;8836;64785;55540;9735;374393;1786;641;84187;10198;149175;1138;51659;5426;4522;56852;9918;107;64858;5932;10721;90381;9088;91687;124222;1952;7443;10682;9212;24137;23397;81691;113115;55723"
