"entrezgene_id","stat"
"3481",63.0603660158279
"4514",61.2167154824276
"8614",61.0401821730021
"4513",59.3472555646775
"5478",56.3599502132577
"4538",55.6637526318331
"754",54.6494759831393
"2547",53.6998317613082
"1012",52.9685296051662
"4508",52.0732541135521
"1282",51.9748132678144
"9805",50.4852230265738
"4288",50.3818972586966
"10618",48.5584491511603
"1294",48.0242671882118
"6187",47.3517937178537
"1490",46.920863960025
"4512",45.6719520946063
"4539",45.2152023201138
"10642",42.0937358796505
"293",41.8817848748204
"29128",41.7546745147934
"4535",41.6338013538962
"4519",41.5576867498241
"6130",41.4804728687641
"5054",41.3564755847339
"1284",41.345487603033
"164284",41.264689155997
"55714",41.0175892384349
"10410",40.802854333616
"23089",40.2404981941651
"79144",40.2190295073319
"6128",40.2018864167535
"10460",39.9926518327307
"894",39.1180309312818
"104",38.1736559952747
"4192",37.9751341179791
"1301",37.9464432184615
"1293",37.8453528829499
"3778",37.658346163758
"3371",37.4310823299596
"23353",37.4207401055488
"90861",37.331081652122
"2303",37.2318542403587
"162394",36.8388291285248
"221935",36.6475310535245
"1622",36.5812106268133
"60312",36.5805643506718
"81552",36.2258575867022
"8933",36.1624528625072
"2273",36.0791036495629
"4008",35.9958545509186
"285855",35.8801015043039
"23705",35.7195670523524
"4638",35.5829817790579
"4237",35.5526578479786
"4540",35.475872339879
"6727",35.4519049585906
"26147",35.2358101031012
"54908",35.1577643734534
"27122",34.8860627748296
"125058",34.5980483856127
"10602",34.4886996119297
"2321",34.4824839098348
"8795",34.3821518608706
"54919",34.0335954913177
"5018",34.0088940901051
"57493",33.9367450988147
"6228",33.9167475207931
"10762",33.7780290440413
"328",33.748555900384
"84247",33.7041536025538
"2150",33.6016013557447
"4869",33.4805959156256
"771",33.3883851232432
"2739",33.3659835779462
"6146",33.3404256912227
"11343",33.3300181188358
"114991",33.1899065322566
"3133",33.0876752799498
"7919",33.0121409345523
"1026",32.9298911236651
"57506",32.8837843000852
"7070",32.7640850197122
"8728",32.7504249413692
"7520",32.5440825198067
"5137",32.4736184869385
"966",32.4554142221266
"493",32.3855174309131
"955",32.2356022658417
"57574",32.2321473312671
"3189",32.1989830885857
"1292",32.1501209122796
"114794",32.0690171783058
"1676",31.901546779088
"80727",31.8510256989731
"6567",31.8463731070081
"140576",31.6128724513643
"302",31.6064666435488
"9265",31.5024779220558
"5591",31.4466158117628
"9590",31.3763214923602
"5270",31.3367940545037
"90411",31.3036657309059
"1153",31.240953935599
"8237",31.1874278319283
"23420",31.1695937100169
"2195",31.1462185675487
"10226",31.1217923943397
"64710",31.0834974546776
"7837",31.0621637313196
"7474",30.9533771362702
"100131755",30.9204894119793
"63901",30.8282653635723
"56265",30.8243832965865
"3921",30.7118445192238
"57136",30.4707369868009
"9883",30.4605743687385
"11130",30.3920890556736
"55744",30.3496722917545
"6241",30.3091797240702
"29997",30.229593213123
"9240",30.19752957489
"54443",30.1652431021038
"285761",30.0854033526574
"9787",30.0630988029402
"1854",30.0252606188986
"23645",29.954715346423
"2736",29.9539177549228
"7138",29.9452958046152
"9749",29.9116400579031
"25793",29.8808785224325
"55033",29.8480626337046
"3875",29.7810344872318
"2201",29.7778519393887
"6091",29.7615186199147
"146664",29.6645018910774
"119",29.6311905364657
"27102",29.6305171007777
"55147",29.4379727557639
"8793",29.4376273094516
"9697",29.3749360242011
"745",29.287292497699
"5116",29.1917230564605
"5872",29.1913096379323
"701",29.1825475558234
"80212",29.1654892151281
"22998",29.1210855881466
"3984",29.0419745162014
"1545",29.0233012946974
"79672",28.968701497882
"51665",28.9669460739758
"3486",28.9080897140162
"103",28.8451757826597
"79085",28.8129675490026
"55893",28.799161442081
"9351",28.7729816595084
"81792",28.7241997337332
"10652",28.7233231488386
"3151",28.7041768013766
"3897",28.6953017554607
"6159",28.6507956649743
"114801",28.543093592046
"84310",28.5243957321645
"3801",28.4593267947218
"10174",28.4010492254036
"6129",28.3809551660089
"7378",28.3727123016609
"9537",28.3671097549535
"1476",28.2271704070921
"51203",28.1998481104976
"5425",28.1659449381005
"3959",28.1230224348408
"7076",28.1151602249389
"10916",28.0887083498352
"100101267",28.0699037681259
"55859",28.0667705662953
"64770",28.0662193776289
"221927",28.029704435101
"26156",27.9420952011797
"51435",27.9288735986588
"1663",27.9069286795241
"4267",27.89232953206
"2010",27.8426325515837
"10147",27.8034400014908
"11222",27.7900993725333
"84823",27.7617834655205
"3609",27.7075997343056
"22974",27.573518301507
"5817",27.5538307127665
"214",27.5098123271965
"1075",27.5012440889195
"4059",27.4728608289993
"1956",27.447617402554
"5329",27.4425787088788
"11198",27.4221949532685
"8479",27.3983566748154
"114908",27.3614089493179
"6171",27.2944186766693
"441518",27.2784692629616
"84901",27.15681087857
"3624",27.1558011426806
"55536",27.1388511497237
"64065",27.1190982665378
"286223",27.0791155687408
"54863",27.0251776729861
"55351",26.989497541418
"79778",26.971723664788
"3219",26.960077078753
"64411",26.9524971732049
"5214",26.884540007213
"79649",26.864404631326
"3654",26.8526123942011
"201254",26.8008183550784
"344558",26.7945446908026
"55355",26.6935467784939
"1021",26.6925048170419
"3895",26.6472684219153
"29960",26.5980343912171
"4833",26.5886745983203
"143888",26.588665960841
"397",26.5863127592656
"54205",26.5779812412856
"9180",26.5003224570482
"6594",26.4818649809161
"374946",26.4421909475108
"23509",26.437939764888
"976",26.4221118268284
"3428",26.3863623068075
"344148",26.3602095029505
"1471",26.321552655944
"1643",26.3156302059592
"57522",26.3068319830418
"3454",26.3007611403032
"116832",26.2824040143025
"56917",26.2792356654714
"9469",26.2467182572202
"9656",26.2404173902769
"25894",26.2207154806939
"203286",26.1677055858969
"64110",26.1113801251833
"9019",26.1041562955149
"146909",26.0811961003882
"58986",26.0414251178789
"51495",26.026896881492
"79786",25.9766263155842
"55075",25.9589420052777
"5217",25.9088074782968
"54606",25.8907813728583
"9824",25.8418203602001
"51512",25.8104646595009
"55670",25.8079950088527
"80381",25.7983747989607
"6672",25.7973167074212
"53838",25.759855428866
"54753",25.7510187211836
"401474",25.7322205994502
"79017",25.6605973305656
"4017",25.6022988953658
"513",25.570887665409
"26278",25.560003693836
"1829",25.5580325798803
"51142",25.556254988855
"80023",25.4921542793583
"80700",25.4843082975338
"6282",25.4811092796088
"116372",25.473490570294
"1063",25.4511224463229
"55002",25.446013845354
"6879",25.4368374490349
"80003",25.4364528977872
"84733",25.4207526284835
"115908",25.3832918279754
"83700",25.3719450080486
"1635",25.3699097385412
"55568",25.3668066565043
"23076",25.347108123426
"53827",25.3157925489772
"51280",25.2833675372805
"9734",25.2497756625516
"23560",25.2274922332396
"10486",25.2062017490885
"221150",25.1855736723811
"9895",25.1756588410272
"55627",25.0876858116113
"23108",25.0845751684485
"10168",25.063900721844
"151011",25.0555352018695
"142",25.0525955540954
"6541",25.0317864245627
"8379",24.9988761606691
"4179",24.991045677252
"728661",24.9825299791306
"10079",24.9563804175449
"80152",24.9518413680683
"84798",24.9262528249053
"169611",24.9104813514811
"11083",24.9099786397497
"134265",24.9037468815402
"56731",24.8893045310054
"196",24.8778275551727
"8492",24.8478673549019
"64969",24.8428890514853
"131870",24.8378011450058
"55165",24.814163152125
"5010",24.7563042948873
"84284",24.7426663442722
"11135",24.7317382337179
"4698",24.7219877453206
"6133",24.7208930844831
"6050",24.7206697946873
"26011",24.6679246261252
"79623",24.6617151718222
"1291",24.6553139908131
"9263",24.6273941054145
"64220",24.6200832844822
"64399",24.5757001479476
"55038",24.5487878051037
"4907",24.5385624421366
"55101",24.5354516036627
"83987",24.5336410533384
"148137",24.5265774208186
"10036",24.52261983108
"51504",24.5169211633444
"339230",24.4831551929469
"51332",24.4720310631838
"5307",24.411369822068
"1514",24.3965590052632
"23336",24.3880339148068
"3833",24.3587684007469
"3315",24.3544914383891
"4710",24.3455438343614
"567",24.3377159522806
"100507436",24.3207879040826
"2987",24.3101754119088
"23677",24.2999570204332
"2034",24.2470841095098
"375790",24.246989626541
"6949",24.2365007497943
"3460",24.2079119268725
"84302",24.1839841663932
"10497",24.169784812233
"51300",24.1546018551035
"348235",24.1403050375811
"3945",24.136484883748
"23141",24.1352886880511
"9518",24.1110270398399
"54434",24.0966300449704
"10046",24.0903681113609
"79890",24.0709843163942
"26071",24.0519969504971
"1122",24.0482646599043
"84515",24.0311683335773
"7262",23.9947962937068
"55872",23.9825134371998
"54989",23.9744113054446
"6611",23.9712066969977
"113523636",23.9707837823443
"9858",23.9639540028675
"1288",23.9211215400917
"54749",23.914022511744
"57473",23.9015648795469
"1349",23.8620857767736
"37",23.8253539213775
"53834",23.8176362217076
"9907",23.8038235102715
"79875",23.7973698083131
"23270",23.7900801067308
"246243",23.7456043695383
"79901",23.7281896525949
"392617",23.7254032899572
"10615",23.7027989285832
"10687",23.6564146587915
"11245",23.6375131149028
"57693",23.609824998702
"55333",23.596491103364
"5836",23.5922571071421
"4605",23.5893263373613
"79701",23.586635958311
"4312",23.5865432750145
"56776",23.5838621382054
"55771",23.5817006395313
"159090",23.5644480471539
"55672",23.552528301022
"9491",23.5449954998345
"376267",23.5226583142749
"114884",23.5203408990642
"6294",23.5156163445374
"1002",23.5137644982015
"114049",23.5090022300959
"6218",23.4743885934905
"332",23.4700000530433
"1832",23.4632751101571
"221937",23.4221541994775
"3856",23.3875995456257
"586",23.3112593676173
"4537",23.3063674594335
"91607",23.2864710996154
"7818",23.2813442926424
"55746",23.279208074383
"9401",23.279098782545
"5965",23.1997215278089
"144455",23.1926783208063
"837",23.1646212237288
"3149",23.1535144017477
"23107",23.1475054969419
"3975",23.1013820451061
"6941",23.0841442493089
"23351",23.0494189593217
"6452",23.0354574278447
"1846",23.0143106849788
"8824",22.9866671694591
"5610",22.9614449586315
"50512",22.9442883569439
"57704",22.9337965963761
"58486",22.9143323404812
"1400",22.9127389242434
"2175",22.9088147609029
"6637",22.8609275389008
"81892",22.8473880270919
"8815",22.8445577002088
"26470",22.8414329671426
"133",22.809330299978
"54058",22.808652769745
"25927",22.7902800479343
"653784",22.764287685226
"118429",22.7390008482319
"2635",22.7360268837838
"147841",22.7350589293215
"285268",22.7158756968444
"57082",22.6916851352589
"79680",22.6860078244147
"55769",22.6859974212713
"10231",22.6834439993373
"79073",22.6761448477982
"7508",22.6614822383782
"54918",22.656275431092
"85395",22.6431478012535
"64098",22.6418072871691
"6422",22.6262029622729
"90480",22.6170541152968
"23043",22.6050746722188
"10024",22.5929291378907
"10617",22.5708570660581
"55173",22.5675223985847
"6666",22.5594889359303
"140688",22.5252805400875
"64427",22.5234448192485
"81831",22.518957293049
"8031",22.5145372725323
"64283",22.4700290599429
"9945",22.4569585080261
"6231",22.4496248319752
"22995",22.4472304947246
"9833",22.4434803531935
"539",22.4323788616789
"80336",22.3881300289607
"5442",22.366625284755
"84918",22.3630404985821
"9315",22.3621699366265
"7040",22.3574599036339
"92667",22.3424986391204
"23180",22.3413709592939
"6726",22.3059630141968
"7593",22.2826311831694
"54946",22.2784322335391
"6230",22.2754614405968
"9232",22.222178259934
"64857",22.2093391014581
"10783",22.1677695562943
"55041",22.1635878917972
"682",22.1507673695112
"259266",22.1314288108125
"79581",22.1285973569467
"83982",22.1043529882364
"55215",22.0763980693099
"55835",22.0763582376282
"10241",22.0759379522222
"26258",22.0594857780495
"6136",22.0324817324413
"4694",22.0320724059998
"114932",22.0261080539644
"8853",22.0258012772389
"85364",22.0011410066771
"83858",21.9671913420709
"359845",21.962812678322
"56978",21.9523609400512
"1806",21.9376230351663
"84959",21.8735463464121
"54751",21.855262755087
"2121",21.8546442385009
"3676",21.8473912994071
"51117",21.8419632167329
"1951",21.8352001027286
"3976",21.8030770076663
"23102",21.799484546512
"58499",21.7978262508704
"9900",21.7848718875585
"112495",21.7848297873272
"51283",21.7717184130134
"57226",21.7662271199594
"23361",21.7427263584838
"55028",21.7422617214274
"54811",21.7244094437077
"7275",21.7220670313256
"6899",21.7105377190479
"29123",21.6958908335963
"79016",21.6864068944517
"51287",21.6774684398883
"7388",21.6763629491645
"4502",21.6725500658572
"84262",21.6551422806385
"22873",21.6327737403391
"2802",21.6209673882538
"5879",21.6047495932601
"55806",21.6005785430772
"165918",21.5986573644338
"64780",21.592646364788
"140885",21.5895193335074
"81554",21.5575082916319
"3488",21.5471681284975
"57381",21.5432624175855
"3178",21.5359131286946
"79894",21.5273920100941
"321",21.5233532286049
"387914",21.5004020642779
"201292",21.4900571577959
"6224",21.4571093665213
"56896",21.4533072904762
"2990",21.4528590029443
"64759",21.4270038276809
"11227",21.4102633057431
"23231",21.4030593762402
"2887",21.3832914163592
"9270",21.3641337262125
"2290",21.3554000818015
