"sample","sample.WT_1","sample.WT_2","sample.WT_3","sample.pos.neg_1","sample.pos.neg_2","sample.pos.neg_3","sample.neg.neg_1","sample.neg.neg_2","sample.neg.neg_3"
"sample.WT_1",0,31.0506764466525,41.3389412299031,53.4018509972332,64.5057002933837,64.3718862659094,50.0808892816542,58.4514211340086,61.3833129721571
"sample.WT_2",31.0506764466525,0,27.8533518995701,53.4159068220574,58.0842809634654,56.6430314197511,54.5776517605179,54.875732800115,55.7593198174018
"sample.WT_3",41.3389412299031,27.8533518995701,0,57.1482802713153,55.0746256819982,52.1917424361965,60.3993034870043,53.6674917332715,56.4078905289556
"sample.pos.neg_1",53.4018509972332,53.4159068220574,57.1482802713153,0,37.8765516586674,37.3082286580715,36.4617753214232,38.815089255109,52.4794986162102
"sample.pos.neg_2",64.5057002933837,58.0842809634654,55.0746256819982,37.8765516586674,0,22.0325635985558,50.906379625578,35.7124709226611,48.1818221396103
"sample.pos.neg_3",64.3718862659094,56.6430314197511,52.1917424361965,37.3082286580715,22.0325635985558,0,50.9338171480517,32.4184784041053,47.6054333586044
"sample.neg.neg_1",50.0808892816542,54.5776517605179,60.3993034870043,36.4617753214232,50.906379625578,50.9338171480517,0,37.8508058701274,42.4948846086359
"sample.neg.neg_2",58.4514211340086,54.875732800115,53.6674917332715,38.815089255109,35.7124709226611,32.4184784041053,37.8508058701274,0,39.1486162261378
"sample.neg.neg_3",61.3833129721571,55.7593198174018,56.4078905289556,52.4794986162102,48.1818221396103,47.6054333586044,42.4948846086359,39.1486162261378,0
