"sample","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","sample_label","condition","experiment"
"sample.WT_1",-27.9095298813647,4.86439631735637,-5.51289361670401,6.33660658955834,6.29653136148886,0.697928176893336,2.60947784039047,0.182822089872242,3.57256891936698e-14,"WT 1","WT","CRISPR"
"sample.WT_2",-25.1622452783125,-2.58757251462681,1.1722136189512,-0.570218065228803,-2.2340329388971,-4.85407707749689,-5.73676391452975,0.538274838521773,4.9093826925681e-14,"WT 2","WT","CRISPR"
"sample.WT_3",-22.4719237402854,-11.197351842233,6.24829493683201,-5.95539656509287,-3.46000896677598,4.09092281943521,2.97529526670347,-0.834248538428922,3.9665577961355e-14,"WT 3","WT","CRISPR"
"sample.pos.neg_1",9.92685046013917,1.81502200055043,-17.9061585187623,-0.0289340628905778,-5.12746271684956,-3.14932537075737,2.96923499537498,-1.43850771883697,3.47305707039154e-14,"Het 1","Het","CRISPR"
"sample.pos.neg_2",18.1715634903694,-14.2025457504025,-0.529424418519205,5.81097314184807,0.594045144547476,3.44889717195465,-3.31449239107973,-2.69686947554359,3.57876945994427e-14,"Het 2","Het","CRISPR"
"sample.pos.neg_3",17.215191576726,-12.9691750643394,0.175336001236646,-0.226345391479406,1.5332365587769,-1.04096914687997,1.23934938756305,5.11286676330691,3.80717928866149e-14,"Het 3","Het","CRISPR"
"sample.neg.neg_1",6.32002551453032,18.4864600025404,-6.06199632854719,-3.48345457434244,-0.370639571485133,5.25675574367111,-3.04551342624671,1.59488910852611,3.43541061786064e-14,"KO 1","KO","CRISPR"
"sample.neg.neg_2",14.2943695503617,2.92509066711345,4.95395293139231,-6.97036230935336,6.66851040106723,-3.13121260351098,0.397029979238043,-2.40791371985761,4.55248426064865e-14,"KO 2","KO","CRISPR"
"sample.neg.neg_3",9.615698307836,12.8656761840411,17.4606753941205,5.08713123698103,-3.90017927187269,-1.31891971330907,1.90638226258618,-0.0513133475599446,3.73387102791206e-14,"KO 3","KO","CRISPR"
