experiment,contrast,tf,score,padj,n_targets
humanKD,KD_vs_Control,GFI1,-2.1181456925791,0.28705739974975586,44
humanKD,KD_vs_Control,RARB,2.124984008092132,0.28705739974975586,46
humanKD,KD_vs_Control,TFAP2A,2.11939398236348,0.28705739974975586,262
humanKD,KD_vs_Control,VENTX,2.1182382901337586,0.28705739974975586,5
humanKD,KD_vs_Control,GFI1B,-2.1114304139743916,0.2884739935398102,12
humanKD,KD_vs_Control,TFCP2,-2.091842634004221,0.2958524823188782,54
humanKD,KD_vs_Control,ZBED1,2.0924935303327006,0.2958524823188782,20
humanKD,KD_vs_Control,ELF5,-2.066998060753688,0.29614824056625366,8
humanKD,KD_vs_Control,ING4,2.070810939910851,0.29614824056625366,15
humanKD,KD_vs_Control,KAT2B,2.0766109424755608,0.29614824056625366,14
humanKD,KD_vs_Control,LHX2,2.084526359313411,0.29614824056625366,24
humanKD,KD_vs_Control,RARA,2.0644249906495307,0.29614824056625366,151
humanKD,KD_vs_Control,SSRP1,2.077970001135451,0.29614824056625366,109
humanKD,KD_vs_Control,MSX1,-2.0541308801084295,0.2973094582557678,21
humanKD,KD_vs_Control,VSX2,2.0549227720810994,0.2973094582557678,27
humanKD,KD_vs_Control,HOXB3,2.044766213248274,0.300979346036911,6
humanKD,KD_vs_Control,FOXP2,2.0385279041191433,0.3024202287197113,8
humanKD,KD_vs_Control,FOXO6,-2.0189853051781532,0.3055076003074646,5
humanKD,KD_vs_Control,NUPR1,2.0240570633263992,0.3055076003074646,6
humanKD,KD_vs_Control,OLIG1,2.0176063858958115,0.3055076003074646,6
humanKD,KD_vs_Control,TBP,2.019298004716528,0.3055076003074646,139
humanKD,KD_vs_Control,RUNX3,2.0081327143910497,0.30751651525497437,59
humanKD,KD_vs_Control,SMARCA5,2.0036733138533656,0.30751651525497437,13
humanKD,KD_vs_Control,SOX6,2.002683981644573,0.30751651525497437,18
humanKD,KD_vs_Control,AIP,1.9895640130721517,0.31129658222198486,5
humanKD,KD_vs_Control,TBX1,-1.9922203356187802,0.31129658222198486,10
humanKD,KD_vs_Control,ATF3,1.9725072686706924,0.3203405737876892,91
humanKD,KD_vs_Control,EGR2,1.962971376068591,0.3203405737876892,61
humanKD,KD_vs_Control,MBD1,1.9617747125878053,0.3203405737876892,14
humanKD,KD_vs_Control,ZMYND8,-1.9645635892665125,0.3203405737876892,8
humanKD,KD_vs_Control,EGR4,1.9555009015646179,0.3221679627895355,13
