"model","database","pathway_id","pathway_name","NES","padj","leading_edge","within_species_key","cross_species_key","signed_log10padj","significant"
"mouse_het","Hallmark","HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION","HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION",-1.71992724948419,0.0048695452462971,"12931;16009;13612;30794;16010;18858;12843;17181;18596;13601;68588;21859;107581;14451;13132;12842;13732;12834;20649;20720;16948;14268;12552;12814;16852;12835;12831;12825;20564;70350;20692;12111;14119;20315;21857;22004;22418;16949;13003;17313;18542;18129;20750;21817;50706;24051;65112;22003;53867;19736;21803;67305;14118;22341;14314;12816;16398;235106;14733;20563;16476;21810;71665;12827;218952;107528;74488;76477;16971;18113;12836;21923;20254;83554","HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION","HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION",-2.31251159448257,TRUE
"mouse_het","Hallmark","HALLMARK_HYPOXIA","HALLMARK_HYPOXIA",1.43560687293378,0.0346539161626126,"11535;15937;16795;14219;16007;231507;50527;11717;21983;20970;19252;21985;18654;18484;20855;11910;18655;11639;14538;12457;228026;12368;57444;170750;14284;17133;384783;17859;17684;70186;23849;16193;15275;14066;18030;93692;18712;60406;20439;52331;13527;15277;16572;20525;12043;18793;13636;11674;54683;19664;21753;236900;170768;21991;21929;74185;74155;13358;18787;16828","HALLMARK_HYPOXIA","HALLMARK_HYPOXIA",1.46024767961756,TRUE
"mouse_het","Hallmark","HALLMARK_MITOTIC_SPINDLE","HALLMARK_MITOTIC_SPINDLE",-1.41796945396353,0.0346539161626126,"53860;104027;109934;192786;224014;328580;18015;18003;108686;71704;269713;78757;20742;71602;12009;104445;17886;105988;216846;208628;223435;21973;77579;108903;56699;16897;56427;18472;83767;238130;18129;68041;71774;237860;18541;242687;67052;214444;192662;19687;56376;11799;22627;17118;26934;217232;16328;104318;18080;101706;94190;12125;13822;70799;18764;108907","HALLMARK_MITOTIC_SPINDLE","HALLMARK_MITOTIC_SPINDLE",-1.46024767961756,TRUE
"mouse_het","Hallmark","HALLMARK_MYOGENESIS","HALLMARK_MYOGENESIS",-1.51500591704143,0.0346539161626126,"16009;19223;18104;14681;29857;18128;226251;225115;11568;13808;12842;12834;16651;17967;13845;15982;14387;12835;18642;12825;17886;20692;11790;19245;22084;77559;22004;140570;78286;20190;14248;17260;15184;29817;16985;14245;192897;21803;20893;20698;18693;76954","HALLMARK_MYOGENESIS","HALLMARK_MYOGENESIS",-1.46024767961756,TRUE
"mouse_het","Hallmark","HALLMARK_TNFA_SIGNALING_VIA_NFKB","HALLMARK_TNFA_SIGNALING_VIA_NFKB",1.48034421156919,0.0346539161626126,"19225;54720;14063;18792;15937;14825;18578;16007;12156;15958;21815;12228;16323;19252;14282;56722;13614;229055;19267;240672;11910;104681;59027;20229;14284;17133;14595;18227;384783;19697;23849;16193;14066;56706;18030;18033;18124;12053;12633;18793;56708;13636","HALLMARK_TNFA_SIGNALING_VIA_NFKB","HALLMARK_TNFA_SIGNALING_VIA_NFKB",1.46024767961756,TRUE
"mouse_het","Hallmark","HALLMARK_XENOBIOTIC_METABOLISM","HALLMARK_XENOBIOTIC_METABOLISM",-1.50650931477912,0.038594014779207,"18104;16010;26874;11529;11669;13110;110351;16480;109672;110213;71093;14528;246277;59083;18107;11429;50997;18984;228608;66397;233016;51793;22021;69071;11761;12359;110172;22436;14854;223455;68021;12349;74134;66082;66841;11430;56376;14629;18618;11655;29858;29811;64898","HALLMARK_XENOBIOTIC_METABOLISM","HALLMARK_XENOBIOTIC_METABOLISM",-1.4134800411808,TRUE
"mouse_het","Hallmark","HALLMARK_WNT_BETA_CATENIN_SIGNALING","HALLMARK_WNT_BETA_CATENIN_SIGNALING",-1.72615294712746,0.0414980986918141,"18128;13543;16842;12006;21414;14534;14362;103806;22059;20602;15184;12387","HALLMARK_WNT_BETA_CATENIN_SIGNALING","HALLMARK_WNT_BETA_CATENIN_SIGNALING",-1.3819718007956,TRUE
"mouse_het","Hallmark","HALLMARK_IL2_STAT5_SIGNALING","HALLMARK_IL2_STAT5_SIGNALING",1.26019394701867,0.132765422816375,"13340;12156;18263;14873;212531;20719;100604;229521;13813;65960;80914;18550;17760;20947;19122;94185;17133;11746;12447;23849;18030;18712;17164;14190;66616;16206;15277;80859;12043;29809;16004;23959;12444;18671;12505;20514;17829","HALLMARK_IL2_STAT5_SIGNALING","HALLMARK_IL2_STAT5_SIGNALING",0.876915017101561,FALSE
"mouse_het","Hallmark","HALLMARK_INFLAMMATORY_RESPONSE","HALLMARK_INFLAMMATORY_RESPONSE",1.30792294744372,0.132765422816375,"14726;74442;14367;12475;11535;52118;18578;16174;73379;16323;21983;13614;54216;19267;11308;59027;12267;19697;23849;16193;14066;18033;13874","HALLMARK_INFLAMMATORY_RESPONSE","HALLMARK_INFLAMMATORY_RESPONSE",0.876915017101561,FALSE
"mouse_het","Hallmark","HALLMARK_KRAS_SIGNALING_DN","HALLMARK_KRAS_SIGNALING_DN",-1.43415317195077,0.132765422816375,"19125;20363;104027;54371;56358;21415;227541;16506;20393;14570;19271;381022;20190;16858;16848","HALLMARK_KRAS_SIGNALING_DN","HALLMARK_KRAS_SIGNALING_DN",-0.876915017101561,FALSE
"mouse_het","Hallmark","HALLMARK_MTORC1_SIGNALING","HALLMARK_MTORC1_SIGNALING",1.25552344116989,0.132765422816375,"27360;110391;28146;50527;17113;14782;68278;56772;14718;20855;18655;11639;228026;64136;59027;19141;20867;67890;12527;107272;112407;18030;93692;20539;14190;26432;15277;66105;19167;73166;20525;107869;66427;11674;83671;56637;20514;21753;21991;67204;76267;74185;12317;15452;22027;665563;16828;14884;21399;12301;56088;17872","HALLMARK_MTORC1_SIGNALING","HALLMARK_MTORC1_SIGNALING",0.876915017101561,FALSE
"mouse_het","Hallmark","HALLMARK_PROTEIN_SECRETION","HALLMARK_PROTEIN_SECRETION",1.40649883537394,0.132765422816375,"12725;17113;20619;21985;14420;18484;107767;20655;26413;11765;20479;15893;208449;11773;20844;108664;53330;11777;16004;107338;74006;110651;16784;76332;77929;271457;11487;22088;53331","HALLMARK_PROTEIN_SECRETION","HALLMARK_PROTEIN_SECRETION",0.876915017101561,FALSE
"mouse_het","Hallmark","HALLMARK_UV_RESPONSE_DN","HALLMARK_UV_RESPONSE_DN",-1.32597570364479,0.132765422816375,"216616;19274;18858;12843;19663;18596;18750;15901;67916;13132;12842;57810;11541;12814;99633;218038;12825;57265;15529;50768;328365;20975;20181;15117;20238","HALLMARK_UV_RESPONSE_DN","HALLMARK_UV_RESPONSE_DN",-0.876915017101561,FALSE
"mouse_het","Hallmark","HALLMARK_UV_RESPONSE_UP","HALLMARK_UV_RESPONSE_UP",1.28319502880782,0.137676381383394,"12660;14825;12156;12228;14282;66849;13728;11910;14590;217869;18550;245841;20867;110920;14411;53319;20429;12447;216150;16193;99681;66144;56177;13559;66427;81489;11674;14660;17713;18671;12566;17387;71844;26905;15587","HALLMARK_UV_RESPONSE_UP","HALLMARK_UV_RESPONSE_UP",0.861140557307724,FALSE
"mouse_het","Hallmark","HALLMARK_BILE_ACID_METABOLISM","HALLMARK_BILE_ACID_METABOLISM",-1.37554537114757,0.14687338501292,"217262;26874;13123;19659;27404;76184;18642;17117;20181;72129;11303;20238;63959;12359;11666;14149","HALLMARK_BILE_ACID_METABOLISM","HALLMARK_BILE_ACID_METABOLISM",-0.833056895763479,FALSE
"mouse_het","Hallmark","HALLMARK_E2F_TARGETS","HALLMARK_E2F_TARGETS",-1.26364893688657,0.201311188811189,"66570;68275;103733;12189;14375;21853;72107;18972;19183;12419;70472;20877;105988;53892;54141;19360;70218;21973;22059;17121;20425;13433;106795;21877;69263;15374;12704;67629;114714;12578;19357;20382;19718;15366;19687;68479;11799;17215;21379;26934;18102;17350;19355;17279","HALLMARK_E2F_TARGETS","HALLMARK_E2F_TARGETS",-0.696132086492774,FALSE
"mouse_het","Hallmark","HALLMARK_SPERMATOGENESIS","HALLMARK_SPERMATOGENESIS",1.30664062835174,0.209203036053131,"20744;18415;15925;17349;72350;13000;21888;22335;20394;93759;231600;17354;14056;56088","HALLMARK_SPERMATOGENESIS","HALLMARK_SPERMATOGENESIS",0.67943201707267,FALSE
"mouse_het","Hallmark","HALLMARK_COMPLEMENT","HALLMARK_COMPLEMENT",1.19483345129638,0.343607921707637,"12554;18675;18783;19053;11747;18706;19671;240672;20779;381511;19141;170750;17133;14571;14360;11502;16193;14066;18712;69181;105445;18793;72843;16452;16784;16563;13660;17387;17386;21929;19822;17096;18787;16912;14696;110157;14479;320207;74112;56420","HALLMARK_COMPLEMENT","HALLMARK_COMPLEMENT",0.463936832284754,FALSE
"mouse_het","Hallmark","HALLMARK_FATTY_ACID_METABOLISM","HALLMARK_FATTY_ACID_METABOLISM",-1.20407215069563,0.343607921707637,"11529;13808;52538;11370;17449;16852;52683;11564;11429;12894;14104;67460;17025;70335;68021;12349;14645;66841;11430;170789;98314;114664;12896;12040;110460;18194;13177;11671;56451;73724;67442;20520;208715;109857;109778;15488;227095;66945","HALLMARK_FATTY_ACID_METABOLISM","HALLMARK_FATTY_ACID_METABOLISM",-0.463936832284754,FALSE
"mouse_het","Hallmark","HALLMARK_COAGULATION","HALLMARK_COAGULATION",1.19642084332685,0.366724237190558,"18792;19128;17384;21824;21825;18550;19141;11843;17133;12527;14360;11502;14066;17392","HALLMARK_COAGULATION","HALLMARK_COAGULATION",0.435660386111749,FALSE
"mouse_het","Hallmark","HALLMARK_HEDGEHOG_SIGNALING","HALLMARK_HEDGEHOG_SIGNALING",-1.29363666554638,0.366724237190558,"22253;18015;17886;14632;319504;12569","HALLMARK_HEDGEHOG_SIGNALING","HALLMARK_HEDGEHOG_SIGNALING",-0.435660386111749,FALSE
"mouse_het","Hallmark","HALLMARK_ESTROGEN_RESPONSE_LATE","HALLMARK_ESTROGEN_RESPONSE_LATE",1.1271768705761,0.367316341829086,"18415;27360;16592;16795;67117;12876;12228;16782;21983;21987;56350;226101;57444;12527;20873;56460;69724;20439;20539;20501;106572;18166;23802;12043;56177;13731;16452","HALLMARK_ESTROGEN_RESPONSE_LATE","HALLMARK_ESTROGEN_RESPONSE_LATE",0.434959749552016,FALSE
"mouse_het","Hallmark","HALLMARK_KRAS_SIGNALING_UP","HALLMARK_KRAS_SIGNALING_UP",1.12087064156563,0.367316341829086,"101772;19225;14063;18792;12156;67778;12876;73379;16323;50527;17384;67468;78937;12267;24064;93692;13874;93695;228662;19653;18793;240832;29809;20394;230734;12444;14009;18671;14020;66795","HALLMARK_KRAS_SIGNALING_UP","HALLMARK_KRAS_SIGNALING_UP",0.434959749552016,FALSE
"mouse_het","Hallmark","HALLMARK_APICAL_SURFACE","HALLMARK_APICAL_SURFACE",-1.22446573935516,0.367918088737201,"20312;14451;12189;226250;237847;72043;15507;74762;14462;14252;230872","HALLMARK_APICAL_SURFACE","HALLMARK_APICAL_SURFACE",-0.43424885950339,FALSE
"mouse_het","Hallmark","HALLMARK_ESTROGEN_RESPONSE_EARLY","HALLMARK_ESTROGEN_RESPONSE_EARLY",-1.15347232991354,0.367918088737201,"16010;11988;226251;13655;225115;21847;23989;19401;76025;76453;16600;14104;73710;50768;20315;99543;16529;20602;71946;233016;20972;78286;21817;67689;13521;15205;14281;55963;14137;75007;207596;171531;18432;20893;22057;212862;22433;97998;76459;268480;17300;22248;20520;22393;14229;225845;13360;20347;11640","HALLMARK_ESTROGEN_RESPONSE_EARLY","HALLMARK_ESTROGEN_RESPONSE_EARLY",-0.43424885950339,FALSE
"mouse_het","Hallmark","HALLMARK_APOPTOSIS","HALLMARK_APOPTOSIS",-1.14754476947608,0.376923076923077,"18596;18412;16842;13655;16362;21859;18003;19401;14528;11732;12494;12189;16012;21858;223453;12111;21973;21857;14863;15507;12257;14958;15979","HALLMARK_APOPTOSIS","HALLMARK_APOPTOSIS",-0.423747272278323,FALSE
"mouse_het","Hallmark","HALLMARK_APICAL_JUNCTION","HALLMARK_APICAL_JUNCTION",-1.12658700782145,0.392105974587726,"23880;108100;19261;20312;13649;16480;18015;107581;103733;17395;12552;17886;11790;83964;77579;11548;13003;21827;244864;102657;68481;22029;99151;69192;192897;11465;19094;216856;14118;68188;11490;13822;16398;231070;20410;20563;18643;18190;21810;16511;68794;14431;15898;192156;14083","HALLMARK_APICAL_JUNCTION","HALLMARK_APICAL_JUNCTION",-0.406596540227942,FALSE
