"ensembl_gene_id","sample.WT_1","sample.WT_2","sample.WT_3","sample.pos.neg_1","sample.pos.neg_2","sample.pos.neg_3"
"ENSMUSG00000000001",6253.57013838378,6078.83836542722,7131.94549142107,6553.95010342771,6960.56247112577,7301.79366512403
"ENSMUSG00000000028",1007.00811088976,1271.54630889395,908.255124610127,1031.02404085635,1318.17934538254,1081.84060864728
"ENSMUSG00000000031",48.110766418127,50.6139473077203,133.404291514273,169.307458577769,94.0766115512308,103.392692201722
"ENSMUSG00000000037",2.48848791817898,0,1.38242789133961,50.2084187506488,36.5238609551837,27.7395027858278
"ENSMUSG00000000056",767.283774771853,821.185471625257,513.571961632667,542.951505094225,521.295106360349,340.439352371523
"ENSMUSG00000000058",1995.76731037954,1678.52376275603,1901.52956453764,2252.37301790701,1955.68673660029,2074.15827648576
"ENSMUSG00000000078",3960.84326976821,3608.05138665034,4356.03028561112,5657.20439178822,4884.23631500684,5507.55218947708
"ENSMUSG00000000085",867.652787471739,961.664998846685,973.920449448758,1013.50947617589,1230.74343582316,1148.66759263132
"ENSMUSG00000000088",1400.18920196204,1696.08370365871,1652.00133015084,1514.42602603701,1557.2446170892,1698.41410238682
"ENSMUSG00000000127",919.911033753497,1061.85995576197,1168.84278212764,1200.33149943412,907.56260555305,1149.92847912159
"ENSMUSG00000000131",2265.3535015156,2418.10715606884,2881.67093949743,2881.72970875817,3065.79075290482,3258.1306908445
"ENSMUSG00000000134",1464.06039186197,1286.00743669616,1364.4563287522,1487.57036019364,1481.98332784821,1460.10655572675
"ENSMUSG00000000142",126.912883827128,135.31483872064,119.580012600877,30.3585787794621,40.9509956164181,29.0003892760927
"ENSMUSG00000000148",583.135668826608,686.903570604775,639.372899744572,584.986460327327,598.769962931951,591.355763934237
"ENSMUSG00000000149",2218.90172704293,2505.90686058223,2420.63123773566,1970.97234537431,1885.95936568585,2061.54941158311
"ENSMUSG00000000167",26.5438711272425,35.1198818053569,31.7958415008111,43.2025928784652,33.2035099592579,29.0003892760927
"ENSMUSG00000000168",1895.39829767966,1943.98875169652,2304.50729486314,1761.96520685416,2039.80229516375,2151.07235239192
