"database","pathway_key","pathway_id_human_KD","pathway_id_mouse_KD","pathway_name_human_KD","pathway_name_mouse_KD","NES_human_KD","NES_mouse_KD","padj_human_KD","padj_mouse_KD","signed_log10padj_human_KD","signed_log10padj_mouse_KD","significant_human_KD","significant_mouse_KD","leading_edge_human_KD","leading_edge_mouse_KD","pathway_name","delta_NES_human_minus_mouse","abs_delta_NES_human_minus_mouse","direction_pattern"
"GO_BP","GO:0035825","GO:0035825","GO:0035825","homologous recombination","homologous recombination",1.83776123436752,-0.630746822870583,0.010871286199028,0.991981647630537,1.96371907080833,-0.00349636252980886,TRUE,FALSE,"29128/64710/201254/5889/197342/57820/285498/9319/63979/2177/672/10635/84464/4683/4439/4361/83990/146956/79703/5892/5932/11073/317761/580/79173/9985/7153/126549/29893/80198","74666/71711/20892/52864/235559/213389/12189","homologous recombination",2.4685080572381,2.4685080572381,"opposite direction"
"GO_BP","GO:0070972","GO:0070972","GO:0070972","protein localization to endoplasmic reticulum","protein localization to endoplasmic reticulum",-0.816603399550251,1.65152691565742,0.847788343978968,0.158960051157117,-0.0717125587284183,0.798712006131948,FALSE,FALSE,"3638/120892","66725/243853/14609/338320/89867/11651/12033/68585/77006/30960/109676","protein localization to endoplasmic reticulum",-2.46813031520767,2.46813031520767,"opposite direction"
"GO_BP","GO:0043502","GO:0043502","GO:0043502","regulation of muscle adaptation","regulation of muscle adaptation",-1.54812562597846,0.919646519279001,0.104443498158259,0.81069474387656,-0.981118590646619,0.0911426427133342,FALSE,FALSE,"9150/4205/9464/8013/9868/84676/4000/818/9472/5025/114907/5058/4089/2931/408/89/817/9314/2308/54206/9759/10539/10273/5530/1605","74155/14381/11739/16600/18438/21937/23988/110196/74777/19735/14886/28185/208727/108058/108655/78688/67731/227753/56717/14083/114674/11474/11548/74116/22402/11534/14380/56637/19230/21676","regulation of muscle adaptation",-2.46777214525746,2.46777214525746,"opposite direction"
"GO_BP","GO:0006998","GO:0006998","GO:0006998","nuclear envelope organization","nuclear envelope organization",1.33120182946026,-1.13593054609008,0.317424030574198,0.583992334889747,0.4983601980893,-0.233592853122074,FALSE,FALSE,"84823/2010/23141/8815/10783/23306/51652/5578/27183/80346/79188/221496/4001/165324/124491/137886/26092/26993/1104/7443/92421/5119","30931/16906/71678/217379/68953/50850/66817/72549/66371/68942/83431/16905/74122/77053/16907/68968/12534/319565/22390/380664/13400","nuclear envelope organization",2.46713237555034,2.46713237555034,"opposite direction"
"GO_BP","GO:0009310","GO:0009310","GO:0009310","amine catabolic process","amine catabolic process",-1.21929818070213,1.24767495683914,0.484742283490281,0.535524007862993,-0.314489095636084,0.271221054713164,FALSE,FALSE,"196743/54498/4128","192166/228608","amine catabolic process",-2.46697313754127,2.46697313754127,"opposite direction"
"GO_BP","GO:0042551","GO:0042551","GO:0042551","neuron maturation","neuron maturation",-1.50023124228037,0.966542828535313,0.215174213877035,0.759683118302202,-0.667209775021948,0.119367524391635,FALSE,FALSE,"712/6376/3745/51412/6900/23787/26047/84530/2046/163175/9463/27289/65009/57731/718/120892","12266/66725/23859/14682/19645/11820/227377/11735/67161/56717","neuron maturation",-2.46677407081568,2.46677407081568,"opposite direction"
"GO_BP","GO:0071402","GO:0071402","GO:0071402","cellular response to lipoprotein particle stimulus","cellular response to lipoprotein particle stimulus",1.30535128801731,-1.16109173380666,0.342218822134571,0.55262004951756,0.465696107815427,-0.25757336256666,FALSE,FALSE,"1012/7040/4615/4023/5468/3949/148022/7099","20296/58994/218203/20788/18145/20778/12514/192663/11816","cellular response to lipoprotein particle stimulus",2.46644302182397,2.46644302182397,"opposite direction"
"GO_BP","GO:0042574","GO:0042574","GO:0042574","retinal metabolic process","retinal metabolic process",1.34127167760254,-1.12512477990264,0.373790321736199,0.640344717741797,0.427371947662853,-0.193586168657826,FALSE,FALSE,"1545/339761/220/51109/10901/112724/317749/8644","98711/237320/108841/17252","retinal metabolic process",2.46639645750518,2.46639645750518,"opposite direction"
"GO_BP","GO:0001818","GO:0001818","GO:0001818","negative regulation of cytokine production","negative regulation of cytokine production",-1.03479342217492,1.43150970421891,0.60787456445993,0.0742236006891365,-0.216186028594182,1.1294579812525,FALSE,FALSE,"201633/90355/5971/7805/6614/490/55829/4792/1649/3596/706/2950/2302/10524/5443/1991/27020/26191/9444/10457/8452/6301/57045/3623/301/3162/5885/8841/5495/408/5802/55914/6774/9314/307/5777/3134/3718/4790/9978/84861/54206/225/7043/3717/56957/9173/79004/3625/9252/947","16859/15944/246730/54396/20128/74155/69550/327959/229900/16145/217410/23960/246727/17082/11815/64685/15234/16600/12490/16453/80861/434215/54616/12257/26362/20312/217365/14870/15216/24088/21937/14268/24058/23961/16952/79221","negative regulation of cytokine production",-2.46630312639383,2.46630312639383,"opposite direction"
"GO_BP","GO:0016051","GO:0016051","GO:0016051","carbohydrate biosynthetic process","carbohydrate biosynthetic process",-1.53443199163076,0.931188156750286,0.0358627956082305,0.832736447119445,-1.44535585894827,0.0794924267714429,TRUE,FALSE,"8706/7360/5207/30815/8473/4191/5571/6484/51363/2821/53632/150094/2931/178/6483/6934/8402/2648/4790/2308/5236/50515/2033/1213/5230/2026/5091/5499/230/1642/2027","74551/108682/67800/68401/14873/14381/110208/14936/14751/230784/67863/11651/20443/13194/108155/217664/20444/67389/18113/77590/50721/14043/72157","carbohydrate biosynthetic process",-2.46562014838105,2.46562014838105,"opposite direction"
