"database","pathway_key","pathway_id_human_KD","pathway_id_mouse_KD","pathway_name_human_KD","pathway_name_mouse_KD","NES_human_KD","NES_mouse_KD","padj_human_KD","padj_mouse_KD","signed_log10padj_human_KD","signed_log10padj_mouse_KD","significant_human_KD","significant_mouse_KD","leading_edge_human_KD","leading_edge_mouse_KD","pathway_name","delta_NES_human_minus_mouse","abs_delta_NES_human_minus_mouse","direction_pattern"
"Hallmark","HALLMARK_FATTY_ACID_METABOLISM","HALLMARK_FATTY_ACID_METABOLISM","HALLMARK_FATTY_ACID_METABOLISM","HALLMARK_FATTY_ACID_METABOLISM","HALLMARK_FATTY_ACID_METABOLISM",-1.47201405198564,1.56938660587797,0.0212737709620819,0.0126495017569778,-1.67215552077588,1.89792658029501,TRUE,TRUE,"2027;2052;4128;33;2026;35;5160;223;3157;4199;3417;3956;2110;7358;50814;5910;6281;50;218;51;8639","20917;12353;11529;14194;18263;51798;19186;19270;11409;14874;12167;67460;70335;76238;12972;11674;16828;15926;15108;231086;18194;14104;113868;11792;171210;93747;11370;17436;21743;56791;23986;15929;17025;433256;52538;66357;18597;13808;68021;22276;19286","HALLMARK_FATTY_ACID_METABOLISM",-3.04140065786361,3.04140065786361,"opposite direction"
"Hallmark","HALLMARK_HYPOXIA","HALLMARK_HYPOXIA","HALLMARK_HYPOXIA","HALLMARK_HYPOXIA","HALLMARK_HYPOXIA",-1.55652391005813,1.45464124163309,0.00372415027321296,0.0147953071998375,-2.42897280311754,1.82987601301033,TRUE,TRUE,"6275;2027;694;230;3516;4601;2026;8459;5230;5165;7511;10397;272;1356;5236;9215;7043;1942;54206;3098;23210;538;2584;2548;26355;2817;3073;54800;9957;10370;55818;123;8839;1466;5033;2821;10957;596;3162;56925;4627;1843;3623;3669;7360;5313;6576","12870;18641;74155;12111;228026;14635;50527;11535;74747;18451;13358;231507;19664;18030;54371;20525;14936;16009;20856;70186;14751;11520;22359;12778;76238;15529;57875;56174;11639;11674;21753;18793;20439;16828;16948;20855;21983;18484;78889;17035;21810;17988;54683;14733;20198;72157","HALLMARK_HYPOXIA",-3.01116515169122,3.01116515169122,"opposite direction"
"Hallmark","HALLMARK_ADIPOGENESIS","HALLMARK_ADIPOGENESIS","HALLMARK_ADIPOGENESIS","HALLMARK_ADIPOGENESIS","HALLMARK_ADIPOGENESIS",-1.39652007181965,1.5278952450166,0.0212737709620819,0.0076254311173443,-1.67215552077588,2.11773559767418,TRUE,TRUE,"217;5168;718;2167;33;35;284;47;4199;3417;29103;5236;112;9131;376497;10140;6776;4836;50;51;79071;8491;8436;58472;6342;123;10113;6888;5495;2109;26353;4191;483;23187;5447;23788;10162;1351;6576;7905;10989;7423;1537;4958;1384;6390;9908;3419;5195;1147;2879;1738;5860;57678;25813;26994;6647;27069;54996;25979;1737;4189;3991;1376;1468;10313","18641;16775;66375;12266;12826;13358;20514;109019;51798;11520;11409;68653;74610;20509;67914;67460;67171;70335;22628;57875;11674;104112;29864;15926;11836;107589;12476;13171;93747;23943;17436;16922;235339;15929;108958;66588;72157;69956;108954;12039;52538;19376;18569;230027;18618;66205;21351;22273;625249;56428;67680;70316;15107;11600","HALLMARK_ADIPOGENESIS",-2.92441531683625,2.92441531683625,"opposite direction"
"Hallmark","HALLMARK_ANGIOGENESIS","HALLMARK_ANGIOGENESIS","HALLMARK_ANGIOGENESIS","HALLMARK_ANGIOGENESIS","HALLMARK_ANGIOGENESIS",-1.04659403357975,1.86009998786036,0.465753424657534,0.00404860215988134,-0.331843943078201,2.39269489753564,FALSE,TRUE,"6275;6696;5747","20750;14314;13003;18186;21857;12832;12825;21824;20855;12444;20198;11820;22339;50706;22325;14083","HALLMARK_ANGIOGENESIS",-2.90669402144011,2.90669402144011,"opposite direction"
"Hallmark","HALLMARK_MTORC1_SIGNALING","HALLMARK_MTORC1_SIGNALING","HALLMARK_MTORC1_SIGNALING","HALLMARK_MTORC1_SIGNALING","HALLMARK_MTORC1_SIGNALING",-1.29321205819269,1.50336284895196,0.0948617336976256,0.00736296415291671,-1.02290894242469,2.13294731390987,FALSE,TRUE,"7277;3638;5230;6713;3157;2181;928;47;4199;3417;5236;5052;900;4836;5701;10987;79071;7108;9695;23753;10061;7184;8878;4048;3156;5033;2821;3336;23760;488;441024;5718;3475;10096;3145;26227;516;10989;3992;5684;5685;5719;27071;3308;2107;10213;2717;29110;31;8615;2965;27230;1649;5861;7436;2729;4802;8553;5704;2058;5860","107869;26570;18641;20539;100678;228026;17768;20135;50527;74747;14381;18451;22375;20514;108037;18030;14782;20525;76267;14751;22359;15452;56772;12035;236539;27053;107272;11639;11674;104112;107508;21753;16828;11951;15926;20855;107476;59029;56473;21399;17436;12466;268373;67895;72157;50493;12227;19192;15525;14629","HALLMARK_MTORC1_SIGNALING",-2.79657490714465,2.79657490714465,"opposite direction"
"Hallmark","HALLMARK_BILE_ACID_METABOLISM","HALLMARK_BILE_ACID_METABOLISM","HALLMARK_BILE_ACID_METABOLISM","HALLMARK_BILE_ACID_METABOLISM","HALLMARK_BILE_ACID_METABOLISM",-1.48698934007274,1.292693593922,0.0350747663597587,0.166121112929624,-1.45500521321494,0.779575167993321,TRUE,FALSE,"4734;223;3417;20;8630;225;196743;21;2730;80270;6342;4864;51703;866;3992;5947;5825;23461;6258;10350;64137;9420;3418;5191;5213;6647;64241;3991;215;189;8435;366;9971;50640;9415;3932;9963","74114;17999;76267;67452;217262;18634;63959;14712;15926;19298;56473;29815;16922;54683;269951;433256;17117;11835;11666;13123;14630;13371;73836;16818;11303;27410;19299;111175","HALLMARK_BILE_ACID_METABOLISM",-2.77968293399474,2.77968293399474,"opposite direction"
"Hallmark","HALLMARK_COAGULATION","HALLMARK_COAGULATION","HALLMARK_COAGULATION","HALLMARK_COAGULATION","HALLMARK_COAGULATION",-0.927904558182077,1.78836399434852,0.635578818571137,0.00185984408626538,-0.196830584609648,2.7305234618642,FALSE,TRUE,"718;716;928;22933;4319;715;2934;4318;4313;10411;4035;4048;4323;2783;4320;301;2534;5550;3249;10404;4314;5627","20692;12266;50908;14118;19072;21859;17385;21857;17387;17384;54381;229445;21824;67603;13038;14268;22388;17392;16952;56213;16971;14701;13039;14693;18791","HALLMARK_COAGULATION",-2.7162685525306,2.7162685525306,"opposite direction"
"Hallmark","HALLMARK_PEROXISOME","HALLMARK_PEROXISOME","HALLMARK_PEROXISOME","HALLMARK_PEROXISOME","HALLMARK_PEROXISOME",-1.51840901298928,1.1471222143006,0.021874558257366,0.309328968903437,-1.66006070851481,0.50957940606931,TRUE,FALSE,"291;223;3416;3417;225;5052;51;26986;51024;80270;10478;5243;6342;5830;51703;866;7533;3992;3265;10057;1384;9525;5825;5195;30;6258;706;1487;3418;2224;6647;774;6599;6833;215;9249;9961;1503;2182","11739;51798;76267;13016;12257;13870;18458;12903;14712;15926;113868;110196;23986;76524;54683;269951;433256;15461;12572;11666;78388;20524;15925;73836;18477;50790;20588;18671;19299","HALLMARK_PEROXISOME",-2.66553122728988,2.66553122728988,"opposite direction"
"Hallmark","HALLMARK_MITOTIC_SPINDLE","HALLMARK_MITOTIC_SPINDLE","HALLMARK_MITOTIC_SPINDLE","HALLMARK_MITOTIC_SPINDLE","HALLMARK_MITOTIC_SPINDLE",1.12285118731214,-1.52396841733684,0.310677755472708,0.00371055711340158,0.507689841116765,-2.43056087930367,FALSE,TRUE,"9787;54443;5116;51203;22974;64411;1063;11135;332;64857;55835;699;9411;26271;121512;51199;7074;57580;357;55755;89941;116840;22994;3835;5829;8470;6790;3832;6904;7272;6624;9493;4001;55201;4650;9055;85378;80119;85464;3619;3831;9735;10128;4296;10801;11190;4983;7840;23580;29901;55722;9181;1062;56992;11064;24137;9771;6780;50628;9700;55125","20878;233406;74018;108000;16319;18005;218977;14086;11789;11799;72119;240641;22627;211673;19303;381921;12534;108907;68097;110033;229841;13605;16551;110279;70394;12235;75786;105988;208084;286940;232944;26403;16573;544817;72776;22350;64930;16571;12125;16561;71602;110380;74360;226407;22330;83767;68724;75547;16569;26934;71704;54126;16593;269587;171207;18015;223435;21844;71819;56430","HALLMARK_MITOTIC_SPINDLE",2.64681960464898,2.64681960464898,"opposite direction"
"Hallmark","HALLMARK_CHOLESTEROL_HOMEOSTASIS","HALLMARK_CHOLESTEROL_HOMEOSTASIS","HALLMARK_CHOLESTEROL_HOMEOSTASIS","HALLMARK_CHOLESTEROL_HOMEOSTASIS","HALLMARK_CHOLESTEROL_HOMEOSTASIS",-1.33871907661966,1.28486858237807,0.115696059350367,0.176356589147287,-0.936681433023496,0.753608309306117,FALSE,FALSE,"230;1499;5165;6713;3157;928;55902;5833;20;50814;54206;22809;4598;6721;7108;6311;1119;3156;10957;6811;308;3958;132864;39","74155;11658;18030;51798;18793;12660;18194;14104;56473;110196;27279;17855;68312;50762;110006;69071;236900;14137;63913;11465;56389;71914;12759;108767","HALLMARK_CHOLESTEROL_HOMEOSTASIS",-2.62358765899773,2.62358765899773,"opposite direction"
