"database","pathway_key","pathway_id_human_KD","pathway_id_mouse_KD","pathway_name_human_KD","pathway_name_mouse_KD","NES_human_KD","NES_mouse_KD","padj_human_KD","padj_mouse_KD","signed_log10padj_human_KD","signed_log10padj_mouse_KD","significant_human_KD","significant_mouse_KD","pathway_name","delta_NES_human_minus_mouse","abs_delta_NES_human_minus_mouse","direction_pattern"
"Reactome","Meiotic synapsis","R-HSA-1221632",NA,"Meiotic synapsis",NA,1.17360817012075,NA,0.375314826793653,NA,0.425604278466011,NA,FALSE,NA,"Meiotic synapsis",NA,NA,"mixed or incomplete"
"Reactome","Metabolic disorders of biological oxidation enzymes","R-HSA-5579029",NA,"Metabolic disorders of biological oxidation enzymes",NA,-0.750831331390093,NA,0.943023197175996,NA,-0.0254776240371987,NA,FALSE,NA,"Metabolic disorders of biological oxidation enzymes",NA,NA,"mixed or incomplete"
"Reactome","Metabolism of nitric oxide: NOS3 activation and regulation","R-HSA-202131",NA,"Metabolism of nitric oxide: NOS3 activation and regulation",NA,0.687067281190011,NA,0.940486070644464,NA,0.0266476323167327,NA,FALSE,NA,"Metabolism of nitric oxide: NOS3 activation and regulation",NA,NA,"mixed or incomplete"
"Reactome","MicroRNA (miRNA) biogenesis","R-HSA-203927",NA,"MicroRNA (miRNA) biogenesis",NA,-1.09202913580487,NA,0.51929055400558,NA,-0.284589577232719,NA,FALSE,NA,"MicroRNA (miRNA) biogenesis",NA,NA,"mixed or incomplete"
"Reactome","Miscellaneous substrates",NA,"R-MMU-211958",NA,"Miscellaneous substrates",NA,0.61200553141283,NA,1,NA,0,NA,FALSE,"Miscellaneous substrates",NA,NA,"mixed or incomplete"
"Reactome","Mitochondrial protein import","R-HSA-1268020",NA,"Mitochondrial protein import",NA,0.759438089894023,NA,0.945397815912637,NA,0.024385405352531,NA,FALSE,NA,"Mitochondrial protein import",NA,NA,"mixed or incomplete"
"Reactome","Mitochondrial tRNA aminoacylation","R-HSA-379726",NA,"Mitochondrial tRNA aminoacylation",NA,1.3874117139688,NA,0.189171788118232,NA,0.723143631032234,NA,FALSE,NA,"Mitochondrial tRNA aminoacylation",NA,NA,"mixed or incomplete"
"Reactome","Mitochondrial translation initiation","R-HSA-5368286",NA,"Mitochondrial translation initiation",NA,2.0286930418033,NA,2.5128020267419e-05,NA,4.59984172632204,NA,TRUE,NA,"Mitochondrial translation initiation",NA,NA,"mixed or incomplete"
"Reactome","Mitochondrial unfolded protein response (UPRmt)","R-HSA-9841251",NA,"Mitochondrial unfolded protein response (UPRmt)",NA,-1.38485757090826,NA,0.207659903381643,NA,-0.682647352387282,NA,FALSE,NA,"Mitochondrial unfolded protein response (UPRmt)",NA,NA,"mixed or incomplete"
"Reactome","Modulation of host responses by IFN-stimulated genes","R-HSA-9909505",NA,"Modulation of host responses by IFN-stimulated genes",NA,0.941504085605825,NA,0.728985124548895,NA,0.13728133367413,NA,FALSE,NA,"Modulation of host responses by IFN-stimulated genes",NA,NA,"mixed or incomplete"
