"experiment","contrast","collection","pathway","NES","ES","pval","padj","size","leadingEdge_count","leadingEdge_symbols","leadingEdge_entrez"
"mouseKD","KD_vs_Control","Hallmark","HALLMARK_ANGIOGENESIS",1.88607134821022,0.625531968627617,0.00150310035937564,0.00818354640104516,24,16,"Spp1;Fstl1;Vcan;Nrp1;Timp1;Col5a2;Col3a1;Thbd;Stc1;Ccnd2;S100a4;App;Vegfa;Postn;Vav2;Ptk2","20750;14314;13003;18186;21857;12832;12825;21824;20855;12444;20198;11820;22339;50706;22325;14083"
"mouseKD","KD_vs_Control","Hallmark","HALLMARK_MTORC1_SIGNALING",1.51624766372501,0.342534775505544,0.00187929686717458,0.00837141331741403,195,50,"Cth;Slc7a11;Pfkl;Slc7a5;Psph;Pdk1;Mthfd2;Rrm2;Ero1a;Ddit4;G6pdx;P4ha1;Wars1;Slc1a5;Shmt2;Nfil3;Gsr;Slc2a1;Fads1;Gpi1;Vldlr;Hprt1;Mllt11;Bcat1;Phgdh;Asns;Psat1;Ak4;Aldoa;Acly;Tes;Eprs1;Ldha;Atp5mc1;Idh1;Stc1;Acaca;Psmd14;Fads2;Tcea1;Me1;Cct6a;Ppia;Ppa1;Pgm1;Txnrd1;Btg2;Psme3;Hspa4;Gclc","107869;26570;18641;20539;100678;228026;17768;20135;50527;74747;14381;18451;22375;20514;108037;18030;14782;20525;76267;14751;22359;15452;56772;12035;236539;27053;107272;11639;11674;104112;21753;107508;16828;11951;15926;20855;107476;59029;56473;21399;17436;12466;268373;67895;72157;50493;12227;19192;15525;14629"
"mouseKD","KD_vs_Control","Hallmark","HALLMARK_UNFOLDED_PROTEIN_RESPONSE",1.63325286629346,0.398396609888119,0.00178007986671377,0.00837141331741403,109,38,"Slc7a5;Aldh18a1;Mthfd2;Ero1a;Ddit4;Chac1;Yif1a;Nabp1;Arfgap1;Stc2;Eif4ebp1;Dkc1;Tars1;H2ax;Exosc5;Wfs1;Eef2;Npm1;Eif4a1;Asns;Psat1;Srpra;Sec31a;Nhp2;Wipi1;Skic3;Xpot;Fus;Ywhaz;Nop56;Shc1;Rrp9;Eif4g1;Cebpg;Vegfa;Iars1;Slc1a4;Atf4","20539;56454;17768;50527;74747;69065;68090;109019;228998;20856;13685;245474;110960;15270;27998;22393;13629;18148;13681;27053;107272;67398;69162;52530;52639;218343;73192;233908;22631;67134;20416;27966;208643;12611;22339;105148;55963;11911"
"mouseKD","KD_vs_Control","Hallmark","HALLMARK_FATTY_ACID_METABOLISM",1.5959150693927,0.381874200265974,0.00220513734199765,0.00900431081315706,127,41,"Suclg2;Car6;Adh7;Fh1;Odc1;Ech1;Psme1;Ptprg;Acads;Gstz1;Bmpr1b;Decr1;Reep6;Grhpr;Cryz;Aldoa;Ldha;Idh1;Hsd17b10;Hadhb;Nsdhl;Fasn;Acaa1a;Apex1;Echs1;Acot2;Acadvl;Me1;Inmt;Ube2l6;Eci2;Idh3g;Alad;Acsl5;Acaa2;Ostc;Pdha1;Eno3;Bphl;Uros;Pts","20917;12353;11529;14194;18263;51798;19186;19270;11409;14874;12167;67460;70335;76238;12972;11674;16828;15926;15108;231086;18194;14104;113868;11792;93747;171210;11370;17436;21743;56791;23986;15929;17025;433256;52538;66357;18597;13808;68021;22276;19286"
"mouseKD","KD_vs_Control","Hallmark","HALLMARK_XENOBIOTIC_METABOLISM",1.57196210145003,0.369394387793412,0.0024371685581842,0.00918625071930966,140,44,"Dhrs7;Xdh;Igfbp4;Gsto1;Acp2;Adh7;Il1r1;Pgd;Psmb10;Slc1a5;Shmt2;Gsr;Crot;Ech1;Hprt1;Atoh8;Dhrs1;Entpd5;Pink1;Bcat1;Tnfrsf1a;Fetub;Lonp1;Id2;Tkfc;Idh1;Smox;Csad;Adh5;Mccc2;Tpst1;Gclc;Mthfd1;Upp1;Pemt;Bphl;Pts;Gss;Ninj1;Pros1;Tmem97;Nqo1;Pdlim5;Gcnt2","66375;22436;16010;14873;11432;11529;16177;110208;19171;20514;108037;14782;74114;51798;15452;71093;52585;12499;68943;12035;21937;59083;74142;15902;225913;15926;228608;246277;11532;78038;22021;14629;108156;22271;18618;68021;19286;14854;18081;19128;69071;18104;56376;14538"
"mouseKD","KD_vs_Control","Hallmark","HALLMARK_INFLAMMATORY_RESPONSE",1.58150069495489,0.379183509897582,0.0027950195889416,0.0097825685612956,125,30,"Irf7;Rtp4;Bst2;Osmr;Ereg;Adm;Ly6e;P2ry2;Il1r1;Sri;Timp1;Nmi;Mmp14;Chst2;P2rx4;Tlr3;Axl;Cx3cl1;Eif2ak2;Tlr2;Il18rap;Slc7a1;Plaur;Csf1;Tpbg;Pde4b;Calcrl;Emp3;Btg2;Ifitm1","54123;67775;69550;18414;13874;11535;17069;18442;16177;109552;21857;64685;17387;54371;18438;142980;26362;20312;19106;24088;16174;11987;18793;12977;21983;18578;54598;13732;12227;68713"
"mouseKD","KD_vs_Control","Hallmark","HALLMARK_PROTEIN_SECRETION",-1.62890400602641,-0.390709553384748,0.00308876106644108,0.0100899528170409,90,28,"Igf2r;Scrn1;Gla;Golga4;Cltc;Galc;Lamp2;Clta;Scamp1;Scamp3;Ykt6;Arfgef1;Napg;Atp7a;Rab5a;Ap1g1;Gbf1;Tpd52;Rab9;Stx7;Ppt1;Sec22b;Cav2;Kif1b;Tmx1;Vps45;Atp6v1h;Copb1","16004;69938;11605;54214;67300;14420;16784;12757;107767;24045;56418;211673;108123;11977;271457;11765;107338;21985;56382;53331;19063;20333;12390;16561;72736;22365;108664;70349"
"mouseKD","KD_vs_Control","Hallmark","HALLMARK_ADIPOGENESIS",1.55510220313644,0.352748039234351,0.00357418344854146,0.0103020581752077,181,54,"Pfkl;Lama4;Dhrs7;C3;Col4a1;Slc25a1;Slc1a5;Nabp1;Ech1;Plin2;Acads;Samm50;Abcb8;Slc19a1;Decr1;Coq9;Dram2;Reep6;Ywhag;Angptl4;Aldoa;Acly;Idh1;Rnf11;Araf;Mylk;Cd151;Dbt;Echs1;Esyt1;Phyh;Me1;Dlat;Idh3g;Miga2;Cmpk1;Pgm1;Ptcd3;Ppp1r15b;Bckdha;Acaa2;Rab34;Pdcd4;Coq3;Pemt;Cd302;Taldo1;Uqcrc1;Gpx4;Mtch2;Sdhb;Ndufab1;Angpt1;Hadh","18641;16775;66375;12266;12826;13358;20514;109019;51798;11520;11409;68653;74610;20509;67460;67914;67171;70335;22628;57875;11674;104112;15926;29864;11836;107589;12476;13171;93747;23943;16922;17436;235339;15929;108958;66588;72157;69956;108954;12039;52538;19376;18569;230027;18618;66205;21351;22273;625249;56428;67680;70316;11600;15107"
"mouseKD","KD_vs_Control","Hallmark","HALLMARK_KRAS_SIGNALING_UP",1.5729297835617,0.373836432826109,0.00339097398224875,0.0103020581752077,132,32,"Slpi;Prkg2;Spp1;Vwa5a;Ank;Ereg;Ero1a;Trib2;Apod;Prrx1;Mmp11;Nrp1;Klf4;Mmp10;Adgra2;Igfbp3;Zfp639;Crot;Btbd3;Emp1;Ptgs2;Psmb8;Angptl4;Dusp6;Plaur;Il1rl2;Id2;Mtmr10;Hdac9;Ccnd2;Nin;Etv5","20568;19092;20750;67776;11732;13874;50527;217410;11815;18933;17385;18186;16600;17384;78560;16009;67778;74114;228662;13730;19225;16913;57875;67603;18793;107527;15902;233315;79221;12444;18080;104156"
"mouseKD","KD_vs_Control","Hallmark","HALLMARK_SPERMATOGENESIS",-1.60118878276724,-0.399636851709682,0.00422748642404305,0.0115081574876728,75,21,"Hspa4l;Aurka;Nek2;Mast2;Phkg2;Tekt2;Cdk1;Topbp1;Bub1;Acrbp;Chrm4;Cnih2;Ncaph;Ezh2;Stam2;Pcsk4;Prkar2a;Camk4;Tssk2;Arl4a;Zc2hc1c","18415;20878;18005;17776;68961;24084;12534;235559;12235;54137;12672;12794;215387;14056;56324;18551;19087;12326;22115;11861;72350"
"mouseKD","KD_vs_Control","Hallmark","HALLMARK_ALLOGRAFT_REJECTION",1.52175623210621,0.373725554450844,0.00667868904031234,0.017223987525016,106,24,"Irf7;Cd47;Ereg;Thy1;Wars1;Psmb10;Timp1;Il11;Stat1;Tlr3;Npm1;Rps3a1;Akt1;Flna;Bcat1;Tlr2;Dars1;Il18rap;Eif4g3;Csf1;Capg;Hdac9;Tap1;Ccnd2","54123;16423;13874;21838;22375;19171;21857;16156;20846;142980;18148;20091;11651;192176;12035;24088;226414;16174;230861;12977;12332;79221;21354;12444"
"mouseKD","KD_vs_Control","Hallmark","HALLMARK_HYPOXIA",1.47579275786817,0.337333374160989,0.00764386855207328,0.0187274779525795,174,46,"Cp;Pfkl;Errfi1;Bgn;Pdk1;Galk1;Adm;Ero1a;Ddit4;P4ha1;Slc25a1;Plac8;Rbpj;Nfil3;Chst2;Igfbp3;Gys1;Slc2a1;Stc2;Fam162a;Gpi1;Plin2;Vldlr;Ackr3;Grhpr;Angptl4;Sdc2;Nagk;Ak4;Aldoa;Tes;Plaur;Siah2;Ldha;Lox;Stc1;Tpbg;Pam;Wsb1;Lxn;Tgfbi;Ndrg1;Prdx5;Gpc1;S100a4;Pgm1","12870;18641;74155;12111;228026;14635;11535;50527;74747;18451;13358;231507;19664;18030;54371;16009;14936;20525;20856;70186;14751;11520;22359;12778;76238;57875;15529;56174;11639;11674;21753;18793;20439;16828;16948;20855;21983;18484;78889;17035;21810;17988;54683;14733;20198;72157"
"mouseKD","KD_vs_Control","Hallmark","HALLMARK_COMPLEMENT",1.45831092015259,0.346595097911323,0.0130416339683433,0.0304304792594677,132,43,"Irf7;Cp;C3;C1s1;Pla2g7;Prep;Timp1;Mmp14;Cblb;Dock4;Sh2b3;Col4a2;Casp4;Cpq;Ctso;Dusp6;Fn1;Plaur;Cdh13;Pfn1;Lrp1;Me1;Sirt6;Dusp5;Ctsl;Gnb2;Stx4a;Plat;Mmp13;Brpf3;Timp2;Psen1;Casp7;Src;Pik3ca;Ppp4c;Pla2g4a;Dgkh;Kif2a;Cebpb;Lap3;Psmb9;Lck","54123;12870;12266;50908;27226;19072;21857;17387;208650;238130;16923;12827;12363;54381;229445;67603;14268;18793;12554;18643;16971;17436;50721;240672;13039;14693;20909;18791;17386;268936;21858;19164;12369;20779;18706;56420;18783;380921;16563;12608;66988;16912;16818"
"mouseKD","KD_vs_Control","Hallmark","HALLMARK_E2F_TARGETS",-1.28531224369927,-0.273793471530234,0.0165403333410475,0.036839833350515,199,37,"Mcm3;Aurka;Bub1b;Depdc1a;Mcm4;Cdca8;Kif18b;Dlgap5;Pan2;Ung;Brca1;Birc5;Gins3;Rpa2;Pds5b;Wee1;Pola2;Cdk1;Kif22;Cenpe;Mki67;Pms2;Ak2;Ppm1d;Spag5;Ccp110;Espl1;Nasp;Wdr90;Cks2;Atad2;Dnmt1;Ube2t;Kif4;Ezh2;Pold3;Cit","17215;20878;12236;76131;17217;52276;70218;218977;103135;22256;12189;11799;78833;19891;100710;22390;18969;12534;110033;229841;17345;18861;11637;53892;54141;101565;105988;50927;106618;66197;70472;13433;67196;16571;14056;67967;12704"
