"collection","pathway","pval","padj","ES","NES","size","leadingEdge_count","leadingEdge_entrez","leadingEdge_symbols"
"Reactome","REACTOME_ASPARAGINE_N_LINKED_GLYCOSYLATION",0.128939828080229,0.467252405713944,0.259731020724769,1.16405976685231,230,68,"53618;14799;22142;338320;53418;54342;228998;67951;11733;66248;59042;22143;235661;66111;13478;89867;24060;17158;227613;20443;56174;102580;69162;381903;54160;76983;217664;76510;50797;20444;22146;22152;54128;69654;59007;242362;20442;236082;57357;238123;97484;77038;16834;234663;320438;110379;105522;23802;22122;54161;208211;68137;56494;59005;69080;66682;13191;50907;66913;66174;331026;56389;69608;20448;11839;140481;12793;17308","Fut8;Gria1;Tuba1a;Mia2;B4galt2;Gnpnat1;Arfgap1;Tubb6;Ank1;Alg5;Cope;Tuba1b;Dync1li1;Tmed3;Dpagt1;Sec16b;Slc35a1;Man2a1;Tubb4b;St3gal4;Nagk;Alg9;Sec31a;Alg8;Copg2;Scfd1;Mgat2;Trappc9;Copb2;St3gal2;Tuba1c;Tubb3;Pmm2;Dctn2;Ngly1;Manea;St3gal1;Dhrsx;Srd5a3;Cog5;Cog8;Arfgap2;Cog1;Dync1li2;Alg6;Sec13;Ankrd28;Amfr;Gfus;Copg1;Alg1;Kdelr1;Gosr2;Trappc2l;Gmppa;Trappc5;Dctn1;Preb;Kdelr2;Nudt14;Gmppb;Stx5a;Sec24d;St6galnac4;Areg;Man2a2;Cnih1;Mgat1"
"Reactome","REACTOME_L1CAM_INTERACTIONS",0.130505709624796,0.467252405713944,0.343244275067664,1.26609846287179,60,14,"14432;26396;22142;18186;67951;11733;22143;227613;13429;22146;22152;17698;26395;11461","Gap43;Map2k2;Tuba1a;Nrp1;Tubb6;Ank1;Tuba1b;Tubb4b;Dnm1;Tuba1c;Tubb3;Msn;Map2k1;Actb"
"Reactome","REACTOME_PEPTIDE_HORMONE_METABOLISM",0.130536130536131,0.467252405713944,-0.405907343548553,-1.31136023103731,27,7,"70495;13033;66286;64138;67475;56529;66624","Atp6ap2;Ctsd;Sec11c;Ctsz;Ero1b;Sec11a;Spcs2"
"Reactome","REACTOME_RAC1_GTPASE_CYCLE",0.130057803468208,0.467252405713944,-0.247592094234942,-1.14475005553233,152,42,"74018;330177;18710;213522;231532;56418;75415;19349;84004;13605;110279;105445;57257;216963;71893;102098;239027;18479;544817;404710;12389;230098;13836;17207;214804;232237;108100;83767;66898;26934;214230;54126;216831;171207;17969;223435;233103;70497;20401;109333;14270;223666","Als2;Taok3;Pik3r3;Plekhg6;Arhgap24;Ykt6;Arhgap12;Rab7;Mcam;Ect2;Bcr;Dock9;Vav3;Git1;Noxo1;Arhgef18;Arhgap22;Pak1;Arhgap27;Iqgap3;Cav1;Arhgef39;Epha2;Mcf2l;Syde2;Fgd5;Baiap2;Wasf1;Baiap2l1;Racgap1;Pak6;Arhgef7;Arhgap44;Arhgap4;Ncf1;Trio;Garre1;Arhgap17;Sh3bp1;Pkn2;Srgap2;Arhgap39"
"Reactome","REACTOME_SIGNAL_AMPLIFICATION",0.129370629370629,0.467252405713944,0.442979559870695,1.3246069875168,24,12,"14682;14701;14693;14708;20779;18783;14672;14688;14696;14706;14674;14702","Gnaq;Gng12;Gnb2;Gng7;Src;Pla2g4a;Gna11;Gnb1;Gnb4;Gng4;Gna13;Gng2"
"Reactome","REACTOME_PROCESSING_OF_DNA_DOUBLE_STRAND_BREAK_ENDS",0.131926121372032,0.469818534273868,-0.294369773612685,-1.21136805989529,73,18,"12144;59004;12189;12428;19891;269582;235559;22196;22190;12566;21975;240087;20184;93765;19367;68275;72440;22186","Blm;Pias4;Brca1;Ccna2;Rpa2;Clspn;Topbp1;Ube2i;Ubc;Cdk2;Top3a;Mdc1;Uimc1;Ube2n;Rad9a;Rpa1;Rhno1;Uba52"
"Reactome","REACTOME_COPI_INDEPENDENT_GOLGI_TO_ER_RETROGRADE_TRAFFIC",0.139028475711893,0.478984388402814,0.371367885619471,1.25858109856989,39,11,"22142;67951;22143;235661;227613;18476;22146;22152;69654;18472;234663","Tuba1a;Tubb6;Tuba1b;Dync1li1;Tubb4b;Pafah1b3;Tuba1c;Tubb3;Dctn2;Pafah1b1;Dync1li2"
"Reactome","REACTOME_EPHRIN_SIGNALING",0.138321995464853,0.478984388402814,-0.466227847047068,-1.33822418031742,16,6,"13643;13641;13845;13642;216963;18479","Efnb3;Efnb1;Ephb3;Efnb2;Git1;Pak1"
"Reactome","REACTOME_ESTROGEN_DEPENDENT_GENE_EXPRESSION",0.139303482587065,0.478984388402814,-0.318610800963178,-1.24542894468462,59,8,"67710;12455;17977;20683;231329;15519;19014;98053","Polr2g;Ccnt1;Ncoa1;Sp1;Polr2b;Hsp90aa1;Med1;Gtf2f1"
"Reactome","REACTOME_PYRUVATE_METABOLISM",0.136963696369637,0.478984388402814,0.367869065775257,1.2524098917802,40,14,"228026;319518;14874;76425;16828;17436;235339;18597;22333;107029;109801;18004;74125;236900","Pdk1;Pdpr;Gstz1;Gid8;Ldha;Me1;Dlat;Pdha1;Vdac1;Me2;Glo1;Nek1;Armc8;Pdk3"
"Reactome","REACTOME_SUMOYLATION_OF_SUMOYLATION_PROTEINS",0.13768115942029,0.478984388402814,-0.372145807049893,-1.24704896689755,32,7,"18141;59004;22218;22196;227720;69482;107939","Nup50;Pias4;Sumo1;Ube2i;Nup214;Nup35;Pom121"
"Reactome","REACTOME_THE_ROLE_OF_GTSE1_IN_G2_M_PROGRESSION_AFTER_G2_CHECKPOINT",0.136666666666667,0.478984388402814,0.343413769037987,1.24650422573433,56,10,"22142;22059;67951;26444;22143;12442;227613;59029;22146;22152","Tuba1a;Trp53;Tubb6;Psma7;Tuba1b;Ccnb2;Tubb4b;Psmd14;Tuba1c;Tubb3"
"Reactome","REACTOME_TRANS_GOLGI_NETWORK_VESICLE_BUDDING",0.137404580152672,0.478984388402814,-0.306673921986254,-1.22019427208602,64,13,"16004;22134;67300;20661;12757;74325;64138;11765;107338;21985;18704;67602;170760","Igf2r;Tgoln1;Cltc;Sort1;Clta;Cltb;Ctsz;Ap1g1;Gbf1;Tpd52;Pik3c2a;Necap1;Acbd3"
