"sample","sample.shrubr5_3_2002","sample.shrubr5_2_2002","sample.shrubr5_1_2002","sample.jh_2_002_3","sample.jh_2_002_2","sample.jh_2_002_1"
"sample.shrubr5_3_2002",0,30.678970432984,54.1845715854495,337.17041483998,334.704398752701,333.127410754177
"sample.shrubr5_2_2002",30.678970432984,0,51.6991800296673,336.093751663093,333.686356231826,332.130270211764
"sample.shrubr5_1_2002",54.1845715854495,51.6991800296673,0,338.650533788307,336.345696115719,334.724105005499
"sample.jh_2_002_3",337.17041483998,336.093751663093,338.650533788307,0,48.5419003507136,44.742749643975
"sample.jh_2_002_2",334.704398752701,333.686356231826,336.345696115719,48.5419003507136,0,46.0174329209683
"sample.jh_2_002_1",333.127410754177,332.130270211764,334.724105005499,44.742749643975,46.0174329209683,0
