"sample","PC1","PC2","PC3","PC4","PC5","PC6","sample_label","condition","experiment"
"sample.shrubr5_3_2002",-114.99528092009,6.61717174621601,0.568550722837782,0.265982199415364,-4.94181153910961,6.25342581205887e-14,"KD 3 2002","KD","humanKD"
"sample.shrubr5_2_2002",-114.493600686449,5.37687401966,0.168905955284331,-0.467723687115273,5.30749032870736,3.97521347105852e-14,"KD 2 2002","KD","humanKD"
"sample.shrubr5_1_2002",-116.046014052831,-11.9354054628376,-0.680678030088682,0.142015569771477,-0.354454559162336,5.84316370999035e-14,"KD 1 2002","KD","humanKD"
"sample.jh_2_002_3",116.622666643422,-0.941556747993618,7.27367448319708,-4.15216085667753,-0.0953143783608221,-1.81752831859457e-15,"Control 3","Control","humanKD"
"sample.jh_2_002_2",114.865001323724,0.755278266056393,-7.98280610643434,-3.18213864592893,-0.267553110395225,-1.05578171643292e-14,"Control 2","Control","humanKD"
"sample.jh_2_002_1",114.047227692224,0.127638178898848,0.652352975203837,7.3940254205349,0.351643258320626,3.0461078687735e-14,"Control 1","Control","humanKD"
