"gene_set","sample","ssgsea_score","sample_label","condition","experiment"
"HALLMARK_BILE_ACID_METABOLISM","sample.jh_2_002_1",0.215338909441703,"Control 1","Control","humanKD"
"HALLMARK_CHOLESTEROL_HOMEOSTASIS","sample.shrubr5_3_2002",0.519192851541609,"KD 3 2002","KD","humanKD"
"HALLMARK_CHOLESTEROL_HOMEOSTASIS","sample.shrubr5_2_2002",0.51733553693608,"KD 2 2002","KD","humanKD"
"HALLMARK_CHOLESTEROL_HOMEOSTASIS","sample.shrubr5_1_2002",0.51241178253956,"KD 1 2002","KD","humanKD"
"HALLMARK_CHOLESTEROL_HOMEOSTASIS","sample.jh_2_002_3",0.50348877615111,"Control 3","Control","humanKD"
"HALLMARK_CHOLESTEROL_HOMEOSTASIS","sample.jh_2_002_2",0.508521288965351,"Control 2","Control","humanKD"
"HALLMARK_CHOLESTEROL_HOMEOSTASIS","sample.jh_2_002_1",0.510943588581748,"Control 1","Control","humanKD"
"HALLMARK_COAGULATION","sample.shrubr5_3_2002",0.25380438578152,"KD 3 2002","KD","humanKD"
"HALLMARK_COAGULATION","sample.shrubr5_2_2002",0.253599154069769,"KD 2 2002","KD","humanKD"
"HALLMARK_COAGULATION","sample.shrubr5_1_2002",0.244831470703937,"KD 1 2002","KD","humanKD"
"HALLMARK_COAGULATION","sample.jh_2_002_3",0.233823852018517,"Control 3","Control","humanKD"
"HALLMARK_COAGULATION","sample.jh_2_002_2",0.248753748857152,"Control 2","Control","humanKD"
"HALLMARK_COAGULATION","sample.jh_2_002_1",0.232300134468804,"Control 1","Control","humanKD"
"HALLMARK_COMPLEMENT","sample.shrubr5_3_2002",0.263107670394491,"KD 3 2002","KD","humanKD"
"HALLMARK_COMPLEMENT","sample.shrubr5_2_2002",0.262602199572128,"KD 2 2002","KD","humanKD"
"HALLMARK_COMPLEMENT","sample.shrubr5_1_2002",0.269547414782188,"KD 1 2002","KD","humanKD"
"HALLMARK_COMPLEMENT","sample.jh_2_002_3",0.255106711256347,"Control 3","Control","humanKD"
"HALLMARK_COMPLEMENT","sample.jh_2_002_2",0.260996804787321,"Control 2","Control","humanKD"
"HALLMARK_COMPLEMENT","sample.jh_2_002_1",0.250410792881893,"Control 1","Control","humanKD"
"HALLMARK_DNA_REPAIR","sample.shrubr5_3_2002",0.496395296489008,"KD 3 2002","KD","humanKD"
"HALLMARK_DNA_REPAIR","sample.shrubr5_2_2002",0.49913029272324,"KD 2 2002","KD","humanKD"
"HALLMARK_DNA_REPAIR","sample.shrubr5_1_2002",0.492540773113676,"KD 1 2002","KD","humanKD"
"HALLMARK_DNA_REPAIR","sample.jh_2_002_3",0.407784009412141,"Control 3","Control","humanKD"
"HALLMARK_DNA_REPAIR","sample.jh_2_002_2",0.406507551379069,"Control 2","Control","humanKD"
"HALLMARK_DNA_REPAIR","sample.jh_2_002_1",0.399571580488045,"Control 1","Control","humanKD"
"HALLMARK_E2F_TARGETS","sample.shrubr5_3_2002",0.713994450163975,"KD 3 2002","KD","humanKD"
"HALLMARK_E2F_TARGETS","sample.shrubr5_2_2002",0.715388291282755,"KD 2 2002","KD","humanKD"
"HALLMARK_E2F_TARGETS","sample.shrubr5_1_2002",0.703649391132052,"KD 1 2002","KD","humanKD"
"HALLMARK_E2F_TARGETS","sample.jh_2_002_3",0.536151168321092,"Control 3","Control","humanKD"
"HALLMARK_E2F_TARGETS","sample.jh_2_002_2",0.520241803245376,"Control 2","Control","humanKD"
"HALLMARK_E2F_TARGETS","sample.jh_2_002_1",0.5245286702338,"Control 1","Control","humanKD"
"HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION","sample.shrubr5_3_2002",0.666576922952755,"KD 3 2002","KD","humanKD"
"HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION","sample.shrubr5_2_2002",0.662992830221356,"KD 2 2002","KD","humanKD"
"HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION","sample.shrubr5_1_2002",0.62433776955947,"KD 1 2002","KD","humanKD"
"HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION","sample.jh_2_002_3",0.508120738722152,"Control 3","Control","humanKD"
"HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION","sample.jh_2_002_2",0.515608790580409,"Control 2","Control","humanKD"
