"experiment","condition","gene_symbol","ensembl_gene_id","reference_condition","mean_normalized_count","sd_normalized_count","mean_ratio_to_reference","mean_percent_of_reference","sd_percent_of_reference","mean_loss_fraction","n"
"CRISPR","WT","Ubr5","ENSMUSG00000037487","WT",8358.19612011415,1302.4755040636,1,100,15.5832129965121,0,3
"CRISPR","Het","Ubr5","ENSMUSG00000037487","WT",4042.4173385495,136.857740763989,0.483647102850501,48.3647102850501,1.63740762716297,0.516352897149499,3
"CRISPR","KO","Ubr5","ENSMUSG00000037487","WT",2931.89508407994,1020.22596610368,0.350780843371727,35.0780843371727,12.2062936959386,0.649219156628273,3
"mouseKD","Control","Ubr5","ENSMUSG00000037487","Control",67691.7404187568,3538.71449709038,1,100,5.22769022512803,-3.93203987888076e-17,3
"mouseKD","KD","Ubr5","ENSMUSG00000037487","Control",39680.0925291118,1664.94967027031,0.586188097449431,58.6188097449431,2.45960535210136,0.413811902550569,3
"humanKD","Control","UBR5","ENSG00000104517","Control",25018.1548016433,596.357411050498,1,100,2.38369862117618,-7.51713506256616e-17,3
"humanKD","KD","UBR5","ENSG00000104517","Control",1891.07259280448,532.223530902306,0.0755880122973844,7.55880122973844,2.12734925945596,0.924411987702616,3
