"ensembl_gene_id","sample.WT_1","sample.WT_2","sample.WT_3","sample.neg.neg_1","sample.neg.neg_2","sample.neg.neg_3"
"ENSMUSG00000000001",6238.84341910866,6075.00334326135,7135.75778624515,5642.56071798375,6111.03627291255,5621.59328996174
"ENSMUSG00000000028",1004.63667738399,1270.74411479265,908.740621353569,858.8698813024,843.37520152131,1016.70173816063
"ENSMUSG00000000031",47.9974689359733,50.5820159421931,133.475601157716,345.565855325782,229.387066211822,303.092216281848
"ENSMUSG00000000056",765.476875271988,820.667401511092,513.846485285922,615.460355470736,421.687600760655,615.7759583954
"ENSMUSG00000000058",1991.06741827503,1677.46481440946,1902.54600406672,2309.23752226827,2232.05977601324,1794.57448311183
"ENSMUSG00000000078",3951.51576153918,3605.77513645062,4358.35874868355,4334.70746260844,5146.78644967483,4299.88103035292
"ENSMUSG00000000085",865.609525983242,961.058302901669,974.441046793895,913.101019181993,918.921840094065,965.866651252598
"ENSMUSG00000000088",1396.89185455039,1695.01367708329,1652.88438739348,1288.93541658011,1644.16957039252,1580.68345706483
"ENSMUSG00000000127",917.744707758524,1061.19004874642,1169.46757283781,1003.90664539899,1010.95138162815,992.722923581369
"ENSMUSG00000000131",2260.01875283005,2416.58161878927,2883.2113016918,2846.50414405215,3127.63083691209,2794.01147477539
"ENSMUSG00000000134",1460.61263227574,1285.19611934756,1365.18568230742,1526.0389961467,1377.69597251771,1562.45955798459
"ENSMUSG00000000142",126.614012882826,135.229471192394,119.643932643963,31.5297313253451,20.6036287016607,36.4477981604754
"ENSMUSG00000000148",581.76242520671,686.470216358335,639.714668761074,605.370841446625,517.837868035071,744.302404540234
"ENSMUSG00000000149",2213.6763690298,2504.32593215838,2421.92515675814,1915.74647532797,1788.39497130414,1948.03889641909
"ENSMUSG00000000159",0,0,0,26.4849743132899,15.1093277145511,56.5900024070539
"ENSMUSG00000000167",26.4813621715715,35.0977253476442,31.8128375816318,63.0594626506901,45.3279831436534,52.7533920743723
"ENSMUSG00000000168",1890.93476756377,1942.76232659607,2305.73914124262,1604.23272983356,1943.60897418999,2127.40042947196
