"ensembl_gene_id","sample.WT_1","sample.WT_2","sample.WT_3","sample.pos.neg_1","sample.pos.neg_2","sample.pos.neg_3","sample.neg.neg_1","sample.neg.neg_2","sample.neg.neg_3"
"ENSMUSG00000000001",5869.59353857225,5773.18032747794,6750.20906813854,6178.9545605837,6594.89734814691,6901.00798565722,5314.02051253662,5778.51641953785,5301.80132071437
"ENSMUSG00000000028",945.176622340723,1207.61002262113,859.640891212835,972.032224656228,1248.93031350659,1022.45982588394,808.861861653428,797.484621621991,958.865278955338
"ENSMUSG00000000031",45.1567084808583,48.0689610953984,126.263844751961,159.620240741963,89.1344052460626,97.7176057371597,325.445154321644,216.905426402073,285.850403914988
"ENSMUSG00000000037",2.33569181797543,0,1.30843362437266,47.3356575993407,34.6051220367067,26.2169186124087,28.5061449040856,19.4825233295275,7.23671908645538
"ENSMUSG00000000056",720.171643875757,779.894368792688,486.083091454442,511.885599620777,493.909469069359,321.75309206138,579.624946383073,398.742310810996,580.746706688044
"ENSMUSG00000000058",1873.22483801629,1594.12370979637,1799.75045032459,2123.49961649135,1852.94698905638,1960.31050533692,2174.7813049742,2110.60669403214,1692.48767634475
"ENSMUSG00000000078",3717.64281027755,3426.63022665768,4122.87435039824,5333.51769927455,4627.64859236323,5205.25002268187,4082.31750147259,4866.73432771596,4055.27645807243
"ENSMUSG00000000085",814.377880534099,913.310260812569,921.791488370537,955.519785958784,1166.08774863084,1085.61876617747,859.935371273248,868.920540496926,910.922015007571
"ENSMUSG00000000088",1314.21592958084,1610.80069629886,1563.57818112532,1427.77553270569,1475.43656683777,1605.19042595066,1213.88667049898,1554.70536169629,1490.76413180981
"ENSMUSG00000000127",863.427408711583,1008.46718379734,1106.28062940708,1131.65246539819,859.884850609074,1086.81044429622,945.453805985505,955.942478035482,936.250531810165
"ENSMUSG00000000131",2126.25811829696,2296.51914131281,2727.4298900048,2716.84658035285,2904.73297095992,3079.29625883928,2680.76537702171,2957.44704142227,2635.07033735557
